shortcode,username,date_utc,url_thumbnail,url_media,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
,,,,,,,,,,,,,,,,
CH_ReX4JLKI,albertsons,11/24/2020 21:30,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/125782957_839720816867989_4768152296347244294_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=101&_nc_ohc=_aUzDi2k23gAX_BLpSM&tp=1&oh=34d7afcaa826b8b4df5bd8556aea37a7&oe=5FE58E14,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/125782957_839720816867989_4768152296347244294_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=101&_nc_ohc=_aUzDi2k23gAX_BLpSM&tp=1&oh=34d7afcaa826b8b4df5bd8556aea37a7&oe=5FE58E14,no,FALSE,,,"Everyone loves Thanksgiving food, but how about drinks? Toast to all you’re grateful for with some great drink inspo on our story :clinking_glasses:",0,0,54,2,56,,
,,,,,,,,,,,,,,,,
CH8oymQjWvX,albertsons,11/23/2020 20:56,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/126858691_178609430568878_8592132282082977841_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=102&_nc_ohc=v6HHS_FTEhMAX9JTW25&tp=1&oh=966581ea215cbc84c067b2ecad4d7b4f&oe=5FE5A620,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/126858691_178609430568878_8592132282082977841_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=102&_nc_ohc=v6HHS_FTEhMAX9JTW25&tp=1&oh=966581ea215cbc84c067b2ecad4d7b4f&oe=5FE5A620,no,FALSE,,,Thanksgiving is as much about the sides as it is about the turkey! What are you looking forward to most? Drop your favs in the comments :fork_and_knife_with_plate:,0,0,74,2,76,,
,,,,,,,,,,,,,,,,
CH6nLrDhvvQ,albertsons,11/23/2020 2:03,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/126858332_199365611659568_6171162590095164002_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=108&_nc_ohc=Zs8_9GzlCqoAX-kvM_m&tp=1&oh=c849338e0ede2f931b5332b9cbfb4da9&oe=5FE6C98C,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/126858332_199365611659568_6171162590095164002_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=108&_nc_ohc=Zs8_9GzlCqoAX-kvM_m&tp=1&oh=c849338e0ede2f931b5332b9cbfb4da9&oe=5FE6C98C,no,FALSE,,,Keep the season sweet with baked treats straight from our bakery–we’ve got the whipped cream too! :smiling_face_with_heart-eyes:,0,0,111,5,116,,
,,,,,,,,,,,,,,,,
CH31wLeAbcq,albertsons,11/22/2020 0:13,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/126517814_400445174638952_5740962058851753991_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=108&_nc_ohc=QL3V-GTs7iYAX_0_YGa&tp=1&oh=e790fbd0c70be273f6bd680cc3e8aecc&oe=5FE86677,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/126517814_400445174638952_5740962058851753991_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=108&_nc_ohc=QL3V-GTs7iYAX_0_YGa&tp=1&oh=e790fbd0c70be273f6bd680cc3e8aecc&oe=5FE86677,no,FALSE,,,"Stuffing is one of our favorite parts of Thanksgiving! We’ve got all kinds of ways to incorporate stuffing into every meal, holiday or not, on our story today!",0,0,105,10,115,,
,,,,,,,,,,,,,,,,
CH0WfCuhWL-,albertsons,11/20/2020 15:42,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/125939973_3324588547609388_6227353753747617351_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=108&_nc_ohc=FN1Umo3J3LUAX-42Fnl&tp=1&oh=a77165ae896bcb9541116ced2f5599f4&oe=5FE606F6,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/125939973_3324588547609388_6227353753747617351_n.jpg?_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=108&_nc_ohc=FN1Umo3J3LUAX-42Fnl&tp=1&oh=a77165ae896bcb9541116ced2f5599f4&oe=5FE606F6,no,FALSE,,,"Turkey, ham, prime rib... oh my! What’s your family cooking up this year?",0,0,110,5,115,,
