shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CHA2-XyLhry,avnet,2020-10-31 15:45,no,False,halloween,,"b'Even as we work remotely across Avnet HQ and beyond, we still take #Halloween pretty seriously. Here are some of our most festive team members showing off their submissions to our virtual costume contest.'",0,0,175,1,176,,
CGS3CgBleDD,avnet,2020-10-13 19:01,no,False,,,"b'Even in a year that has presented some unique obstacles to our business, our teams in Taiwan are recognized yet again by HR Asia as one the Best Companies to Work for in Asia. Congratulations to you all!'",0,0,103,0,103,,
CEXOaGzD_eP,avnet,2020-08-26 18:39,no,False,womensequalityday,,"b""Today is #WomensEqualityDay, when we celebrate a century since the passage of women's suffrage in the United States. Avnet celebrates this moment, as well as the larger ideal it represents: ensuring women the world over have a voice to actively participate in all manner of conversation. \n.\n.\nFrom our RISE employee groups, dedicated to elevating women at Avnet, to all the women pursuing equality around the world, we support every effort to make sure you have an equal opportunity every day.""",0,0,124,2,126,,
CDmVIuFDtrd,avnet,2020-08-07 18:55,no,False,"avnetcares,avnetreachfurther",,"b""An #AvnetCares team from our China office recently paid a visit to the Linjie Autism Rehabilitation Center. This group of dedicated and compassionate employees personally delivered care packages containing children's rehabilitation equipment and pandemic prevention supplies, all of which were purchased by the employees themselves. Even in a time as dark as now, it's acts of kindness like this that shine light into the world. Thanks for spreading kindness and helping #AvnetReachFurther!""",0,0,100,2,102,,
CC_v9cWDvNT,avnet,2020-07-23 19:19,no,False,"covid19,avnetinaction",,"b""When Mindray, the world's leading provider of medical devices and solutions, stepped up to combat the outbreak of #COVID19, they needed the support of a trusted partner. They came to Avnet and, with our support, they were able to deliver tens of thousands of devices to regions in need throughout China. When the businesses holding up the world need help, we're waiting in the wings to lend them a hand. #AvnetinAction""",0,0,111,1,112,,
CCEfsOypTDS,avnet,2020-06-30 19:02,no,False,avnetreachfurther,,"b'Congratulations to our team in India on being recognized for Best Workplaces in Electronics for the second straight year, \xe2\x80\x9cfor inspiring trust among your people, instilling pride in them, creating an environment that promotes camaraderie and delivering a great workplace experience for all your employees."" You are truly helping #AvnetReachFurther!'",0,0,89,3,92,,
CByjCWgB2qf,avnet,2020-06-23 19:45,no,False,"inwed20,weareallengineers",,"b'Today we celebrate International Women in Engineering Day. By shining a light on the women who shape the world through technology, we hope to inspire young women to pursue careers in engineering. #INWED20 #WeAreAllEngineers'",0,0,95,2,97,,
CAfz4MfDnhb,avnet,2020-05-22 16:35,no,False,covid19,,"b""Ventilators are critical in combating COVID-19. That's why LifeMech, a nonprofit of 180+ doctors, engineers and researchers, sought to develop an open-source ventilator design. It needed to be built quickly at a low cost, using commonly available components and manufacturing capabilities.\n\nLifeMech needed the help of an industry expert to source parts for their prototype, so they turned to Avnet. Through a massive collaboration across the entire Avnet ecosystem, from design chain and supply chain to full production, we managed to fast-track their design in just one month \xe2\x80\x94 roughly 12 to 18 months faster than similar projects.\n\nThrough optimized part selection and a simplified design process, we helped LifeMech achieve their goal of drastically reducing the unit cost (about 3x less than a typical ventilator). We're honored to work with such dedicated and caring people to do our part in the fight against #covid19.""",0,0,142,4,146,,
CALRjIgDu-Z,avnet,2020-05-14 17:10,no,False,"covid19,avnetinaction",,"b""Supporting our communities through this pandemic is the most noble thing we can do with our expertise and influence. That's why we're so proud of our teams in Asia for joining forces with Chinese start-up XIT. Together, they developed an unmanned food delivery vehicle to ensure that workers returning from isolation could still access food while minimizing human contact. It's exactly this blend of technology and humanity that will help us win the fight against #COVID19. #AvnetinAction""",0,0,85,1,86,,
CAA5Vq3Dp4G,avnet,2020-05-10 16:26,no,False,mothersday,,"b'We celebrate all women globally, and today we applaud all of the incredible women who have been pulling double, triple, and even quadruple duty as employees, teachers, chefs, coaches and so much more during this uncertain time. Thank you for doing the most important job of them all. Happy #MothersDay.\n\nWe asked our Avnet moms to share some photos of themselves with their families, and the response was overwhelming. Here are just a handful of the dozens of wonderful moments they shared with us.'",0,0,121,3,124,,
