shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIDnkjmsXEL,delta,2020-11-26 14:00,no,False,atl,,"b'What are you grateful for today?\n\nPhoto: Adriana M. - Flight Attendant, #ATL'",0,0,7600,171,7771,,
CH5IXstMfSE,delta,2020-11-22 12:15,no,False,,bdelao89,b'Good morning world. :waving_hand: \n\nPhoto: @bdelao89',0,0,14073,163,14236,,
CH22ddVsQnR,delta,2020-11-21 15:00,no,False,,,b'The only time we\xe2\x80\x99ll say we\xe2\x80\x99re over Seattle.',0,0,31424,250,31674,"Seattle, Washington",47.6046 -122.3308
CHx6Xu1A6o9,delta,2020-11-19 16:58,no,False,,megstraightup,"b'""This year, we have to make our own adventures.""\n\nPhoto: @megstraightup'",0,0,13263,150,13413,,
CHs-v0LBWvW,delta,2020-11-17 19:00,no,False,atl,,"b'Everyone has more than one happy place. Find yours.\n\nPhoto: Christina W. - Business Analyst, #ATL'",0,0,13796,132,13928,Up in the Air,None None
CHqTFOOJeL3,delta,2020-11-16 18:00,no,False,,lensballvacations,b'Where to next? :crystal_ball: \n\nPhoto: @lensballvacations',0,0,12474,177,12651,,
CHid1NPgoq1,delta,2020-11-13 17:00,no,False,,travelthroughrodric,"b'The iconic Riverfront Park in Downtown Spokane is the perfect place to get out of the house and get some fresh air. Visit on a Friday, Saturday or Sunday at sunset and watch the Pavilion at Riverfront come to life during one of its free, dynamic light shows.\n\nPro tip: Don\xe2\x80\x99t forget your mask! Face coverings are required at indoor and outdoor public spaces in the state of Washington.\n\nPhoto: @travelthroughrodric'",0,0,7178,53,7231,Pavilion at Riverfront,47.6626892886 -117.4191002532
CHgNo1uJsp5,delta,2020-11-12 20:00,no,False,,wherekatieis,"b""We're suckers for a good sunset, and Moab has some of the best.\n\n@wherekatieis's favorite is at Dead Horse Point State Park. Her tip for first timers: Get there about an hour before sunset so you can get a good spot, set up and enjoy the views.""",0,0,11615,95,11710,Dead Horse Point State Park,38.4973996141 -109.7302436829
CHa_dwwJGyl,delta,2020-11-10 19:20,no,False,,skylar777,"b'""Thankful to Delta for providing peace of mind during this global pandemic along with complimentary drinks, upgrades, bags, vacant seats beside every person, hand sanitizer, seat wipes, and smiles!"" - @skylar777, Gold Medallion Member\n\nReady to welcome you back to the skies with peace of mind.'",0,0,16782,192,16974,,
CHYRvsGJzHx,delta,2020-11-09 18:02,no,False,,khhycl,"b'Last weekend marked the end of an era for the iconic 777 fleet. While we celebrate the memories it helped us create over the past two decades, we look ahead \xe2\x80\x93 as we pull the future of our fleet forward - to the adventures to come.\n\nPhoto: @khhycl'",0,0,23475,238,23713,Hartsfield-Jackson Atlanta International Airport,33.6397544411 -84.4197800561
CG9_PQGMOQG,delta,2020-10-30 13:00,no,False,jfk,,"b'""Now more than ever I\xe2\x80\x99m incredibly proud to be a Delta employee and Flight Attendant and let me tell you why...\n\nA few weeks ago Delta officially launched a new internal initiative for Flight Attendants called the Diversity, Equity & Inclusion (DE&I) program and I just received my uniform pin indicating that I am a DE&I Ally!\n\nThe goal of the program is to have allies spark compassionate and thought-provoking conversations between employees in an effort to understand each other more and empathize with the struggles that some employees face that others might not.\n\nAlthough this program just launched, Delta has held quarterly Diversity & Inclusion forums for Flight Attendants for years and began work on this program long before the recent tragedies that sparked worldwide outrage and increased dialogue about how Black lives are treated in our society.\n\nThis commitment to true change is what makes me extra proud to be a Delta employee and I\xe2\x80\x99m incredibly honored to be a small part of the journey to becoming a better, more compassionate, more empathetic and more just workplace and society."" - Noah K. - Flight Attendant, #JFK\n\nThe vulnerability we all feel at the confluence of the pandemic and racial injustice happening across our world is real. By listening and learning, we can better understand one another and our individual experiences to help move towards a stronger, more equitable future.'",0,0,19779,580,20359,,
CG716Orp4vm,delta,2020-10-29 17:00,no,False,,authentic_traveling,"b""Your third @ is who you're going to travel with next.\n\nPhoto: @authentic_traveling""",0,0,10729,361,11090,Trillium Lake,45.26948 -121.738987
CG716Orp4vm,delta,2020-10-29 17:00,no,False,,authentic_traveling,"b""Your third @ is who you're going to travel with next.\n\nPhoto: @authentic_traveling""",0,0,10729,361,11090,Trillium Lake,45.26948 -121.738987
CG5DYRIMnIO,delta,2020-10-28 15:00,no,False,,travelsforwork,b'Insert nice quote about being up in the air here. :smiling_face_with_heart-eyes: \n\nPhoto: @travelsforwork',0,0,15039,226,15265,Up in the Air,None None
CGnFamSh_A1,delta,2020-10-21 15:31,no,False,,,"b""Many of you have questions about flying right now, so we got answers from someone who lives it every day.\n\nSwipe to see First Officer Michelle Helms' responses to some of your FAQs. :right_arrow_selector:""",0,0,15770,326,16096,Hartsfield-Jackson Atlanta International Airport,33.6397544411 -84.4197800561
CGlBxknBryH,delta,2020-10-20 20:21,no,False,,,"b""One of our favorite jets. What's yours?""",0,0,36826,851,37677,,
CGXlC3wF1Df,delta,2020-10-15 15:00,no,False,san,,"b'""While traveling may have changed this year and social distancing has us staying apart...remember to get out and see what the world has to offer. \n\nShare these moments and experiences with those who may not be able to get out and explore for themselves, for we are all human and should never be starved of adventure and nature.""\n\nPhoto: Thomas L. - Aircraft Maintenance Technician, #SAN'",0,0,7860,105,7965,Yellowstone National Park,44.6 -110.5
CGVZWkUDBTA,delta,2020-10-14 18:39,no,False,atl,,"b'""I am proud to be a first-generation, Paisa (which means I\xe2\x80\x99m from Medellin), Colombian-American, ATLien Latina. It took me over 20 years to become a U.S. Citizen. Immigration documentation and lawyer fees, time, travel restrictions, academic limitations, emotional and psychological stressors, major personal life changes were the price my family and I paid to have the right to use our voice and submit our ballots. Having experienced the journey to naturalization and becoming a U.S. citizen, voting is not just a right in our family \xe2\x80\x93 it\xe2\x80\x99s our responsibility. I recognize the hard work that has been done by others to ensure that, as a woman of color, I have the right to vote, and it\xe2\x80\x99s up to us to protect it.\n\nI am forever grateful for this country and for the life my family and I are living and continue to build, so voting is just one way I can show gratitude. I\xe2\x80\x99m voting for those who fought for our right to have a voice, for those who lack the privilege to and for those whose voices are yet to be heard. Whatever your reason is, I encourage you to vote!"" - Juanita V. - Marketing Manager, #ATL\n\nThe stories of where we\'re from help shape us into the people we are today and voting gives us an opportunity to help shape the world around us. This year, we encourage you to make your voice heard  because no matter what language you speak or what you believe in, we all share the same goal to make the world a better place.'",0,0,18690,161,18851,Vinicunca Rainbow Mountain,-13.6057234544 -71.8214035034
CGSgeiSAvEg,delta,2020-10-13 15:44,no,False,atl,,"b'A seat with a view.\n\nPhoto: David G. - Ramp Agent, #ATL'",0,0,12995,153,13148,"30,000 ft up in the air",27.9808217521 -82.5382853094
CGKz78VAsAD,delta,2020-10-10 16:00,no,False,lax,,"b'Leaving on a jet plane.\n\nPhoto: Javon S. - Customer Service Agent, #LAX'",0,0,10643,143,10786,Salt Lake City International Airport (SLC),40.7871141757 -111.9846531485
CGIJ3h4lgWC,delta,2020-10-09 15:13,no,False,jfk,bcrfcure,"b'""What do I love the most about October? Getting to raise money and offer support to all of these amazing people who have battled and continue to battle breast cancer. This uniform already means so much to me, but to also be able to accessorize in all pink is heaven! I love hearing the stories and personal experiences from survivors regarding their journey and path to overcoming their challenges and struggles.\n\nI\'m also ecstatic and encouraged by the thousands that are currently fighting and living each day as if it were their last. There is so much optimism and hope nowadays as we strive another day closer to a cure. For those currently: stay strong, stay positive, stay blessed, and kick cancer\'s butt! You are much stronger than you think."" - Jonathan S. - Flight Attendant, #JFK\n\nIn this family, no one fights alone. Join us and donate to @BCRFcure at the link in our bio to support life-saving research.'",0,0,10666,122,10788,,
CGGKYIdggST,delta,2020-10-08 20:40,no,False,,,"b'\xe2\x80\x9cMy Latinidad is not only what I check off on the Census every 10 years, but as I have gotten older it has turned into how I interpret my life every day. Being first generation brought a whole new level of challenges to my identity growing up. Yet they made me who I am today, a proud Afro-Latina with roots dating back to the Taino Indigenous People of Dominican Republic. \n \nAs a young girl, I hid from the thought of having a strong accent, so I watched the news to perfect a more \'acceptable\' one. This caused a lot of people to never realize I was Latina until I mentioned it. I used to be embarrassed, but as I grew older I learned to respect, admire and feel proud of my accent, just as the Latinos in my family and community showed me. I learned that having an accent doesn\xe2\x80\x99t take away from our community\xe2\x80\x99s hard work, dedication and extremely focused and driven mentality, which seems almost instinctual in our people. It adds the complexity of being able to communicate with people from other places. I carry that thought with me every day, so when I encounter folks who find out that I\xe2\x80\x99m Latina and make the comment \xe2\x80\x98oh you speak English very well,\xe2\x80\x99 I say to them, \xe2\x80\x98and I speak Spanish very well too, those are my bilingual talents\xe2\x80\x99.""\n \nBeing proud of who you are inspires those you meet along the way to be authentic to their identity. When we let go of the fear of being our full selves, the world can see the beauty inside each of us.'",0,0,4702,54,4756,"Lisbon, Portugal",38.7261 -9.1394
CGDQjOHlJ_R,delta,2020-10-07 17:36,no,False,,"tsode,travelwander.lust,yourbasefare,voyagermd","b'Who needs a video call background when you can see it in person?\n\nPhotos: @tsode (PLS), @travelwander.lust (AMS), @yourbasefare (SLC), @voyagermd (DEN)'",0,0,8148,78,8226,,
CGAWdKzl3l1,delta,2020-10-06 14:30,no,False,pbi,,"b'The only thing better than a sunrise at home is a sunrise while traveling.\n\nPhoto: Michelle A. - Red Coat, #PBI'",0,0,15319,140,15459,Palm Beach International Airport (PBI),26.6868499368 -80.0896734328
CF4rgeAFJwX,delta,2020-10-03 15:00,no,False,msp,,"b'Itching to get out and explore the world again? When you\xe2\x80\x99re ready to fly, try someplace away from the crowds where you can hike for miles without seeing a soul. Delta employee Andrew says Anchorage is one of his favorite places to visit because it\'s the perfect combination of peaceful and adventurous.\n\n""Being in nature is one of the easiest ways to escape and socially separate during the pandemic. Alaska has very clear and specific regulations to enter the state and I felt very safe there, as people were respectful in following those guidelines.""\n\nPhoto: Andrew B. - Flight Attendant, #MSP'",0,0,7391,50,7441,"Anchorage, Alaska",61.2175 -149.8917
CF1_291FMNz,delta,2020-10-02 14:00,no,False,,senior.living.adventures,"b'New terminal, who dis?\n\nPhoto: @senior.living.adventures'",0,0,14628,184,14812,Salt Lake City International Airport (SLC),40.7871141757 -111.9846531485
