shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIGgFLHD1e5,discovery,2020-11-27 16:52,yes,False,"geology,nature_brilliance,castlerock,utah,rock,formation",,"b'Castleton Tower in Utah, like other large rock formations, emits a rumbling hum caused by seismic activity arising from the Earth. \n\n#geology #nature_brilliance #castlerock #utah #rock #formation'",74054,16.433,14806,68,14874,,
CIDrqLis0qM,discovery,2020-11-26 14:36,yes,False,"thanksgiving,fallvibes,asmr,naturelovers,peaceful,autumncolors",,b'What are you most thankful for this year? :fallen_leaf: #thanksgiving \n\n#fallvibes #asmr #naturelovers #peaceful #autumncolors',101959,54.1,22550,203,22753,,
CIBLd51gdir,discovery,2020-11-25 15:16,no,False,"squirrelsofinstagram,nuts_about_nature,scotland,wildlife_perfection",sianaddison,b'\xe2\x80\x98On my way to steal your nuts.\xe2\x80\x99:peanuts:\nA red squirrel leaps out of the heather in the Scottish Highlands.\n\nPhoto + Caption: Si\xc3\xa2n Addison (@sianaddison)\n\n#squirrelsofinstagram #nuts_about_nature #scotland #wildlife_perfection',0,0,103218,379,103597,Scottish Highlands,57.1205866606 -4.7154521942
CH_a1JbF8QK,discovery,2020-11-24 22:51,no,False,"tigertuesday,wildlifephotography,holidayseason,catnapping",,b'Pre-holiday nap.:sleeping_face: \n\nPhoto: Anup Shah\n\n#TigerTuesday #wildlifephotography #holidayseason #catnapping',0,0,114024,324,114348,,
CH_RKJLsohU,discovery,2020-11-24 21:27,yes,False,"moonshiners,bourbon,bourbonwhiskey,cocktails,cocktailsofinstagram,moonshine,thanksgivingcocktails,alcohol",tim.smith.spirits,b'Get a jump start on your Thanksgiving libations with this cocktail from @tim.smith.spirits and #moonshiners! \n.\n.\n.\n.\n.\n#bourbon #bourbonwhiskey #cocktails #cocktailsofinstagram #moonshine #thanksgivingcocktails #alcohol',112386,148.967,8083,58,8141,,
CH8B6NiMq4F,discovery,2020-11-23 15:16,no,False,"loughriggfell,englishlakedistrict,britishisles,autumncolors,naturephotography,fallfashion",,b'A stunning autumn sunrise from Loughrigg Fell in the heart of the English Lake District National park.:maple_leaf:\n\n#loughriggfell  #englishlakedistrict #britishisles #autumncolors #naturephotography #fallfashion',0,0,73964,185,74149,Loughrigg Fell,54.4371 -3.0082611111
CH5qWnIF4T0,discovery,2020-11-22 17:12,no,False,"fox,nature_perfection,autumnvibes,forestbathing",markian.b,b'Sitting pretty. This beautiful red fox was taking a short break from a long hunting day in the forest. :fox_face:\n\nCaption and Photo: Mark Bouldoukian (@markian.b)\n\n#fox #nature_perfection #autumnvibes:maple_leaf: #forestbathing',0,0,109450,342,109792,,
CH3ERkIDkUU,discovery,2020-11-21 17:00,no,False,"nasa,jupiter,science,planets,space,clouds,spacesaturday",nasa,"b'This enhanced-color image from #NASA\xe2\x80\x99s Juno spacecraft captures the striking cloud bands of #Jupiter\xe2\x80\x99s southern latitudes. Jupiter is not only the largest planet in the solar system, it also rotates at the fastest rate, completing a full day in just 10 hours. This rapid spinning creates strong jet streams, separating Jupiter\xe2\x80\x99s clouds into bright zones and dark belts that wrap around the planet.\n\nCaption + Image credit: Image data: @nasa/JPL-Caltech/SwRI/MSSS\n\n#science #planets #space #clouds #spacesaturday:dizzy:'",0,0,115943,361,116304,"Jupiter, Solar System, Milky Way Galaxy",37.7599337229 -122.6740139641
CH1kQfCD6AI,discovery,2020-11-21 03:02,yes,False,"southtyrol,italy,exploremore,dronestagram,adventuretime,dolomites,naturegeography",davide.anzimanni,b'Exploring South Tyrol via drone.:raising_hands:\n\nVideo: Davide Anzimanni (@davide.anzimanni)\n\n#southtyrol #italy #exploremore #dronestagram #adventuretime #dolomites #naturegeography',209228,25.666,41199,246,41445,,
CH0mWjPDw_O,discovery,2020-11-20 18:00,no,False,"moonshiners,fridayfieldtrip","belmontfarmdistillery,tim.smith.spirits","b'In honor of the new season of #moonshiners, we are going on a virtual field trip to @belmontfarmdistillery! Follow Instagram Stories as @tim.smith.spirits takes us behind the scenes of his distillery and gives us an inside look at how he makes his spirits! You can see more of him this Tuesday at 8p when Moonshiners returns with new episodes. #fridayfieldtrip'",0,0,29334,96,29430,Belmont Farm Distillery,38.3739176253 -77.9967043848
