shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIGn1ByFu3q,disney,2020-11-27 18:00,no,False,,,"b'On this day in 2013, Arendelle first opened up the gates. Happy Anniversary to Frozen!'",0,0,71663,338,72001,,
CIGhCQ7nypu,disney,2020-11-27 17:01,yes,False,"disneyplus,pixarsoul",,b'\xe2\x80\x9cSoul celebrates the idea of community and the people that are around us.\xe2\x80\x9d :sparkles::cityscape: Celebrate the joys of community with the cast of Pixar\xe2\x80\x99s Soul. Watch Soul only on #DisneyPlus December 25. #PixarSoul',56748,97.74,23870,58,23928,,
CIEQulGDXPR,disney,2020-11-26 19:59,no,False,,,"b'Good cooking, great memories. Happy Thanksgiving!'",0,0,138225,327,138552,,
CIEDDcABv7m,disney,2020-11-26 18:00,yes,False,disneyholidaycelebration,"waltdisneyworld,derekhough,juleshough,trevorjackson5,abcnetwork","b'Disney magic has arrived at @WaltDisneyWorld with hosts @DerekHough, @JulesHough, and @TrevorJackson5. Get into the holiday mood with a flashback look at #DisneyHolidayCelebration tonight at 9|8c on @ABCNetwork.'",272277,15.0,55694,138,55832,,
CID8LJpDsL4,disney,2020-11-26 17:00,yes,False,"disneyplus,pixarsoul",,b'Experience a story that\xe2\x80\x99s larger than life. :sparkles::musical_keyboard: Disney and Pixar\xe2\x80\x99s Soul is streaming only on #DisneyPlus December 25. #PixarSoul',130550,30.033,51387,156,51543,,
CID1TKKHLGq,disney,2020-11-26 16:00,no,False,,,b'A great day starts with a grateful heart. Happy Thanksgiving!',0,0,175716,390,176106,,
CIDnl4Ghwf8,disney,2020-11-26 14:00,yes,False,,,"b'To the everyday superheroes, to all those who go to infinity and beyond, to the real life magic makers\xe2\x80\x94thank you.'",205347,30.033,59553,372,59925,,
CICFXn4Bqpe,disney,2020-11-25 23:42,yes,False,"disneyplus,folkloreondisneyplus",,"b'Check out Taylor Swift\xe2\x80\x99s performance of the Grammy-nominated track exile (featuring Bon Iver) from folklore: the long pond studio sessions, now streaming on #DisneyPlus. #folkloreOnDisneyPlus Swipe up in Story to see the full performance.'",122739,15.0,45195,125,45320,,
CIBy5Osjdkj,disney,2020-11-25 21:00,no,False,"godmothered,disneyplus","jillianbell,islafisher","b'Happily ever after awaits. This holiday season, watch @JillianBell and @IslaFisher in #Godmothered, streaming December 4 on #DisneyPlus!'",0,0,148652,466,149118,,
CIBr_JWM8fY,disney,2020-11-25 20:00,yes,False,,pixar,b'Friends light up your life. @Pixar\xe2\x80\x99s The Good Dinosaur opened in theaters five years ago today.',169549,14.0,63355,233,63588,,
