shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIGMXSMrnV-,esteelauder,2020-11-27 14:00,no,False,"doublewear,foundation,wearconfidence",,"b""Your shade of flawless :sparkles: Have you tried #DoubleWear Stay-in-Place #Foundation? It's long-wear, mask-friendly (transfer-, sweat- & humidity-resistant!) and stays color-true :smiling_face_with_heart-eyes: PLUS: it's oil-free and non-acnegenic, so you can wear with confidence! :face_blowing_a_kiss: #WearConfidence""",0,0,5715,81,5796,,
CID8KlEjBvN,esteelauder,2020-11-26 17:00,yes,False,esteebeauties,,"b""Happy Thanksgiving, #EsteeBeauties! :sparkles: Comment what you're grateful for below. :red_heart_selector:""",15480,8.0,2373,53,2426,,
CIBL_sBDTI8,esteelauder,2020-11-25 15:20,no,False,"holidays,aerinbeauty",aerin,"b'Countdown to the #Holidays with the ultimate hostess, Aerin Lauder! Ready yourself for the festive season with the warm opulence of new @AERIN Ambrette de Noir, a rich, velvety floral that\xe2\x80\x99s sure to leave you feeling elegant. Cheers! #AERINBeauty'",0,0,3315,21,3336,,
CH_AT_hn_Ok,esteelauder,2020-11-24 19:00,yes,False,"pressresettonight,advancednightrepair",,b'#PressResetTonight on stressed out skin with #AdvancedNightRepair Intense Reset Concentrate! It reduces the look of irritation and redness in just one hour (:double_exclamation_mark_selector:). Tap to shop now.',22541,11.533,2624,45,2669,,
CH-gczAjuHq,esteelauder,2020-11-24 14:22,yes,False,"advancednightrepair,esteeartist",jocelyn_biga,"b'Want repair at your fingertips? Try #AdvancedNightRepair Eye Supercharged Complex! #EsteeArtist @jocelyn_biga\xe2\x80\x99s pro tip: just tap three small dabs under the eye in the AM & PM to clean skin around your eye area to brighten dark circles (in just 3 weeks!) and fight the visible effects of blue light at night. PLUS: :sparkles: Immediately after use, 90% of women said their eye area is left looking healthy and energized* \xe2\x81\xa3\n \xe2\x81\xa3\nShop Jocelyn\xe2\x80\x99s top pick: https://estee.cm/3lXLyHy\xe2\x81\xa3\n:sparkles: After just 1 week 97% of women said their eye area is left feeling soft and supple* \xe2\x81\xa3\n:sparkles: After 4 weeks, 91% of women said lines around eyes appeared softened* \xe2\x81\xa3\n*Consumer testing on 258 women after using product for 4 weeks.'",79965,20.466,6393,86,6479,,
CH9Rncvjo87,esteelauder,2020-11-24 02:54,yes,False,"doublewear,cewbeautyawards",cewinsider,"b'Best-in-class makeup for your best look :face_blowing_a_kiss: We\xe2\x80\x99re proud to share that our #DoubleWear Radiant Concealer is @CEWInsider\xe2\x80\x99s 2020 Face Product Prestige winner :trophy:. With 12-hour wear, medium-to-full coverage, and radiant finish, CEW\xe2\x80\x99s top pick is sure to be yours too. Tap to shop our #CEWBeautyAwards winner!'",29432,4.066,4078,31,4109,,
CH8G_3ujlS9,esteelauder,2020-11-23 16:00,no,False,"esteexandywarhol,fragrance,warholfoundation",warholfoundation,"b'Keep it floral, keep it fresh :bouquet::sparkles:Limited edition #EsteexAndyWarhol Beautiful Absolu is a modern, elegant interpretation of the original Beautiful #fragrance. Tap to shop and add something Beautiful to your day! #warholfoundation \n\n:copyright:/:registered:/:trade_mark: The Andy\xe2\x80\xafWarhol\xe2\x80\xafFoundation for the Visual Arts, Inc.\xe2\x80\xaf \n\nUsed with permission of @warholfoundation'",0,0,3068,13,3081,,
CH5gv39DLU2,esteelauder,2020-11-22 15:48,no,False,"esteeessentials,esteewishlist,giftwonderland",,b':sparkles:Treat yourself or a friend to our Nighttime Experts Beauty Sleep Set \xe2\x80\x93 filled with our #EsteeEssentials to help you wake up glowing! Is this set at the top of your #EsteeWishlist? Leave a :dizzy: below if so! #GiftWonderland',0,0,11225,92,11317,,
CH3EwAdDhlX,esteelauder,2020-11-21 17:04,no,False,aerinbeauty,aerin,b'@AERIN loves December as an enchanting time to entertain and welcome friends to sit by the fire. Amber Musk Eau de Parfum bottles up this loving warmth --- scent the mood with this fragrant floral favorite. #AERINBeauty',0,0,5381,24,5405,,
CH1JA5cDohB,esteelauder,2020-11-20 23:03,no,False,"purecolorenvy,giftwonderland,esteewishlist,lipstickenvy",,"b'Red or nude lips and eggnog sips :lipstick:#PureColorEnvy Lipstick has a super-creamy formula and intense color and shine\xe2\x80\x93 you\xe2\x80\x99ll be sure to make a statement. Tap to enter the #GiftWonderland at Estee Lauder! :kiss_mark: #EsteeWishlist\n \n(#LipstickEnvy Shades from Left to Right: 122 Naked Desire, 130 Slow Burn, 332 Boldface, 380 Complex)'",0,0,9806,38,9844,,
