shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CH8IvyfsdYA,goldmansachs,2020-11-23 16:16,no,False,"10ksmallbiz,makesmallbig,10ksbuk,linkinbio",urbanapothecarylondon,"b'This season, give a loved one (or yourself) the gift of luxury home fragrance, bath, and body products from @urbanapothecarylondon, a graduate of our #10KSmallBiz program. Support them and other amazing small businesses, during a time when they need it more than ever, in the #MakeSmallBig Holiday Market. #10KSBUK #LinkInBio'",0,0,485,8,493,,
CH8IhI3A7-O,goldmansachs,2020-11-23 16:14,no,False,"makesmallbig,10ksmallbiz,10kwomen,makesmallbig,linkinbio",,"b'This season, more than any other, small businesses need our support. That\xe2\x80\x99s why we\xe2\x80\x99ve launched the #MakeSmallBig Holiday Market: a collection of amazing small businesses from our #10KSmallBiz and #10KWomen programs, offering everything from gourmet snacks and home goods to unique clothing and accessories. Shop them, follow them, like them or share them \xe2\x80\x94 and together, we can #MakeSmallBig. #LinkInBio'",0,0,366,2,368,,
CH8ISXojd8W,goldmansachs,2020-11-23 16:12,no,False,"10ksmallbiz,makesmallbig,10ksbuk,linkinbio",travelwrap,"b'For fine cashmere gifts, from luxurious wraps and shawls to cozy blankets, look no further than @travelwrap, a woman-owned small business and graduate of our #10KSmallBiz program. Visit the #MakeSmallBig Holiday Market at the link in our bio to give much-needed support to this and other small businesses this season. #10KSBUK #LinkInBio'",0,0,320,1,321,,
CH8ID3Rg9Dy,goldmansachs,2020-11-23 16:10,no,False,"10ksmallbiz,makesmallbig,linkinbio",shearadiance,"b'#10KSmallBiz graduate @shearadiance sources their all-natural shea butter products from women-run cooperatives in West Africa, generating economic growth for the women, their families, and their communities. Looking to support great small businesses like this during your holiday shopping? Visit the #MakeSmallBig Holiday Market at the link in our bio. #LinkInBio'",0,0,276,2,278,,
CH8H1KoF6tL,goldmansachs,2020-11-23 16:08,no,False,"10kwomen,makesmallbig,linkinbio",themandevu,"b'The perfect gift for a perfect beard. @themandevu Beard Care, a small business and graduate of our #10KWomen program, crafts its products with 100% natural ingredients for a healthy, hydrated beard. Find them in the #MakeSmallBig Holiday Market at the link in our bio and support small businesses during a challenging holiday season. #LinkInBio'",0,0,246,5,251,,
CH8Hmm0H69W,goldmansachs,2020-11-23 16:06,no,False,"10ksmallbiz,makesmallbig,10ksbuk,linkinbio",mallowandmarsh,"b'It\xe2\x80\x99s marshmallow, but not as you know it. This season, treat the sweets-lover in your life to gourmet marshmallow snacks from @mallowandmarsh, a graduate of our #10KSmallBiz program. Small businesses like them need support more than ever, so head over to the #MakeSmallBig Holiday Market. #10KSBUK #LinkInBio'",0,0,370,1,371,,
CH8HX2-MKfP,goldmansachs,2020-11-23 16:04,no,False,"10ksmallbiz,makesmallbig,linkinbio",rikumo,"b'@rikumo, a #10KSmallBiz graduate, offers unique home goods and lifestyle products sourced directly from local artisans and craftsmen in Japan. To support them and other small businesses during an important holiday season, shop the #MakeSmallBig Holiday Market at the link in our bio. #LinkInBio'",0,0,267,1,268,,
CH8HJNAnzhj,goldmansachs,2020-11-23 16:02,no,False,"10ksmallbiz,makesmallbig,linkinbio",cleverhood,"b'For a unique gift for the all-weather adventurer in your life, check out #10KSmallBiz graduate @cleverhood\xe2\x80\x99s innovative rain capes and outerwear at the #MakeSmallBig Holiday Market, and help us lift up small businesses during a difficult time for many. #LinkInBio'",0,0,285,3,288,,
CH8G7Kaj85t,goldmansachs,2020-11-23 16:00,no,False,"makesmallbig,linkinbio",silvermercdesigns,"b'For one-of-a-kind jewelry gifts, check out @silvermercdesigns, a small business with 100-year-old roots in the Pink City of Jaipur, India. Shop the #MakeSmallBig Holiday Market at the link in our bio to help keep small businesses alive and thriving. #LinkInBio'",0,0,317,0,317,,
CH6LUaGJqcl,goldmansachs,2020-11-22 22:00,no,False,"10ksbgrad,smallbiz,allinnyc","kelvingary,bodyspacenyc","b'\xe2\x80\x9cIn my opinion, the value of small businesses in New York City is immeasurable. We\xe2\x80\x99re the lifeline, the support line, that keeps it all going.\xe2\x80\x9d Meet @kelvingary, #10KSBgrad and owner of @bodyspacenyc, a training facility offering a range of fitness options, from private training to nutritional consulting. Learn more about his #smallbiz through the link in our bio :flexed_biceps: #AllInNYC'",0,0,463,1,464,"New York, New York",40.7142 -74.0064
