shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIB6CTvnkdI,jcpenney,2020-11-25 22:02,no,False,,charmedbycamille,"b""It's Friendsgiving time! :sparkles: Grab your loved ones, plan the potluck + find the perfect outfit at the link in our bio. (:camera_with_flash:: @charmedbycamille)""",0,0,686,6,692,,
CH_aUebHox3,jcpenney,2020-11-24 22:47,no,False,,stylecommodity,"b""That feeling when you find the perfect gift for someone on your list :grinning_face_with_smiling_eyes: Visit our gift shop at the link in our bio + tap to shop @stylecommodity's fabulous look!""",0,0,2075,49,2124,,
CH8yRCdHJOn,jcpenney,2020-11-23 22:18,no,False,,stylebyjamielea,"b""We've got perfect PJs for the whole fam (even your four-legged friends!) :sleeping_face: Tap to shop. (:camera_with_flash:: @stylebyjamielea)""",0,0,2204,14,2218,,
CH3yC4PHRdO,jcpenney,2020-11-21 23:40,no,False,,nickievu,"b""We can't tell what makes the outfit more...the shoes or the coat. :smiling_face_with_heart-eyes: Maybe you need them both! Tap to shop. (:camera_with_flash:: @nickievu)""",0,0,3461,23,3484,,
CH0-3JDHIxs,jcpenney,2020-11-20 21:35,no,False,,"keikolynn,thisfellow","b""Kick up your heels for these holiday looks! :high-heeled_shoe: We're loving how @keikolynn and @thisfellow styled these layers. Tap to shop!""",0,0,3407,23,3430,,
CH0mRPOH8E9,jcpenney,2020-11-20 18:03,yes,False,,mylifewellloved,"b""Tune in at 11am CST for major savings on @mylifewellloved's picks for holiday traditions + entertaining.""",3466,1528.742,220,5,225,,
CHx4-fbHCYK,jcpenney,2020-11-19 16:45,no,False,,cupofconsuella,"b""And the piece de r\xc3\xa9sistance...:birthday_cake: What's your family's must-have holiday dish? Shop all our serveware at the link in our bio. (:camera_with_flash:: @cupofconsuella)""",0,0,1494,9,1503,,
CHv75zWHk86,jcpenney,2020-11-18 22:32,no,False,,cookingupclaire,b'Fall is soup season :pot_of_food: and @cookingupclaire is back with a delicious + easy chicken tortilla soup! Grab this soup-ready crockpot at the link in our bio + watch the full video on our IGTV.',0,0,1096,11,1107,,
CHtVMGPH1Fe,jcpenney,2020-11-17 22:20,yes,False,,mommyinheels,b'Which look is your fave? Shop our new styleisure brand at the link in our bio. (:camera_with_flash:: @mommyinheels)',34172,66.933,1932,89,2021,,
CHqyl9-Hvb9,jcpenney,2020-11-16 22:35,no,False,,,"b""It's all in the details :sparkles: Swipe \xe2\x86\x92 to see some of our favorite Stylus accents. Shop our new styleisure brand at the link in our bio.""",0,0,1345,17,1362,,
CHohgYeHv-i,jcpenney,2020-11-16 01:27,no,False,,stylebyjamielea,"b'From Friendsgiving to Thanksgiving, this look is perfect for all your giving get-togethers! :fallen_leaf: Tap to shop. (:camera_with_flash:: @stylebyjamielea)'",0,0,4364,29,4393,,
CHllkCyHvX4,jcpenney,2020-11-14 22:05,no,False,,,b'Comfort + Style :cloud_selector: Stylus fabrics are undeniably soft and smooth inside and out. Shop our all-new styleisure brand at the link in our bio.',0,0,2494,18,2512,,
CHjAOmvHQ8j,jcpenney,2020-11-13 22:00,no,False,,stylenbeautydoc,"b""We're back with another JCP Live! :sparkles: We're talking all things comfy + cozy with @stylenbeautydoc. Watch the full video on our IGTV and shop her picks at the link in our bio.""",0,0,1033,14,1047,,
CHfywBfDyyr,jcpenney,2020-11-12 16:05,yes,False,,,"b""Stylus is here and we're already obsessed! :smiling_face_with_heart-eyes: Discover our all-new comfortable + versatile styleisure brand that you'll want to live in. Shop our NEW brand now at the link in our bio.""",5135,60.0,413,26,439,,
CHd9OW4n2Us,jcpenney,2020-11-11 22:58,no,False,styleandsubstance,malestyleicon,"b'Fall\xe2\x80\x99s classics have never looked better! :fallen_leaf: Our Product Development & Design VP, @malestyleicon, is back and sharing the new staples you\xe2\x80\x99ll definitely want in your closet this season. Check out this latest #StyleAndSubstance video on our IGTV now!'",0,0,4999,60,5059,,
