shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIDl05rg1T7,libertymutual,2020-11-26 13:45,no,False,,,b'This year we\xe2\x80\x99re thankful for customers like you. Have a happy and healthy Thanksgiving.',0,0,56,1,57,,
CH74jdzAQ1B,libertymutual,2020-11-23 13:54,no,False,,,b'Did you know that Thanksgiving is the leading day for home cooking fires? One way to help prevent fires is by never leaving your oven unattended.',0,0,84,9,93,,
CHx-A9ll1rL,libertymutual,2020-11-19 17:30,no,False,,,"b'Frozen pipes can ruin your winter even with customized insurance. Disconnect all outdoor hoses, exterior faucets, and sprinkler systems now to save yourself a hassle later.'",0,0,52,15,67,,
CHsbNw_FhIb,libertymutual,2020-11-17 13:49,no,False,,,b'It\xe2\x80\x99s helpful to be prepared with an emergency kit ready in case a bad storm comes through. Here are a few items to start yours.',0,0,54,5,59,,
CHid1KYgqd2,libertymutual,2020-11-13 17:00,no,False,fridaythe13th,,b'Sometimes bad luck is just unavoidable. That\xe2\x80\x99s why it\xe2\x80\x99s best to make sure you have the right coverage. #FridayThe13th',0,0,82,5,87,,
CHc_pTToZsy,libertymutual,2020-11-11 14:00,no,False,,,b'Today we honor all those who have bravely served our country. Our sincerest thank you.',0,0,103,0,103,,
CHYDkEBDEco,libertymutual,2020-11-09 15:58,no,False,"halloween2020,limuemudoug",,b'These costumes are giving LiMu Emu & Doug a run for their money for best looking man-bird duo. #Halloween2020 #LiMuEmuDoug',0,0,322,6,328,,
CHAq5W4gzW0,libertymutual,2020-10-31 14:00,no,False,,,"b'Halloween may be a little different this year but, as always, have fun and stay safe.'",0,0,62,2,64,,
CG7t2V2DdJn,libertymutual,2020-10-29 15:49,no,False,nationalcatday,,"b'This year, give the gift of pet insurance to your favorite feline friend. #NationalCatDay'",0,0,67,2,69,,
CGnMHMrgfUW,libertymutual,2020-10-21 16:30,no,False,,,b'Protecting your home doesn\xe2\x80\x99t end with insurance. Here\xe2\x80\x99s a fall cleaning checklist that can help prevent house fires.',0,0,37,12,49,,
CGhvm2ug5Ae,libertymutual,2020-10-19 13:44,no,False,"cybersecurityawareness,nationalcybersecurityawareness",,b'It\xe2\x80\x99s the perfect time to reset your password. We just changed ours to iNsurAnceRulez12... or did we? #CyberSecurityAwareness #NationalCyberSecurityAwarenessMonth',0,0,51,6,57,,
CGDLWSXDMDf,libertymutual,2020-10-07 16:50,no,False,,,b'What did the pumpkin say about saving with Liberty Mutual Insurance?\nThat\xe2\x80\x99s a gourd deal\xe2\x80\xa6 get it?',0,0,66,11,77,,
CGDLWSXDMDf,libertymutual,2020-10-07 16:50,no,False,,,b'What did the pumpkin say about saving with Liberty Mutual Insurance?\nThat\xe2\x80\x99s a gourd deal\xe2\x80\xa6 get it?',0,0,66,11,77,,
CF-GfjAgqw2,libertymutual,2020-10-05 17:32,no,False,firepreventionweek,,b'A good way to participate is to teach your children what smoke alarms sound like and what to do when they hear one. #FirePreventionWeek',0,0,95,2,97,,
CF2RL_8DzlT,libertymutual,2020-10-02 16:31,no,False,nameyourcarday,,"b""What\xe2\x80\x99s your car's name? Doug is always a great choice, as long as it\xe2\x80\x99s insured. #NameYourCarDay""",0,0,87,19,106,,
CFubwjxhMAF,libertymutual,2020-09-29 15:30,yes,False,,jamesllewis,b'Customized insurance from Liberty Mutual is a work of art.\n\nArtist credit: @jamesllewis',2838,6.0,362,13,375,,
CFsQtB_nt45,libertymutual,2020-09-28 19:15,no,False,,,b'Save money by grabbing free boxes from your local grocery store. And save some more with Renter\xe2\x80\x99s Insurance from Liberty Mutual.',0,0,39,6,45,,
CFhnQGsAXG9,libertymutual,2020-09-24 16:00,no,False,,,"b'After installing a car seat, it\xe2\x80\x99s a good idea to visit your local fire station to have it inspected.'",0,0,49,3,52,,
CFcJB99jf9S,libertymutual,2020-09-22 13:00,no,False,,,b'Prep your rakes and barrels because fall is here and the leaves are coming.',0,0,79,8,87,,
CFSMIgMgc-V,libertymutual,2020-09-18 16:14,no,False,,,"b'Taking a fall foliage trip? Watch out, wet leaves can be slippery! Peep responsibly.'",0,0,84,11,95,,
CFE_lFwHxuF,libertymutual,2020-09-13 13:15,no,False,,,b'Did you know grandparents LOVE insurance?',0,0,71,13,84,,
CE68YVpnwQP,libertymutual,2020-09-09 15:34,no,False,,,b'What\xe2\x80\x99s the most commonly insured purchase in September?\nAutumn-mobiles\xe2\x80\xa6 get it?',0,0,94,13,107,,
CE1kftUFmtY,libertymutual,2020-09-07 13:29,no,False,,,"b'Hope everyone is having a relaxing, fun and safe long weekend!'",0,0,91,5,96,,
CErjDFFljUm,libertymutual,2020-09-03 16:04,no,False,,,b'A simple way to stay prepared this month is to put fresh batteries in all the flashlights around your house.',0,0,60,12,72,,
CEje07JgTif,libertymutual,2020-08-31 12:53,no,False,,,b'Looking for ways to make your home greener?  Adding a smart thermostat can make any home feel newer and more tech-savvy while also minimizing energy use.',0,0,66,5,71,,
CEW8Kbjlkj-,libertymutual,2020-08-26 16:00,no,False,,,"b'What\xe2\x80\x99s the best way to make your furry bud\xe2\x80\x99s day?  A new collar, a fresh bone, and some pet insurance from Liberty Mutual.'",0,0,121,13,134,,
CEHwjVhgWHa,libertymutual,2020-08-20 18:30,no,False,,,"b""Are you moving soon? The first step is to begin de-cluttering, selling, donating, or trashing items you don't plan on moving.""",0,0,69,19,88,,
CD_fy6VgOxa,libertymutual,2020-08-17 13:29,no,False,,,"b'Whether it\xe2\x80\x99s in the classroom or virtual learning, the first day of school is around the corner!'",0,0,76,9,85,,
CD1iJpTFYHX,libertymutual,2020-08-13 16:37,no,False,,,b'Have you been working on home improvements this summer? Online tutorials are a great way to make sure your small projects are headed in the right direction.',0,0,70,8,78,,
CDwV61MHiyg,libertymutual,2020-08-11 16:14,no,False,,,"b'It\xe2\x80\x99s hurricane season, before a storm it\xe2\x80\x99s a good idea to take a full home inventory and document all of your possessions for insurance purposes.'",0,0,64,7,71,,
CDoRQRFDzds,libertymutual,2020-08-08 13:00,no,False,internationalcatday,,"b'Remember, all cats love pet insurance, no matter where they\xe2\x80\x99re from. #InternationalCatDay'",0,0,110,7,117,,
CDbgJjTnMtx,libertymutual,2020-08-03 14:00,no,False,,,b'It\xe2\x80\x99s been said that August is the best month to buy a new car. Don\xe2\x80\x99t forget to get some customized insurance to go with it!',0,0,75,18,93,,
CDRZx-cADaj,libertymutual,2020-07-30 15:52,no,False,,,"b'Looking to get the most out of your yard this summer? A new walkway, stone planters, flowering shrubs, or trees can go a long way and can increase the value of your home.'",0,0,78,12,90,,
CDG0m3mgX-c,libertymutual,2020-07-26 13:14,no,False,,,"b'\xe2\x80\x9cYou know, you really should get insurance.\xe2\x80\x9d \xe2\x80\x93 The most parent-like thing we could think of.'",0,0,54,16,70,,
CC8gUA2ndq0,libertymutual,2020-07-22 13:05,no,False,,,"b'It\xe2\x80\x99s National Hammock Day! Sit back and relax. Just be sure to pick strong, healthy trees when setting it up.'",0,0,81,16,97,,
CC3n1t6nbxc,libertymutual,2020-07-20 15:34,no,False,limuemuanddoug,crememacarons,"b""Amazing creativity and detail from @crememacarons on these #LiMuEmuAndDoug macarons. Can't be easy to make feathered desserts.""",0,0,221,16,237,,
CCyOHDIHLg8,libertymutual,2020-07-18 13:13,no,False,,,b'It\xe2\x80\x99s Get to Know Your Customers Day! What\xe2\x80\x99s been the best part of your summer?',0,0,54,13,67,,
CCoGUwXD9rI,libertymutual,2020-07-14 14:53,no,False,,,b'Can you figure out the puzzle?',0,0,96,24,120,,
CCdocr0nukP,libertymutual,2020-07-10 13:19,no,False,,,b'Are you taking more day trips this summer? How do you keep travel stuff organized in the car?',0,0,98,17,115,,
CCOJ1iTHavF,libertymutual,2020-07-04 13:03,no,False,,,b'Wishing everyone a happy Independence Day.',0,0,199,14,213,,
CAxbEsnnaZ_,libertymutual,2020-05-29 12:44,no,False,,,"b'We applaud our non-profit partners for mobilizing to address a wide range of needs for our most vulnerable populations due to this pandemic. From delivering food and offering financial assistance to people in need, to providing students with computers for remote learning, we were happy to help through funding and support. For more information, visit the link in our bio.'",0,0,128,153,281,,
CAsYtyEnbLB,libertymutual,2020-05-27 13:48,no,False,,,"b'Did you know you can handle an entire claim from the comfort and safety of your own home? Our digital tools like guided photo capture walks you through the process step-by-step. To get started, click link in bio.'",0,0,87,45,132,,
CAnNEK_nNGH,libertymutual,2020-05-25 13:30,no,False,,,b'Today we remember all those who have given their lives in service to our country.',0,0,180,8,188,,
CAc7zBpnuQ9,libertymutual,2020-05-21 13:46,no,False,,,"b'Our employees help customers through trying situations every day. We continue to be here for you during these uncertain times. For more information, click link in bio.'",0,0,105,31,136,,
CAXwf92n-z-,libertymutual,2020-05-19 13:31,no,False,,,"b'We all know the non-profit community needs support during a time like this. That\xe2\x80\x99s why we\xe2\x80\x99re so proud that together with our employees, we were able to raise $415,762 across 638 charities through our COVID-19 100% company match campaign with no upper limit. For more information, visit the link in our bio.'",0,0,136,19,155,,
CANdG0BHiOE,libertymutual,2020-05-15 13:30,no,False,,,"b'We believe those who can help should. It\xe2\x80\x99s why we created the Personal Auto Customer Relief Refund, which will give customers a 15% refund on two months of auto premiums. For more information, click link in bio.'",0,0,76,25,101,,
CAF9lPsHGXq,libertymutual,2020-05-12 15:39,no,False,,,"b'We know we need to be there for our customers now more than ever. We\xe2\x80\x99re always here to help during these troubling times. For more information, click link in bio.'",0,0,143,14,157,,
B_2R5-iItfM,libertymutual,2020-05-06 13:29,no,False,,,"b'Did you know you can use our app to get policy documents, manage claims, and download your ID cards from the safety and comfort of your own home? For more information, click link in bio.'",0,0,87,20,107,,
B_xFZXcH-FZ,libertymutual,2020-05-04 13:04,no,False,,,"b'That\xe2\x80\x99s why we\xe2\x80\x99ve committed $15M to support our non-profit partners working to help our most vulnerable populations that have been impacted by COVID-19, including low-income residents and those experiencing homelessness. For more information, visit the link in our bio.'",0,0,134,23,157,,
B_m4notoHhq,libertymutual,2020-04-30 14:00,no,False,,,"b'We\xe2\x80\x99re offering video chat tools that enable face-to-face home inspections from a distance. Stay safe and healthy, everyone! For more information, click link in bio.'",0,0,109,21,130,,
B_fRHASHbXr,libertymutual,2020-04-27 15:00,no,False,,,"b'We have empowered our employees to work with each individual customer to provide the personalized support you need. For auto and home insurance customers who are negatively impacted by coronavirus, we are extending payment dates and waiving fees. For more information, click link in bio.'",0,0,176,18,194,,
B_AcuChD470,libertymutual,2020-04-15 15:45,yes,False,,,"b'Now more than ever, we\xe2\x80\x99re committed to being there for our customers. Learn more about what we\xe2\x80\x99re doing to help. Please visit our link in bio.'",978,30.033,134,39,173,,
B-u_gWwg_ad,libertymutual,2020-04-08 21:02,no,False,,,"b'We are still committed to the well-being of our customers, especially in times of uncertainty. That\xe2\x80\x99s why we\xe2\x80\x99re announcing the Personal Auto Customer Relief Refund, which will give customers a 15% refund on two months of auto premiums. Link in bio.'",0,0,225,79,304,,
B96rzirgTFt,libertymutual,2020-03-19 13:30,no,False,,,b'Spring has arrived. Check out these tips for getting your home ready for warm weather. http://spr.ly/61771mXbf',0,0,74,68,142,,
B9rMaVrgFI8,libertymutual,2020-03-13 13:07,no,False,,,b'There are a lot of easy ways to increase your home\xe2\x80\x99s value. Check out this list of updates for under $1000. http://spr.ly/61741mqWk',0,0,68,18,86,,
