shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIDmiWzAWsM,loweshomeimprovement,2020-11-26 13:51,yes,False,letterstohome,"teilawalker,robertwalker307","b'This year, home is so important for so many. Bridger Walker, a brave young boy who shielded his sister and stood in-between her and a charging dog, shares what ""home"" means to him. \xe2\x80\x8b\n\nToday, take a moment to share your own ""thank you"" to home with #LetterstoHome. And from the entire Lowe\'s family, we wish you a happy and healthy Thanksgiving! \xe2\x80\x8b\n\n:camera:: @teilawalker + @robertwalker307'",14687,59.421,955,25,980,,
CH1KpDuAIOT,loweshomeimprovement,2020-11-20 23:17,no,False,,,b'Before:evergreen_tree:\xc2\xa0A simple homeschool room\xe2\x80\x8b\nAfter:Christmas_tree:\xc2\xa0A magical space for all ages!\xe2\x80\x8b\n\nAre you decorating any and every space in your home this year? Share your favorite space to decorate!',0,0,1299,55,1354,,
CHwNRFjAqYU,loweshomeimprovement,2020-11-19 01:04,no,False,"nationaladoptionmonth,lowes,adoption,lowesgoals,welcomehome,adoptionmonth,family",,"b'November is #NationalAdoptionMonth, and sweet\xc2\xa0Callen recently finalized his adoption via Zoom due to\xc2\xa0the pandemic.\xc2\xa0 \n\nTo commemorate the special occasion, his parents\xc2\xa0snapped a quick screenshot.\xc2\xa0But it was only after the\xc2\xa0call that they realized the Lowe\'s moving box behind\xc2\xa0Callen\'s head so fittingly read, ""I\'m home.""\xc2\xa0 \n\nWelcome home, Callen.\xc2\xa0:blue_heart: \n.\n.\n.\n.\n.\n#lowes #adoption #lowesgoals #welcomehome #adoptionmonth #family'",0,0,1777,45,1822,,
CHtnR_TAaHz,loweshomeimprovement,2020-11-18 00:54,no,False,"letterstohome,letterstohome",raffinee,"b'Join us in thanking our homes with your own post using #LetterstoHome and we may just surprise you with a special gift to help give back to the places that have meant so much this year. From social gatherings to social distancing, this is how @raffinee\xe2\x80\x99s home has played an important role for her family in 2020:\xe2\x80\x8b\n\nDear Home,\xe2\x80\x8b\n\nMicaela and I have always felt that you\xe2\x80\x99ve been our sanctuary. And this year, more than ever- you have become so much more. You\xe2\x80\x99ve become our children\xe2\x80\x99s school, our gym and even a hub for telehealth appointments for Micaela\xe2\x80\x99s patients. More than that however, this year you have been the core of so many incredible milestones and memories. The kids started preschool in this house. Micaela completed residency and landed her first job as a surgeon in this house. I overcame my fear of spiders in this house (sort of!) Our kids graduated out of diapers in this house and have grown up before our very eyes. From the dinner parties and social gatherings, and now to the family dinners and social distancing- you\xe2\x80\x99ve been with us through it all. So to our house, our home, thank you. Thank you for working extra hard for us this year. Thank you for being a place of respite. A place of joy. A place of safety. And a place of lifelong memories. You have carried us through this year and we are so grateful for YOU!\xe2\x80\x8b\n\n #LetterstoHome'",0,0,787,45,832,,
CHqyoThA7g2,loweshomeimprovement,2020-11-16 22:36,yes,False,"fashiongoeshome,lowes,lowesgoals,nyfw,fashionweek,nyc,community,giveback","gmhc,jasonwu","b'@GMHC is an organization near and dear\xc2\xa0to fashion designer and New York\xc2\xa0resident, @JasonWu. To give back to a\xc2\xa0community that has given so much to\xc2\xa0him, we worked with Jason to surprise\xc2\xa0GMHC with new flooring, a fresh coat\xc2\xa0of paint, new plants and planters to refresh their\xc2\xa0communal kitchen. This revamped space\xc2\xa0will serve as a cherished gathering spot\xc2\xa0for the patrons of GMHC for years to\xc2\xa0come. #FashionGoesHome\n.\n.\n.\n.\n.\n#lowes #lowesgoals #NYFW #fashionweek #NYC #community #giveback'",7682,83.083,286,21,307,,
CHgaNJRjRvm,loweshomeimprovement,2020-11-12 21:50,yes,False,"lowesgoals,holidaydecor",turtlecreeklane,b'Take a tip from @turtlecreeklane and make your mantel bright this holiday season with festive garland and d\xc3\xa9cor! #LowesGoals #HolidayDecor',9292,17.043,541,35,576,,
CHdPuXQAh4c,loweshomeimprovement,2020-11-11 16:20,no,False,"veteransday,lowes,veterans,service,lowesgoals,military",,"b'Thank you, veterans, for making home\xc2\xa0possible.\xc2\xa0 #VeteransDay\n.\n.\n.\n.\n.\n#lowes #veterans #service #lowesgoals #military'",0,0,4425,67,4492,,
CHaidaFAt__,loweshomeimprovement,2020-11-10 15:06,no,False,buildthanks,"chefmilliepeartree,samsungus","b""Everyone deserves joy and love this holiday season. That's why we partnered with @chefmilliepeartree to help families fill their homes with joy ahead of the holidays. We\xe2\x80\x99ve donated @samsungUS fridges to families in need and provided gift cards so they can fill their fridges full of food for the holidays. #BuildThanks""",0,0,21815,214,22029,,
CHY-oIsgdPp,loweshomeimprovement,2020-11-10 00:34,yes,False,"letterstohome,letterstohome",rachelamyowens,"b""Introducing the first in a new series for the holidays: #LetterstoHome. We invite you to join us in thanking our homes for meaning more to us this year than ever before. \xe2\x80\x8b\n\nWe'll be sharing your letters \xe2\x80\x93 like this amazing one from @rachelamyowens \xe2\x80\x93 across our channels throughout the season + surprising a few of you with gifts for your home. After all, home deserves a little something special this year.\xe2\x80\x8b\n\nDrop yours at the special mailboxes in our stores or share it with all your friends and family on social using #LetterstoHome.""",428646,60.013,7025,54,7079,,
CHEHi2bgGz6,loweshomeimprovement,2020-11-01 22:08,yes,False,"lowes,lowesgoals,november1st,timeforchristmas,christmasvibes",,b'Halloween is over. You know what that means... :Christmas_tree: :Santa_Claus: :wrapped_gift:\n\n#lowes #lowesgoals #november1st #timeforchristmas #christmasvibes',46426,15.3,2941,96,3037,,
CHAnbgRgIeW,loweshomeimprovement,2020-10-31 13:30,yes,False,"halloween,diy,costume,lowes,lowesgoals,halloweencostume",raisingminimoss,"b""Go, granny! Go! Go!\xc2\xa0 \n\nLast minute DIY costume idea: With a little help from\xc2\xa0her local Lowe's, @raisingminimoss was able to\xc2\xa0transform some ordinary PVC pipe into the perfect\xc2\xa0Halloween costume for her toddler.\n.\n.\n.\n.\n.\n.\n#halloween #DIY #costume #lowes #lowesgoals #halloweencostume""",76326,8.551,4955,81,5036,,
CG_S02-g16L,loweshomeimprovement,2020-10-31 01:10,yes,False,"lowesgoals,boo,lowes,halloweenathome,spooky,skeleton,halloween",,b'Those silly skeletons are up to no good. :skull: \xe2\x80\x8b\n.\n.\n.\n.\n#lowesgoals #boo #lowes #halloweenathome #spooky #skeleton #halloween',29235,12.566,1520,40,1560,,
CG7jpCdAQ-r,loweshomeimprovement,2020-10-29 14:20,yes,False,"fashiongoeshome,lowes,lowesgoals,fashion,nyfw,decor,community,nyc,giveback","rebeccaminkoff,vincettastudio,lisc_hq,nyfw","b""@RebeccaMinkoff calls a few places her hometown, but New York is where her heart is. To give back to the community she loves, Rebecca sat down with fellow New York resident Deanna, founder of the fashion brand @vincettastudio and recipient of a @LISC_HQ grant funded by Lowe\xe2\x80\x99s. \xe2\x80\x8b\n\nRebecca provided valuable business advice to Deanna and surprised her with pieces from the designer's Lowe\xe2\x80\x99s x @NYFW curation to help Deanna continue to feel inspired in her workspace. #FashionGoesHome\xe2\x80\x8b\n\n.\n\n.\n\n.\n\n.\n\n.\n\n#lowes #lowesgoals #fashion #NYFW #decor #community #nyc #giveback""",5151,59.625,257,6,263,,
CG5slgdAqm7,loweshomeimprovement,2020-10-28 21:00,no,False,"buildthanks,nationalfirstrespondersday",,"b""Happy National First Responders Day to all of those that have gone above and beyond this year!\xe2\x80\x8b\n.\nIt's not too late to share your Halloween-inspired project to say thank you to our first responders. Share what you've done by tagging your posts with #BuildThanks for a chance to be featured! #nationalfirstrespondersday""",0,0,1826,32,1858,,
CGxctylgsv0,loweshomeimprovement,2020-10-25 16:07,no,False,"dogsoflowes,spookyseason",,b'Patiently waiting for October 31. :jack-o-lantern:\xc2\xa0#DogsofLowes #SpookySeason',0,0,2366,67,2433,,
CGn4fvgDySv,loweshomeimprovement,2020-10-21 22:58,yes,False,"buildthanks,buildthanks",,"b""Celebrate National First Responder's Day Oct. 28, with your very own #BuildThanks project to honor these heroes!\n.\nMake your own Halloween-inspired thank you and tag your posts with #BuildThanks for a chance to be featured on our social accounts.""",6609,29.316,317,21,338,,
