shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CH_JB-MFcoj,mcdonalds,2020-11-24 20:16,no,False,,,b'your daily dose of feels',0,0,63368,1536,64904,,
CHyFAsLsfAz,mcdonalds,2020-11-19 18:31,no,False,,craigstephensart,b'paint me like one of your french fries\n\n:framed_picture:: @craigstephensart',0,0,35602,456,36058,,
CHs1H13pCPQ,mcdonalds,2020-11-17 17:36,no,False,,fallguysgame,b'thinking about these a lot lately @fallguysgame',0,0,70125,1194,71319,,
CHinddeJRe9,mcdonalds,2020-11-13 18:24,no,False,,hayden__davis,b'link in bio \n\n:camera_with_flash:: @hayden__davis',0,0,141841,1531,143372,,
CG_B0uRpzQn,mcdonalds,2020-10-30 22:41,no,False,,,b'thy McRib shall returneth 12.2',0,0,52685,2345,55030,,
CG50yaep0Rd,mcdonalds,2020-10-28 22:11,no,False,,,b'hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh',0,0,89642,6591,96233,,
CG0YKT1Jw_1,mcdonalds,2020-10-26 19:25,no,False,,"jbalvin,jbalvin","b'Diamonds :check_mark: emeralds :check_mark: rubies :check_mark: this final, limited-edition set of @jbalvin meal 14K gold chains could be yours if you order his meal on our App this week! \n\nDiamantes :check_mark: esmeraldas :check_mark: rub\xc3\xades :check_mark: este \xc3\xbaltimo conjunto de cadenas de edici\xc3\xb3n limitada del @jbalvin meal pueden ser tuyos si ordenas la J Balvin Meal por la App esta semana!'",0,0,21069,7465,28534,,
CGsoPhtJbqi,mcdonalds,2020-10-23 19:12,no,False,,"ntwrk,jbalvin,ntwrk,jbalvin","b'OREO McFlurry on ice :gem_stone: \n\nHead over to @ntwrk for more details on how you could win this 14K white gold McFlurry chain with black diamond detailing like the one @jbalvin wore in our TV ad\n\nOREO McFlurry en diamantes :gem_stone: \n\nDiri\xcc\x81gete hacia @ntwrk para ma\xcc\x81s detalles de co\xcc\x81mo puedes ganar esta cadena McFlurry en oro blanco de 14K con detalles en diamante negro igual a la que uso\xcc\x81 @jbalvin en nuestro comercial, puede ser tuya'",0,0,47867,918,48785,,
CGqFzcup7YB,mcdonalds,2020-10-22 19:33,yes,False,,"jbalvin,ntwrk,jbalvin,ntwrk","b'yes folks, there\xe2\x80\x99s an opportunity to win this fry chain just like the one @jbalvin wore in our TV ad. This 14k gold fries and ruby fry box could be yours\n\nHead over to @ntwrk for more details.\n\nSi amigos, hay una oportunidad de ganar la cadena de papitas, igual a la que us\xc3\xb3 @jbalvin en nuestro comercial. Estas papitas de oro de 14k en su cajita de ruby pueden ser tuya.\n\nDir\xc3\xadgete hac\xc3\xada @ntwrk para m\xc3\xa1s detalles.'",129023,8.008,30475,504,30979,,
CGnpn_IJWJy,mcdonalds,2020-10-21 20:49,yes,False,,"jbalvin,ntwrk,jbalvin,ntwrk","b'A blinged-out Big Mac just like @jbalvin\xe2\x80\x99s from our TV ad can be yours :eyes: be on the lookout for more bling\n\nHead over to @ntwrk for more details \n\nLa cadena de la Big Mac, igual a la que us\xc3\xb3 @jbalvin en nuestro comercial, puede ser tuya :eyes:Sigue conectado con nosotros para ver ma\xcc\x81s bling \n\nDiri\xcc\x81gete haci\xcc\x81a @ntwrk para ma\xcc\x81s informacio\xcc\x81n'",146434,8.05,29024,521,29545,,
