shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIDucLOF3ta,michaelsstores,2020-11-26 15:00,no,False,,,"b'Happy Thanksgiving! Our stores are closed today, but you can still shop our Black Friday Sale online.:orange_heart:'",0,0,1323,17,1340,,
CH-6FEInyTE,michaelsstores,2020-11-24 18:05,yes,False,dreamtreechallenge,lovetheday,b'Snow much fun watching @lovetheday decorate her tree :snowflake_selector: #DreamTreeChallenge',123098,21.266,7826,82,7908,,
CH8UpSbgqGy,michaelsstores,2020-11-23 18:00,no,False,makeitwithmichaels,abbi_kirsten_collections,"b'Pick a pie: Cherry, pecan, or pumpkin?\nDIY papercraft pies by @abbi_kirsten_collections :pie:#MakeItWithMichaels'",0,0,2163,20,2183,,
CH3LDsVAVEN,michaelsstores,2020-11-21 18:00,no,False,spottedatmichaels,nancy_loves2shop,"b'Full carts, full hearts. :red_heart_selector: #SpottedAtMichaels\n:camera:: @nancy_loves2shop'",0,0,12425,93,12518,,
CHyB_C3lz_a,michaelsstores,2020-11-19 18:04,no,False,,,b'Take a look at these images and let us know what merry little details don\xe2\x80\x99t quite match up! *Hint* there are 5 differences. :Christmas_tree:',0,0,1671,76,1747,,
CHs4J-MngTN,michaelsstores,2020-11-17 18:02,yes,False,dreamtreechallenge,sugarbeecrafts,b'Cozy little dream tree by @sugarbeecrafts :smiling_face_with_3_hearts::Christmas_tree: #DreamTreeChallenge',91284,30.0,4723,50,4773,,
CHnvtv4FW2b,michaelsstores,2020-11-15 18:12,no,False,makeitwithmichaels,,"b'But first, coffee (crafts) :hot_beverage::smiling_face_with_3_hearts: #MakeItWithMichaels'",0,0,4051,54,4105,,
CHlJfWOD6Gk,michaelsstores,2020-11-14 18:00,no,False,spottedatmichaels,,b'Pause for the Claus :Santa_Claus: #SpottedAtMichaels',0,0,16620,114,16734,,
CHa2AlkHeJ0,michaelsstores,2020-11-10 17:59,yes,False,"dreamtreechallenge,makeitwithmichaels",kailochic,b'@kailochic shows us how her Dream Tree came to life for this year\xe2\x80\x99s #DreamTreeChallenge :Christmas_tree: #MakeItWithMichaels',26311,60.233,1474,30,1504,,
CHVstgGMoRo,michaelsstores,2020-11-08 18:00,no,False,spottedatmichaels,farmhouse_cottage_design,b'Take a stroll down Peppermint Lane :red_heart_selector::white_heart: #SpottedAtMichaels\n:camera:: @farmhouse_cottage_design',0,0,34242,395,34637,,
CHOnTptl4bb,michaelsstores,2020-11-05 23:58,no,False,makeitwithmichaels,,"b""We want to know how you holiday! Create your dream equation and share it below! We're feeling B3H today:Christmas_tree: #MakeItWithMichaels""",0,0,3975,402,4377,,
CHGP_aUFVGQ,michaelsstores,2020-11-02 18:00,no,False,"dreamtreechallenge,diy,makeitwithmichaels",,b'The #DreamTreeChallenge is here! Swipe >> for some holiday cheer & #DIY inspo:Christmas_tree: #MakeItWithMichaels',0,0,7840,187,8027,,
CHDrIMSnlUf,michaelsstores,2020-11-01 17:59,no,False,spottedatmichaels,christmascait,b'Because we need a little holiday cheer early this year. :Christmas_tree:#SpottedAtMichaels\n:camera:: @christmascait',0,0,8808,55,8863,,
CHA_hHnltyn,michaelsstores,2020-10-31 17:00,no,False,,,"b""Keep the tricks, we'll take the treats! Michaels wishes you a Happy Halloween. :orange_heart:""",0,0,5253,16,5269,,
CG-dcxQlKum,michaelsstores,2020-10-30 17:24,no,False,nationalcandycornday,,b'Celebrate #NationalCandyCornDay with a candy corn DIY! :yellow_heart::orange_heart:',0,0,3276,23,3299,,
CG72E66F27A,michaelsstores,2020-10-29 17:01,no,False,"diy,makeitwithmichaels",jenniferperkins,b'Trick or treat yourself with a #DIY Treat Tree! :black_heart: #MakeItWithMichaels\n:camera: by @jenniferperkins',0,0,6417,68,6485,,
CG2sUOOHUsm,michaelsstores,2020-10-27 17:00,no,False,"diy,makeitwithmichaels",,"b'Add a natural, handmade touch to your home d\xc3\xa9cor with a wood bead #DIY :white_heart: #MakeItWithMichaels'",0,0,2289,42,2331,,
CGu-PR_lHqN,michaelsstores,2020-10-24 17:02,no,False,makeitwithmichaels,,"b""We're loving these wicked cute Halloween crafts! :bat: #MakeItWithMichaels""",0,0,3423,46,3469,,
CGkq0L0FzDI,michaelsstores,2020-10-20 17:00,no,False,"diy,makeitwithmichaels",,b'Need some Halloween #DIY inspiration? Swipe to see these makers get creative with kids costumes! #MakeItWithMichaels',0,0,6045,90,6135,,
