shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CHvn9sFFHor,motorolaus,2020-11-18 19:38,yes,False,motorolaedge,,b'Not leaving the house? Good thing the #motorolaedge is ready for all your shows and movies.',12677,6.0,2019,87,2106,,
CG5LlJMF6ZJ,motorolaus,2020-10-28 16:11,yes,False,"5g,motorolaone5g",,"b'What\xe2\x80\x99s scarier, horror movies or how fast they download with #5G? #motorolaone5G'",11215,7.966,1070,107,1177,,
CGsXjmuF2KF,motorolaus,2020-10-23 16:46,no,False,"stylus,motog",,b'All you need is a #stylus and a little creativity to make your posts pop. #motog',0,0,2911,102,3013,,
CGkfx_bFGd8,motorolaus,2020-10-20 15:24,no,False,,,b'Check out the Christian Cowan x razr collection of micro purses that prove even the tiniest accessories can make a big statement.',0,0,1699,74,1773,,
CF2AcCmlhTU,motorolaus,2020-10-02 14:05,no,False,"razr,onsale",,b'This phone might be more ready for a photoshoot than you. Check out the brand new #razr. #onsale',0,0,3469,209,3678,,
CFsD_PhlDVl,motorolaus,2020-09-28 17:23,no,False,razr,minnidip,"b'Comfort and fashion , this chair has everything. You can get the @minnidip x #razr Ch(air) now!'",0,0,3455,58,3513,,
CFkDQUQF5UP,motorolaus,2020-09-25 14:43,no,False,"birthday,92yearsbold",,"b'It\xe2\x80\x99s our #birthday! We thought about eating a cupcake for every year, but we weren\xe2\x80\x99t sure that we would survive 92 cupcakes. #92YearsBold'",0,0,3271,103,3374,,
CFfKLWxl_qH,motorolaus,2020-09-23 17:07,yes,False,"5g,motorola,qualcomm",,"b""It's easy to check everything off your to-do list with a phone this fast. #5G #motorola #qualcomm""",34459,4.966,3569,120,3689,,
CFSgYW5FXji,motorolaus,2020-09-18 19:11,no,False,"longexposure,shot,motorolaone5g,onsale",,b'Four camera lenses and 5G speeds means you can post faster than you can take a #longexposure #shot. You need this phone. #motorolaone5G #onsale',0,0,2990,52,3042,,
CE7YtOaFOyw,motorolaus,2020-09-09 19:42,no,False,razr,,"b""Your new favorite accessory is worthy of it's own photoshoot. #razr""",0,0,2633,58,2691,,
CE7YmbslbDt,motorolaus,2020-09-09 19:41,yes,False,razr,,"b'The design you know and love, in a totally new #razr'",59593,6.0,4993,181,5174,,
CE7YfGIF184,motorolaus,2020-09-09 19:40,no,False,razr,,"b""You don't have to dress up for it, but it goes well with every outfit. #razr""",0,0,1588,18,1606,,
CE7YWAmlugU,motorolaus,2020-09-09 19:39,yes,False,razr,,b'Three colors so you can match your style. #razr',32389,6.0,2759,85,2844,,
CE7YN6oFRqu,motorolaus,2020-09-09 19:37,no,False,razr,,b'Take it anywhere. The fold means it fits in your pocket or purse. #razr',0,0,1255,5,1260,,
CE7X_3DFrYT,motorolaus,2020-09-09 19:36,yes,False,razr,,"b'If you carry it everywhere, it might as well be eye-catching. #razr'",33516,6.0,3235,62,3297,,
CD1xz14FVJV,motorolaus,2020-08-13 18:54,no,False,"win,free,razr,giveaway",,b'Enter for a chance to #win a #free MINNIDIP x razr Ch(air)! All you have to do is like this post and tag a friend in the comments. #razr #giveaway',0,0,3613,325,3938,,
CDmH8vHF9Iq,motorolaus,2020-08-07 17:00,yes,False,new,,b'Up to two days of battery.\xc2\xa0:check_mark: Get the most out of your phone with the #new moto e.',36401,7.466,2399,88,2487,,
CC3zdszFxGf,motorolaus,2020-07-20 17:16,no,False,moonday,,"b""No matter what you're looking at, the Endless edge display makes it better. #moonday""",0,0,5217,89,5306,,
CCoUbZZFdfn,motorolaus,2020-07-14 16:56,no,False,"razr,icon,fashion",,b'I\xe2\x80\x99m ready for my closeup.\n#razr #icon #fashion',0,0,8709,143,8852,,
CCeAcLDFQ44,motorolaus,2020-07-10 16:49,no,False,"motogfast,photography",,"b'If the camera looks this good, imagine how amazing the pictures will be.\n#motogfast #photography'",0,0,4702,205,4907,,
CCOQT0Sliwq,motorolaus,2020-07-04 14:00,yes,False,"fourthofjuly,startsandstripes,summertime",,b'happy 4th! \n#fourthofjuly #startsandstripes #summertime',10986,8.0,1062,32,1094,,
CB5r-GGF-hD,motorolaus,2020-06-26 14:17,yes,False,"5g,verizon",,b'5g speeds and a processor that can keep up. Only at Verizon. #5g #Verizon',15156,6.0,1368,48,1416,,
CB5r1IAlWXW,motorolaus,2020-06-26 14:16,yes,False,"5g,verizon",,b'Get immersed in your movies. Only at Verizon. #5g #Verizon',13096,6.0,1753,30,1783,,
CB5rqtVFuEx,motorolaus,2020-06-26 14:15,yes,False,"5g,verizon",,b'Imagine what you can capture with the 108 MP camera. Only at Verizon. #5g #Verizon',15188,8.0,1690,20,1710,,
CB3IBM6lEXT,motorolaus,2020-06-25 14:25,no,False,new,,b'Two cameras. :check_mark:Up to two days of battery. :check_mark: Get the most out of your phone with the #new moto e.',0,0,2944,63,3007,,
CBsvclaF96t,motorolaus,2020-06-21 13:38,no,False,happyfathersday,,"b'He may be full of corny jokes, but he\xe2\x80\x99s pretty great (and also funny sometimes). #HappyFathersDay'",0,0,5172,71,5243,,
CBVws0tlQn3,motorolaus,2020-06-12 15:26,yes,False,motogfast,,b'Need a phone that can keep up with your busy life? The new #motogfast has you covered.',22339,5.066,1769,76,1845,,
CBOSgWWhoLR,motorolaus,2020-06-09 17:47,no,False,"hellomoto,motog,creative",,b'Feeling creative? Take incredible photos and then make them yours. #hellomoto #motog #creative',0,0,2591,68,2659,,
CAVRo6nFfcU,motorolaus,2020-05-18 14:23,no,False,razr,,b'Does your phone double as a fashion statement? This one does. The re-invented #razr could be in your pocket.',0,0,9628,291,9919,,
CALFKBslEFJ,motorolaus,2020-05-14 15:22,yes,False,"5g,endless",,"b'Speed? #5G Views? #Endless The new motorola edge+ has absolutely everything you need, and is on sale now!'",47349,6.033,5852,144,5996,,
CAAjmSfl5JD,motorolaus,2020-05-10 13:16,no,False,,,"b'Happy Mother\xe2\x80\x99s Day! Whether you\xe2\x80\x99re close or far away, you can connect easily with Mom and show her you care.'",0,0,3887,42,3929,,
