shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIElvePFOET,northwesternmutual,2020-11-26 23:03,yes,False,,,"b'Even if things look different this Thanksgiving and many of us have to be apart, we\xe2\x80\x99re still connected by our gratitude for each other. We wish a special thanks to our clients and community, and hope you know we\xe2\x80\x99re here when you need us. Happy Thanksgiving to all of you.'",307,15.0,56,0,56,,
CHy5Irfj6fE,northwesternmutual,2020-11-20 02:06,yes,False,"womensentrepreneurshipday,linkinbio",,"b""Carol Vance, Founder and CEO of Alinea Engage, created a digital tracking system for physical therapists that dramatically improved efficiency. It's #WomensEntrepreneurshipDay, so we're celebrating Carol and other female founders we've invested in. Read her story at #LinkInBio.""",987,12.033,73,1,74,,
CHyMPuYlkWH,northwesternmutual,2020-11-19 19:34,yes,False,"womensentreprenurshipday,linkinbio","amandaoamanda,thinkfiveable","b""\xe2\x80\x9cI knew I had more experience dealing with this specific problem than other entrepreneurs,\xe2\x80\x9d says @amandaoamanda, Founder and CEO of @thinkfiveable. On #WomensEntreprenurshipDay, we\xe2\x80\x99re celebrating Amanda and other female founders we\xe2\x80\x99ve invested in. Get Amanda's story at our #LinkInBio.""",561,15.033,61,0,61,,
CHwEHEHDw4x,northwesternmutual,2020-11-18 23:44,yes,False,"womensentreprenurshipday,linkinbio",unest,"b'Ksenia Yudina is the Founder and CEO of @unest, an app that helps parents manage the 529 process with more clarity and ease. In honor of #WomensEntreprenurshipDay, we\xe2\x80\x99re spotlighting female founders like Ksenia who we\xe2\x80\x99ve invested in. Read her story at our #LinkInBio.'",1045,12.1,94,0,94,,
CHvlKHnHp54,northwesternmutual,2020-11-18 19:14,yes,False,womensentreprenurshipday,,"b'We\xe2\x80\x99ve dedicated $20 million to create more opportunities for women-led startups. In honor of #WomensEntreprenurshipDay, we\xe2\x80\x99re spotlighting female founders who we\xe2\x80\x99ve invested in. Keep an eye out for stories about these talented entrepreneurs.'",718,12.05,111,1,112,,
CHlgr8WFYNM,northwesternmutual,2020-11-14 21:22,yes,False,linkinbio,,"b'November is the perfect time to make sure your finances are in good shape for the rest of the year, and for 2021. Head to our #LinkInBio for tips on keeping your holiday shopping in order, tackling year-end financial tasks, and getting a head start on your 2021 finances.'",1143,9.0,148,1,149,,
CHgWGQILaHM,northwesternmutual,2020-11-12 21:14,yes,False,linkinbio,,"b'\xe2\x80\x9cOur two most recent Presidents elicit very different emotions from people,\xe2\x80\x9d says Chief Investment Strategist, Brent Schutte. \xe2\x80\x9cDespite their differences, the S&P 500 rose 13% to 14% under each of their terms.\xe2\x80\x9d For more on keeping your feelings separate from your finances, connect with a financial advisor at our #LinkInBio.'",1345,10.133,178,0,178,,
CHdXGs2gsu5,northwesternmutual,2020-11-11 17:25,yes,False,veteransday,rumi_spice,"b'Kimberly Jung has a fascinating story. We invited her to share it with us at Northwestern Mutual on #VeteransDay. Jung was an Army officer in Afghanistan when she came up with a business idea. She cofounded @rumi_spice, which sources saffron from Afghan farmers and employs more than 1900 Afghan women. \xe2\x80\x9cTo me, resilience is about finding opportunities at every turn,\xe2\x80\x9d says Jung.'",818,7.3,188,0,188,,
CHN46Sfno_r,northwesternmutual,2020-11-05 17:13,yes,False,linkinbio,,"b'Should you make quick\xc2\xa0financial decisions based on the election outcome? Wealth Management Advisor, Christina Collins, believes\xc2\xa0\xe2\x80\x9cFish can be easier to catch where the water is a bit turbulent.\xe2\x80\x9d She says, \xe2\x80\x9cHave a plan, consult with your advisor, take a deep breath, and stay the course.\xe2\x80\x9d\xc2\xa0Connect with an advisor at our #LinkInBio.'",1558,10.066,235,4,239,,
CG-t9oDHGcY,northwesternmutual,2020-10-30 19:49,yes,False,linkinbio,,"b'People are asking us how the election results will impact their finances. Historically, they don\xe2\x80\x99t. Wealth Management Advisor, Alap Patel, says \xe2\x80\x9cDon\xe2\x80\x99t let market volatility over the next few weeks interfere with the lifelong financial plan you\xe2\x80\x99re developing.\xe2\x80\x9d Connect with a financial advisor in our #LinkInBio.'",1195,9.633,151,3,154,,
