shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIGaHNLrHoX,paypal,2020-11-27 16:00,no,False,,,b'Same.',0,0,743,125,868,,
CH8H35Rj8_Y,paypal,2020-11-23 16:08,yes,False,,thecamkirk,"b""With help from PayPal's Empowerment Grant, @TheCamKirk was able to keep his studio open and the community's creative juices flowing. See his story at the link in bio. \n\n*The $10 million grant program, in partnership with the Association for Enterprise Opportunity, has since paused accepting new applications due to an overwhelming response.""",4599,40.666,382,340,722,,
CH5iIJqnrSX,paypal,2020-11-22 16:00,no,False,,,"b'We\xe2\x80\x99ve committed $530 million to support Black and minority-owned businesses and communities in the U.S. to help address economic inequality. Learn more at the link in bio.\n\n*The $10 million grant program, in partnership with the Association for Enterprise Opportunity, has since paused accepting new applications due to an overwhelming response.'",0,0,671,140,811,,
CH0YjFhgeSf,paypal,2020-11-20 16:00,yes,False,,,"b'Bridgett Jeffries gets her dog daycare business back on its paws with help from a PayPal Empowerment Grant for Black Businesses. See her story at the link in bio. \n\n*The $10 million grant program, in partnership with the Association for Enterprise Opportunity, has since paused accepting new applications due to an overwhelming response.'",3389,30.833,284,240,524,,
CHvO9pLMpz8,paypal,2020-11-18 16:00,yes,False,,,"b""Teachers need virtual hugs. And a double latte wouldn't hurt either.""",2998,22.8,308,248,556,,
CHqFXp6LV0W,paypal,2020-11-16 16:00,yes,False,,,"b'Need it now? Pay in 4 is the new way for you to buy now and pay later, interest-free at millions of online stores. Learn more at the link in bio.'",32356,14.966,479,234,713,,
CHk7xXCH07N,paypal,2020-11-14 16:00,yes,False,,,"b'PayPal QR Codes are the safe way to pay in person. No cash or pin required. Just scan, pay, go.'",7141,8.033,686,250,936,,
CHiW-Yng_pW,paypal,2020-11-13 16:00,yes,False,,,b'Same. And don\xe2\x80\x99t be stingy with the hot sauce.',4109,8.366,385,162,547,,
CHfyMSVM4Ly,paypal,2020-11-12 16:00,yes,False,,,b'It\xe2\x80\x99s still nice to know how to write numbers but :face_with_tears_of_joy:',3854,8.7,398,169,567,,
CHdOWsisEE9,paypal,2020-11-11 16:08,no,False,"kidshelpingourveterans,veterans",,"b'5 siblings (twins and triplets!) started #KidsHelpingOurVeterans to help those who have served. Using PayPal helped them scale their fundraising and they\xe2\x80\x99ve grown from handing out care packages and clothes to homeless vets, to finding a new home for a veteran who lost everything in a fire, befriending a 101 year-old female WWII vet and even hosting a parade for elderly #Veterans at a local assisted living facility. Learn more and support their work at the link in bio.'",0,0,624,146,770,,
CHYDzlKACdX,paypal,2020-11-09 16:00,yes,False,,,b'Bring the holiday magic home this year. Make It One to Remember.',14636,59.8,1669,255,1924,,
CHA8L6LHVPb,paypal,2020-10-31 16:31,yes,False,,,"b'Pay back your friends and capture the moment with our new stickers, emojis and more. Exclusively in the PayPal app. Learn more at link in bio. \n\n*Account with PayPal required to send and receive funds.'",4988,22.133,411,586,997,,
