shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIEKqMNscRu,progressive,2020-11-26 19:06,no,False,"happythanksgiving,thanksgiving,thankful,turkeyday,family",,b'We hope you have a safe and happy Thanksgiving Day! :turkey: \n\n#HappyThanksgiving #Thanksgiving #Thankful #TurkeyDay #Family',0,0,215,4,219,,
CHdemnOjxpY,progressive,2020-11-11 18:33,yes,False,"keystoprogress,veterans,givingback,veteransday,socialresponsibility",,b'#KeysToProgress 2020 was a great way to honor our #veterans. We can\xe2\x80\x99t wait to do it all again next year. Check out some of the highlights of giving away vehicles to veterans! :United_States::United_States::United_States:\n\n#GivingBack #VeteransDay #SocialResponsibility',754,94.675,116,19,135,,
CHYNCGRsjXk,progressive,2020-11-09 17:20,no,False,"veterans,keystoprogress",,b'Our hearts are full and our #veterans are honored by our 8th annual #KeysToProgress event. See our veterans\xe2\x80\x99 reactions to their new vehicles.',0,0,525,12,537,,
CHNknIisWFU,progressive,2020-11-05 14:15,no,False,"keystoprogress,givingback,veterans,military,lifeatprogressive,socialresponsibility",,b'Excited to celebrate all our veterans today during our #KeysToProgress vehicle giveaway. It allows us to honor the dedication of our veterans by gifting them with vehicles to move their lives forward. Keep checking our story throughout the day for updates! \n\n#GivingBack #Veterans #Military #LifeAtProgressive #SocialResponsibility',0,0,299,5,304,,
CHLDnIBskk2,progressive,2020-11-04 14:48,no,False,"keystoprogress,veterans",,b'Who is ready for #KeysToProgress 2020? We\xe2\x80\x99re looking forward to this year\xe2\x80\x99s celebration of gifting vehicles to very deserving #veterans. :United_States: Swipe to see a few photos from last year.',0,0,385,16,401,,
CHF_BjbDdfv,progressive,2020-11-02 15:46,yes,False,"keystoprogress,veterans",,"b'Check out last year\xe2\x80\x99s event and get excited for #KeysToProgress 2020 on 11/5. It may look a bit different this year, but we\xe2\x80\x99re so thankful we can give back to our #veterans with our 8th year of vehicle giveaways!'",1036,76.726,149,9,158,,
CHArMsJM4vn,progressive,2020-10-31 14:02,no,False,"halloween,happyhalloween",,b'It\xe2\x80\x99s downright scary how much we :blue_heart: #Halloween! :jack-o-lantern: #HappyHalloween',0,0,300,6,306,,
CGh1wJTsb_k,progressive,2020-10-19 14:38,no,False,"newjersey,peopleofprogressive,pgremployee,lifeatprogressive,rethinkprogressive,legal,admin,asl,signlanguage,allyship",,"b'Jonathan, Admin Assistant and ASL Student.\n\xe2\x80\xa2\n\xe2\x80\xa2\n\xe2\x80\xa2\n\xe2\x80\x9cWhen I got the call from Progressive, I was jumping around screaming!\xe2\x80\x9d Jonathan recalls the day he got hired and how excited he was to start in our House Counsel office in #NewJersey. Turns out, legal administration wasn\xe2\x80\x99t all he signed-up to learn. As Jonathan settled into his position, he found out that two of his coworkers were deaf. So right away, he started learning sign language in order to be a better teammate. Every day he picked up a few more signs. \xe2\x80\x9cI\xe2\x80\x99ve already learned so much more than I ever thought and it\xe2\x80\x99s only been sixteen months!\xe2\x80\x9d :clapping_hands::clapping_hands::clapping_hands: Jonathan says learning a whole new language has not only helped him personally, but professionally, \xe2\x80\x9cI know my coworkers appreciate it but it\xe2\x80\x99s truly been an invaluable learning experience for me, too.\xe2\x80\x9d \n#PeopleofProgressive #PGREmployee #LifeatProgressive #RethinkProgressive #Legal #Admin #ASL #SignLanguage #Allyship'",0,0,279,14,293,,
CGVhqo8sM_r,progressive,2020-10-14 19:52,no,False,"pgrpets,dresslikeflo,doghalloweencostumes,halloween",we_love_eevee,b':police_car_light: Canine costume alert :police_car_light: Looking good @we_love_eevee! :dog_face: #PGRPets #DressLikeFlo #DogHalloweenCostumes #Halloween',0,0,605,57,662,,
CGSnOvzDaDZ,progressive,2020-10-13 16:44,yes,False,"repost,livefrommyden","artistsden,variety,artistsden,variety,progressive",b'Thanks @artistsden and @variety for letting us come along for the music-fueled ride! :sign_of_the_horns::sign_of_the_horns::sign_of_the_horns:\n\n#Repost @artistsden \n\xe3\x83\xbb\xe3\x83\xbb\xe3\x83\xbb\nWe are pleased to announce that full episodes of #LivefromMyDen will premiere exclusively on @variety! Stay tuned for the first episode trailer later today. Series supported by @progressive',746,37.933,49,7,56,,
CGNQ79psqr6,progressive,2020-10-11 14:51,no,False,nationalcomingoutday,,"b'Today and every day is an opportunity to celebrate your whole, awesome self. #NationalComingOutDay :rainbow_flag_selector:'",0,0,229,5,234,,
CGH_DbaDBpK,progressive,2020-10-09 13:43,yes,False,"repost,progressive,insurance,flo,fleetwoodmac,tiktok,tiktokchallenge,good2grow,penelope,babypereyra2018,littlep,babyp,pereyrababies,lovecarters,carters,lifeaccordingtopenelope,growinguppenelope,bows,momlife,momswithcameras,stylishbaby,babygirl,babiesofig,reallifemoments,ootd,babiesofinstagram",thestylishmomandbaby,b'We\xe2\x80\x99re rolling with it. :victory_hand_selector:\n\n#Repost @thestylishmomandbaby \n\xe3\x83\xbb\xe3\x83\xbb\xe3\x83\xbb\nWhy not :rolling_on_the_floor_laughing: #progressive #insurance #flo #fleetwoodmac #tiktok #tiktokchallenge #good2grow \n.\n.\n.\n.\n#penelope #babypereyra2018 #littlep #babyp #pereyrababies #lovecarters #carters #lifeaccordingtopenelope #growinguppenelope #bows #momlife #momswithcameras #stylishbaby #babygirl #babiesofig #reallifemoments #ootd #babiesofinstagram',5889,22.9,540,23,563,,
CGGGw5Usp1a,progressive,2020-10-08 20:08,no,False,,,"b'Our 2021 internships are data driven and ready to rock! Apply now to start building your career with meaningful mentorships, innovative projects, and the chance to work for an award-winning company. Link in bio to get started.'",0,0,97,0,97,,
CFxFguts8OU,progressive,2020-09-30 16:13,no,False,"progressive,humbledesign,homelessness,cleveland",humbledesigncleveland,b'We\xe2\x80\x99re so proud to bring @humbledesigncleveland to our hometown! Keep checking back to see how we support them and their effort to end homelessness by making empty houses feel like homes. Link in bio to learn more.\n\xe2\x80\xa2\n\xe2\x80\xa2\n\xe2\x80\xa2\n#progressive #humbledesign #homelessness #cleveland',0,0,106,7,113,"Cleveland, Ohio",41.4996 -81.6937
CFu8blIss8-,progressive,2020-09-29 20:15,no,False,pgrpets,progressive,"b'Whether your pet has feathers, scales or fur, we want to see it! Share photos of your #PGRPets and tag @progressive for a chance to be in an upcoming story! :dog_face: :grinning_cat_face_with_smiling_eyes::fish::parrot::lizard:\xe2\x80\x8b'",0,0,136,7,143,,
CFiBA5LsFe0,progressive,2020-09-24 19:45,no,False,"thisisnotarealad,10yearolddirector,emmypower,teambasco,bascohouse","derek_basco,progressive,ellajaybasco,brokenheartrobot,ariannabasco__,echobasco,derek_basco,pmabon,palmsupacademy,palmsup__","b'These mini-bundlers are ready for the big time. :clapper_board:\n\nRepost @derek_basco \n\xe3\x83\xbb\xe3\x83\xbb\xe3\x83\xbb\n@progressive The Mini Bundle\n#thisisnotarealad\n#10yearolddirector Emerson Basco directed this for you!\nEdited by @ellajaybasco.\nMusic by @brokenheartrobot.\nStarring @ariannabasco__\xe2\x80\x99s kids Fenix Basco & Aurora Basco, with Emerson Basco.\n#EmmyPower\n#teambasco\n@echobasco \n@derek_basco \n@pmabon \n@palmsupacademy \n@palmsup__ \n#BascoHouse'",0,0,157,20,177,,
CFcM-vGsFV4,progressive,2020-09-22 13:34,no,False,"it,analytics,accounting",,"b'Students and recent grads interested in #IT, #Analytics, and #Accounting can: \n\n>Build your experience \n>Contribute to meaningful work\n>Join an inclusive and collaborative team\n\nSee link in bio and join us for 2021!'",0,0,143,4,147,,
CFKR_0aMbRk,progressive,2020-09-15 14:32,no,False,"peopleofprogressive,pgremployee,lifeatprogressive,rethinkprogressive,hispanicheritagemonth,claims,immigrant,thisiscle",,"b'Eliani, Photo Estimator and Proud Citizen.\n\xe2\x80\xa2\n\xe2\x80\xa2\n\xe2\x80\xa2\nBorn in the Dominican Republic, Eliani shifted between the U.S. and D.R. before settling in Cleveland. And when she started at Progressive two years ago, she felt right at home. In fact, when it came to acing her American citizenship exam, her co-workers were her greatest cheerleaders. \xe2\x80\x9cMy family at Progressive is so tight and supportive. I never expected it to be so good here.\xe2\x80\x9d Now, as part of Progressive\xe2\x80\x99s photo estimation group, Eliani helps customers decide whether their damaged vehicles should be repaired or replaced. She wants to be a role model for her son, Liam, by teaching him to strive for excellence. \xe2\x80\x9cProgressive sets the bar high and I\xe2\x80\x99m proud to be a part of that.\xe2\x80\x9d \n\n#PeopleofProgressive #PGREmployee #LifeatProgressive #RethinkProgressive #HispanicHeritageMonth #Claims #Immigrant #ThisisCLE'",0,0,542,45,587,,
CErhlWtDqX7,progressive,2020-09-03 15:53,yes,False,stickingtogether,,b'The long and short of it: There\xe2\x80\x99s no one else on earth like Mark and Marcus.\n#stickingtogether',1699,122.95,162,26,188,,
CEouQ1EjuIE,progressive,2020-09-02 13:51,yes,False,athomewithbaker,bakermayfield,b'@bakermayfield is all in for the new season of #AtHomeWithBaker as long as he still gets to wear his bathrobe. :face_with_tears_of_joy:',2746,21.048,276,27,303,,
CD4Mjgph79i,progressive,2020-08-14 17:26,no,False,"peopleofprogressive,pgremployee,lifeatprogressive,rethinkprogressive,it,systems,analyst",,"b'Michael, IT Systems Analyst and Former Barista. \n\xe2\x80\xa2\n\xe2\x80\xa2\n\xe2\x80\xa2\nMany Progressive employees might remember Michael from behind the coffee bar, because it was only a couple years ago that he was serving up lattes at the Campus 2 caf\xc3\xa9. Turns out, whipping up delicious drinks isn\xe2\x80\x99t the only skill Michael brings to the table. :slightly_smiling_face: In fact, he mentioned to a caf\xc3\xa9 customer one day that he was getting a degree in Information Technology. She said they were hiring summer interns and encouraged Michael to apply. He collected great advice from his customers on how to nail his S.T.A.R. interview and now, he\xe2\x80\x99s a full-time employee with Progressive. These days, Michael is building a whole new data center with project teams; validating applications and servers and meeting with subject matter experts from all different business areas. \xe2\x80\x9cI\xe2\x80\x99ve always loved talking to people. This time, it really paid off.\xe2\x80\x9d #PeopleofProgressive #PGREmployee #LifeatProgressive #RethinkProgressive #IT #Systems #Analyst'",0,0,460,84,544,Mason's Creamery,41.48048 -81.71674
B-7vOLxBif8,progressive,2020-04-13 19:52,yes,False,,,"b'What does an apron have to do with insurance? To us, that means protection. That\xe2\x80\x99s why we created the Apron Relief Program and committed over $1 Billion to assist our customers, employees, communities, and agents. Click link in bio to learn more.'",4788,30.45,395,351,746,,
B-vbCK-htXI,progressive,2020-04-09 01:03,no,False,,,"b'All active personal auto customers will be automatically credited 20% of their April and May premiums. There\xe2\x80\x99s nothing you need to do. We\xe2\x80\x99ll calculate your credit at the end of each month, and you\xe2\x80\x99ll see it reflected in your account within a few weeks. Once we\xe2\x80\x99ve calculated the credit for your policy, we\xe2\x80\x99ll automatically apply it to any outstanding balance or your next bill. And if you\xe2\x80\x99re already paid in full, we\xe2\x80\x99ll return the credit amount directly to your payment account or issue you a check. Click link in bio to learn more about what we\xe2\x80\x99re doing to help our customers.'",0,0,1612,363,1975,,
B-dAS8rBiT7,progressive,2020-04-01 21:23,no,False,,,"b'COVID-19 coverage and payment update: No policies will be non-renewed or canceled due to non-payment through May 15, 2020. Click link in bio to learn more about what we\xe2\x80\x99re doing to help our customers.'",0,0,701,264,965,,
B-Dh5glhLwf,progressive,2020-03-22 23:56,no,False,,,"b'Progressive customers, if you\xe2\x80\x99ve been impacted by COVID-19 and need assistance, know that we\xe2\x80\x99re here for you. Learn how to access your policy, report or check on the status of a claim and find other ways we can help. Link in bio.'",0,0,633,110,743,,
B9pUPMMhtLV,progressive,2020-03-12 19:36,no,False,"throwbackthursday,lifeatprogressive","lpga_tour,jillianhollis",b'A #ThrowbackThursday visit from @lpga_tour\xe2\x80\x99s @jillianhollis! :woman_golfing_2:#LifeAtProgressive',0,0,285,43,328,Progressive Campus 2,41.5642470909 -81.4438437048
B9U6Bp4hqxh,progressive,2020-03-04 21:23,no,False,"farmersmarket,lifeatprogressive,pgremployee",,b'Wednesdays are for the #FarmersMarket. :red_apple::egg::honey_pot:\n#LifeAtProgressive #PGREmployee',0,0,370,39,409,Progressive Campus 2,41.5642470909 -81.4438437048
B9Cm4K8hdia,progressive,2020-02-26 18:50,yes,False,"nowhiring,resume,jobsearch,progressiveinsurance,gethired,topworkplace,bestcompanies,insurance,werehiring,growth",,"b'Get hired up! We\xe2\x80\x99re adding 8,000 new jobs in 2020.\n\xe2\x80\xa2\n\xe2\x80\xa2\n\xe2\x80\xa2\n#nowhiring #resume #jobsearch #progressiveinsurance #gethired #topworkplace #bestcompanies #insurance #werehiring #growth'",4423,48.219,461,41,502,,
B81w0F_BsTL,progressive,2020-02-21 19:06,no,False,pgremployee,,b'This #PGREmployee really got to steppin\xe2\x80\x99 in 2019 with more than 5 million steps! Congrats to our annual Step It Up Challenge Winner! :running_shoe::running_shoe::running_shoe::running_shoe::running_shoe:',0,0,458,26,484,Progressive Landerbrook,41.5037489313 -81.4654244949
B8rOphXBYNg,progressive,2020-02-17 16:55,no,False,"kingofthehammers,atv,atvlife",ultra4racing,"b'Still brushing off the dust from the King of the Hammers ATV race by @ultra4racing. From the wild four wheelers and desert skylines, to our very own Progressive Basecamp station, this CA event was one of our favorites. #kingofthehammers #atv #atvlife'",0,0,232,17,249,"Means Dry Lake, Johnson Valley",33.7680157075 -118.01772933
B8j5rPvhbMH,progressive,2020-02-14 20:37,no,False,"winterwonderland,cleveland",,b'Walking in a Progressive #WinterWonderland :snowflake_selector: #Cleveland',0,0,453,12,465,Progressive Campus 2,41.5642470909 -81.4438437048
B8PBgi5BXou,progressive,2020-02-06 18:01,no,False,"tbt,mlkday,orlando,pgremployee,lifeatprogressive",,b'#TBT to last month\xe2\x80\x99s #MLKDay parade in #Orlando! #PGREmployee #LifeAtProgressive',0,0,223,27,250,"Orlando, Florida",28.4635387156 -81.460732525
B73hm8QBh8l,progressive,2020-01-28 15:00,no,False,"happynewyear,yearoftherat,chinesenewyear",,b'#HappyNewYear! Last week we celebrated the #YearoftheRat :rat: in true #ChineseNewYear style. Which zodiac animal are you?',0,0,289,24,313,Progressive Campus 2,41.5642470909 -81.4438437048
B7uCn-gBQLn,progressive,2020-01-24 22:36,no,False,"motorcycle,motorcycles,motos",motorcycleshows,"b'The Motoscape has arrived! Our all-new, all-motorcycle experience is headed around the country at @motorcycleshows. Watch our story to get an inside look at the new build. #motorcycle #motorcycles #motos'",0,0,194,13,207,I-X Center,None None
