shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIDgs0_g1mS,riteaid,2020-11-26 13:00,yes,False,thanksgiving,,"b'Though this season may find us far apart, we\xe2\x80\x99re thankful you\xe2\x80\x99ve touched our hearts! Happy #Thanksgiving to all of our treasured customers, associates and your families.:turkey::maple_leaf:'",99,8.033,22,1,23,,
CIDdeE3h3LN,riteaid,2020-11-26 12:32,yes,False,bonuscash,,"b'The hottest deals of the season are here! Earn $15 #BonusCash when you spend $50 thru 11/28! Get the in-store coupon at the link in our bio, or shop online and earn automatically with your wellness+ rewards!'",98,14.0,18,1,19,,
CIBrK97DSur,riteaid,2020-11-25 19:53,no,False,"unicorns,holiday,bonuscash",thesandiegomom,"b'Do you believe in #unicorns? Find something magical for everyone on your #holiday list, from toys to d\xc3\xa9cor & more, & save! Hurry, earn $15 #BonusCash when you spend $50 thru 11/28 in-store, or earn automatically online with your wellness+ rewards! Click the link in our bio to get the in-store coupon & shop.:unicorn_face: :camera:@thesandiegomom'",0,0,120,3,123,,
CH-kRkXjQSD,riteaid,2020-11-24 15:02,yes,False,bonuscash,valerieoresko,"b'Dreaming of a cozy holiday at home? We\xe2\x80\x99ve got you covered. Earn $15 #BonusCash thru 11/28 when you spend $50 in-store, or spend $50 online and earn automatically! :wrapped_gift::Christmas_tree:Get your coupon at the link in our bio. :camera: @valerieoresko'",459,29.366,48,4,52,,
CH8FiabDY6B,riteaid,2020-11-23 15:48,no,False,bonuscash,"pawmoire,morganleewomack,sweetscarlettsadventures","b'It\xe2\x80\x99s sweater weather, & your furbabies deserve to be stylish, too. Check out our adorable selection of holiday pet sweaters, beds, treats & toys. Click the link in our bio to get a $15 #BonusCash coupon in-store when you spend $50 thru 11/28! :dog_face::money_with_wings::camera:: @Pawmoire, @morganleewomack @sweetscarlettsadventures'",0,0,220,8,228,,
CH6HQrmjHTs,riteaid,2020-11-22 21:24,no,False,cakebeauty,cakebeauty,"b'Your skincare routine is about to be the BEST part of your day :smiling_face_with_heart-eyes: Indulge in @cakebeauty, naturally luxe and rich textured skincare, to bring out your inner glow girl. :sparkles: Cleanse, hydrate and prep with :shortcake:. Tap to shop or click on the link in our bio. #cakebeauty'",0,0,45,3,48,,
CH5mX3QjZ6V,riteaid,2020-11-22 16:38,yes,False,,,"b'Stock up now to be prepared and take on cold symptoms from onset to recovery. Buy One, Get One 50% Off these products in-store, or click the link in our bio to shop online.'",306,13.976,26,1,27,,
CH22LZQjwbv,riteaid,2020-11-21 15:01,yes,False,"nationalhealthyskinmonth,healthyskinmonth,yourhealthiestskin",,"b'Keep your skin soft & smooth all winter long with nourishing moisturizers for face and body. Stock up & save in-store, or tap here or click the link in our bio to shop online. #NationalHealthySkinMonth #HealthySkinMonth #YourHealthiestSkin'",365,16.01,37,2,39,,
CH0ScI6A6aq,riteaid,2020-11-20 15:07,yes,False,holiday,nedspecktor,b'Make #holiday magic happen with a quick stop at your local Rite Aid. We\xe2\x80\x99ve got everything you need from toys to gift wrap & more !:Christmas_tree::wrapped_gift: Click the link in our bio to get a coupon for $10 off $40 in-store thru 11/21! :camera: @nedspecktor',403,28.233,54,3,57,,
CHxpZ0Tjc4R,riteaid,2020-11-19 14:30,yes,False,,,"b'Welcome to the new Rite Aid, where alternative remedies and traditional medicine meet to help you achieve Whole Health. Click on the link in our bio to learn more.'",338,14.943,42,1,43,,
CHvhWo3jEL-,riteaid,2020-11-18 18:51,yes,False,"soapbox,crueltyfree,vegan,giveback,givingback",soapbox,"b""NEW! @soapbox makes goodness easy to find, with moisture-rich hand, hair and body products. Everything you want, nothing you don't: 100% vegan, cruelty-free hand, hair and body products with moisturizing, benefit-rich ingredients. Healthy hands, body and hair start here. And, Soapbox donates a soap to communities in need with every purchase. Tap to shop or click on the link in our bio. #Soapbox #crueltyfree #vegan #giveback #givingback""",339,14.993,36,3,39,,
CHsY-A1Ak-w,riteaid,2020-11-17 13:30,yes,False,,,b'The sweet and soothing scent of lavender may help promote sleep for great days ahead. Click the link in our bio to shop.',238,14.033,31,1,32,,
CHqZ8dZpS9H,riteaid,2020-11-16 19:00,yes,False,,,"b'Welcome to the new Rite Aid, where the alternative remedies and traditional medicine meet to help you achieve Whole Health. Click on the link in our bio to learn what\xe2\x80\x99s new.'",373,13.033,47,3,50,,
CHnaXzKDt6a,riteaid,2020-11-15 15:06,no,False,brow,archesandhalos,"b'Introducing our newest #brow brand, @ArchesandHalos! With brow-building pomade, water-resistant tinted brow mousse, a brow razor, brow shaping, shading and defining pencils and more, you can get luxurious-looking brows for less! Plus, when you buy $40 in-store thru 11/21, you save $10! Get Coupon here: https://ritea.id/10off40. Or, tap here or click the link in our bio to shop online.'",0,0,58,2,60,,
CHlJfboLY5f,riteaid,2020-11-14 18:00,yes,False,,,"b'Welcome to the New Rite Aid, a perfect fusion of alternative remedies and traditional medicine. Click the link in our bio to learn more about how we\xe2\x80\x99re helping you achieve Whole Health.'",735,4.033,85,3,88,,
CHk18SPjX0P,riteaid,2020-11-14 15:09,no,False,"lashes,ardelllashes,lashextensions,repost",ardellbeauty,"b'Is there anything better than opening a new multipack of @ardellbeauty lashes and DUO Adhesive?! :fallen_leaf::sparkles: Pick your favorite packs today. SAVE in-store with BOGO 50% OFF thru 11/21. Or, tap to shop or click the link in our bio. #lashes #ardelllashes #lashextensions #repost'",0,0,49,0,49,,
