shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIGMXJZjTQW,spiritairlines,2020-11-27 14:00,yes,False,"blackfriday,traveldeals,blackfridaysale,sale,morego",,"b'Our biggest gift of the year unwraps today! Celebrate the start of 2021 with fares from $20.21. But hurry, sale ends Saturday at midnight. :backhand_index_pointing_right: Link in bio. #BlackFriday #TravelDeals #BlackFridaySale #Sale #MoreGo'",1384,6.0,256,11,267,,
CIDnkPvlOTw,spiritairlines,2020-11-26 14:00,yes,False,,,"b'Today we\xe2\x80\x99re thankful for all of our Guests who continue to keep our spirits high during this unprecedented year, and our incredible Team Members who work to provide a safe and comfortable journey for all. Happy Thanksgiving from our Spirit Family to yours :yellow_heart: :turkey:'",4774,6.0,1410,25,1435,,
CIB2r41Bbwb,spiritairlines,2020-11-25 21:34,yes,False,spiritstrong,,"b'In collaboration with the Embassy of Honduras in the U.S. and the Honduran Consular Network, we operated a relief flight transporting hundreds of boxes filled with household necessities and personal essentials, donated by local organizations and the Honduran community in Florida. The flight touched down in Honduras on Friday, Nov. 20, days after recent devastating storms hit, helping families in need across the affected regions. #SpiritStrong'",1986,90.775,358,13,371,,
CIBJo6lsGii,spiritairlines,2020-11-25 15:00,no,False,"blackfriday,traveldeals,blackfridaysale,sale,morego",,"b'Ready to start 2021 on a high? This Black Friday, you can unwrap our best deal of the year to some of your favorite destinations. Sign up for our emails and be the first in line. :backhand_index_pointing_right: Link in bio. #BlackFriday #TravelDeals #BlackFridaySale #Sale #MoreGo'",0,0,306,1,307,,
CH8pPmfJsRn,spiritairlines,2020-11-23 21:00,no,False,planeawesome,,b'And we love being in Orange County! Thanks for flying our new nonstop route and being #PlaneAwesome',0,0,199,3,202,,
CH22rZXMdnW,spiritairlines,2020-11-21 15:02,no,False,,,"b""Black Friday is nearly here, which means it's almost time to unwrap our biggest deal of the year. Sign up for our emails and start 2021 on a high with a super low fare. :backhand_index_pointing_right: Link in bio.""",0,0,388,35,423,,
CH063DDJy57,spiritairlines,2020-11-20 21:00,yes,False,morego,,"b'Get all of Tampa for as little as $52. And see sights from the world\xe2\x80\x99s longest continuous sidewalk, Bayshore Boulevard. #MoreGo Visit the link in our bio. Domestic nonstops only to Tampa. Travel 12/1-12/20 and 1/5-1/27 Subject to availability.'",1411,15.0,198,2,200,,
CHyWW2iBxLm,spiritairlines,2020-11-19 21:02,no,False,morego,aeropuertobaq,"b'We\xe2\x80\x99re on cloud nine today as we celebrate our first flight from Fort Lauderdale to @aeropuertobaq! :airplane_selector: As our second new Colombian destination joining our route map this week, Spirit now offers more nonstop routes to Colombia from the U.S. than ANY carrier :beaming_face_with_smiling_eyes: How\xe2\x80\x99s that for #MoreGo?! Visit the link in our bio to book your flight.'",0,0,1644,48,1692,,
CHvxRPWJdq8,spiritairlines,2020-11-18 21:00,no,False,,,"b'The spirit of this city is BIG. For Christmas they light the tallest indoor tree in the country, and their football team always puts on a supersized show :american_football:. What city proves that everything really is bigger there?'",0,0,468,29,497,,
CHvnzlHhYQg,spiritairlines,2020-11-18 19:37,no,False,"morego,bucaramanga,fll,bga",,"b'Today we\xe2\x80\x99re kicking off nonstop service from Fort Lauderdale to Bucaramanga, Colombia! :airplane_selector: It\xe2\x80\x99s the first of two new Colombian cities joining our route map this week, and the ONLY nonstop route connecting Colombia\xe2\x80\x99s Santander region with the United States! Who else is excited as we are? :woman_raising_hand_selector::man_raising_hand:\xe2\x80\x8d Visit the link in our bio to book your flight! #MoreGo #Bucaramanga #FLL #BGA'",0,0,3182,105,3287,,
CHtMs6LBw-Y,spiritairlines,2020-11-17 21:02,no,False,"moregrow,morego","johnwayneair,iflyoak,lasairport,phxskyharbor","b'The runway looks a little brighter today at @johnwayneair! We\xe2\x80\x99re celebrating the start of daily Spirit flights from Orange County to @iflyoak today and @lasairport starting tomorrow! :party_popper: \xe2\x80\xa6but that\xe2\x80\x99s not all! Coming in January, we\xe2\x80\x99re growing even more with daily flights to @phxskyharbor and a second daily flight to Las Vegas. Talk about #MoreGrow and #MoreGo! :airplane_selector:'",0,0,1724,33,1757,,
CHqnrespU-i,spiritairlines,2020-11-16 21:00,no,False,planeawesome,,b'When Vegas calls we\xe2\x80\x99re always happy to answer. Thanks for flying Spirit and for being #PlaneAwesome :yellow_heart:',0,0,252,6,258,,
CHqnrespU-i,spiritairlines,2020-11-16 21:00,no,False,planeawesome,,b'When Vegas calls we\xe2\x80\x99re always happy to answer. Thanks for flying Spirit and for being #PlaneAwesome :yellow_heart:',0,0,252,6,258,,
CHp-k9mhIPT,spiritairlines,2020-11-16 15:00,no,False,morego,,"b'With the new Free Spirit:registered: redeeming points will be easy. You can use them on any seat on any flight. That\xe2\x80\x99s right, :sparkles:no blackout dates:sparkles:! You can combine points with cash to get rewards faster.* :airplane: Plus, when you continue to earn or redeem with Spirit or Free Spirit:registered: partners throughout the year, your points won\xe2\x80\x99t expire. :airplane_selector: Click the link in our bio to learn more. #MoreGo'",0,0,236,5,241,,
CHijcXlBntD,spiritairlines,2020-11-13 17:49,no,False,morego,,b'No shipping required! :winking_face: Give the gift of travel this holiday season with a ticket on Spirit. Visit the link in our bio to get your #MoreGo.',0,0,454,29,483,,
CHfzB9fhvuE,spiritairlines,2020-11-12 16:07,no,False,morego,flymco,"b""Need a reason to get excited for the upcoming holiday season? We'll give you 6! :grinning_face_with_big_eyes: This December, we're officially re-launching flights from @flymco to Bogota, San Pedro Sula, Cartagena, Cancun, Guatemala City and San Salvador! :party_popper: For the first time since border closures began, our bright yellow planes will fly internationally from Central Florida once again. Visit the link in our bio to get your #MoreGo from Orlando!""",0,0,578,12,590,,
CHdyAR3J424,spiritairlines,2020-11-11 21:20,yes,False,"veteransday,spiritstrong",honorflightsouthflorida,"b'This Veteran\xe2\x80\x99s Day, we teamed up with @HonorFlightSouthFlorida to surprise local veterans with their very own car parade. We thank these great heroes for their sacrifices and service to this country as we celebrate and honor all of our nation\xe2\x80\x99s veterans today and every day. :United_States: #VeteransDay #SpiritStrong'",1208,56.1,185,7,192,,
