shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIGVo0egaSZ,staples,2020-11-27 15:21,no,False,blackfriday,,"b'The tech you need for way, way less. Shop our #BlackFriday deals now. Ends 11/28.'",0,0,17,1,18,,
CID4-SbAn4c,staples,2020-11-26 16:32,no,False,"turkeyday,thanksgiving,foodcoma",,b'Happy #TurkeyDay! This #Thanksgiving\xe2\x81\xa0\xef\xbf\xbc\xe2\x81\xa0 we\xe2\x80\x99re doling out a heaping scoop of gratitude for our customers & employees. So go ahead and get seconds \xe2\x80\x93 you deserve it #FoodComa.',0,0,107,7,114,,
CIBRK9zAvUC,staples,2020-11-25 16:05,no,False,blackfriday,,"b'What\xe2\x80\x99s even better than #BlackFriday deals? Black Friday deals delivered free, with no minimum required.'",0,0,27,0,27,,
CH-o0HighNt,staples,2020-11-24 15:34,no,False,"blackfriday,staplesworklifemag",,b'Planning on #BlackFriday shopping? Check out our guide filled with tips to help you shop safe and smart. Link in bio. #StaplesWorklifeMag',0,0,40,2,42,,
CH8RInDgWAJ,staples,2020-11-23 17:29,no,False,,,b'Staples Rewards memberships just got a whole lot more rewarding! Now get up to 5% back in rewards on in store AND online purchases. https://bit.ly/33a89ct',0,0,34,3,37,,
CH53R55g4u_,staples,2020-11-22 19:04,no,False,blackfriday,,"b'We saved our best deals just for you. #BlackFriday is on now, get these deals online while they last. Ends 11/28. bit.ly/35NCXln'",0,0,51,3,54,,
CHtSj6AAV8L,staples,2020-11-17 21:53,no,False,staplesworklifemag,,b'A flexible mindset is a must to stay productive in the new world of work. Explore ways to adapt to the accelerating shifts in the workplace in the latest issue of #StaplesWorklifeMag Link in bio!',0,0,31,8,39,,
CHqUhMiAj0g,staples,2020-11-16 18:12,no,False,workspace,unionandscale,b'Quick to ship. Easy to assemble. The boost of inspiration your #workspace needs. Shop all @unionandscale collections: https://bit.ly/3eUQquu',0,0,28,0,28,,
CHn8Yv2gCdX,staples,2020-11-15 20:03,yes,False,nationalrecyclingday,,b'Happy #NationalRecyclingDay! It\xe2\x80\x99s the perfect time to renew your commitment to workplace recycling. Check out three of our best tips to help you get started.',378,9.005,31,2,33,,
CHieu2qgAat,staples,2020-11-13 17:07,no,False,,,b'You can have it all with free delivery. The best part? No order is too small!',0,0,69,20,89,,
