shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIDfAB9gW1c,united.rentals,2020-11-26 12:45,no,False,,,"b'To our team, our customers and our communities, Happy Thanksgiving. Thank you for being part of the United Rentals family.'",0,0,105,1,106,,
CHqOSFHleQJ,united.rentals,2020-11-16 17:18,no,False,linkinbio,,b'Blue Thursday is just around the corner. Get the used equipment you need to build your fleet. #LinkinBio',0,0,224,0,224,,
CHA77frF7-f,united.rentals,2020-10-31 16:28,no,False,,,b'Boo(m).',0,0,198,3,201,,
CGVk_1DHSf8,united.rentals,2020-10-14 20:21,yes,False,urcanhelp,,"b""We're ready when you are. #URCanHelp""",347,30.033,36,1,37,,
CFvFfuUlzd8,united.rentals,2020-09-29 21:34,no,False,,,b'Dream team.',0,0,149,41,190,,
CFSPgN2lU11,united.rentals,2020-09-18 16:44,no,False,truckdriverappreciationweek,,b'Heading into the weekend like... \n\n#truckdriverappreciationweek',0,0,136,6,142,,
CE2l1gylUYC,united.rentals,2020-09-07 23:00,no,False,"labordayon,linkinbio",,b'We are looking for service techs to join the United Rentals team. We\xe2\x80\x99re ready when you are. #LaborDayOn #LinkInBio',0,0,32,7,39,,
CE1vG7fFC0W,united.rentals,2020-09-07 15:02,no,False,"labordayon,linkinbio",,b'We are looking for sales and field managers to join the United Rentals team. We\xe2\x80\x99re ready when you are. #LaborDayOn #LinkInBio',0,0,58,4,62,,
CE1TijqHXS1,united.rentals,2020-09-07 11:01,no,False,"labordayon,linkinbio",,b'We are looking for drivers to join the United Rentals team. We\xe2\x80\x99re ready when you are. #LaborDayOn  #LinkInBio',0,0,89,6,95,,
CEuZZ_LF2rc,united.rentals,2020-09-04 18:38,no,False,,arkansas_elite_welding_academy,b'Frame-worthy. \n\n:camera_with_flash:: @arkansas_elite_welding_academy',0,0,158,5,163,,
CEt552HH3nI,united.rentals,2020-09-04 14:02,no,False,labordayon,,"b""On September 7, we're turning a day off into a day dedicated to helping people in our communities find work. We're taking #LaborDayOn. Follow the hashtag to be connected with a job that's right for you.""",0,0,57,4,61,,
CEPpmlpFosI,united.rentals,2020-08-23 20:03,yes,False,"indy500,turnsfortroops",,b'What Graham had to say before the big race #Indy500 #TurnsforTroops',490,38.6,57,3,60,,
CEKBPl6oggs,united.rentals,2020-08-21 15:34,no,False,"carbday,indy500,turnsfortroops",,"b'Yeah race cars are cool, but... \n.\n.\n.\n.\n.\n#CarbDay #Indy500 #turnsfortroops'",0,0,318,7,325,Indianapolis Motor Speedway,39.7957663017 -86.2355947495
CDg-vNKD8mq,united.rentals,2020-08-05 17:03,no,False,,,b'Mid-week lift.',0,0,346,8,354,,
CDRQfaGnfST,united.rentals,2020-07-30 14:30,no,False,"tbt,turnsfortroops",,"b""#TBT to Graham Rahal's second podium finish this season. Can't wait for the next race at Mid-Ohio Sports Car Course and more of those #TurnsforTroops :flexed_biceps:""",0,0,148,3,151,,
CDOxwOAFuVj,united.rentals,2020-07-29 15:25,yes,False,tractorstrailerstales,"blake_martinez50,nygiants","b'ICYMI: @blake_martinez50 hosted #TractorsTrailersTales last Sunday. Thanks, Blake! Head over to our Facebook page for the full book reading and don\xe2\x80\x99t forget to join us this Sunday for another social guest and family-friendly read. \n\n@nygiants'",1709,13.633,157,3,160,,
CDMX0uiFQaU,united.rentals,2020-07-28 16:58,no,False,,,b'Digging into this week like...',0,0,289,2,291,,
CDCXOnBHyZU,united.rentals,2020-07-24 19:41,yes,False,urcanhelp,,"b'Get the equipment you need, when and where you need it. #URCanHelp'",647,30.033,103,5,108,,
CC89u26FAZj,united.rentals,2020-07-22 17:22,yes,False,tractorstrailerstales,"itsgvr,nyjets,grahamrahal,rllracing,mlstadium","b'ICYMI: @itsgvr, guard for the @nyjets hosted #TractorsTrailersTales last Sunday. Head over to our Facebook page for the full book reading and don\xe2\x80\x99t forget to join us this Sunday at 6pm for another special guest (or 2!) and family-friendly read. @grahamrahal @rllracing @mlstadium'",648,15.7,50,3,53,,
