shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CH8fje1rRJU,walgreens,2020-11-23 19:35,yes,False,,,"b'There\xe2\x80\x99s only one you, which is why there\xe2\x80\x99s only one myWalgreens. Find out how our new personalized experience can help you stay well and earn unlimited Walgreens Cash rewards. Join free at: myWalgreens.com'",4876,60.066,236,1608,1844,,
CH0aGj2rIeI,walgreens,2020-11-20 16:13,no,False,,,"b'Big news! We waved goodbye to Balance:registered: Rewards, now you can enjoy all the benefits of myWalgreens \xe2\x80\x93 a personalized, one-of-a-kind experience that makes it easier to shop, save, and stay well. Join for free at myWalgreens.com.'",0,0,515,434,949,,
CHf3dn7rynx,walgreens,2020-11-12 16:46,no,False,,,"b'Introducing Walgreens Pickup! Shop today and get your items safely and easily at the drive-thru, curbside or in store in as little as 30 minutes.'",0,0,471,528,999,,
CHA3_PWrZmw,walgreens,2020-10-31 15:54,no,False,ad,"thefreckledfox,walgreens,walgreens,walgreens,walgreens","b'Need some extra treats to make your Halloween sweet? We\xe2\x80\x99re here for all your candy needs. :jack-o-lantern: \n.\n.\n.\n.\n. \n:camera_with_flash: @thefreckledfox This year has brought a lot of changes for sure, but with\xc2\xa0@walgreens\xc2\xa0on our side, we\xe2\x80\x99re not gonna let anything interfere with our favorite holiday!\xc2\xa0#Ad\xc2\xa0\n\nAs you can see, we take Halloween prep V seriously around here! haha Every year when October hits, we sit down together and make a to-do list for the best Halloween season ever. Then, we head off to\xc2\xa0@walgreens\xc2\xa0to fill up on ALL the candy for the best prices around! We can always count on Walgreens to have everyone\xe2\x80\x99s favorite candy brands, not to mention we can pick up any other last-minute finishing touches we might be missing for our costumes, our spooky decor, all the fall activities we have planned, and of course what we need for our traditional epic Halloween party!\n\nIt\xe2\x80\x99s about the candy though, let\xe2\x80\x99s be real. It starts and ends with candy, and I\xe2\x80\x99m not mad about it. hahaha\xc2\xa0@Walgreens\xc2\xa0offers several fast and easy ways to get what you need to celebrate with locations minutes away and drive-thru or curbside pickup!\xc2\xa0\n\nYou can swipe up in my stories to find a\xc2\xa0@walgreens\xc2\xa0store near you! And now if you please, I\xe2\x80\x99d love to hear your favorite Halloween tradition in the comments below!\n\nXoxo'",0,0,558,118,676,,
CG-M_GJlz1S,walgreens,2020-10-30 15:00,yes,False,,,"b""Although American Pharmacist Month is coming to a close, today and every day we are grateful to our 75,000 pharmacy professionals for the role they play in improving the health and wellness of our patients. Here's Felicia sharing what she loves about being a Walgreens pharmacist:""",2657,24.7,140,88,228,,
CG8NOjOl4Lp,walgreens,2020-10-29 20:24,yes,False,,,"b""Although American Pharmacist Month is coming to a close, today and every day we are grateful to our 75,000 pharmacy professionals for the role they play in improving the health and wellness of our patients. Here's Urundi sharing what he loves about being a Walgreens pharmacist.""",3025,53.533,213,60,273,,
CGvfIX_rgNe,walgreens,2020-10-24 21:50,no,False,,lifebyleanna,"b'Whatever your Halloween looks like this year, we\xe2\x80\x99re here for all of your needs. \n\n:camera_with_flash: @lifebyleanna'",0,0,777,51,828,,
CGAqK8QjFOR,walgreens,2020-10-06 17:23,yes,False,,,b'Your mask says a lot about you. Make things personal with these five customizable ideas & tag Walgreens in your creation!',4959,9.0,310,86,396,,
CF0QwDPFsTj,walgreens,2020-10-01 21:49,no,False,,,b'This Breast Cancer Awareness Month we take the time to honor the strength and courage of all who have been impacted by breast cancer.',0,0,352,52,404,,
CE2oYuZjTcb,walgreens,2020-09-07 23:22,no,False,,,"b'We\xe2\x80\x99ve been serving communities across America since 1901\xe2\x80\x94and because of our amazing employees, we keep going. Thank you to our team members for your hard work and dedication, today and every day.'",0,0,2305,539,2844,,
