shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CH8AvrDplqF,aetna,2020-11-23 15:06,no,False,"gratitude,mentalhealth,stress,thanksgiving,mentalhealthawareness,health,mentalhealthmatters,selfcare,selflove,grateful,love,happiness,thankful,mindset,mindfulness,mindfulliving,givingthanks",,"b'Practicing #Gratitude is proven to boost your #MentalHealth, relieve #Stress and help you accept change. Swipe for some new ways you can practice gratitude this #Thanksgiving.\n\n#mentalhealthawareness #health #mentalhealthmatters #selfcare #selflove #grateful #love #happiness #thankful #mindset #mindfulness #mindfulliving #givingthanks'",0,0,68,2,70,,
CHk05WPFqMg,aetna,2020-11-14 15:00,no,False,worlddiabetesday,,"b'Did you know that nurses make up half of the global workforce supporting people living with a variety of health concerns, including diabetes? That\xe2\x80\x99s why today, on #WorldDiabetesDay, we\xe2\x80\x99re giving thanks to the amazing nurses who make a difference for millions of people with diabetes every day. Let\xe2\x80\x99s hear it for these health heroes.'",0,0,108,12,120,,
CG-GGtHDeCF,aetna,2020-10-30 14:00,no,False,"mentalhealth,mentalhealthawareness,health,stress,anxiety,mentalhealthmatters,electionanxiety,selfcare,mentalhealthmonday,election,wellness,vote2020,thingsyoucancontrol,election2020",,"b'If you\xe2\x80\x99re feeling overwhelmed and anxious because of the election next week, you\xe2\x80\x99re not alone. That\xe2\x80\x99s why it\xe2\x80\x99s important to focus on what we can do and let go of what\xe2\x80\x99s out of our control. Take a moment and use this chart to help keep things in perspective. \n\n#mentalhealth #mentalhealthawareness #health #stress #anxiety #mentalhealthmatters #electionanxiety #selfcare #mentalhealthmonday #election #wellness #vote2020 #thingsyoucancontrol #election2020'",0,0,159,13,172,,
CGhxssiprly,aetna,2020-10-19 14:03,no,False,"mentalhealth,physicalhealth,holistichealth,wholehealth,mindbody,selfcare,mindfulness,mentalhealthawareness,mentalwellness,mymentalhealth,mentalhealing,mentalawareness,wellnessguide,mentalhealthmonday",,"b'#MentalHealth and #PhysicalHealth often go hand-in-hand. We\xe2\x80\x99re here to provide support for your mind and body when, where and how you need it. \n\n#HolisticHealth #WholeHealth #MindBody #SelfCare #Mindfulness #MentalHealthAwareness #MentalWellness #MyMentalHealth #MentalHealing #MentalAwareness #WellnessGuide #MentalHealthMonday'",0,0,206,12,218,,
CGKmNEPFOfF,aetna,2020-10-10 14:00,yes,False,"worldmentalhealthday,selfcare,mentalhealth,mindfulness,selflove,mentalhealthawareness,mentalwellness,mentalhealthmatters,selfbetterment,mymentalhealth,mentalhealing,mentalawareness,reminder,exercise",,"b'In honor of #WorldMentalHealthDay, practice one of these #SelfCare exercises that can help you proactively manage your #MentalHealth. Screenshot this post to randomly select an in-the-moment activity.\n\n#Mindfulness #SelfLove #MentalHealthAwareness #MentalWellness #MentalHealthMatters #SelfBetterment #MyMentalHealth #MentalHealing #MentalAwareness #Reminder #Exercise'",617,12.0,57,21,78,,
CFzbDp3lKlK,aetna,2020-10-01 14:00,yes,False,"mentalhealth,mentalhealthawareness,health,stress,mentalhealthmatters,mindfulness,selfcare,mentalwellness,mentalhealing,healthscreening,healthcheck,depressionhelp",,"b'Don\xe2\x80\x99t ignore signs of depression. To kick off National Depression and Health Screening month, take control of your #MentalHealth with 10 simple questions. We\xe2\x80\x99ll help you understand your feelings and provide tips to guide you towards next steps based on your responses. Check them out at the link in our bio.\n\n#MentalHealthAwareness #Health #Stress #MentalHealthMatters #Mindfulness #SelfCare #MentalWellness #MentalHealing #HealthScreening #HealthCheck #DepressionHelp'",455,10.0,50,14,64,,
CE9a68RH-KQ,aetna,2020-09-10 14:40,yes,False,"emotionalsupport,worldsuicidepreventionday,wspd,realconvo,keepgoing,mentalhealth,mentalhealthawareness,mentalhealthmatters,health,care,stigmafree,endthestigma,changelives,suicideawareness,suicidepreventionmonth",,"b'1 in 4 young adults considers suicide at some point. #EmotionalSupport can help when times are tough, but those who need it the most are often the least likely to reach out. This #WorldSuicidePreventionDay take a moment to connect with and listen to someone in need.\n\n#wspd #realconvo #keepgoing #mentalhealth #mentalhealthawareness #mentalhealthmatters #health #care #stigmafree #endthestigma #changelives #suicideawareness #suicidepreventionmonth'",744,6.0,66,14,80,,
CE4Torwg7uw,aetna,2020-09-08 15:00,yes,False,"realconvo,suicideprevention,mentalhealth,mentalhealthawareness,mentalhealthmatters,stress,mindfulness,health,care,stigmafree,endthestigma,stressreduction,anxietytips,changelives,suicideawareness,suicidepreventionmonth,keepgoing",,"b'If you know someone who has been feeling down, it\xe2\x80\x99s important to be there for them. Link in bio to learn more about how a #RealConvo can help someone who is struggling this #SuicidePrevention month. #mentalhealth #mentalhealthawareness #mentalhealthmatters #stress #mindfulness #health #care #stigmafree #endthestigma #stressreduction #anxietytips #changelives #suicideawareness #suicidepreventionmonth #keepgoing'",661,12.0,60,3,63,,
CERm2WOJo4P,aetna,2020-08-24 14:17,no,False,"mentalhealthmonday,mantras,mondaymantra,mondaymood,mindfulmonday,mentalhealth,mentalhealthawareness,loveyourself,selflove,endthestigma,health,wellness,stress",,"b'When you\xe2\x80\x99re feeling overwhelmed, it\xe2\x80\x99s important to take a moment and practice mindfulness. A mantra can help clear out noise and refocus your mindset. This #MentalHealthMonday, take 5 deep breaths and reflect with one of these #mantras to help you stay resilient. #MondayMantra #MondayMood #MindfulMonday #MentalHealth #MentalHealthAwareness #LoveYourself #SelfLove #EndTheStigma #Health #Wellness #Stress'",0,0,102,19,121,,
CDwK_VmJPN0,aetna,2020-08-11 14:39,no,False,"wellness,mentalhealthawareness,mentalhealth,loveyourself,selflove,endthestigma,health,wellness,stress,emotionalhealth",,b'The past few months have caused emotional fatigue for a lot of us. Maintain your mental well-being by practicing these helpful #wellness tips. #MentalHealthAwareness #MentalHealth #LoveYourself #SelfLove #EndTheStigma #Health #Wellness #Stress #EmotionalHealth',0,0,125,22,147,,
CDJelbOjAjs,aetna,2020-07-27 14:00,yes,False,"mentalhealth,mentalhealthmonday,mondaymantra,mondaymood,mindfulmonday,mentalhealthawareness,loveyourself,selflove,mindfulmonday,endthestigma,health,wellness,stress",,"b'Check in on yourself. Try our useful resource that can help you reflect on your #MentalHealth and stay resilient during this time. See the link in our bio for a new way to evaluate your mental well-being. #MentalHealthMonday\n\n#MondayMantra #MondayMood #MindfulMonday #MentalHealthAwareness #LoveYourself #SelfLove #MindfulMonday #EndTheStigma #Health #Wellness #Stress""'",577,10.2,65,21,86,,
CCqlDaXoJ0y,aetna,2020-07-15 14:00,yes,False,"mentalhealth,mentalhealthawareness,loveyourself,selflove,endthestigma,health,wellness,stress",,"b'More than ever before, it\xe2\x80\x99s important to take a moment for yourself to refocus your mindset. Try a new helpful #MentalHealth resource that can help you gather your thoughts and reflect on positive changes within your control. Click the link in our bio and learn new ways to destress.\n\n#MentalHealthAwareness #LoveYourself #SelfLove  #EndTheStigma #Health #Wellness #Stress'",539,12.3,53,3,56,,
CAVYw2CloI7,aetna,2020-05-18 15:26,no,False,"mentalhealthmonday,standingaparttogether",,"b'These tough times are affecting us all. But we\xe2\x80\x99ll continue to get through this, together. Share this reminder with someone who may need it. #MentalHealthMonday #StandingApartTogether'",0,0,283,55,338,,
B_xMSSkpHrw,aetna,2020-05-04 14:04,no,False,"standingaparttogether,mentalhealthmonday",,"b'Now, more than ever, we need to build our emotional resilience. Here are some new wellness tips that can help you maintain your mental health. Share how you\xe2\x80\x99re #StandingApartTogether. #MentalHealthMonday'",0,0,93,24,117,,
