shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIGu0C3l1Gz,amazon,2020-11-27 19:01,yes,False,blackfriday,"bkthegoodpup,_savingstone,thegoldenkai,dyekrdye",b'The best way to gear up for those #BlackFriday deals is with your best friend :paw_prints::smiling_face_with_heart-eyes::sparkles:amazon.com/blackfriday :sparkles:  @bkthegoodpup @_savingstone @thegoldenkai @dyekrdye/TW',21992,15.0,2264,52,2316,,
CIEC6OlhJ8U,amazon,2020-11-26 17:59,no,False,,,b'Pie :pie: :check_mark: Turkey :poultry_leg: :check_mark: Mashed Potatoes :potato::check_mark: Wishing you a Happy Thanksgiving today! :sparkles:',0,0,9037,222,9259,,
CH8qz50p_vd,amazon,2020-11-23 21:13,yes,False,teamthatdelivers,,"b'Mom daughter duo. Husband and wife. Fianc\xc3\xa9s. And so many more. Our Amazon teams are full of families working together to deliver a great holiday for you! We\xe2\x80\x99re grateful for them, and you :blue_heart: #teamthatdelivers'",42105,30.033,4438,431,4869,,
CH3JBGLlKot,amazon,2020-11-21 17:42,no,False,,bloomintobeautiful,"b""Love this! It's never too early to get gifting (link in bio for our :wrapped_gift: guide). How many of you have your holiday decor up? :smiling_face_with_heart-eyes:I :camera_with_flash:: @bloomintobeautiful""",0,0,8171,373,8544,,
CH0mICDA_5j,amazon,2020-11-20 17:59,no,False,blackfriday,,"b'You ask, and you shall receive :hugging_face:! Get your :shopping_cart: ready, and shop our #BlackFriday deals as early as now :wrapped_gift::play_button_selector: amazon.com/blackfriday'",0,0,4150,200,4350,,
CH0KqEYsO1m,amazon,2020-11-20 13:59,yes,False,thepacktv,"thepackonprime,amazonprimevideo",b'What if you could go on the adventure of a lifetime with your best friend? Watch @ThePackOnPrime now on @AmazonPrimeVideo #ThePackTV',21879,30.033,2084,54,2138,,
CHvISKejzJx,amazon,2020-11-18 15:02,yes,False,deliveringsmiles,,b'No\xe2\x80\xa6roads? :motorway_selector: No problem! Some of our most unusual deliveries happen around the famous canals :canoe: of Venice. #DeliveringSmiles:package:',26129,30.0,2726,349,3075,,
CHsgjeQFNX6,amazon,2020-11-17 14:38,yes,False,,,b'Introducing Amazon Pharmacy. :pill::clipboard::package: We\xe2\x80\x99ll fill your prescriptions and deliver them to your door so you can save time and stay healthy. :sparkles:amazon.com/pharmacy :sparkles: (link in bio).',49052,14.993,3556,276,3832,,
CHqCRSKgI3C,amazon,2020-11-16 15:34,yes,False,,,"b""Shanika's life dramatically changed when a teacher invested in her. Now, she\xe2\x80\x99s fighting to give students equal access to STEM education through the Amazon Future Engineer program. See Shanika\xe2\x80\x99s story, link in bio.""",20301,59.063,1988,139,2127,,
CHfrLoHgcrK,amazon,2020-11-12 14:59,yes,False,,,b'Never run out of what you need and save up to 15%.',69492,6.0,4939,593,5532,,
CHc_fyJn4OC,amazon,2020-11-11 13:59,yes,False,,,"b'Life for students and teachers has changed. We\xe2\x80\x99re committed to helping them, no matter where their classrooms are. Tap the link in bio to learn more.'",29125,30.033,2568,302,2870,,
CHaeHbbAZRz,amazon,2020-11-10 14:28,yes,False,oprahsfavoritethings,oprah,b'\xe2\x80\x9cYou\xe2\x80\x99re on the list!\xe2\x80\x9d Watch @Oprah surprise Black-owned small business owners with heartwarming holiday cheer. See more joyful reactions and check out the season\xe2\x80\x99s biggest gifts with #OprahsFavoriteThings on Amazon.',26713,15.0,1950,327,2277,,
CHX14LbAJvn,amazon,2020-11-09 14:00,yes,False,,,"b'Introducing the story of a girl who, like so many of us, has had her plans cancelled this year. But her determination never lets up.'",266124,119.996,10380,480,10860,,
CHGdiSWpcoU,amazon,2020-11-02 19:58,yes,False,,,"b""We've joined up with TurboVote to provide a place where you can find out more about voter registration, learn more about your polling location, and other important details. Visit the link in bio to get started.""",37272,4.0,3272,480,3752,,
