shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIFVnCulXbG,americanair,2020-11-27 06:01,yes,False,blackfriday,,"b""Still scrolling at this hour? Now's the perfect time to check out our #BlackFriday travel deals and plan your next trip. Link to deals in bio!""",31439,2.966,3814,77,3891,,
CIDz5avFw2E,americanair,2020-11-26 15:48,yes,False,thanksgiving,,"b'From our family to yours, have a safe, healthy and happy #Thanksgiving.'",8146,13.01,1566,85,1651,,
CIBs1QZlXEE,americanair,2020-11-25 20:07,no,False,"thanksgiving,aateam,letgoodtakeflight",,"b'This #Thanksgiving, the #AATeam in Chicago is showing its gratitude for the local community, by ensuring families in need have a special meal to celebrate the holiday. Read the story on our newsroom \xe2\x80\x94 link in bio. #LetGoodTakeFlight'",0,0,3812,75,3887,,
CH8WR6eFWBp,americanair,2020-11-23 18:14,no,False,,,"b'From takeoff to touchdown, learn how our team is taking care of :american_football: teams who travel with us every step of the way. Check out the story in our newsroom!'",0,0,9767,422,10189,,
CH1Iyz1l06y,americanair,2020-11-20 23:01,no,False,"aateam,worldchildrensday",unicef,"b""Every penny counts to Beth Callahan and her colleagues who collect spare change for @UNICEF's Change for Good program. Since 1994, the #AAteam has collected more than $17 million to help vulnerable children worldwide. On #WorldChildrensDay, join us in supporting UNICEF. Link to newsroom in bio.""",0,0,10338,625,10963,,
CH04q3ilOwH,americanair,2020-11-20 20:40,no,False,aadvantage,alaskaair,"b""Here's something to look forward to in 2021: More #AAdvantage benefits are en route, whether you're flying with us or our friends on the West Coast, @AlaskaAir. Link to newsroom in bio.""",0,0,12953,175,13128,,
CHyMmLCF6yC,americanair,2020-11-19 19:37,yes,False,,,"b'Farewell, fees! We\xe2\x80\x99re providing more flexibility for our customers to make travel easier. Link in bio to newsroom for more information!'",27714,15.976,3876,240,4116,,
CHx4VpzgWZj,americanair,2020-11-19 16:40,yes,False,,,"b'According to Bloomberg, research paints a clear picture: With protocols and measures in place, travelers should feel confident about flying. https://bit.ly/AAFF_1'",16751,8.833,2150,80,2230,,
CHwFGJOFgPG,americanair,2020-11-18 23:53,no,False,aadvantage,"mastercard,beberexha,livexlive","b'The best part of virtual events? Snagging the best seat in the house... American Airlines #AAdvantage @Mastercard holders, grab your complimentary tickets to a virtual acoustic concert with @BebeRexha, presented by yours truly and Mastercard, on @LiveXLive. Link to details and tickets in bio.'",0,0,2487,237,2724,,
CHtSq0BFoma,americanair,2020-11-17 21:54,no,False,,,b'Now arriving: more Admirals Clubs reopening. Not a member? Treat yourself with a day pass or become a member. Click the Admirals Club link in bio.',0,0,8593,1079,9672,,
