shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
B_UvWMRJP9X,arconic,2020-04-23 12:52,no,False,"asi,environmental,social,governance",,"b'Arconic is proud to announce its most recent #ASI Performance Standard Certification for its Arconic K\xc3\xb6f\xc3\xa9m (Hungary) cast house and rolled products operations. Demonstrating our commitment to maintaining robust #environmental, #social and #governance values'",0,0,123,9,132,,
B-b5xqLJQGA,arconic,2020-04-01 11:07,no,False,"arconiccorporation,manufacturing,arconicstrong",,"b'Introducing #ArconicCorporation, a leading provider of advanced aluminum sheet, plate, extrusions, innovative architectural systems, a leader in #manufacturing, a great place to work and a responsible partner to our local communities. #ArconicStrong\nhttps://arconic.page.link/Launch'",0,0,101,5,106,,
Bub2dNonRkN,arconic,2019-02-28 18:15,no,False,"arconiclancaster,aahn,blackhistorymonth",,"b'How does Regina, Accounting Supervisor at #ArconicLancaster, make a difference in her #AAHN community? #blackhistorymonth'",0,0,116,999,1115,,
BuMdJoMHCbM,arconic,2019-02-22 18:45,no,False,"blackhistorymonth,highfivefriday,arconictennessee,aahn",bbbsamerica,"b'As we continue celebrating #BlackHistoryMonth, a special #HighFiveFriday goes out to the #ArconicTennessee chapter of #AAHN. They\xe2\x80\x99ve been supporting their local chapter of Big Brother Big Sisters (@bbbsamerica) through volunteering and donations for several years, and recently welcomed BBBS Community Engagement Director Vivian Gwinn to the plant to speak about volunteer and mentorship opportunities.'",0,0,100,156,256,,
BuKXdhgn1fK,arconic,2019-02-21 23:17,no,False,"arconicranchocucamonga,nationalengineersweek,eweek2019",,"b'We asked continuous improvement engineer, Troy, from #ArconicRanchoCucamonga what advice he would give to the next generation of engineers. Troy said: ""Take the time to learn as much as you can, not only in your department but in other departments as well. Spend time on the floor to match the data to reality."" #NationalEngineersWeek #EWeek2019'",0,0,135,106,241,,
BuHLBH1HSN2,arconic,2019-02-20 17:31,no,False,"arconiclancaster,aahn,blackhistorymonth,nationalengineersweek,eweek2019",,"b'What makes Arconic a stronger team? Temi, metallurgical engineer at #ArconicLancaster and Communications lead for #AAHN, explains: \xe2\x80\x9cInclusive and diverse teams allow us to be more innovative, while creating opportunities for growth and exposure for those who wouldn\xe2\x80\x99t otherwise be in that position. These two things combined create an overall stronger workforce.\xe2\x80\x9d #BlackHistoryMonth #NationalEngineersWeek #eweek2019'",0,0,80,67,147,"Lancaster, Pennsylvania",40.0399 -76.3044
BtybAD-nPqK,arconic,2019-02-12 16:06,no,False,"aahn,arconictennessee,blackhistorymonth",,"b'Throughout February we\xe2\x80\x99ll be highlighting members of the Arconic African American Heritage Network (#AAHN) who live our core values both in and out of the workplace. Why did Robert, Electrical Engineer at #ArconicTennessee, join AAHN? \xe2\x80\x9cIt\xe2\x80\x99s a way for me to give back to the community and build relationships outside of my day to day activities.\xe2\x80\x9d #BlackHistoryMonth'",0,0,120,51,171,,
BtWKwc8HsxX,arconic,2019-02-01 16:46,no,False,"highfivefriday,arconiccleveland","newtondbaker,arconicfoundation,sae_international_news","b'Giving a huge #HighFiveFriday shout-out to the @newtondbaker students and future innovators who are part of \xe2\x80\x9cA World in Motion\xe2\x80\x9d STEM program. @arconicfoundation, #ArconicCleveland and @sae_international_news are in their 11th year of bringing this important curriculum to Cleveland students.'",0,0,120,35,155,,
BsoEqw3gRvu,arconic,2019-01-14 19:08,no,False,"nactoy,naias2019","ramtrucks,fiatchrysler_na",b'Congrats @ramtrucks 1500 @fiatchrysler_na on winning 2019 Truck of the Year #NACTOY at #NAIAS2019!',0,0,62,21,83,,
BsgleV5Ab3g,arconic,2019-01-11 21:20,no,False,"ces2019,highfivefriday,transportation","audi,bellflight,hyundai_worldwide,kiamotorsworldwide","b'Spotted: the latest and greatest in future mobility at #CES2019. Dedicating this #HighFiveFriday to @audi, @bellflight, @hyundai_worldwide,  @kiamotorsworldwide, and many more who are driving the future of #transportation innovation and safety!'",0,0,130,26,156,,
BsIqfCkgrQT,arconic,2019-01-02 14:22,no,False,"mediaplanetusa,aviation,jobs,aerospace,careers,mfgwomen,engineering,innovation",mediaplanetusa,"b""Check out the campaign from @mediaplanetusa - \xe2\x80\x98Careers in Aviation and Aerospace\xe2\x80\x99. We're partnering with them to raise awareness for the aviation industry and job opportunities. Read the full campaign at futureofbusinessandtech.com and go to careers.arconic (link in bio) to search our openings in aerospace.\n.\n.\n.\n.\n.\n.\n#mediaplanetUSA #Aviation #jobs #aerospace #careers #mfgwomen #engineering #innovation""",0,0,79,23,102,,
Br8CCAOAwOU,arconic,2018-12-28 16:38,no,False,highfivefriday,,b'Congratulations to the 2018 graduates of our Technical Emerging Leaders Education and Development (TELED) Program! These employees from across Arconic engaged in activities throughout the year designed to develop their technical leadership skills as they pursue their careers. #highfivefriday',0,0,150,19,169,"Pittsburgh, Pennsylvania",40.4411 -79.9975
BrqWaTFAfY-,arconic,2018-12-21 19:50,no,False,,,,0,0,103,12,115,,
BrptM3Tgo-X,arconic,2018-12-21 13:50,no,False,"highfivefriday,arconicvolunteers,arconicmassena",,"b'Today\xe2\x80\x99s #HighFiveFriday goes to one of our 2017 All-Star #ArconicVolunteers, Becky.  As the driving force behind the \xe2\x80\x9cFight Like a Girl\xe2\x80\x9d softball tournament and \xe2\x80\x9cPink Hard Hat\xe2\x80\x9d initiative at #ArconicMassena, she led a great team effort in raising over $100,000 for breast cancer research and patient support.  Arconic Foundation recognized Becky and the tournament as a 2018 Month of Recognition Awardee, which includes a $10,000 grant.  Keep up the great work, Becky!'",0,0,135,14,149,"Massena, New York",44.93135 -74.89284
BrFyMi_gi2q,arconic,2018-12-07 15:01,no,False,"arconicmartinsville,highfivefriday,arconicvolunteers",,"b""Company and community safety is a passion for Stuart at #ArconicMartinsville. He is the location's Health and Safety Manager, but has also spent decades serving his community as a volunteer EMT. Arconic recently awarded the Fieldale Collinsville unit a $1,000 grant in honor of Stuart's 40th anniversary with the department. #HighFiveFriday #ArconicVolunteers""",0,0,97,31,128,,
