shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CID1LgBnm77,bestbuy,2020-11-26 15:59,no,False,happythanksgiving,,b'We\xe2\x80\x99re happy when you\xe2\x80\x99re happy when they\xe2\x80\x99re happy. #happythanksgiving',0,0,401,37,438,,
CIBQYpXBRzZ,bestbuy,2020-11-25 15:59,no,False,,ijustine,b'Our Black Friday deals are live! Get the tech you want quickly and safely. Check out @ijustine scoring an amazing deal while rocking her mask.',0,0,1620,79,1699,,
CH8sXPGoN9j,bestbuy,2020-11-23 21:27,yes,False,,jaredmecham,b'We sit down with @jaredmecham to talk about a range of great gifts for everyone on your holiday list.\n\nFind these featured tech gifts and more at BestBuy.com:\n\xc2\xa0\nHP Pavilion 15.6\xe2\x80\x9d gaming laptop\nNinja Mega Kitchen System blender\nBeats Solo Pro noise canceling headphones\nCanon EOS RP mirrorless camera with a free ring light\nPhilips Hue smart bulbs',16886,1423.403,575,64,639,,
CH6D4PnAfuy,bestbuy,2020-11-22 20:55,no,False,,jaredmecham,"b'Need gift ideas? We\xe2\x80\x99ll be chatting with @jaredmecham about great tech gifts for all kinds of people on IG Live, tomorrow at 3 p.m. CST.'",0,0,272,29,301,,
CH29S5IJ3e1,bestbuy,2020-11-21 15:59,yes,False,,,"b'Staying together, even when you\xe2\x80\x99re apart\xe2\x80\x94we\xe2\x80\x99ll cheers to that. Happy Friendsgiving, everyone.'",6331,11.0,277,75,352,,
CHk77oiJHKX,bestbuy,2020-11-14 16:01,no,False,,mayasworld,b'Now\xe2\x80\x99s the time to find the perfect gift for everyone on your list. @mayasworld is lucky to have her pup approve her picks.',0,0,528,160,688,,
CHdd7lLoNJM,bestbuy,2020-11-11 18:25,yes,False,,devanondeck,b'We connect with @devanondeck to discuss cool tech gifts to treat yourself or give to someone else.\n\xc2\xa0\nFind these gifts and more at BestBuy.com:\n\xc2\xa0\nFitbit Inspire 2 fitness tracker\nSamsung Galaxy S20+ 5G smartphone\nGoPro HERO8 action camera with free Explore accessory kit\nCrosley Voyager turntable\nDyson TP01 Pure Cool Tower',17445,1288.138,585,381,966,,
CHa0meXBIzY,bestbuy,2020-11-10 17:45,no,False,,devanondeck,b'We\xe2\x80\x99re gearing up to talk with @devanondeck about cool tech to give or keep for yourself. Join us on IG Live tomorrow at noon.',0,0,288,44,332,,
CHIZOlDD1Jg,bestbuy,2020-11-03 13:59,no,False,,,b'It\xe2\x80\x99s election day! Drop off that ballot or safely get yourself to the polls to make your voice heard. Find more info and locate your polling place.',0,0,770,150,920,,
CG-dVbToiyd,bestbuy,2020-10-30 17:23,yes,False,,ijustine,"b'We catch up with @ijustine to talk about this season\xe2\x80\x99s most exciting tech, including some amazing gift ideas.\n\xc2\xa0\nFind these featured tech gifts and more at BestBuy.com:\n\xc2\xa0\nLenovo 15\xe2\x80\x9d IdeaPad laptop\nSony 1000XM4 noise-canceling headphones\nDyson V10 Animal Pro cordless vacuum\nSamsung Watch Active2 smart fitness\nAmazon Echo Show 5 smart speaker'",17514,1328.933,538,114,652,,
CG71zATHEw-,bestbuy,2020-10-29 16:59,no,False,,ijustine,b'We can\xe2\x80\x99t wait to talk with @ijustine on IG Live about some of this season\xe2\x80\x99s most exciting tech. Tune in tomorrow at noon.',0,0,647,42,689,,
CGX-_BPh-Tl,bestbuy,2020-10-15 18:46,no,False,hispanicheritagemonth,,"b'Our Teen Tech Centers serve Latinx communities across the U.S, giving youth the tools they need to build the future. #HispanicHeritageMonth'",0,0,407,129,536,,
CGU9Y_Jh6VC,bestbuy,2020-10-14 14:35,no,False,hispanicheritagemonth,,"b'Our Teen Tech Centers serve Latinx communities across the U.S, giving youth the tools they need to build the future. #HispanicHeritageMonth'",0,0,418,44,462,,
CGDa3hOBjm9,bestbuy,2020-10-07 19:06,yes,False,hispanicheritagemonth,,b'Celebrating Hispanic heritage and all the members of its community. #HispanicHeritageMonth',5527,15.01,358,75,433,,
CFzlP3HhKkg,bestbuy,2020-10-01 15:29,no,False,hispanicheritagemonth,,b'We\xe2\x80\x99re celebrating Latinx Heritage Month by highlighting the amazing Latinx leaders who are moving our company forward. #HispanicHeritageMonth',0,0,505,82,587,,
