shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIQn0QlM8Bj,boeing,2020-12-01 15:12:24.000000,no,False,"t7a,readyaf",usairforce,b'Get real! The @USAirForce is one step closer to receiving its next-gen trainer. Swipe :left_arrow: to see the #T7A Red Hawk\xe2\x80\x99s 8K \xe2\x80\x9creal-as-it-gets\xe2\x80\x9d ground-based training system that is in assembly. The training system is built on open mission system hardware and digital software that allows the U.S. Air Force to add or upgrade capabilities. #ReadyAF',0,0,32009,113,32122,,
CILdIPLsOaE,boeing,2020-11-29 15:02:48.000000,no,False,superhornet,usnavy,"b""On this day in 1995, #SuperHornet made its debut with its first flight. Swipe :left_arrow_selector: to see the Super Hornet Block III.  We'll deliver the first operational Block III Super Hornet to the @USNavy next year.""",0,0,31390,78,31468,,
CH5BpYws4E0,boeing,2020-11-22 11:16:20.000000,no,False,"chinook,ch40",royalairforceuk,"b""Four decades ago, we delivered the first #Chinook to the @royalairforceuk. The first tandem rotor helicopter - and early precursor to the Chinook -  was built by Frank Piasecki in 1945, fondly called the \xe2\x80\x98Flying Banana.\xe2\x80\x99\n \nSwipe to see how far it's come! #Ch40""",0,0,37426,105,37531,,
CHGYZb2syWJ,boeing,2020-11-02 19:13:52.000000,no,False,spacestation20th,"iss,nasa,iss","b""We're celebrating #SpaceStation20th and we want you to join us. Step up to the ISS Cupola and check out these views from 220 miles above Earth. Today marks 20 years of astronauts living on @iss, so we'll take you inside too. If you are 20 years old or younger, there have been humans living in space your whole life. We worked hand-in-glove with @nasa to build the space station from the start, and we still work together daily to operate this unique laboratory. Every day, astronauts are working on @iss, making contributions to life on Earth and paving the way for the success of future space exploration.""",0,0,28246,136,28382,,
CGoLPfIspHZ,boeing,2020-10-22 01:41:41.000000,no,False,loyalwingman,ausairforce,b'Another test milestone for #LoyalWingman! This unmanned aircraft with @ausairforce completed low-speed taxi testing and is readying for high-speed taxi testing and first flight later this year. Check out our Stories for more info on Loyal Wingman!',0,0,47708,269,47977,,
CGYBajOBKM0,boeing,2020-10-15 19:07:58.000000,no,False,p8a,"raflossiemouth,royalairforceuk","b""Three of the UK's #P8A Poseidon have now been delivered to their new home at @RAFLossiemouth in Scotland. There will be nine aircraft in total for @royalairforceuk \n\nImage 1: ZP803 Terence Bulloch DSO* DFC*\nImage 2: ZP801 Pride Of Moray\nImage 3: ZP802 City of Elgin\nImage 4 and 5: ZP804 & ZP805 having their mission systems installed in preparation for handover to the RAF""",0,0,34714,122,34836,RAF Lossiemouth,57.7052777778 -3.3391666667
CGF9fIQsqOd,boeing,2020-10-08 18:47:19.000000,no,False,ba747farewell,british_airways,b'Half a century flying the Queen of the Skies. The two remaining @british_airways 747-400s taxied for takeoff for the last time today from London Heathrow (LHR).\n \nCollectively the two aircraft have flown an impressive 104 million miles.\n \n#BA747farewell',0,0,46654,438,47092,London Heathrow Airport (LHR),51.4715331689 -0.4428032295
CFff4t8s2SZ,boeing,2020-09-23 20:17:31.000000,no,False,,healtheinc,"b""It's not magic, it's science! Our engineers invented this ultraviolet wand to disinfect the inside of an airplane in a flash.\n\nWe've just entered into a patent and technology license with @healtheinc to manufacture and sell this device to airlines and others. This technology could be available in late fall.\n \nCheck out our Highlights for more.""",0,0,42551,424,42975,,
CFIefC3MRhO,boeing,2020-09-14 21:42:45.000000,no,False,"loyalwingman,airpowerteaming",ausairforce,b'Sound on! That hum you hear is Australia\xe2\x80\x99s first #LoyalWingman unmanned aircraft engine powering on. The engine test is part of ground testing with the @ausairforce to prepare for first flight. #AirpowerTeaming',0,0,56656,396,57052,,
CE9duAPM__M,boeing,2020-09-10 15:04:24.000000,no,False,"bbj,altea",fokkertechniek,"b""Now that\xe2\x80\x99s an interior! We're humbled to take home the 2020 Design et al International Yacht & Aviation award for the Government of Netherlands\xe2\x80\x99 Boeing Business Jet interior.\n \nSwipe to tour the VVIP interior with customized colors and design features that reflect Dutch history, culture and traditions.\n \n#BBJ #ALTEA @fokkertechniek""",0,0,30326,181,30507,,
