shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIBV1uqhz3k,burlingtondeals,2020-11-25 16:46,no,False,,,"b'A way to a man\xe2\x80\x99s heart is through Burlington... WOW! gifts for him! He\xe2\x80\x99ll :green_heart: the pieces & you\xe2\x80\x99ll :red_heart_selector: the prices.\n*Styles shown: Styles, selections & availability may vary by store.'",0,0,666,5,671,,
CH_SAS-g12i,burlingtondeals,2020-11-24 21:34,no,False,burlingtondeals,,b'Every day is Black Friday at Burlington! There is no need to wait for our WOW! deals \xe2\x80\x93 just stop in your store for daily savings & new items arriving all the time.\nShow us your WOW find - #BurlingtonDeals! :shopping_bags_selector:',0,0,1102,5,1107,,
CH8lM_uDqJY,burlingtondeals,2020-11-23 20:24,no,False,burlingtondeals,mercedessannchez,"b'@mercedessannchez knows how to set the scene. That coat, those boots, the pop of orange is PERFECTION! :orange_heart: Got a look you want to share? Tag us with #BurlingtonDeals and show it off!'",0,0,1255,14,1269,,
CH5ZeZMr4jS,burlingtondeals,2020-11-22 14:44,no,False,"burlingtondeals,burlingtonthankfulsweepstakes",,"b'We are so thankful for our #BurlingtonDeals fans! To show how thankful we are, we are giving 5 of you a chance to win a $200 Burlington gift card for you AND a friend!\n \nHow to Enter:\n \n1. Tag someone that you are thankful for in the comments below\n2. Use #BurlingtonThankfulSweepstakes and be automatically entered for a chance to win!\n \nNO PURCHASE NECESSARY. Legal residents of the 50 United States (Puerto Rico & D.C.) 18 years and older. Ends 11/28/2020. To enter and for Official Rules, including odds, and prize descriptions, visit https://bit.ly/2Hgrp0i. Void where prohibited.'",0,0,2932,3933,6865,,
CH0uCcfBQ3l,burlingtondeals,2020-11-20 19:08,no,False,,,"b'Get her the perfect gift at the perfect price. It\xe2\x80\x99s so easy to check off her wish list with sparkly, snuggly, pretty & practical gifts starting at $7.99*!\n*Styles, selections, availability and prices may vary by store. Products shown are intended to be representative of a specific category and may or may not be available at your local Burlington store. Advertised prices are subject to state and local taxes and fees.'",0,0,1916,21,1937,,
CHyeYcPBk5X,burlingtondeals,2020-11-19 22:12,no,False,burlingtondeals,latingrammys,b'Who\xe2\x80\x99s excited por los premios @LatinGrammys?! Which of these outfits from Burlington would you rock to watch \xe2\x80\x93 un look m\xc3\xa1s glam o algo m\xc3\xa1s comodo? \xc2\xa0Comment to let us know which look you love y d\xc3\xadganos la artista que estas m\xc3\xa1s emocionada de ver! Y no te olvides de compartir tu Burlington look using #BurlingtonDeals!',0,0,1362,14,1376,,
CHxs3W8ljpo,burlingtondeals,2020-11-19 15:00,no,False,,,"b'Ready to deck your halls with jolly d\xc3\xa9cor? Then, head to Burlington! We\xe2\x80\x99ve got the deals you need to get your home holiday- ready :Christmas_tree: :snowman_selector:'",0,0,1736,16,1752,,
CHvq-xohQmE,burlingtondeals,2020-11-18 20:05,no,False,,,"b'Add a little cozy to any outfit, with savings on super soft sherpa sweaters! Stop in and stock up on this cold weather staple :shopping_bags_selector:'",0,0,2240,17,2257,,
CHtaLzpJCMX,burlingtondeals,2020-11-17 22:59,no,False,,,"b'Starting at just $12.99*, these are no sweat savings on AMAZING activewear!\n*Styles shown: Styles, selections & availability may vary by store.'",0,0,2190,11,2201,,
CHq10vHFApx,burlingtondeals,2020-11-16 23:03,yes,False,,,"b'Help keep your community warm! Get 10% off your ENTIRE purchase* when you donate a new or gently used coat. Now more than ever, we need to spread the warmth! Donate today. Link in bio to find a store near you.\n*Offer valid 11/16/20 through 1/4/21. Not valid on layaway fees, tailoring, gift cards or taxes. No cash value. See associate for details.'",37056,30.033,1657,50,1707,,
