shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CG-vHMojOFX,chevron,2020-10-30 19:59,yes,False,,,"b'We take safety so seriously, even our jack-o-lanterns wear the right equipment. Have a safe and happy Halloween!'",3134,8.008,563,16,579,,
CG3hiNJIyJP,chevron,2020-10-28 00:45,no,False,chevronpacificindonesia,,"b'We strive to protect the environment wherever we operate. In Indonesia, we support an elephant conservation program in the Riau Province. We recently provided GPS trackers to monitor the movement of the endangered Sumatran elephants. #chevronpacificindonesia'",0,0,1098,43,1141,,
CG3WThoHMOB,chevron,2020-10-27 23:07,no,False,,,b'As we move through the energy transition it\xe2\x80\x99s important to find ways to meet energy needs with less carbon-intensive products. It\xe2\x80\x99s why we\xe2\x80\x99re working with partners to deliver a fuel called Chevron Renewable Diesel to select stations in San Diego.',0,0,753,10,763,,
CGqWp3pj587,chevron,2020-10-22 22:00,yes,False,,,b'A fuel made from ingredients like vegetable oil and used cooking oils is a fuel made to meet the energy transition. This is Chevron Renewable Diesel.',2198,35.0,407,31,438,,
CGivLMZDs8x,chevron,2020-10-19 23:00,no,False,,,b'Getting the job done safely brings a certain kind of joy. That\xe2\x80\x99s the kind of operational excellence we strive for every day.\xe2\x80\x8b',0,0,2104,62,2166,Gulf Of Thailand,10.3995017013 99.3449357227
CGVMRPvFAFb,chevron,2020-10-14 16:45,no,False,,,"b'Whether digital or analog, technology takes human ingenuity to its highest level. The sextant is a navigation tool used by mariners since the 1700s that\xe2\x80\x99s still used today alongside digital technology such as GPS and radar.\xe2\x80\x8b'",0,0,1049,24,1073,,
CGP4ZHTDkm8,chevron,2020-10-12 15:15,no,False,chevronpacificindonesia,,"b'Did you know that in May 1973, we produced one million barrels of oil per day from the Rokan block in Indonesia? We are proud to be a part of Indonesia\xe2\x80\x99s energy history. #chevronpacificindonesia'",0,0,1719,49,1768,,
CGIOQCuj-9O,chevron,2020-10-09 15:52,no,False,"globalimpact,socialimpact,usgloballeadershipcoalition",,"b'For almost 30 years, our partnership with Kazakhstan has helped fuel economic growth and supported local communities through investments in education, social and health infrastructure. #globalimpact #socialimpact #usgloballeadershipcoalition'",0,0,959,51,1010,,
CF9nnnDj26u,chevron,2020-10-05 13:03,yes,False,,,"b'Chevron is proud to officially welcome Noble Energy\xe2\x80\x99s employees, partners and communities. Click on the link in our bio to learn how this acquisition will bring together the best of each organization.'",5144,6.0,958,64,1022,,
CF2_RkeFPKk,chevron,2020-10-02 23:14,no,False,,,"b':fuel_pump: Our Richmond Refinery in California has a 118 year history of innovation. Techron, our revolutionary fuel additive that helps keep car engines clean, was invented here in 1979. And the refinery\xe2\x80\x99s Modernization Project will create a newer, safer, cleaner refinery.'",0,0,2018,54,2072,,
CFf18fTI0DZ,chevron,2020-09-23 23:30,no,False,chevronpacificindonesia,,"b'1952 marks the first shipment of oil from Minas field in Riau, Indonesia. The event was officiated by then Economic Minister Sumanang Suryominoto. We are proud to be a part of Indonesia\xe2\x80\x99s energy history. #chevronpacificindonesia'",0,0,1396,32,1428,,
CFce5EkAIQR,chevron,2020-09-22 16:11,no,False,,,"b'Something about the fall colors makes our service stations feel even more inviting. Road trip, anyone?'",0,0,2643,39,2682,,
CFce5EkAIQR,chevron,2020-09-22 16:11,no,False,,,"b'Something about the fall colors makes our service stations feel even more inviting. Road trip, anyone?'",0,0,2643,39,2682,,
CFIoibqlGxj,chevron,2020-09-14 23:10,yes,False,,,"b'As long as COVID-19 creates needs in our communities, we\xe2\x80\x99ll continue our support of initiatives that make a real impact.'",2842,21.966,354,17,371,,
CD-NdMDI-aP,chevron,2020-08-17 01:30,yes,False,chevronpacificindonesia,,b'Happy Independence Day to the people and government of Indonesia. Selamat Hari Kemerdekaan Indonesia! #chevronpacificindonesia',6900,18.1,1126,60,1186,,
CDsqMaSDXiC,chevron,2020-08-10 05:54,no,False,chevronpacificindonesia,,"b'For over 95 years, we have operated in the Riau Province, Indonesia. Our community partnerships help strengthen local communities. Congratulations to the people and government of the Riau Province on their anniversary. #chevronpacificindonesia'",0,0,3147,198,3345,Riau,0.5333333333 101.45
CCEtwGcDD8-,chevron,2020-06-30 21:05,no,False,,,"b'one of the best things about summer is camp, and this year we\xe2\x80\x99ve created our own virtual experience for kids of employees and contractors - camp chevron. all the activities are hosted and provided by employees, interns, retirees, executives, community organizations and other partners. we\xe2\x80\x99re excited to come together to support our workforce and their families in this fun and unique way.'",0,0,1027,68,1095,,
CB37hmUj37V,chevron,2020-06-25 21:55,no,False,,,"b""our commitment to sustainability means getting results by doing things the right way. read the 2019 corporate sustainability report and learn how we're doing just that. link in bio.""",0,0,670,70,740,,
CBya3C1D8DW,chevron,2020-06-23 18:33,no,False,,,"b""as the human energy company, we put people at the center of everything we do. see how we're making progress for people in the 2019 corporate sustainability report. link in bio.""",0,0,750,56,806,,
CBjhCBdDIU5,chevron,2020-06-17 23:38,no,False,,,"b""we're working toward some notable environmental sustainability goals. check out some highlights here, and read the 2019 corporate sustainability report to learn even more about our efforts to protect to the environment. link in bio.""",0,0,811,82,893,,
CBefANYjIag,chevron,2020-06-16 00:44,no,False,,,b'we\xe2\x80\x99ve made strides in sustainability. read our 2019 corporate sustainability report to see what we mean. link in bio.',0,0,762,38,800,,
CBWRuT3nx2j,chevron,2020-06-12 20:15,no,False,,,"b""even though many of our employees are still working from home, we raised rainbow flags at several office locations to kick off this year's pride month celebrations.""",0,0,1800,100,1900,,
CBEKb5FnQc9,chevron,2020-06-05 19:25,no,False,,,b'black lives matter. head to the link in our bio to read on. chevron.co/blmig',0,0,2123,120,2243,,
CAx7tfhn8Qo,chevron,2020-05-29 17:30,no,False,,,"b'the pascagoula refinery was added to chevron\xe2\x80\x99s operations in 1963. since then, it\xe2\x80\x99s become our largest refinery in the U.S.'",0,0,2091,48,2139,,
CAfzSE5nUiV,chevron,2020-05-22 16:30,no,False,,,b'our first-ever virtual internship program kicked off this week and we are thrilled to welcome over 500 interns from around the world to work with us remotely and help solve the complex energy challenges of today and tomorrow.',0,0,1001,41,1042,,
CAdpj8zlls4,chevron,2020-05-21 20:26,no,False,,,"b'facing a shortage of hand sanitizer supplies, France asked companies to step in and help meet demand. chevron oronite labs responded and is using part of our facilities to create supplies. check out our link in bio for more about our COVID-19 initiatives.'",0,0,725,20,745,,
CAGizTfH-XS,chevron,2020-05-12 21:05,no,False,,,"b'to support delivery riders and bus drivers, our caltex stations in Singapore are offering a special discount on fuel. check out our link in bio to learn more about this program and all of our COVID-19 efforts.'",0,0,838,23,861,,
