shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIDhnBDsuMI,cisco,2020-11-26 13:08,yes,False,"technology,thanksgiving",,"b'In these unprecedented times, we\xe2\x80\x99re grateful for collaboration #technology to be able to stay connected to family\xe2\x80\xa6 and the ability to mute them if needed. :grinning_squinting_face: Happy #Thanksgiving!'",4516,4.0,591,3,594,,
CH-zhkTAVoR,cisco,2020-11-24 17:08,yes,False,thankful,,"b""With new challenges come new opportunities for a more connected future. :handshake:  We are so #thankful for our customers' trust and partnership as we move forward together.""",2677,50.266,291,3,294,,
CH8L1ZJFBqk,cisco,2020-11-23 16:43,no,False,"internet,wifi,digitaldivide",toyotausa,"b'Merit Network\xe2\x80\x99s Michigan Moonshot initiative is partnering with Cisco and @toyotausa to provide equitable #internet across southeast Michigan. With expanded free #WiFi access at more than 50 community locations, powered by Cisco technology, we are one step closer to bridging the #DigitalDivide. Click link in bio for more.'",0,0,1637,8,1645,,
CHvXfdiF9sl,cisco,2020-11-18 17:14,no,False,"gcprize,cyla",glblctzn,"b'The @glblctzn Prize: Cisco Youth Leadership Award shines a light on youth activists fighting to end extreme poverty, and this years\xe2\x80\x99 finalists are truly inspirational! Swipe right :backhand_index_pointing_right: to learn more about each finalist and then click the link in bio to cast your vote. #GCPrize #CYLA'",0,0,815,5,820,,
CHp37qxg7TE,cisco,2020-11-16 14:04,yes,False,"worlds2020,esports","leagueoflegends,riotgames","b'When it came to hosting their boldest @leagueoflegends World Championship Final ever, @riotgames turned to Cisco to help them level up :video_game:. Click the link in bio to learn more. #Worlds2020 #esports'",8015,179.898,620,7,627,,
CHgimL7F_hi,cisco,2020-11-12 23:03,yes,False,cscoq1fy21,,b':megaphone: Just announced - #CSCOQ1FY21 Earnings.\nRevenue: $11.9 billion\n\nClick the link in bio to read the full news release.',16885,10.4,1607,17,1624,,
CHAeEzgA-xA,cisco,2020-10-31 12:08,yes,False,happyhalloween,,b'Scary :clown_face: is one thing. But scary clowns messing up the server room? :face_screaming_in_fear: What\xe2\x80\x99s your IT nightmare? \n\n#HappyHalloween :jack-o-lantern:',13173,7.966,1212,32,1244,,
CG8FEQgANr1,cisco,2020-10-29 19:21,yes,False,it,,b'Cisco EVP Todd Nightingale dives into how Cisco\xe2\x80\x99s new platform solutions will drive agility and unlock the power of insights and automation. #IT',3509,239.025,348,2,350,,
CG6AeqhAM7W,cisco,2020-10-29 00:01,yes,False,ciscops20,,"b'Order in the [virtual] court! Watch how Elkhart County, Indiana seamlessly transitioned to secure remote court hearings using their existing Cisco Network Infrastructure. :balance_scale_selector: Click the link in bio to learn more. #CiscoPS20'",5020,31.691,436,3,439,,
CG20GbSAC9N,cisco,2020-10-27 18:08,no,False,tuesdayvibes,,b'Drop your answer below. :down_arrow_selector:\n#TuesdayVibes',0,0,3987,293,4280,,
CGnhWbKFEqW,cisco,2020-10-21 19:36,yes,False,"sase,security",,b'Need to brush up on your #SASE knowledge? Cisco SVP Jeff Reed shares the latest in the new #security in :20 challenge.',4456,100.339,439,6,445,,
CGkwJcYF5wO,cisco,2020-10-20 17:47,no,False,"sdwan,network,cat8k,sase",,"b""How it started. :right_arrow_selector: How it\xe2\x80\x99s going. \n\nIntroducing the Catalyst 8000 family! A new #SDWAN platform to help your #network securely handle all the new demands it's facing. Click the link in bio to learn more. #Cat8K #SASE""",0,0,3332,37,3369,,
CGabo0-gkGA,cisco,2020-10-16 17:43,yes,False,"drone,cio",matternet,b'Secure. Reliable. Easy-to-use. See why connectivity is key for crucial @matternet #drone deliveries in the latest #CIO Insights video.',5164,164.483,391,5,396,,
CGVi2uGFk6k,cisco,2020-10-14 20:02,no,False,"election,electionsecurity,security",,"b'With the U.S. #election coming up, so are disinformation campaigns. Swipe right for :keycap_3: ways you can counteract them and stop the spread. Click the link in bio for more tips! #ElectionSecurity #security'",0,0,798,8,806,,
CGSKYKqF14Y,cisco,2020-10-13 12:30,no,False,"1,worldsbestworkplaces,wearecisco,greatplacestowork","fortunemag,gptw_us","b'Our employees are celebrating around the world today, as we\xe2\x80\x99ve been named #1 on the #WorldsBestWorkplaces list by @FortuneMag and @GPTW_US! :party_popper: Employee feedback, from 21 countries, earned us this spot and we want to say thank you. We\xe2\x80\x99ll take this moment in time to celebrate, and then use it as motivation to get back to work and keep getting better. #WeAreCisco #GreatPlacesToWork'",0,0,3583,46,3629,,
CGH7HscA5Fy,cisco,2020-10-09 13:06,yes,False,worlds2020,"lolesports,riotgames,leagueoflegends","b""Unseen, unsung, unphased. :video_game:\xe2\x80\x89\nWhen there is no room for error, make room for Cisco. Because only the world's most reliable network will do. #Worlds2020\xe2\x80\x89\n\xe2\x80\x89\n@lolesports @riotgames @leagueoflegends""",6069,30.058,669,8,677,,
CGGGmLfAWbL,cisco,2020-10-08 21:05,yes,False,technology,webex,"b'In the latest CIO Insights episode, learn how #technology will impact the future of public safety and how the Henderson Fire Department :fire_engine: is transforming its firefighting process with collaboration tools like @webex.'",4110,161.333,415,8,423,,
CGDJbZBl9Lg,cisco,2020-10-07 16:33,no,False,switches,,b'How it started. :right_arrow_selector: How it\xe2\x80\x99s going. #switches',0,0,2582,19,2601,,
CF-MUp_loEg,cisco,2020-10-05 18:23,no,False,"netacad,it,worldteachersday",,"b'For Cisco Networking Academy instructor Rebecca Harrop, celebrating her 20th year as a #NetAcad instructor is just one of many accomplishments. She\xe2\x80\x99s successfully trained thousands of students and inspired many from diverse and underrepresented backgrounds to pursue a career in #IT.\xc2\xa0Happy #WorldTeachersDay to her and the many others around the world. Click the link in bio for more.'",0,0,3317,35,3352,,
CFxVPzAA44f,cisco,2020-09-30 18:31,yes,False,"lifeonwebex,distancelearning","uniluiss,lonestarcollege",b'Learning never stops. :books: :man_technologist_medium_skin_tone: Click the link in bio to see how Cisco solutions enabled @uniluiss & @lonestarcollege to keep teaching when classrooms were forced to close. #LifeOnWebex #DistanceLearning',5916,31.233,532,168,700,,
CFuMGLTA6p8,cisco,2020-09-29 13:13,yes,False,"internationalcoffeeday,webex",,"b'#InternationalCoffeeDay, a poem: \nMy cup of Joe :hot_beverage:, you help me go.\xe2\x80\x89\nLight or dark roast, I love :smiling_face_with_3_hearts: you the most. \xe2\x80\x89\nYou make me feel less like a T-Rex :T-Rex: when I enjoy you before #Webex.'",28301,7.8,2290,35,2325,,
CFr483-l7Xq,cisco,2020-09-28 15:47,no,False,"nonprofits,time2give,wearecisco",,"b'Today, #nonprofits need more volunteers to help with an increased demand. Using Cisco\xe2\x80\x99s #Time2Give, Guy and his coworkers were able to package food supplies at the Reim Association for families in need. Cisco\xe2\x80\x99s Time2Give program gives employees 5 days to volunteer but recently, an additional 5 days has been given so they can volunteer where it matters most. #WeAreCisco'",0,0,1556,10,1566,,
CFj4p6-gAxC,cisco,2020-09-25 13:11,yes,False,"esports,worlds2020",,"b"":high_voltage: Greatness doesn't lag. :high_voltage:\n\nOn the largest stage in #esports, only the Cisco network will do. #Worlds2020""",9297,30.033,991,17,1008,,
CFh2UX3FGcT,cisco,2020-09-24 18:12,no,False,remote,,b'SASE - yes pronounced sassy :woman_tipping_hand_selector: - is taking over as companies have shifted to a #remote workforce. Swipe right to get the scoop on what it is!',0,0,1062,12,1074,,
CFflojXFCCn,cisco,2020-09-23 21:07,no,False,"socialjustice,inclusivefuture",frankatsoudas,"b'\xe2\x80\x9cPurpose is at the heart of what we do every day, and today our purpose gets even clearer.\xe2\x80\x9d - Cisco Chief People Officer @frankatsoudas \n\nToday, we share our beliefs and actions in support of #SocialJustice. Click the link in bio to see how we are working to power an #InclusiveFuture for all.'",0,0,684,8,692,,
CFcaHNZgIaj,cisco,2020-09-22 15:30,yes,False,"vote,justvote,nationalvoterregistrationday","glblctzn,headcountorg","b'For this year especially, flexible time off to #vote is critical. As part of #JustVote with @glblctzn and @headcountorg, we are ensuring that our employees will have the tools and resources they need to feel confident about voting. Click the link in bio to learn more. #NationalVoterRegistrationDay'",6401,18.014,622,7,629,,
CFZyE-fA7eS,cisco,2020-09-21 15:03,yes,False,"cio,remotelearning",calbaptist,"b""CIOs aren't just keeping businesses up and running, they're keeping education flowing at schools too. Tune in for the latest episode of #CIO Insights to learn how @calbaptist maximized its network during #RemoteLearning.""",4455,200.226,380,3,383,,
CFUfpLNlbgX,cisco,2020-09-19 13:43,no,False,,webex,b'Oh hey @Webex. We :eyes: you all over Winged Foot. Ready for Moving Day at the U.S. Open! :flag_in_hole:',0,0,1938,13,1951,Winged Foot Golf Club,40.96224 -73.75378
CFR3YO-A7LG,cisco,2020-09-18 13:16,yes,False,"it,fridayfun",,"b""Trust us, we get #IT. :winking_face: Jump into #FridayFun to learn how we're using own technologies for a competitive advantage.""",9941,106.48,602,7,609,,
CFPIWekgV9Q,cisco,2020-09-17 11:45,yes,False,teamcisco,"viktor_hovland,chezreavie,brendontoddpga","b'#TeamCisco has touched down at Winged Foot. \n\nGood luck to ambassadors @viktor_hovland, @chezreavie, @brendontoddpga this weekend at the 120th U.S. Open. :flexed_biceps:'",6681,9.3,624,2,626,,
CFMwm0fAKQa,cisco,2020-09-16 13:38,yes,False,healthcare,,b'When we come together we can do great things :red_heart_selector:\n\nCisco and STANLEY Healthcare partnered to help #healthcare providers digitize their inventory and ensure critical equipment is on hand when needed. Click the link in bio to learn more.',4260,125.206,358,0,358,,
CFKYmkmA2kn,cisco,2020-09-15 15:30,yes,False,lifeonwebex,"thomasrhettakins,webex",b'Frontline workers are working tirelessly to save lives. We teamed up with country music star @thomasrhettakins to show our thanks via @webex. Click the link in bio for more. #LifeOnWebex',4855,29.991,535,4,539,,
CE9o8X-gYKK,cisco,2020-09-10 16:44,yes,False,"suicideprevention,wfh,worldsuicidepreventionday","sfsuicideprevention,webex",b'Crisis center hotlines are vital for #SuicidePrevention. See how @sfsuicideprevention employees and volunteers are using Cisco @Webex solutions to help others safely while having to #WFH. #WorldSuicidePreventionDay',4936,84.033,392,212,604,,
CE62QpHlkRc,cisco,2020-09-09 14:41,no,False,"wifi,internet,digitaldivide,inclusivefuture",,"b'Cisco is proud to partner with the City of Toronto to launch the Digital Canopy. Through a Cisco technology investment and state-of-the-art Meraki #WiFi access points, the Digital Canopy will help connect thousands of low-income residents with free #internet and help bridge the #DigitalDivide. Click link in bio for more. #InclusiveFuture'",0,0,4033,69,4102,,
