shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CH8RWqtn1ks,cocacola,2020-11-23 17:33,yes,False,,thekingcenter,"b'Dr. Bernice King, CEO of @thekingcenter shares how love and justice go hand in hand.'",8623,15.983,1740,25,1765,,
CH0jYLvHs7n,cocacola,2020-11-20 17:35,no,False,,,b'Fun fact about drinking an ice-cold Coke. :hugging_face:',0,0,5920,104,6024,,
CHtd_KmH8wG,cocacola,2020-11-17 23:33,yes,False,,,"b'Elaine Welteroth, New York Times best-selling author and award winning journalist, believes together we must bridge the current divide in our nation.'",9180,15.983,1762,20,1782,,
CHiJ0mAHTPV,cocacola,2020-11-13 14:05,no,False,worldkindnessday,,b'Tag a friend whose hustle inspires you every day. #WorldKindnessDay.',0,0,5635,216,5851,,
CHiJweHHtUP,cocacola,2020-11-13 14:04,no,False,worldkindnessday,,b'Haven\xe2\x80\x99t checked in on a friend in a while? Send them a cheers for #WorldKindnessDay!',0,0,4897,62,4959,,
CHiJp11HzUl,cocacola,2020-11-13 14:03,no,False,worldkindnessday,,b'Send to someone who\xe2\x80\x99s always down for an amazing time and to share a Coke. #WorldKindnessDay',0,0,9130,369,9499,,
CHiJkETnUbd,cocacola,2020-11-13 14:02,no,False,worldkindnessday,,b'Name one friend who means the :globe_showing_Americas: to you. #WorldKindnessDay',0,0,5748,235,5983,,
CHiJeJwHG4h,cocacola,2020-11-13 14:02,no,False,worldkindnessday,,b'Dare you to tell a friend all the reasons you :heart_suit_selector: them. :backhand_index_pointing_down: #WorldKindnessDay',0,0,4300,48,4348,,
CHiJPNPsKHx,cocacola,2020-11-13 14:00,no,False,worldkindnessday,,b'*raises an ice-cold Coke to our incredible fans* \n#WorldKindnessDay',0,0,4263,49,4312,,
CG2Xu28Dini,cocacola,2020-10-27 14:00,yes,False,,_atlantabreakfastclub,"b""Local restaurants are the best part of any neighborhood. Just ask @_atlantabreakfastclub, whose shrimp and grits have locals lining up every weekend. Who's hungry?:fork_and_knife:""",20948,16.066,3292,131,3423,,
CG0paMfnrB2,cocacola,2020-10-26 21:56,no,False,,,b'Today\xe2\x80\x99s goal: make someone\xe2\x80\x99s day awesome.',0,0,4469,94,4563,,
CGupWCDne5N,cocacola,2020-10-24 14:00,yes,False,,thechicagodelta,b'@thechicagodelta adds a little spice to the Windy City with their hot tamale dishes. Can you handle the :fire:?',16873,13.8,2981,41,3022,,
CGXffWynIVg,cocacola,2020-10-15 14:11,no,False,,"hispanicheritage,neidy.perdomo","b'As Hispanic Heritage Month comes to an end, we\xe2\x80\x99ve partnered with @HispanicHeritage and artist @neidy.perdomo to share a few inspiring facts about Latino communities.'",0,0,5218,124,5342,,
CB8PVi-HAJI,cocacola,2020-06-27 14:05,no,False,,teamusa,"b'@teamusa\xe2\x80\x99s Laurie Hernandez, Roderick Townsend, Simone Manuel and Tatyana McFadden know together we must fight for equality and justice.'",0,0,7094,973,8067,,
CB6IVM-ns5o,cocacola,2020-06-26 18:25,no,False,,nascar,"b'@nascar knows together we must end systemic racism. That\xe2\x80\x99s why drivers Denny Hamlin, Daniel Su\xc3\xa1rez, Bubba Wallace, Joey Logano and Ryan Newman are speaking out on ways to bring change.'",0,0,5797,206,6003,,
CB5vDACnQz_,cocacola,2020-06-26 14:44,no,False,,morehouse1867,b'HBCU @morehouse1867 President Dr. David A. Thomas and 2020 Class Valedictorian Golden Daka share their thoughts on how together we must take action to end systemic racism.',0,0,5018,101,5119,,
CBnsYlbH1nE,cocacola,2020-06-19 14:35,no,False,,ctr4chr,"b'In recognition of Juneteenth, we\xe2\x80\x99re partnering with Nicole Moore, Director of Education at The National Center for Civil and Human Rights @ctr4chr to share some facts about this important day.'",0,0,6880,182,7062,,
CA-Z79dHdlb,cocacola,2020-06-03 13:45,no,False,blacklivesmatter,,"b'Building a better future means joining together as we move forward. We are donating to 100 Black Men of America, Inc. as a part of the effort to end systemic racism and bring true equality to all. This is just a first step. #BlackLivesMatter.'",0,0,15334,615,15949,,
CAfcqSVHflT,cocacola,2020-05-22 13:13,yes,False,,,b'We\xe2\x80\x99re so thankful for those who continually work hard to keep us safe. Let\xe2\x80\x99s keep sharing the good. :red_heart_selector:',37439,3.8,6088,261,6349,,
CAV4L2bHdNq,cocacola,2020-05-18 20:00,yes,False,sharehope,cocacola,"b'For teachers making the best of it. Georgia high school teacher Marcella found a way to #ShareHope with her class by sending handwritten postcards to all 80 of her students. If you know an everyday hero, tag @cocacola and help us highlight their story. :red_heart_selector:'",20844,5.233,4453,110,4563,,
CAI6cgGncoR,cocacola,2020-05-13 19:10,no,False,sharehope,,"b'Over the last few weeks, we\xe2\x80\x99ve seen communities come together to applaud heroes, connect with loved ones any way they can, and participate in random acts of kindness and moments of real joy. Wherever we see hope, we\xe2\x80\x99re sharing it. And we hope that you do too. #ShareHope'",0,0,7395,253,7648,,
B-rjfZunXHl,cocacola,2020-04-07 13:00,no,False,,,b'Stay tuned to our highlighted stories to see important messages from our trusted partners. :red_heart_selector:',0,0,28137,658,28795,,
B-ptB7uHP6B,cocacola,2020-04-06 19:45,no,False,,,b'Together we can do more than any one of us alone. :red_heart_selector:',0,0,11449,266,11715,,
B9DEOLUHFTE,cocacola,2020-02-26 23:05,no,False,,,b'Get your sparkle on.',0,0,8367,538,8905,,
B8wwUXOnS_k,cocacola,2020-02-19 20:25,no,False,mycocacola,,b'Self expression radiates from Ricky. #MyCocaCola',0,0,8413,233,8646,,
B8g_cy8g7ni,cocacola,2020-02-13 17:30,no,False,"friend,share",,b'And to every #friend we #share them with. :hugging_face:',0,0,6001,216,6217,,
B7_TYeEAwkL,cocacola,2020-01-31 15:30,no,False,mycocacola,,b'Nazziwa and Fred showing that good times happen wherever there\xe2\x80\x99s good company. #MyCocaCola',0,0,11727,461,12188,,
B7tJJdOnWlP,cocacola,2020-01-24 14:14,no,False,nationalcomplimentday,,b':right_arrow_selector:to pick a compliment and tag a buddy! #NationalComplimentDay',0,0,14565,991,15556,,
B7ot_tBJyWq,cocacola,2020-01-22 21:00,no,False,mycocacola,,b'Seeing the :globe_showing_Americas: with a little more :red_heart_selector: thanks to An An. #MyCocaCola',0,0,8404,414,8818,,
B7bhbHYgM75,cocacola,2020-01-17 18:00,no,False,,,b'Slow down and enjoy the sip.',0,0,6574,373,6947,,
B7WsbcYAqBW,cocacola,2020-01-15 21:00,no,False,mycocacola,,b'You can wear positivity anyway you please. Just ask Sirena. #MyCocaCola',0,0,10025,169,10194,,
B7J-wRWApzy,cocacola,2020-01-10 22:30,no,False,,,b'Amiright?:clapping_hands:',0,0,10529,282,10811,,
B6yHMEwnKlU,cocacola,2020-01-01 16:01,no,False,happynewyear,justfeng,"b""\xe2\x80\x9cRemember to love all of it and remember to share it. It's a good year to have a good year.\xe2\x80\x9d Los Angeles dancer/choreographer @justfeng on how he\xe2\x80\x99s getting together with friends to start 2020 off on the right foot. #HappyNewYear""",0,0,12078,284,12362,,
B6lEsaIA1NW,cocacola,2019-12-27 14:30,no,False,,,b'Nazziwa serving squad goals in style. :smiling_face_with_sunglasses::camera:: Nazziwa Joan',0,0,8802,130,8932,,
B6bXR-mpi-T,cocacola,2019-12-23 20:00,no,False,,lorraineloots,"b'Miniature artist @lorraineloots, proving that big cheer comes in small packages. :hugging_face:'",0,0,16568,358,16926,,
B6TUTLlg2cQ,cocacola,2019-12-20 17:00,no,False,,,b'Friends and family. Hugs and happiness. What are your favorite gifts? :wrapped_gift:',0,0,7570,203,7773,,
B6OYcJxAKNp,cocacola,2019-12-18 19:00,no,False,,,b'Who are you most excited to visit this holiday season? :automobile:',0,0,16777,231,17008,,
B6JlKjCAa50,cocacola,2019-12-16 22:15,no,False,,,b'Smiles shining brighter than a :Christmas_tree:',0,0,9540,151,9691,,
B55RS0Vng5w,cocacola,2019-12-10 14:13,no,False,,linkierox,b'@linkierox showing that even the smallest act makes the world a more positive place.',0,0,7124,190,7314,,
B5vpMwVg5tK,cocacola,2019-12-06 20:30,no,False,,,b'Iris showing the world how to properly rock refreshment. :smiling_face_with_heart-eyes:',0,0,7463,124,7587,,
B5adF9_AGy_,cocacola,2019-11-28 15:00,no,False,thanksgiving,,b'\xe2\x80\xa6and we\xe2\x80\x99re thankful to share it with you. #Thanksgiving',0,0,8961,201,9162,,
B45mgd0AgAD,cocacola,2019-11-15 20:47,no,False,kindnessstartswith,,"b'For Erika W., #KindnessStartsWith two simple acts \xe2\x80\x94 a hello and a smile. :grinning_face_with_smiling_eyes:'",0,0,12485,288,12773,,
B45mVkLAVPk,cocacola,2019-11-15 20:46,no,False,kindnessstartswith,,b'#KindnessStartsWith acceptance for Kelly K. :hugging_face:',0,0,11786,155,11941,,
B45mSAKAnBf,cocacola,2019-11-15 20:45,no,False,kindnessstartswith,,b'#KindnessStartsWith selflessness for Tammy. :red_heart_selector:',0,0,5700,66,5766,,
B42g5O3gt24,cocacola,2019-11-14 16:00,no,False,kindnessstartswith,,b'#KindnessStartsWith putting others first for Linda B. :sun_selector:',0,0,4909,74,4983,,
B42g364g0sK,cocacola,2019-11-14 16:00,no,False,kindnessstartswith,,"b'Monica M. reminds us that #KindnessStartsWith patience, love, and compassion.'",0,0,9695,145,9840,,
B42g2x7AOnN,cocacola,2019-11-14 16:00,no,False,kindnessstartswith,,"b'For Dave S., #KindnessStartsWith thoughtfulness.'",0,0,5093,54,5147,,
B40SeuQHXtr,cocacola,2019-11-13 19:16,no,False,"kindnessstartswith,kindnessstartswith,worldkindnessday",,b'#KindnessStartsWith the smallest act. Share what you think #KindnessStartsWIth in the comments below. #WorldKindnessDay',0,0,5438,75,5513,,
B40Sb07nGB4,cocacola,2019-11-13 19:15,no,False,"kindnessstartswith,kindnessstartswith,worldkindnessday",jennetliaw,b'#KindnessStartsWith outstretched hands for artist @jennetliaw. Comment and let us know what you think #KindnessStartsWith. #WorldKindnessDay',0,0,5311,41,5352,,
B40SLnDn6cg,cocacola,2019-11-13 19:13,no,False,"kindnessstartswith,worldkindnessday",,b'Kindness starts with doing good for others. Share what you think #KindnessStartsWith in the comments below. #WorldKindnessDay',0,0,5277,71,5348,,
B4z8WQbnQrO,cocacola,2019-11-13 16:02,no,False,"kindnessstartswith,worldkindnessday",nikkimiles_,b'We asked artists around the world what #KindnessStartsWith. Here\xe2\x80\x99s what London illustrator @nikkimiles_ had to say: \xe2\x80\x9cKindness starts with loving yourself. I have chosen to say this because I believe that self love gives people the optimism and energy to share kindness with others.\xe2\x80\x9d #WorldKindnessDay',0,0,4789,53,4842,,
B4z8QW4np5F,cocacola,2019-11-13 16:02,no,False,"kindnessstartswith,worldkindnessday",jacquelinewhitney_,"b'We\xe2\x80\x99re partnering with artists from all over to learn more about what #KindnessStartsWith. \xe2\x80\x9cBeing empathetic is the knowledge that we all are imperfect human-beings\xe2\x80\xa6 and sometimes we need someone to remind us we\xe2\x80\x99re not alone. Kindness is taking that empathetic knowledge and acting on it.\xe2\x80\x99\xe2\x80\x9d \xe2\x80\x94 @jacquelinewhitney_, writer #WorldKindnessDay'",0,0,4573,54,4627,,
B4z8ImJn5vq,cocacola,2019-11-13 16:01,no,False,"kindnessstartswith,kindnessstartswith,worldkindnessday",karabo_poppy,b'#KindnessStartsWith diversity for South African artist @karabo_poppy. What do you think #KindnessStartsWith? #WorldKindnessDay',0,0,5967,60,6027,,
B4zu11enHVl,cocacola,2019-11-13 14:04,no,False,"kindnessstartswith,kindnessstartswith,worldkindnessday",,b'#KindnessStartsWith sharing in Canada. What does #KindnessStartsWith in your hometown? #WorldKindnessDay',0,0,4160,35,4195,,
B4zuw56nFR2,cocacola,2019-11-13 14:04,yes,False,"kindnessstartswith,worldkindnessday",dyanapyehchek,b'#KindnessStartsWith a helping hand for artist @dyanapyehchek. Let us know below what kindness means to you. #WorldKindnessDay',32696,9.206,5256,70,5326,,
B4zurdvHvP_,cocacola,2019-11-13 14:03,no,False,"kindnessstartswith,worldkindnessday",,"b'#KindnessStartsWith legowo in Indonesia, which translates to sincerity. What does kindness mean to you? #WorldKindnessDay'",0,0,3853,30,3883,,
B4yw1denpCn,cocacola,2019-11-13 05:03,no,False,"kindnessstartswith,kindnessstartswith,worldkindnessday",,b'#KindnessStartsWith friendliness in Uganda. Share in the comments what you think #KindnessStartsWith. #WorldKindnessDay',0,0,4636,29,4665,,
B4ywwiMnpBW,cocacola,2019-11-13 05:02,no,False,"kindnessstartswith,worldkindnessday,kindnessstartswith",,"b'#KindnessStartsWith different things for different people. This #WorldKindnessDay, we want to know what you think #KindnessStartsWith.'",0,0,14239,611,14850,,
B4ywrx4HnZN,cocacola,2019-11-13 05:01,no,False,"kindnessstartswith,kindnessstartswith,worldkindnessday",,"b'#KindnessStartsWith Ubuntu in South Africa, loosely translated as \xe2\x80\x9cour connection to others.\xe2\x80\x9d Comment and let us know what you think #KindnessStartsWith. #WorldKindnessDay'",0,0,4492,37,4529,,
B4nJSRynsYx,cocacola,2019-11-08 16:45,no,False,,,b'Zoom to see what\xe2\x80\x99s coming 11.13.',0,0,16316,263,16579,,
B4nJPGCHu-o,cocacola,2019-11-08 16:45,yes,False,,,b'Keep your :eyes: and :red_heart_selector: open...',33193,3.633,7483,96,7579,,
B4nJMtMnzY2,cocacola,2019-11-08 16:45,no,False,,,b'Tap to see what\xe2\x80\x99s coming 11.13.',0,0,14219,97,14316,,
B1J2t74Hqsn,cocacola,2019-08-14 18:11,no,False,,moniqueaimee,"b""\xe2\x80\x9cI always look forward to seeing my family and friends when I'm back home. Quality family time can't be beat!\xe2\x80\x9d \xe2\x80\x94 artist @moniqueaimee""",0,0,14845,1206,16051,,
B1J2rcpHp3r,cocacola,2019-08-14 18:11,no,False,,moniqueaimee,"b""\xe2\x80\x9cIf I go out to the movies, chances are high that my purse is filled with snacks - but an outdoor movie night means I won't get in trouble for talking or sneaking snacks!\xe2\x80\x9d \xe2\x80\x94 artist @moniqueaimee on one of her favorite activities.""",0,0,8582,164,8746,,
B1J2mStnkDG,cocacola,2019-08-14 18:10,no,False,,moniqueaimee,b'\xe2\x80\x9cI\xe2\x80\x99ve illustrated my ideal staycation of an outdoor movie night! Now what movie to pick\xe2\x80\xa6?\xe2\x80\x9d \xe2\x80\x94 artist @moniqueaimee on her illustration.',0,0,12763,150,12913,,
BzgZUBvnjDm,cocacola,2019-07-04 19:14,no,False,,,b'\xc6\x90s\xc6\x83u\xe1\xb4\x89\xc9\xa5\xe2\x94\xb4\xc9\xb9\xc7\x9d\xc6\x83u\xc9\x90\xc9\xb9\xca\x87S# \xc7\x9d\xca\x9eo\xc6\x86\xc7\x9d\xca\x8c\xc9\x90S# s\xc6\x83\xc9\x90\xca\x87\xc9\xa5s\xc9\x90\xc9\xa5 \xc7\x9d\xc9\xa5\xca\x87 pp\xc9\x90 o\xca\x87 \xca\x87\xc7\x9d\xc6\x83\xc9\xb9o\xc9\x9f \xca\x87\xe2\x80\x99uop \xcb\x99sn \xc7\x9d\xca\x8c\xc9\x90s o\xca\x87 \xc7\x9d\xc6\x83\xc9\x90ss\xc7\x9d\xc9\xaf u\xc7\x9dpp\xe1\xb4\x89\xc9\xa5 \xc7\x9d\xc9\xa5\xca\x87 \xca\x87u\xc7\x9d\xc9\xaf\xc9\xafo\xc6\x86 \xcb\x99s\xc7\x9dnl\xc9\x94 \xc7\x9d\xc9\xa5\xca\x87 ll\xc9\x90 \xca\x87\xc9\x94\xc7\x9dllo\xc9\x94 o\xca\x87 \xc9\xafooz pu\xc9\x90 \xc9\xa5\xc9\x94u\xe1\xb4\x89\xd4\x80 \xc2\xa1\xca\x8eln\xc5\xbf \xc9\x9fo \xc9\xa5\xca\x87\xe3\x84\xa3 s\xe1\xb4\x89\xc9\xa5\xca\x87 dl\xc7\x9d\xc9\xa5 \xc9\xb9no\xca\x8e sp\xc7\x9d\xc7\x9du su\xe1\xb4\x89\xca\x9e\xca\x8d\xc9\x90H',0,0,15065,673,15738,,
BzgZQfkHiMG,cocacola,2019-07-04 19:13,no,False,,,b'\xc6\x90s\xc6\x83u\xe1\xb4\x89\xc9\xa5\xe2\x94\xb4\xc9\xb9\xc7\x9d\xc6\x83u\xc9\x90\xc9\xb9\xca\x87S# \xc7\x9d\xca\x9eo\xc6\x86\xc7\x9d\xca\x8c\xc9\x90S# s\xc6\x83\xc9\x90\xca\x87\xc9\xa5s\xc9\x90\xc9\xa5 \xc7\x9d\xc9\xa5\xca\x87 pp\xc9\x90 o\xca\x87 \xca\x87\xc7\x9d\xc6\x83\xc9\xb9o\xc9\x9f \xca\x87\xe2\x80\x99uop \xc2\xa1sp\xe1\xb4\x89\xca\x9e su\xe1\xb4\x89\xca\x9e\xca\x8d\xc9\x90H \xc7\x9d\xc9\xa5\xca\x87 \xc7\x9d\xca\x8c\xc9\x90s o\xca\x87 \xc7\x9d\xc6\x83\xc9\x90ss\xc7\x9d\xc9\xaf u\xc7\x9dpp\xe1\xb4\x89\xc9\xa5 \xc7\x9d\xc9\xa5\xca\x87 \xca\x87u\xc7\x9d\xc9\xaf\xc9\xafo\xc6\x86 \xcb\x99s\xc7\x9dnl\xc9\x94 \xc7\x9d\xc9\xa5\xca\x87 ll\xc9\x90 \xca\x87\xc9\x94\xc7\x9dllo\xc9\x94 o\xca\x87 \xc9\xafooz pu\xc9\x90 \xc9\xa5\xc9\x94u\xe1\xb4\x89\xd4\x80 \xc2\xbf\xc9\xb9\xc7\x9d\xc9\xa5\xca\x87\xc7\x9d\xc6\x83o\xca\x87 s\xc7\x9d\xc9\x94\xc7\x9d\xe1\xb4\x89d \xc7\x9d\xc9\xa5\xca\x87 \xca\x87nd o\xca\x87 s\xc7\x9d\xca\x9e\xc9\x90\xca\x87 \xca\x87\xe1\xb4\x89 \xca\x87\xc9\x90\xc9\xa5\xca\x8d \xca\x87o\xc6\x83 no\xca\x8e \xca\x9eu\xe1\xb4\x89\xc9\xa5\xe2\x94\xb4',0,0,17581,214,17795,,
BzgZLQTnk25,cocacola,2019-07-04 19:13,no,False,,,b'\xc6\x90s\xc6\x83u\xe1\xb4\x89\xc9\xa5\xe2\x94\xb4\xc9\xb9\xc7\x9d\xc6\x83u\xc9\x90\xc9\xb9\xca\x87S# \xc7\x9d\xca\x9eo\xc6\x86\xc7\x9d\xca\x8c\xc9\x90S# s\xc6\x83\xc9\x90\xca\x87\xc9\xa5s\xc9\x90\xc9\xa5 \xc7\x9d\xc9\xa5\xca\x87 pp\xc9\x90 o\xca\x87 \xca\x87\xc7\x9d\xc6\x83\xc9\xb9o\xc9\x9f \xca\x87\xe2\x80\x99uop \xcb\x99sn \xc7\x9d\xca\x8c\xc9\x90s o\xca\x87 \xc7\x9d\xc6\x83\xc9\x90ss\xc7\x9d\xc9\xaf u\xc7\x9dpp\xe1\xb4\x89\xc9\xa5 \xc7\x9d\xc9\xa5\xca\x87 \xca\x87u\xc7\x9d\xc9\xaf\xc9\xafo\xc6\x86 \xcb\x99\xca\x8e\xc9\x90po\xca\x87 s\xc7\x9dnl\xc9\x94 \xc7\x9d\xc9\xa5\xca\x87 ll\xc9\x90 l\xc9\x90\xc7\x9d\xca\x8c\xc7\x9d\xc9\xb9 o\xca\x87 \xc9\xafooz pu\xc9\x90 \xc9\xa5\xc9\x94u\xe1\xb4\x89\xd4\x80 \xc2\xbfu\xca\x8dop \xc7\x9dp\xe1\xb4\x89sdn s\xe1\xb4\x89 pl\xc9\xb9o\xca\x8d \xc9\xb9\xe1\xb4\x89\xc7\x9d\xc9\xa5\xca\x87 u\xc7\x9d\xc9\xa5\xca\x8d su\xe1\xb4\x89\xca\x9e\xca\x8d\xc9\x90H \xc7\x9d\xca\x8c\xc9\x90s ll\xe1\xb4\x89\xca\x8d \xca\x87\xc9\x90\xc9\xa5M',0,0,15240,165,15405,,
BzYzMamHelR,cocacola,2019-07-01 20:26,yes,False,"strangerthings3,enjoy",,"b'Is it just us, or does this summer feel a little strange? :eyes: #StrangerThings3 #Enjoy'",393805,6.966,48045,722,48767,,
BzYzIwznvNp,cocacola,2019-07-01 20:26,yes,False,"strangerthings3,enjoy",,b'This summer is getting stranger by the minute. #StrangerThings3 #Enjoy',188595,5.0,25814,180,25994,,
BzYzD0mnFwe,cocacola,2019-07-01 20:25,yes,False,"strangerthings3,enjoy",,b'When summer love turns upside down. #StrangerThings3 #Enjoy',165988,7.0,23491,204,23695,,
ByDCpxsH7aA,cocacola,2019-05-29 13:06,no,False,"enjoy,limitededition,strangerthings3,giftwithpurchase",,b'#Enjoy the retro flavor formula in a #LimitedEdition can! Link in bio. #StrangerThings3 #GiftWithPurchase',0,0,28037,3937,31974,,
ByDCkAGHaRy,cocacola,2019-05-29 13:06,no,False,"strangerthings3,enjoy,giftwithpurchase,limitededition",,b'The most refreshing way to travel back to 1985. Link in bio. #StrangerThings3 #Enjoy #GiftWithPurchase #LimitedEdition',0,0,27357,682,28039,,
ByDCauOHwcX,cocacola,2019-05-29 13:04,no,False,"strangerthings3,enjoy,giftwithpurchase,limitededition",,b'Chilling like it\xe2\x80\x99s 1985. Grab it while you can! Link in bio. #StrangerThings3 #Enjoy #GiftWithPurchase #LimitedEdition',0,0,43187,849,44036,,
Buv_rUIH2bE,cocacola,2019-03-08 14:01,no,False,internationalwomensday,,"b'\xe2\x80\x9cIf I could go back & give myself advice, it would be to ALWAYS include playtime in my work! Make it light, remind yourself of why you love this. Never forget that we\xe2\x80\x99re here for a tiny period. It\xe2\x80\x99s our mission to make the most of it!\xe2\x80\x9d \xe2\x80\x94 artist Mel Cerri. #InternationalWomensDay'",0,0,16017,540,16557,,
Buv_odBHS0k,cocacola,2019-03-08 14:00,no,False,internationalwomensday,superniceletters,"b'\xe2\x80\x9cExplore the unique, endless possibilities within you. Never give up on your dreams.\xe2\x80\x9d \xe2\x80\x94 artist @superniceletters on her advice for women everywhere. #internationalwomensday'",0,0,21885,271,22156,,
Buv_lN8HTWR,cocacola,2019-03-08 14:00,no,False,internationalwomensday,marlenesilveira,"b'\xe2\x80\x9cAs women, we can\xe2\x80\x99t wait around for someone to give us the future we want. We have to build it ourselves. We are strong! We are resilient! And we can achieve anything! Our future is now!\xe2\x80\x9d \xe2\x80\x94 artist @marlenesilveira #internationalwomensday'",0,0,17674,325,17999,,
Bt33IBTnASb,cocacola,2019-02-14 18:48,no,False,"valentinesday,togetherisbeautiful",,b'Tag your ride or die. :skateboard: #ValentinesDay #TogetherIsBeautiful',0,0,13433,510,13943,,
Bt329r6n5Cx,cocacola,2019-02-14 18:47,no,False,"valentinesday,togetherisbeautiful",,b'Tag the person you\xe2\x80\x99re totally over the moon for.:last_quarter_moon_face: #ValentinesDay #TogetherIsBeautiful',0,0,17016,325,17341,,
Bt323fDnV0K,cocacola,2019-02-14 18:46,no,False,"valentinesday,togetherisbeautiful",,b'Name the one song that reminds you of your valentine. :musical_notes: #ValentinesDay #TogetherIsBeautiful',0,0,12560,212,12772,,
BtcF-sNna5Y,cocacola,2019-02-03 23:59,no,False,togetherisbeautiful,,"b'A Coke is a Coke is a Coke. It\xe2\x80\x99s the same for everyone. You can get one if you want it, no matter where you\xe2\x80\x99re from. #TogetherIsBeautiful'",0,0,10918,330,11248,,
BtcF8PzHsBq,cocacola,2019-02-03 23:59,no,False,togetherisbeautiful,,"b'He drinks Coke and she drinks Coke, even though they disagree. And while the bottles look alike, you aren\xe2\x80\x99t the same as me. #TogetherIsBeautiful'",0,0,9223,111,9334,,
