shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIGKpHdlPok,cvspharmacy,2020-11-27 13:45,no,False,,lionelthehog,"b'Need a little joy? Get up to 75% off online photo orders through tomorrow 11.28, including buy one, get one free photo card sets. With hundreds of customizable templates and free same-day pickup, you can spread holiday cheer with your furry \xe2\x80\x93 or spiky! \xe2\x80\x93 bff. :camera_with_flash: @lionelthehog'",0,0,217,8,225,,
CIEN3x2ngRU,cvspharmacy,2020-11-26 19:34,no,False,,,b'We\xe2\x80\x99re thankful for our colleagues who are working hard today and every day so everyone can have a healthy and festive holiday.',0,0,334,24,358,,
CH7_4MMg6PN,cvspharmacy,2020-11-23 14:58,no,False,,,b'And the winner is \xe2\x80\xa6 drum emojis\xe2\x80\xa6 apple pie! Look for inspirational holiday ingredients in our grocery aisle. Now let\xe2\x80\x99s eat! :green_apple: :red_apple:',0,0,301,27,328,,
CH5Vh5wDl_K,cvspharmacy,2020-11-22 14:10,no,False,,,"b'Pick your pie! Vote in the comments in our sweetest showdown ever: :chocolate_bar: for chocolate cream pie, :jack-o-lantern: for pumpkin pie, or :green_apple: for apple pie. We also accept write-ins. Check back to see the winner!'",0,0,490,94,584,,
CH3QDNDHt1g,cvspharmacy,2020-11-21 18:43,yes,False,,,b'Need a little spirit? Holiday decorating is a snap when you\xe2\x80\x99ve got decor and more right down the street. :Christmas_tree:',3513,7.7,233,21,254,,
CH2t32jDaNO,cvspharmacy,2020-11-21 13:45,no,False,,,b':sparkles: Need a little sparkle? Get festive early this year with d\xc3\xa9cor that\xe2\x80\x99s sure to spread holiday cheer!',0,0,414,8,422,,
CH1FZQ-gzVD,cvspharmacy,2020-11-20 22:32,no,False,,,b'We\xe2\x80\x99re so thankful for family activities! This cute feather printable is perfect for practicing gratitude together. Link in bio to print.',0,0,207,4,211,,
CHfll3HLKRH,cvspharmacy,2020-11-12 14:10,no,False,,,b'Need a little something right this very moment? Get an early jump on your holiday shopping with great gifts you know they\xe2\x80\x99ll love. :wrapped_gift:',0,0,405,47,452,,
CHc9FOFhdX9,cvspharmacy,2020-11-11 13:37,no,False,wellnesswednesday,,"b'It\xe2\x80\x99s #WellnessWednesday, and we want to talk sleep :sleeping_face:. Your body needs sleep to help your immune system work properly. When you sleep, your body produces certain proteins that may help when you have an infection or inflammation. Additionally, when you are sleep deprived, the presence of infection-fighting cells and antibodies can decrease. Check out our stories for more info!'",0,0,218,19,237,,
CHYmgSFHKEW,cvspharmacy,2020-11-09 21:03,no,False,,,b'Need a little holiday inspiration? Make your cards shine with our tried-and-true tips. :love_letter:',0,0,167,37,204,,
CHQlWcyAJy2,cvspharmacy,2020-11-06 18:19,no,False,,,b'Need a little sparkle? Start your holiday decorating session with a clean slate. Spritz and spray your home so those seasonal flourishes really shine. :sparkles:',0,0,246,44,290,,
CHDKinAMvbt,cvspharmacy,2020-11-01 13:15,no,False,,,b'It\xe2\x80\x99s the best day of the year!!! :lollipop:',0,0,1514,61,1575,,
CHDKinAMvbt,cvspharmacy,2020-11-01 13:15,no,False,,,b'It\xe2\x80\x99s the best day of the year!!! :lollipop:',0,0,1514,61,1575,,
CHAi4mts7Gq,cvspharmacy,2020-10-31 12:50,no,False,,,b'Feeling :grinning_face_with_big_eyes: happy or :dizzy_face: horrified this Halloween? Tell us your number! We\xe2\x80\x99ve been a 4 all 2020.',0,0,323,62,385,,
CG92xdlAIgP,cvspharmacy,2020-10-30 11:46,no,False,,,"b""Judge him by his size, do you? We've got all your snacks, goodies and even a little someone extra for a premier-worthy Friday night in.""",0,0,493,35,528,,
CG7WtxhrbYq,cvspharmacy,2020-10-29 12:27,no,False,nationalcatday,jinxythecat_,b'Letting the cat out of the bag. The best playhouses are free! :cat_face: :shopping_bags_selector: #NationalCatDay :camera_with_flash: @jinxythecat_',0,0,367,21,388,,
CG5d19cj3_x,cvspharmacy,2020-10-28 18:51,no,False,staypreparedwithcvs,,"b':sparkles: Do you know the difference between cleaning and disinfecting? It all has to do with how you remove germs from a surface. *Cleaning physically removes dirt, germs and impurities from a surface. *Disinfecting uses chemicals to kill germs on a surface but doesn\xe2\x80\x99t necessarily remove the germs or dirt. Check out the link in our bio to shop and for more information on cleaning and disinfecting high-touch surfaces. #StayPreparedWithCVS'",0,0,172,14,186,,
CGxNUNdHoan,cvspharmacy,2020-10-25 13:52,no,False,,,"b'Our Zombie Punch is the special Halloween surprise your kids will craaaaaave.\n:zombie: Zombie Punch:\n:pineapple: Drink: Mix 2 parts pineapple juice to 1 part Powerade Mountain Berry Blast.\n:heart_decoration: Purple sugar rim: Mix blue and red food coloring with granulated sugar.\n:bug: Presentation: Dip the rims of the glasses in simple syrup or honey, then dip into purple sugar. Add ice to glasses and pour the drink mixture in. Top with some Haribo Sweet and Sour Gummy snakes and add a straw.'",0,0,276,23,299,,
CGpboXShlWa,cvspharmacy,2020-10-22 13:24,no,False,,,b':popcorn: Serve up a sweet and spooky movie night by mixing a variety of candy treats to your favorite flavored popcorn. Link in bio to shop.',0,0,399,33,432,,
