shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CG781vLF0n9,dell,2020-10-29 18:00,yes,False,sustainability,,b'Did you know we\xe2\x80\x99ve used millions of pounds of closed-loop plastics to make new parts in over 125 different products? \n\nDiscover how we\xe2\x80\x99re building #sustainability into everything we do. \n:gear_selector::package::recycling_symbol_selector:Link in bio.',25104,8.0,2511,126,2637,,
CG5Wtt3F7hY,dell,2020-10-28 17:49,yes,False,"progressmadereal,sustainabilityday",,"b'Sustainability is key to our #ProgressMadeReal plan. :seedling: EcoLoop:trade_mark: designated products utilize an innovative coloring process that generates up to 90% less wastewater, 62% less CO2 emissions, and uses up to 29% less energy than traditional dyeing processes. :recycling_symbol_selector:\n\n:globe_showing_Europe-Africa: Tap video for product details. \n#SustainabilityDay\n \xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\n \xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80'",6941,32.733,1016,24,1040,,
CGVKfQvgKyz,dell,2020-10-14 16:29,yes,False,"ewaste,recycle,progressmadereal",,"b'We make recycling #ewaste easy. Box up your old or unused devices- any brand, in any condition - and we\xe2\x80\x99ll #recycle it for free. \n\n:package: :recycling_symbol_selector: :globe_showing_Americas:Visit link in bio to learn how. \n#ProgressMadeReal'",24620,15.0,2340,107,2447,,
CFzuVZrlR24,dell,2020-10-01 16:48,no,False,dellxps,,"b'Built to impress, the #DellXPS 13 breaks the boundaries of performance with the latest 11th Gen Intel:registered: Core:trade_mark: processors.\n\nTap image for product details.'",0,0,4869,161,5030,,
CFSBmdxJoRS,dell,2020-09-18 14:44,yes,False,delllatitude,"scottrohde23,jacobwowens",b'Roam \xe2\x80\xa2 Wander \xe2\x80\xa2 Explore :leaf_fluttering_in_wind:\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\n:mountain:Outdoor Adventurer @scottrohde23 knows how to branch out in nature and stay connected with his #DellLatitude 9510. :globe_with_meridians:\n\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80 \xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\nTap product tag for details.\n:camera_with_flash: @jacobwowens',15625,4.966,1777,73,1850,Carson National Forest,36.3822278 -105.5873169
CEhOP4jH9S2,dell,2020-08-30 15:50,no,False,,,b'Mentally we are here:round_pushpin:\nWhere does your background transport you to? :beach_with_umbrella: :sun_selector:',0,0,17256,134,17390,,
CEXFmkUjqnh,dell,2020-08-26 17:22,no,False,internationaldogday,,b'Happy #InternationalDogDay! Meet our favorite co-workers and also the stars of our conference calls. :paw_prints: Which dog do you want to chat with?',0,0,2319,126,2445,,
CEWwJ0Dl8AP,dell,2020-08-26 14:15,yes,False,dellxps,,b'Every detail inspires the mixtape of your life. What will you create with the #DellXPS 15 Creator Edition?',22310,14.566,1651,147,1798,,
CEUTGhrnN98,dell,2020-08-25 15:22,no,False,,,"b'Meet the new Precision 3240 Compact. Minimal footprint, maximum power. (Banana for scale)\n \xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\n:label: Tap image for product details.'",0,0,10327,133,10460,,
CEIq7gLF1Ad,dell,2020-08-21 03:00,no,False,,,b'Planning the weekend like...',0,0,6268,101,6369,,
