shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIHKT9uBQaP,dillards,2020-11-27 23:01,no,False,,,b'Viva la velvet! :sparkles:',0,0,810,9,819,,
CIG19umBF_A,dillards,2020-11-27 20:03,no,False,,,b'A piece this gorgeous deserves to live on! Swipe to see how to transform these beautiful bassinets into a practical piece of furniture to cherish long after baby is grown! :sparkles:',0,0,391,3,394,,
CIE8K1mhKGo,dillards,2020-11-27 02:19,no,False,,,b'Tag someone who needs to know this is on the top of your holiday wishlist this year! :paw_prints::smiling_face_with_heart-eyes:',0,0,2347,33,2380,,
CID4zemhTnU,dillards,2020-11-26 16:30,no,False,,,"b'Additional 50% Off Permanently Reduced Merchandise in Men\xe2\x80\x99s Apparel, Lingerie, Home, and Ladies Accessories! Additional 40% Off Permanently Reduced Merchandise in Handbags!'",0,0,603,26,629,,
CIDgzn9g59G,dillards,2020-11-26 13:01,no,False,,,b'Happy Holidays! Take 40% Off Select Christmas Decor! Make your home a little more merry this Christmas season!',0,0,738,6,744,,
CIChR1fBixy,dillards,2020-11-26 03:45,no,False,,,"b'Hello, sweater weather :fallen_leaf:'",0,0,2098,8,2106,,
CICQbl1Bj6V,dillards,2020-11-26 01:18,no,False,,,b'Major sleeve envy :star-struck:',0,0,574,4,578,,
CIB4le5hwZ5,dillards,2020-11-25 21:50,no,False,,,b'Edgy details to complete your look for fall! :multiplication_sign:',0,0,439,1,440,,
CH_7XPNhmdD,dillards,2020-11-25 03:36,no,False,,,b'This season\xe2\x80\x99s sweater lineup! :star-struck:',0,0,378,10,388,,
CH_uOcxBU5x,dillards,2020-11-25 01:41,no,False,,,b'Living-room ready! :sparkles:',0,0,763,16,779,,
CH-62WahoP6,dillards,2020-11-24 18:12,no,False,tuesdayshoesday,,b'Kicking our feet up for the coziest #TuesdayShoesday! :smiling_face_with_3_hearts:',0,0,488,4,492,,
CH9c8V5hk4Y,dillards,2020-11-24 04:31,no,False,,,b'Add a little shine!:sparkles:',0,0,397,9,406,,
CH9J5nHh7Rh,dillards,2020-11-24 01:45,no,False,,,"b""Tune in to Est\xc3\xa9e Lauder's Educational Expert, Jenna Robbins, as she shares tips on finding the perfect Holiday gifts for everyone on your list! Tune in tomorrow at 4pm CST!""",0,0,176,0,176,,
CH8rT-2B7y-,dillards,2020-11-23 21:18,no,False,,,b'A cozy close up!',0,0,481,3,484,,
CH6bQ0kBT4h,dillards,2020-11-23 00:19,no,False,,,b'Sweater weather is in full swing:fallen_leaf:',0,0,663,1,664,,
CH4I1KaBMd1,dillards,2020-11-22 02:59,no,False,,,b'Dreaming of this fall color scheme :fallen_leaf:',0,0,2535,26,2561,,
CH3vkJaB_Zi,dillards,2020-11-21 23:19,no,False,,,b'Feel good fluff! :sparkles:',0,0,820,2,822,,
CH1l3wLhceB,dillards,2020-11-21 03:15,no,False,,,b'Feeling festive!:sparkles:',0,0,3953,27,3980,,
CH1e6guBuyi,dillards,2020-11-21 02:15,no,False,,,b'The outfit to wear all season long! :fallen_leaf:',0,0,863,9,872,,
CH1MqxehEHP,dillards,2020-11-20 23:35,no,False,,,"b'Jewel-tone satin paired with a chic faux fur coat? Yes, please! :star-struck:'",0,0,2850,13,2863,,
CHyzajPBCqX,dillards,2020-11-20 01:16,no,False,,,b'Leopard print is always a good idea! :paw_prints::star-struck:',0,0,981,6,987,,
CHyau-zh4J5,dillards,2020-11-19 21:40,no,False,,,b'Activewear that looks great at every angle! :sparkles:',0,0,401,4,405,,
CHwbPHWBFHP,dillards,2020-11-19 03:06,no,False,,,b'Don\xe2\x80\x99t cover your outfit- compliment it!:smiling_face_with_heart-eyes:',0,0,576,6,582,,
CHwUeOOBk4O,dillards,2020-11-19 02:07,no,False,,interiordesignerella,"b'Whether you dress them up or down, these boots are a wardrobe staple! :fallen_leaf::smiling_face_with_heart-eyes: @interiordesignerella'",0,0,1251,10,1261,,
CHwATTVBsWW,dillards,2020-11-18 23:11,no,False,,,b'Spotted: the coziest sweater for spending time at home for the holidays! :paw_prints:',0,0,1986,5,1991,,
CHvt0k3hNmA,dillards,2020-11-18 20:29,no,False,,,"b""Come and get your holiday glow-up! Join Emily as she shares her insider tips to brighten, hydrate, and plump your skin! Everything she uses is included in Clinique's Festive Favorites gift set- a great value! Tune in Friday, November 20th at 12pm CST!""",0,0,114,0,114,,
CHt7sNpBWxX,dillards,2020-11-18 03:52,no,False,,,b'Fall favorites your closet needs!:fallen_leaf::smiling_face_with_heart-eyes:',0,0,1553,8,1561,,
CHtl76ghChz,dillards,2020-11-18 00:42,no,False,,,b'Make an entrance? Always! :star-struck:',0,0,471,2,473,,
CHtYvRUBQ-B,dillards,2020-11-17 22:47,no,False,tuesdayshoesday,emmalynlove_,b'#TuesdayShoesday feat. The purrrfect combat boot :paw_prints::paw_prints: @emmalynlove_',0,0,1220,18,1238,,
