shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIBB-f5pFSv,duke_energy,2020-11-25 13:53,no,False,"thankalineman,lineworker,linelife,lineman,thankalineworker",,"b'When Suzy Macke shows up, it\xe2\x80\x99s because there\xe2\x80\x99s a problem. Being able to fix it, is the best part of her job. Macke is a lineworker in Cincinnati. She\xe2\x80\x99s a troubleman, which means she rides solo and is the first responder for most calls from customers. If she can fix it, power is restored faster because the customer won\xe2\x80\x99t have to wait for a larger crew to be dispatched and make repairs. Click the link in our bio to read more.\n.\n.\n.\n#thankalineman #lineworker #linelife #lineman #thankalineworker'",0,0,319,5,324,,
CGIfbLKp43n,duke_energy,2020-10-09 18:22,yes,False,"esg,innovation,renewable,renewableenergy,futureofenergy,energystorage,hydro,ev",,"b""Our mission since bringing electricity to the Carolinas in 1904 has been to power the lives of our customers and the vitality of its communities. By 2050, we plan to achieve net-zero carbon emissions. It\xe2\x80\x99s ambitious, but we're well on our way. Click the link in our bio to learn more.\n.\n.\n.\n#esg #innovation #renewable #renewableenergy #futureofenergy #energystorage #hydro #ev""",1143,60.013,127,40,167,,
CFhWWwtpX8o,duke_energy,2020-09-24 13:32,no,False,"hydropower,renewableenergy,hydroelectricity,frenchbroadriver,hydro,fall",,"b'Marshall Hydroelectric Station is the perfect backdrop for fall. Nestled on the French Broad River in North Carolina, the station began operations in 1910. Quick start-up times make hydroelectric power ideal for providing electricity in a matter of seconds when demand is high. :maple_leaf:\n.\n.\n.\n#hydropower #renewableenergy #hydroelectricity #frenchbroadriver #hydro #fall'",0,0,232,5,237,,
CE4XfHgJdyv,duke_energy,2020-09-08 15:34,yes,False,"cleanenergy,renewables,hydro,renewableenergy,hydroelectric,waterpower",,"b'From the littlest electrical switches to rotors that weigh 300 tons, we recently completed a multi-year renovation at Cowans Ford Hydroelectric Station to update nearly every part of the plant. Cowans Ford, built in 1963, is the company\xe2\x80\x99s largest conventional hydroelectric plant. Located on Lake Norman, north of Charlotte, N.C., it can produce more than 320 megawatts of renewable, carbon-free energy in minutes \xe2\x80\x93 which means it can provide power quickly when demand peaks on hot summer afternoons and cold winter mornings. Click the link in our bio for more.\n.\n.\n.\n#cleanenergy #renewables #hydro #renewableenergy #hydroelectric #waterpower'",2286,30.033,234,10,244,,
CEW4f98pP0j,duke_energy,2020-08-26 15:28,no,False,"aquaticplants,behindthescience,airboat,invasivespecies",,"b'With a souped-up fish finder and an airboat, Brett and Eryn spend the summer on the Catawba and Wateree rivers looking for plants that could cause problems. They\xe2\x80\x99re scientists for our aquatic plant management program, and the sooner they find plants that could crowd waterways, the better it is for those who depend on the water. Click the link in our bio to learn more.\n.\n.\n.\n#aquaticplants #behindthescience #airboat #invasivespecies'",0,0,216,6,222,,
CEKAwfzD-XW,duke_energy,2020-08-21 15:30,no,False,"aquaticplants,behindthescience,airboat,invasivespecies",,b'Join aquatic plant scientists Brett and Eryn as they take over our Instagram account to hunt for invasive plant species. Stay tuned for a behind-the-scenes look at how they protect our waterways.\n.\n.\n.\n#aquaticplants #behindthescience #airboat #invasivespecies',0,0,177,11,188,,
CD1QbkfJ1ZT,duke_energy,2020-08-13 14:02,no,False,"americanwindweek,windenergy,windtech,windturbine,renewableenergy,renewables",,"b'We\xe2\x80\x99re celebrating #AmericanWindWeek by showcasing some of our teammates and their amazing views from across the country. For over a decade, we\xe2\x80\x99ve proudly provided wind energy solutions to businesses, developers and small utilities.\n.\n.\n.\n#windenergy #windtech #windturbine #renewableenergy #renewables'",0,0,343,9,352,,
CDjUIRppGDq,duke_energy,2020-08-06 14:57,yes,False,"helicopter,innovation,thankalineman,linelife,transmission,aviation,lineworker,nucor,nucorproud",nucorcorporation,"b'Behind the orange groves that line U.S. Highway 27 in Frostproof, Fla., a Nucor Steel construction crew is building a first-of-its-kind steel mill for the state. To get transmission lines to the plant, we used helicopters, which was faster and reduced disruptions caused by construction. To build the line, crews still set the bases of the poles like normal, but they were able to skip the time-consuming task of pulling the line from pole to pole. The helicopter pilot attaches a lightweight rope to the aircraft and pulls it from a large spool to each pole where the rope is snapped into a roller attached to the pole. The 2 1/2-mile section of line took one day to complete with helicopters rather than the days or weeks it could have taken a crew. Click the link in our bio to learn more.\n.\n.\n.\n@nucorcorporation #helicopter #innovation #thankalineman #linelife #transmission #aviation #lineworker #nucor #nucorproud'",2563,33.53,353,14,367,,
CBQnVnDp5Y0,duke_energy,2020-06-10 15:28,no,False,"pollinators,renewableenergy,bat,newtech,windturbine,windpower",,"b'The issues facing bats are complex, but these critters are crucial to the ecosystem. Bats are small, they migrate and fly at night, so it\xe2\x80\x99s difficult to learn how many are out there. Some species are struggling with the deadly White Nose Syndrome, while many others face habitat loss, pesticides and the challenges associated with climate change. Wind energy is an additional hurdle. That\xe2\x80\x99s why we\xe2\x80\x99re using new technology to help keep these pollinators safe. The Bat Deterrent System, an ultrasonic acoustic device developed by NRG Systems, reduced overall bat fatalities by 50 percent with reductions of nearly 80 percent in some species. A study published in May found the technology so successful, that we\xe2\x80\x99ve equipped 255 wind turbines at Los Vientos with the device. It will be the first commercial-scale installation in the continental United States. Click the link in our bio to learn more.\n.\n.\n.\n#pollinators #renewableenergy #bat #newtech #windturbine #windpower'",0,0,317,52,369,,
CAsliaOJESi,duke_energy,2020-05-27 15:40,yes,False,"thankalineman,linelife,ncports,portofwilmington,containershipping,ports,maritime,containership,lineworker",northcarolinaports,"b'Last week @northcarolinaports made history, welcoming the largest ship to ever enter the Port of Wilmington. We\xe2\x80\x99re proud to be part of this collaborative effort with local leaders and our crews who raised the transmission line over the Cape Fear River. See what it took to de-energize, climb and raise the lines as massive cranes made their way to the port.\n.\n.\n.\n#thankalineman #linelife #ncports #PortofWilmington #containershipping #ports #maritime #containership #lineworker'",2301,59.521,329,17,346,,
