shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIBXkZFHJdq,ford,2020-11-25 17:01,no,False,"mustangmache,builtfordproud,ford,fordmustang,electricvehicles,ev",,"b'With this much cabin space, you can stretch out on the long stretch of road ahead.\n\n#MustangMachE #BuiltFordProud #Ford #FordMustang #ElectricVehicles #EV\n\n*Preproduction CGI image shown. Available late 2020.'",0,0,47518,759,48277,,
CH-yrY9n3A3,ford,2020-11-24 17:00,no,False,"ford,fordtrucks,ranger,builtfordtough",,b'It\xe2\x80\x99s good to show a little detail.\n.\n#Ford #FordTrucks #Ranger #BuiltFordTough',0,0,56174,312,56486,,
CH8OZNmnQZo,ford,2020-11-23 17:05,no,False,"ford,fordmustang,mustangmach1,mustang,mach1",,"b'After a 40-year absence, Grabber Yellow is back \xe2\x80\x93 available on the 2021 Mustang, Mustang GT, all-new Mustang Mach 1 and Shelby:registered: GT500.:registered:\xe2\x80\x8b\n.\xe2\x80\x8b\n#Ford #FordMustang #MustangMach1 #Mustang #Mach1\xe2\x80\x8b\n.\xe2\x80\x8b\nPreproduction model shown. 2021 Ford Mustang Mach 1 available early spring 2021. GT500 and Shelby are registered trademarks of Carroll Hall Shelby Trust.'",0,0,91459,613,92072,,
CH0hKPfnT_Q,ford,2020-11-20 17:15,no,False,"mustangmache,builtfordproud,ford,fordmustang,electricvehicles,ev",,"b'Pure exhilaration with an EPA-estimated range of 300 miles**\n.\n#MustangMachE #BuiltFordProud #Ford #FordMustang #ElectricVehicles #EV\n.\n**Preproduction computer-generated image shown. Available late 2020.\n**Based on full charge with a Mustang Mach-E Premium with extended range battery and rear-wheel drive.\nActual range varies with conditions such as external elements, driving behaviors, vehicle maintenance,\nlithium ion battery age and state of health.'",0,0,27459,834,28293,,
CHsxCassL1f,ford,2020-11-17 17:00,yes,False,builtforamerica,,"b'After 117 years of building in this country, the Ford Motor Company is no stranger to change. We stand with Americans to turn change into progress. #BuiltForAmerica'",264599,4.8,73290,627,73917,,
CHilyR-HrN6,ford,2020-11-13 18:09,no,False,"mustangmache,builtfordproud,ford,fordmustang,electricvehicles,ev",,b'Can\xe2\x80\x99t stop an icon.\n.\n#MustangMachE #BuiltFordProud #Ford #FordMustang #ElectricVehicles\n#EV\n.\n*Preproduction computer generated image shown. Available Late Summer 2021.',0,0,91913,1052,92965,,
CHf5DC7D7Z4,ford,2020-11-12 17:00,no,False,"ford,fordmustang",,b'We may or may not have left those tire marks.\xe2\x80\x8b\n:camera: Sergio L. + Josh R.\xe2\x80\x8b\n.\n#Ford #FordMustang\n.\nAftermarket accessories shown.',0,0,69170,395,69565,,
CHc_rMNHKna,ford,2020-11-11 14:00,no,False,"proudtohonor,veteransday,veterans,military,militaryfamily,dav,bluestarfamilies,fordtrucks,superduty",,"b'Who are you #ProudToHonor? :backhand_index_pointing_down:\n\xe3\x83\xbb\nWe\xe2\x80\x99re proud to support service members and their families through our Proud to Honor initiative, which builds on our long-standing relationship with military members by raising awareness and donations to give back to those who so selflessly serve.\n\xe3\x83\xbb\n:camera:: Army Major Andrew Brigman and Family Members of Blue Star Families\n#VeteransDay #Veterans #Military #MilitaryFamily #DAV #BlueStarFamilies #FordTrucks #SuperDuty'",0,0,46455,228,46683,,
CHaveQrHnwK,ford,2020-11-10 17:00,no,False,"ford,fordtrucks,fordf150,builtfordtough",,"b""You've earned the right to drive a truck that looks this good.\n.\n#Ford #FordTrucks #FordF150 #BuiltFordTough""",0,0,68888,582,69470,,
CHYKuJYl8sR,ford,2020-11-09 17:01,yes,False,"builtforamerica,ford",,b'The Ford Motor Company does not deny change. We turn it into progress.\n.\n#BuiltForAmerica #Ford',88579,30.033,26098,397,26495,,
