shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CGh46cFjAoM,freddiemaccorp,2020-10-19 15:06,no,False,freddiemaccrew,,"b'Robyn is in her 31st year with Freddie Mac and is a legacy member of the #FreddieMacCrew. Over the years, she has participated in events like Hoops for the Homeless and Run for Shelter 5Ks.'",0,0,58,0,58,Freddie Mac,38.93286 -77.22706
CGQQ-ZRj3Q_,freddiemaccorp,2020-10-12 18:50,no,False,,,"b'Shantelle has lived and breathed mortgage insurance at Freddie Mac for 14 years and says she loves her job. During the COVID-19 pandemic, she\xe2\x80\x99s grateful to have a team that could adapt to allow her to continue delivering on our mission.'",0,0,51,1,52,Freddie Mac,38.93286 -77.22706
CGC33Awjtcs,freddiemaccorp,2020-10-07 14:00,no,False,,,"b'Pamela, who has been part of the Freddie Mac family for 12 years, says one of her most touching memories is when her team created a unique solution to help a widowed woman and her family stay in their home during a very difficult time.'",0,0,26,1,27,Freddie Mac,38.93286 -77.22706
CF-RtIZj9Qc,freddiemaccorp,2020-10-05 19:10,no,False,,,"b'Meet Alan, whose work on the Enterprise Operations team supports our business resiliency, especially in times of crisis. He shares that he saw our company\xe2\x80\x99s ingenuity firsthand when the COVID-19 pandemic hit.'",0,0,34,0,34,Freddie Mac,38.93286 -77.22706
CFzgHNvjXlr,freddiemaccorp,2020-10-01 14:44,no,False,,,b'Meet John. He shares that he\xe2\x80\x99s grateful to be a part of an engaged and supportive community amongst his coworkers and says Freddie Mac\xe2\x80\x99s employee response to the recent racial injustices is an example of our tight-knit community where everyone\xe2\x80\x99s voice matters.',0,0,27,0,27,Freddie Mac,38.93286 -77.22706
CFxgckoDIBV,freddiemaccorp,2020-09-30 20:08,no,False,,,"b'Meet Sarah, who\xe2\x80\x99s been with Freddie Mac for more than 10 years working in different roles and divisions. One of Sarah\xe2\x80\x99s favorite projects she\xe2\x80\x99s worked on is CreditSmart, a free and accessible financial literacy education tool. She dedicated her time and commitment to this program to help more people achieve their financial and homeownership goals.'",0,0,37,1,38,Freddie Mac,38.93286 -77.22706
CFsLVRkDoZ0,freddiemaccorp,2020-09-28 18:28,no,False,,,"b'To Steven, helping those in need is one of the most rewarding aspects of his job. He joined the Freddie Mac family to prepare our re-entry into the low-income housing investment market which supports vulnerable populations including the formerly homeless, rural families, veterans, Native Americans and communities impacted by natural disasters.'",0,0,34,1,35,Freddie Mac,38.93286 -77.22706
CFaGmxpDvcD,freddiemaccorp,2020-09-21 18:00,no,False,,,"b'Meet Ella, who celebrates her 34th anniversary at Freddie Mac this month and says she\xe2\x80\x99d work here another 50 years if she could! She\xe2\x80\x99s supported nine CEOs during her tenure while always keeping the Freddie Mac mission top of mind. Over the years, Ella\xe2\x80\x99s favorite memories include Freddie Mac\xe2\x80\x99s volunteer work and spirit of giving that are core to our mission and values.'",0,0,76,6,82,Freddie Mac,38.93286 -77.22706
CFPeqHpD3zd,freddiemaccorp,2020-09-17 14:58,no,False,,,b'Chris coordinates the purchase of mortgages to create market liquidity by allowing originators to lend to borrowers. He says his role is carrying out our mission every day \xe2\x80\x9cbecause when we buy a mortgage we directly contribute to making home possible.\xe2\x80\x9d',0,0,34,0,34,Freddie Mac,38.93286 -77.22706
CFKXDIzDlJo,freddiemaccorp,2020-09-15 15:16,no,False,freddiemaccrew,,"b'Meet Michelle, who directs the #FreddieMacCrew outreach and volunteer program. She shares how employees have impacted local communities through volunteering with nonprofits focused on financial literacy projects \xe2\x80\x93 and even building homes on the ground. She says she\xe2\x80\x99s empowered when she goes to an event and sees \xe2\x80\x9ca sea of colleagues in green Freddie Mac shirts working together for our community.\xe2\x80\x9d'",0,0,51,3,54,Freddie Mac,38.93286 -77.22706
CE7IVzLjrk_,freddiemaccorp,2020-09-09 17:19,no,False,dutytoserve,,"b'Meet Eyma, who has been a proud Freddie Mac employee for more than 10 years. In 2017 she went on a reservation tour in South Dakota that opened her eyes to the housing needs of American Indians. Since then, Eyma has worked on our #DutytoServe initiative which provides affordable and sustainable housing to those in need.'",0,0,83,2,85,Freddie Mac,38.93286 -77.22706
CEoxfHvAWBE,freddiemaccorp,2020-09-02 14:13,yes,False,moreatfreddiemac,,"b'To us, home is more than walls and a roof \xe2\x80\x93 it\xe2\x80\x99s where we share many of life\xe2\x80\x99s defining moments. To celebrate our 50th anniversary, we\xe2\x80\x99re sharing memorable stories from Freddie Mac employees and how they\xe2\x80\x99re helping achieve our mission of making home possible. #MoreAtFreddieMac'",155,59.9,16,0,16,,
CC8jLn0B1Wy,freddiemaccorp,2020-07-22 13:30,yes,False,,,"b""Forbearance can offer you temporary relief from financial hardship by reducing or pausing your mortgage payment. Once you are back on your feet, you'll have several options to repay your missed payments. Click the link in our bio to learn more.""",328,14.966,25,2,27,,
CCqhnXpFS1j,freddiemaccorp,2020-07-15 13:30,yes,False,,,"b'Learn more about the support options put in place to help renters during the pandemic. If you are facing hardship, there are resources available. Link in bio.'",285,14.966,20,0,20,,
CCbE2JoF1eQ,freddiemaccorp,2020-07-09 13:30,yes,False,,,"b""There are a wide variety of relief options being offered to homeowners during the pandemic. Visit Freddie Mac's blog to get the most up-to-date information. Link in bio.""",298,14.966,21,0,21,,
CCGefjmIMIP,freddiemaccorp,2020-07-01 13:30,yes,False,,,"b'During challenging times, it\xe2\x80\x99s important to ask for help. Click the link in our bio to learn more about free resources available to homeowners.'",218,15.533,13,0,13,,
CByKfqhjixY,freddiemaccorp,2020-06-23 16:10,yes,False,,,b'Are you facing financial hardship due to COVID-19? Your first call should be to your loan servicer. Link in bio for more information about your housing assistance options.',317,15.533,23,0,23,,
CBgKK5wllFq,freddiemaccorp,2020-06-16 16:21,yes,False,,,b'Payment deferral is available to homeowners once they have resolved their COVID-19-related hardship. Visit the link in our bio for more information.',264,20.066,20,1,21,,
CBTYO_nFPpH,freddiemaccorp,2020-06-11 17:14,no,False,,,b'Our responsibility to speak out against racial inequities and advocate for change starts at our front door.',0,0,74,1,75,,
B-e-TJHjt68,freddiemaccorp,2020-04-02 15:44,yes,False,"autismatwork,neurodiversity,inclusionatfreddiemac",,"b""This Autism Awareness Day, we're celebrating the success our Neurodiversity at Work Program has had in creating opportunity for individuals with ASD. Their story is our story. \n#autismatwork #neurodiversity #inclusionatfreddiemac""",380,60.013,48,4,52,Freddie Mac,38.93286 -77.22706
B9zA34GF9g0,freddiemaccorp,2020-03-16 14:00,no,False,womenshistorymonth,,"b'More female renters are cost-burdened than males, according to our recent survey. #WomensHistoryMonth'",0,0,231,11,242,,
B9r6HM3H2Lp,freddiemaccorp,2020-03-13 19:46,no,False,"inclusionatfreddiemac,womenshistorymonth,womensupportingwomen",,"b""Our Women's Interactive Network employee resource group supports the open exchange of ideas to help build a strong community of women while leading the charge to amplify their voice. #InclusionAtFreddieMac #womenshistorymonth #womensupportingwomen""",0,0,38,2,40,Freddie Mac,38.93286 -77.22706
B9jkGzEAXDz,freddiemaccorp,2020-03-10 14:00,no,False,womenshistorymonth,,"b'During #WomensHistoryMonth, we\xe2\x80\x99re sharing insights from our recent survey on today\xe2\x80\x99s owners and renters.'",0,0,53,0,53,,
