shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIBQoEAFZiF,goodyear,2020-11-25 16:01,no,False,"namethegoodyearmack,contest",goodyear_blimp,b'Our custom Mack Mast truck is driven no faster than 3mph when pulling the @goodyear_blimp out of the hangar. Tell us what we should name our new hauler and tag #NameTheGoodyearMack #Contest for a chance to win a ride on the blimp! NO PURCHASE NECESSARY. Rules and details at: woobox.com/hnstmf',0,0,597,62,659,,
CH-79b_FTZH,goodyear,2020-11-24 18:22,no,False,,scooters_cjs,b'The right equipment to keep you treading :camera_with_flash::: @scooters_cjs',0,0,1939,16,1955,,
CH8Vy44FMq0,goodyear,2020-11-23 18:10,no,False,goodyearfanplayoffpicks,,b'Thinking about the first CFP rankings coming out after your team lost it\xe2\x80\x99s second game over the weekend. #GoodyearFanPlayoffPicks',0,0,7627,11,7638,,
CH8G_rRFZu-,goodyear,2020-11-23 16:00,no,False,"namethegoodyearmack,contest",goodyear_blimp,"b'The @goodyear_blimp is so big that it needs a custom Mack hauler with pulling power of up to 6,750 pounds! What should we call our new hauler? Comment what you\xe2\x80\x99d name it and tag #NameTheGoodyearMack #Contest for a chance to win a ride on the Goodyear Blimp. NO PURCHASE NECESSARY. Rules and details at: woobox.com/hnstmf'",0,0,491,104,595,,
CH0Ynyul1xn,goodyear,2020-11-20 16:00,no,False,"namethegoodyearmack,contest",goodyear_blimp,"b'Before the @goodyear_blimp had a custom Mack Mast truck, it had to be held down by a mast secured with 24 cables that were staked deep into the ground for the blimp to land. What do you think we should name our new hauler? Comment with your idea and tag #NameTheGoodyearMack #Contest for a chance to win a ride on the Goodyear Blimp. NO PURCHASE NECESSARY. Rules and details at: woobox.com/hnstmf'",0,0,1114,106,1220,,
CHyqtPjltFG,goodyear,2020-11-20 00:00,no,False,,nightrain_zl1,"b'Ready, set, roll. :camera_with_flash:: @nightrain_zl1'",0,0,4387,21,4408,,
CHyWSIHFrDr,goodyear,2020-11-19 21:02,yes,False,"goodyearplayofffanpicks,cfbplayoff",,"b'Less than one week until the release of first official CFP rankings! But first, tune in to ESPN College GameDay this Saturday to see who the fans have in their #GoodyearPlayoffFanPicks top 4! #CFBPlayoff'",185197,53.166,4315,12,4327,,
CHyPQx3lPtv,goodyear,2020-11-19 20:00,no,False,"namethegoodyearmack,contest",goodyear_blimp,"b'Fun fact: our new Mack Mast truck weighs over 60,000 lbs. That\xe2\x80\x99s three times what the @goodyear_blimp weighs! Help us name our hauler by leaving your suggestions in the comments and tagging #NameTheGoodyearMack #contest for your chance to win a ride on the Goodyear Blimp. NO PURCHASE NECESSARY. Rules and details at: woobox.com/hnstmf'",0,0,1173,173,1346,,
CHvWgOhlUcB,goodyear,2020-11-18 17:06,no,False,,dale.earnhardt.family.ties,b'True legends :camera_with_flash:: @dale.earnhardt.family.ties',0,0,4510,33,4543,,
CHs4BVihRHW,goodyear,2020-11-17 18:01,yes,False,goodyearplayofffanpicks,,b'One more week until we start getting some answers! Tune into ESPN College GameDay this Saturday to find out the results of the #GoodyearPlayoffFanPicks',14788,10.0,1370,0,1370,,
CHspWz5lSPy,goodyear,2020-11-17 15:53,no,False,,ruoteleggendarie,b'Roll with retro style :camera_with_flash:: @ruoteleggendarie',0,0,9184,17,9201,,
CHqILl0BoFU,goodyear,2020-11-16 16:24,no,False,goodyearplayofffanpicks,,b'Big wins = Big smiles when you think about where your team will land in the first CFP rankings. #GoodyearPlayoffFanPicks',0,0,5624,8,5632,,
CHgTucRlAwS,goodyear,2020-11-12 20:53,no,False,,trd.halfdoor,b'Explore new heights :camera_with_flash:: @trd.halfdoor',0,0,5636,14,5650,,
CHd4jjqhukM,goodyear,2020-11-11 22:17,no,False,"veteransday,military",,"b'Today is a deeply important day for the United States. It\xe2\x80\x99s a day to recognize the freedom, sacrifice and honor of those who have served our country. At Goodyear, we are privileged to have a deeply meaningful connection to the United States Military. #VeteransDay #Military'",0,0,960,52,1012,,
CHdSwpRFip3,goodyear,2020-11-11 16:47,no,False,wheenwednesday,tinyhometoyhauler,b'Are you ready for an adventure? :camera_with_flash:: @tinyhometoyhauler #WheenWednesday',0,0,5279,15,5294,,
CHarsoYlW8Q,goodyear,2020-11-10 16:27,no,False,,fancy_b_fab,b'Never stop climbing :camera_with_flash::: @fancy_b_fab',0,0,4989,20,5009,,
CHRRtSujRuU,goodyear,2020-11-07 00:47,no,False,,guisegraphy_,b'Moving forward :camera_with_flash:: @guisegraphy_',0,0,3168,30,3198,,
CHOFhLZBYtD,goodyear,2020-11-05 19:02,no,False,,forgestar5.0,b'Fast forward :camera_with_flash:: @forgestar5.0',0,0,8187,37,8224,,
CG-ccqEFtND,goodyear,2020-10-30 17:15,no,False,,trdnugt,b'Venture farther than ever before :camera_with_flash::: @trdnugt',0,0,507,35,542,,
CG7s-sZFD7W,goodyear,2020-10-29 15:42,no,False,,steelimage,b'Turn heads wherever you go :camera_with_flash:: @steelimage',0,0,389,29,418,,
CG5G1VCB24w,goodyear,2020-10-28 15:30,no,False,,thejurassicjeep,b'The world is your park :camera_with_flash:: @thejurassicjeep',0,0,6106,33,6139,,
CGsSZlthAml,goodyear,2020-10-23 16:01,no,False,goodyearfandomforward,,b'You know it\xe2\x80\x99s a big game when the Blimp comes to town! Guess which game the Blimp will be providing aerial coverage of this weekend. #GoodyearFandomForward',0,0,5468,80,5548,,
