shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CH73o5uBb8a,hersheys,2020-11-23 13:47,yes,False,,,b'New never tasted so sweet :face_savoring_food:',6134,6.0,1415,28,1443,,
CH0FF6YBO2n,hersheys,2020-11-20 13:10,yes,False,,,b'Sprinkle some sweetness',10651,8.236,1816,196,2012,,
CHp5vP8hPlb,hersheys,2020-11-16 14:19,yes,False,,,b'New HERSHEY\xe2\x80\x99S KISSES TREASURE SURPRISE. A surprise My Little Pony toy and tasty milk chocolate in every chest!',5013,9.013,1004,17,1021,,
CHc_NznprEM,hersheys,2020-11-11 13:56,no,False,,,"b'Baking at home? There\xe2\x80\x99s a prize for that :smiling_face_with_smiling_eyes: Don\xe2\x80\x99t forget to enter the HERSHEY\xe2\x80\x99S MINI KISSES Baking Contest for your chance to win awesome prizes! Details via our website here: www.minikissescontest.com. Ends 11/30/20. Legal residents of 50 US/DC, 18+ at time of entry. Entry Period begins at 9:00 AM ET on 10/1/20 and ends 11/30/20. Judging Period begins 12/1/20 and ends 12/13/20. To enter and for Official Rules, visit www.minikissescontest.com. Void where prohibited.'",0,0,1647,24,1671,,
CHa9BYxJK6l,hersheys,2020-11-10 19:00,yes,False,,,b'New HERSHEY\xe2\x80\x99S KISSES TREASURE SURPRISE. A surprise Transformers toy and tasty milk chocolate in every chest!',4991,8.463,1117,24,1141,,
CGr8IVyJ5_7,hersheys,2020-10-23 12:47,yes,False,"heartwarmingtheworld,halloween",,b'No one can resist the power of a HERSHEY\xe2\x80\x99S bar. #heartwarmingtheworld #halloween',7241,9.988,1571,115,1686,,
CGUx1vqpstz,hersheys,2020-10-14 12:54,no,False,,,"b'Prep, bake, win! Enter the HERSHEY\xe2\x80\x99S MINI KISSES Baking Contest for your chance to win awesome prizes :pie::sparkles: Details via our website here: www.minikissescontest.com. Ends 11/30/20. Legal residents of 50 US/DC, 18+ at time of entry. Entry Period begins at 9:00 AM ET on 10/1/20 and ends 11/30/20. Judging Period begins 12/1/20 and ends 12/13/20. To enter and for Official Rules, visit www.minikissescontest.com. Void where prohibited.'",0,0,1940,33,1973,,
CFwzlxzpPc3,hersheys,2020-09-30 13:37,yes,False,heartwarmingtheworld,,b'A HERSHEY\xe2\x80\x99S bar is made for sharing. #heartwarmingtheworld',7295,6.0,1657,42,1699,,
CFu8QqPJLR9,hersheys,2020-09-29 20:15,yes,False,heartwarmingtheworld,,b'Nothing brings everyone together faster than a HERSHEY\xe2\x80\x99S bar #heartwarmingtheworld',9358,8.416,2118,29,2147,,
CFiKUMsJXdN,hersheys,2020-09-24 21:06,no,False,,gotmilk,b'Whip up a new twist on your favorite... chocolate milk. @gotmilk',0,0,2691,24,2715,,
CFfD5S3JNGo,hersheys,2020-09-23 16:13,yes,False,,,"b'Dip, swirl, enjoy :face_savoring_food:'",6700,3.033,1357,16,1373,,
CFcMoH8pA_Z,hersheys,2020-09-22 13:32,yes,False,,,"b'Sundae, any day'",5206,3.0,1425,17,1442,,
CEokyE4DNuw,hersheys,2020-09-02 12:23,yes,False,,,b'The magic of chocolate milk :face_savoring_food:',6307,3.566,1878,57,1935,,
CEjfkdDpK1t,hersheys,2020-08-31 13:01,yes,False,heartwarmingtheworld,,"b'Just in time for school, we\xe2\x80\x99ve joined forces with your favorite super heroes. Collect all seven bars. #heartwarmingtheworld'",5703,6.0,1275,35,1310,,
CEcUyqaJ5u-,hersheys,2020-08-28 18:13,yes,False,heartwarmingtheworld,,b'We\xe2\x80\x99ve joined forces with your favorite DC Super Heroes. Get yours before school starts #heartwarmingtheworld',5712,6.7,1385,41,1426,,
CEHzea7p_UB,hersheys,2020-08-20 18:56,yes,False,"smoressaturday,heartwarmingtheworld",,b'Make s\xe2\x80\x99more of what you love. #SmoresSaturday #heartwarmingtheworld',12012,8.0,2285,36,2321,,
CEAJ96RJYXr,hersheys,2020-08-17 19:39,yes,False,"smoressaturday,heartwarmingtheworld",,b'Bring the family together s\xe2\x80\x99more. #SmoresSaturday #heartwarmingtheworld',13366,6.366,2756,59,2815,,
CDtjlo4JiPu,hersheys,2020-08-10 14:16,no,False,smoresgivesbackcontest,"honeymaidsnacks,kraftjetpuffed","b'Hershey\xe2\x80\x99s, @honeymaidsnacks, and @kraftjetpuffed are teaming up for more than just delicious treats! In honor of National S\xe2\x80\x99mores day, Follow the link to find out how this classic summer dessert is giving back to small businesses. #SmoresGivesBackContest smoresgivesback.com'",0,0,2339,38,2377,,
