shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CHs-my3hrUS,interpublicipg,2020-11-17 18:58,no,False,"sustainability,djsi","sp_global,webershandwick","b'IPG is proud to be included amoung the world\xe2\x80\x99s #sustainability leaders in the #DJSI @sp_global Corporate Sustainability Assessment, in recognition of its commitment to sustainable business practices. Head to our bio for more info. :globe_showing_Americas::seedling:\n\n:camera_with_flash: : @webershandwick NYC office, 2019.'",0,0,117,1,118,,
CG2-17LgELN,interpublicipg,2020-10-27 19:41,no,False,fordemocracy,interpublicipg,b'Our democracy works best when everyone participates. That\xe2\x80\x99s why @interpublicipg is 100% In. Head to the link in our bio to learn more. #fordemocracy :ballot_box_with_ballot::hundred_points::United_States:',0,0,194,5,199,,
CGm681_AcUo,interpublicipg,2020-10-21 14:00,no,False,,,"b'\xe2\x80\x9cPhilippe is the right CEO for the next era at IPG\xe2\x80\x9d :sparkles:\n\nThis morning, IPG announced CEO succession, naming Philippe Krakowsky CEO, effective January 1st, 2021 when Michael Roth will assume the role of Executive Chairman. Congratulations to both Philippe and Michael! Link in bio for more...'",0,0,373,20,393,,
CGX-GKvhZv1,interpublicipg,2020-10-15 18:38,no,False,"sickofitday,vote2020,voteearly","hugeinc,interpublicipg,adweek",b'Sick of worrying if your vote will be counted? Take a #SickOfItDay and vote early to make sure your vote counts. \n\n@hugeinc and @interpublicipg roll out a nationwide ad campaign that encourages folks to take a \xe2\x80\x9csick of it day\xe2\x80\x9d to cast their ballot. Swipe up in our IG story to read more in @adweek. #Vote2020 #VoteEarly :ballot_box_with_ballot:',0,0,104,0,104,,
CF2McnQgiUq,interpublicipg,2020-10-02 15:50,no,False,effieus,effie_us,b'Excited to share that last night @effie_us named us it\xe2\x80\x99s 2020 Most Effective Holding Company! Huge congrats to all our winning agencies. :hundred_points::clapping_hands::partying_face: #EffieUS',0,0,261,8,269,,
CFkJ2GEAosW,interpublicipg,2020-09-25 15:41,no,False,"socialdistancing,adagencylife,cantwaittogoback",mccann_worldgroup_canada,b':camera_with_flash: : @mccann_worldgroup_canada -  Getting the office ready... 6 feet at a time :upside-down_face: #socialdistancing #adagencylife #cantwaittogoback',0,0,115,0,115,,
CFNbISXhrjb,interpublicipg,2020-09-16 19:49,no,False,,mccann_mw,b'IPG is incredibly thankful for everyone working hard to keep our employees and offices safe! :camera_with_flash: : @mccann_mw - Juan is ready for those who want to collaborate in our NY office.',0,0,284,7,291,,
CE9agWGAGkv,interpublicipg,2020-09-10 14:36,no,False,"worklifewednesday,momentumworldwide",momentumww,"b':camera_with_flash: : @momentumww - :waving_hand: from our NYC HQ. Post Labor Day, it was so great to welcome some of our staff back to the office! safely of course :backhand_index_pointing_right:#worklifewednesday #MomentumWorldwide'",0,0,224,2,226,,
CEUJ4W-AgWJ,interpublicipg,2020-08-25 14:02,no,False,"webershandwick,workfromhome,workatweber,westandtogether",wsasiapac,b':camera_with_flash: : @wsasiapac - We\xe2\x80\x99re incredibly proud of how our people have adapted to lockdowns throughout Asia Pacific. Here\xe2\x80\x99s a snapshot of the workspaces our #webershandwick Thailand team have cultivated in recent months. #workfromhome #workatweber #westandtogether',0,0,157,0,157,,
CCv3DEFgZ6x,interpublicipg,2020-07-17 15:13,no,False,"umimpactday,umbetterworld",umworldwide,b'Highlights from yesterday\xe2\x80\x99s @umworldwide annual #UMImpactDay across the globe. Head to their account for more! #UMBetterWorld',0,0,101,3,104,,
CCEAjmDguU_,interpublicipg,2020-06-30 14:30,no,False,pridemonth,jackmorton,"b':camera_with_flash: : @jackmorton - While celebrations may be different this year, the support, unity and all that Pride stands for continues. At Jack, we shared our support, and celebrated the progress marked by the recent U.S. Supreme Court decision affirming inclusion in the workplace. Let\xe2\x80\x99s all continue to promote inclusiveness, drive allyship, and fight for equality in the LGBTQ+ community - each and every day. #PrideMonth'",0,0,60,0,60,,
CBoSMXaAuYi,interpublicipg,2020-06-19 20:05,no,False,juneteenth2020,esglaude,b'\xe2\x80\x9cWe need more than empathy. All of us need to get on board to making a more just world. And racial equality and racial justice are not charity.\xe2\x80\x9d Thank you @esglaude for joining us on this #Juneteenth2020 and thank you to IPG D&I and IPG\xe2\x80\x99s Black Employee Network for organizing this informative program. And thank you all for listening and learning. :black_heart:',0,0,197,13,210,,
CBideW7gSRb,interpublicipg,2020-06-17 13:48,no,False,"juneteenth2020,juneteenth",,"b'Join IPG D&I and IPG\xe2\x80\x99s Black Employee Network this Friday as they host a virtual town hall in observance of #Juneteenth2020, with special guest Prof. Eddie S. Glaude Jr. of Princeton University, and remarks from IPG\xe2\x80\x99s Chairman and CEO Michael Roth and EVP, COO Philippe Krakowsky. Link in our bio for more.\n....\nOn June 19, 1865, Texas was the final state to outlaw chattel slavery of African Americans. This day of freedom has become known as #Juneteenth. Historical perspective is critical for understanding our present and shaping a new future. Join IPG\xe2\x80\x99s BEN for perspectives and information from one of America\xe2\x80\x99s leading scholars and media commentators.'",0,0,186,1,187,,
CBTBmixAjHP,interpublicipg,2020-06-11 13:56,no,False,"pridemonth,pride,ipgpride",,"b'In honor of #PrideMonth, IPGLBT has created downloadable content, along with a great lineup of #pride:rainbow: programming. Swipe to learn more about the history of each LGBTQ+ flag and head to the link in our bio for more on upcoming programs. #IPGPride :rainbow_flag_selector:'",0,0,133,6,139,,
CBBh7SqA1HO,interpublicipg,2020-06-04 18:52,no,False,,"amnesty,campaignzero,naacp_ldf","b'IPG is making donations to @amnesty, @campaignzero and @naacp_ldf - organizations on the frontline to promote global human rights, end police brutality and provide legal support to protestors. And we invite you to join us. Head to the link in our bio to learn more.'",0,0,152,6,158,,
CA6HoYSgaOp,interpublicipg,2020-06-01 21:48,no,False,,,"b'\xe2\x80\x9cAs a company that creates advertising and marketing messages, we have an opportunity to make a difference. More than an opportunity, a responsibility.\xe2\x80\x9d Head to the link in our bio to read IPG Chairman and CEO Michael Roth\xe2\x80\x99s letter in full.'",0,0,459,6,465,,
CALTnz6gDQE,interpublicipg,2020-05-14 17:28,no,False,,microsoft,"b'This morning, IPG hosted a live town hall for IPG Corporate employees across the globe. CEO Michael Roth, CFO Ellen Johnson and COO Philippe Krakowsky checked in with employees and answered questions live via @microsoft Teams, moderated by VP, Corporate Comms Tom Cunningham.'",0,0,197,7,204,,
B_m6eLepH11,interpublicipg,2020-04-30 14:16,no,False,"mccannoffice,mccannathome,mccannwork,mccannpeople",mccann_poland,b':camera_with_flash: : @mccann_poland - Domowych biur ci\xc4\x85g dalszy! :smiling_face_with_3_hearts: W\xc5\x82a\xc5\x9bnie tak sp\xc4\x99dzamy ostatnie tygodnie :OK_hand: #McCannOffice #McCannAtHome #McCannWork #McCannPeople',0,0,75,1,76,,
