shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIQXPs-HFtN,keurig,2020-12-01 12:47:40.000000,yes,False,,,"b'Enjoy craft roasted taste, co-created with love. In collaboration with five local roasters from across America, we created a collection of coffees made using our finest beans from around the world for a smooth and delicious cup. Order now, only at Keurig. Your purchase supports these roasters. Tap to shop.'",1612,9.5,89,5,94,,
CILZIj-gxB_,keurig,2020-11-29 14:27:58.000000,yes,False,wegift,,b'Treat yourself this Cyber Monday with a #WeGift that will make everyone\xe2\x80\x99s day. Get $40 off our newest K-Supreme brewer.  Available at select retailers while supplies last. Offer expires December 6th. Tap the link in our bio to shop.',1961,6.5,122,3,125,,
CIDnkJ8gsRa,keurig,2020-11-26 14:00:13.000000,no,False,wegift,,b'Shop for someone special this Black Friday. You! Get $40 off the Keurig K-Supreme brewer and bring home the perfect #WeGift for you and everyone to enjoy. Available at select retailers while supplies last. Offer expires December 6th.  Tap the link in bio to shop.',0,0,167,13,180,,
CH-d-gJAQeg,keurig,2020-11-24 14:00:16.000000,no,False,brewthelove,anitayakota,b'Elevate your everyday coffee experience to delicious new heights with the new K-Supreme Plus brewer. #brewthelove :camera:: @anitayakota',0,0,268,7,275,,
CH79-2aM4EH,keurig,2020-11-23 14:42:05.000000,yes,False,wegift,,"b'Enjoy $40 off the NEW Keurig K-Supreme brewer. It\xe2\x80\x99s the perfect #WeGift, a gift for the whole Thanksgiving table. Available at select retailers while supplies last. Offer expires December 6th. Tap to shop now!'",2448,8.0,114,0,114,,
CH2ucNhsnbG,keurig,2020-11-21 13:50:05.000000,yes,False,brewthelove,,"b'Elevate your coffee routine with our new K-Supreme Plus Brewer. Customize the strength, size and temperature to fit your lifestyle day after day. #BrewTheLove'",4116,7.133,271,9,280,,
CHvSwwFFJu4,keurig,2020-11-18 16:33:37.000000,no,False,brewthelove,"jonathanadler,hey.candace",b'Bring style and great taste to YOUR space. Get your super chic @jonathanadler brewer and matching mug before it\xe2\x80\x99s too late! Tap to shop\n #brewthelove :camera::@hey.candace',0,0,168,20,188,,
CHscaVYMqr1,keurig,2020-11-17 14:00:09.000000,yes,False,,,"b'Give the gift of delicious drinks and space-saving design. The Keurig K-Mini Plus coffee maker brews great tasting beverages like a dark roast coffee, hot cocoa or apple cider. Check out our Shop in our bio to purchase today!'",3454,12.0,176,12,188,,
CHqW1RBJwqk,keurig,2020-11-16 18:32:59.000000,yes,False,,,b'Take it all in. The NEW Keurig K-Supreme brewer elevates the flavor and aroma in every cup of coffee. Tap to shop.',3360,6.0,178,15,193,,
CHdIoopsKnL,keurig,2020-11-11 15:18:39.000000,no,False,,"dunkin,grantwill2","b'This is how you win in the off-season, @dunkin coffee and the new Keurig K-Supreme brewer:shamrock_selector: @grantwill2'",0,0,592,25,617,,
