shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIGWqKojWYa,krogerco,2020-11-27 15:30,no,False,,immaculatebites,"b'Leftovers have taken on a new meaning! Butter up a few pieces of toast and add in ham, turkey and all the fixings for this leftovers recipe by @immaculatebites'",0,0,82,2,84,,
CIBKy5pM8RN,krogerco,2020-11-25 15:10,no,False,,consciouschris,"b'Have some Thanksgiving leftovers that need eating? Try @consciouschris\xe2\x80\x99s amazing recipe featuring vegan favorites like plant-based turkey slices, mashed potatoes, and stuffing. :face_savoring_food:'",0,0,323,12,335,,
CH_DJRwHRqB,krogerco,2020-11-24 19:24,no,False,,,b'There are many ways to spread holiday cheer this season :blue_heart: Shout-out to Alyson and our Kroger associates for their hard work in making this generous act a success!',0,0,425,16,441,,
CH0mQ3VA85N,krogerco,2020-11-20 18:00,no,False,,,b'We want to expand our network of diverse social influencers & content creators :blue_heart: Check out the survey link in our bio for partnership consideration!',0,0,298,49,347,,
CH0RqpUDnyz,krogerco,2020-11-20 15:00,no,False,,localhaven,"b'Did someone say lasagna?! If you love it as much as @localhaven, you\xe2\x80\x99ll love this cheesy recipe. Kroger\xe2\x80\x99s Free Pickup makes it easy to get everything you need to skip the line. Head to the link to shop Holiday meal essentials.'",0,0,322,16,338,,
CHxs4JVjFoa,krogerco,2020-11-19 15:00,no,False,,keto_rebel,b'@keto_rebel knows how to spend more time creating tasty recipes than shopping for ingredients. Skip the line and order online. With Kroger\xe2\x80\x99s Free Pickup you can be cooking this casserole in no time!',0,0,400,137,537,,
CHvIFXZo-XC,krogerco,2020-11-18 15:00,no,False,,realandvibrant,"b'Looking to make your own harvest bowl like @realandvibrant, but you are out of ingredients? No need to worry! Just head to the Kroger app, order your ingredients, skip the line and pick them up at a Kroger near you!'",0,0,216,30,246,,
CHsjS4aDWlM,krogerco,2020-11-17 15:00,yes,False,,,b'The only thing easier than our recipe for a Cranberry Gin Cocktail is getting a variety of fresh ingredients for all your holiday needs :raising_hands:',4263,4.3,224,26,250,,
CHidGE8sVa9,krogerco,2020-11-13 16:53,no,False,,,"b'Looking to cook up something fresh this Thanksgiving? With Free Pickup, you can get all the ingredients you need to make this flavor packed Chickpea and Brussels Sprouts Stuffed Acorn Squash!'",0,0,271,38,309,,
CHfuvK3AwjU,krogerco,2020-11-12 15:30,no,False,,,"b'Get all your favorite Thanksgiving flavors in one bite! The Gobbler is so tasty, it just might end up replacing the turkey this year :winking_face: And with Free Pickup, getting the ingredients to make this masterpiece have never been easier.'",0,0,390,35,425,,
CHdGgpfAQoJ,krogerco,2020-11-11 15:00,no,False,veterans,giumarravineyards,b'Happy Veterans Day! Check out the link in our bio for the full interview with one of our suppliers @giumarravineyards. Their long standing commitment to hiring Veterans makes us proud to carry their products on our shelves. Stay tuned for more stories about our incredibly diverse suppliers in the future! #Veterans',0,0,263,13,276,,
CHajAgOnxwx,krogerco,2020-11-10 15:11,no,False,,"giumarravineyards,giumarravineyards","b'One of our amazing suppliers @giumarravineyards has a long-standing tradition of hiring Veterans. Check out our interview with HR Director, and Veteran, David Aquino, where he discusses his favorite ways to enjoy @giumarravineyards grapes. Stay tuned for more stories about our incredibly diverse suppliers in the future!'",0,0,229,13,242,,
