shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIVpI0psWFq,proctergamble,2020-12-03 14:00,no,False,"idpd2020,linkinbio",,"b'Like Thomas Edison, P&Ger Logan Brooks is empowered by a hearing impairment. Edison credited his deafness for helping him see the world from a different angle, inspiring his world-changing breakthroughs. Logan is applying his unique perspective to packaging, where he is making sure inclusivity is a key focus of P&G\xe2\x80\x99s designs. \n\nOn #IDPD2020, we\xe2\x80\x99re recognizing the unique contributions of our employees with disabilities and the innovation they inspire to create superior experiences and products that are accessible by everyone. At P&G, we are committed to honoring the individuality and unique contributions of our people and ensuring that every single employee shows up to work as their whole, authentic self. It is only then that we can unlock the real potential of our teams: the power of our differences, and the strength of our togetherness. To learn more and read why our Chief Design Officer sees disability as a strength, click our #linkinbio now.'",0,0,372,7,379,,
CITPt86pemi,proctergamble,2020-12-02 15:41,yes,False,"handwashingawarenessweek,safeguardsplash,safeguardpartner,washawaygerms","safeguardsoap,meghan_trainor,ryan.trainor,safeguardsoap",b'Love this from @safeguardsoap! #handwashingawarenessweek \n\nRepost from @meghan_trainor\n\xe2\x80\xa2\nSafeguard your family & community by washing your hands for 20 SECONDS\xc2\xa0:sweat_droplets::raising_hands::smiling_face_with_heart-eyes:\xc2\xa0I\xe2\x80\x99m challenging @ryan.trainor to come clean w/ @safeguardsoap #SafeguardSplash #SafeguardPartner #WashAwayGerms',4063,30.5,295,2,297,,
CIQY0TpJVD7,proctergamble,2020-12-01 13:02,yes,False,"givingtuesday,letsdomoretogether,givingtuesday,pggoodeveryday,rewards,giveback,rewardsprogram","pggoodeveryday,pggoodeveryday","b'P&G Good Everyday is a rewards program for people who want to make an impact. Follow @pggoodeveryday to learn how to double your efforts on #GivingTuesday! #LetsDoMoreTogether. Repost from @pggoodeveryday\n\xe2\x80\xa2\nDouble the donation, double the good! :red_heart_selector: Today only, get 2X the donation to your cause simply by scanning a receipt or taking a quick survey. Tap link in bio to get started. \n#GivingTuesday #PGGoodEveryday #Rewards #GiveBack #RewardsProgram'",1806,8.633,149,2,151,,
CIOPFQ6HhHK,proctergamble,2020-11-30 16:57,no,False,"nativeamericanheritagemonth,uniqueandunited",,"b'In recognition of #NativeAmericanHeritageMonth, we\xe2\x80\x99re honoring the rich culture and the contributions of our Native American Network employees to our company and their communities. \n\nEmployee Kat said the Native American Network \xe2\x80\x9creminds me to bring my whole self to work.\xe2\x80\x9d \n\n\xe2\x80\x9cThe Network is important to me because (it) allows us as an organization to give back to the indigenous people that live in the communities we work and live in.\xe2\x80\x9d #UniqueAndUnited'",0,0,207,6,213,,
CIEKFrzJu0v,proctergamble,2020-11-26 19:01,no,False,pgproud,,"b'We have 90,000+ reasons to be thankful. \n\nOur innovators.\nOur partners.\nOur people.\n\nWe thank you, our P&G family, for all that you have done to serve our consumers this year and to lead the business, every day. #PGProud'",0,0,930,16,946,,
CIDqsjjpPKH,proctergamble,2020-11-26 14:27,no,False,"facethestemgap,macysparade,facethestemgap","olay,macys","b'Repost from @olay\n\xe2\x80\xa2\nWe\xe2\x80\x99re over the moon to be in the @Macys Thanksgiving Day Parade for the first time! Keep an eye out for our STEM-sational float, symbolizing our 10-year initiative to supporting all women, and BIPOC in particular, in the pursuit of a career in#facethestemgap \n\nWe\xe2\x80\x99re proud of our commitment and thankful to be representing this pledge in such an iconic Parade. Be sure to tune in on Thanksgiving Day on NBC from 9AM - noon in all time zones to catch our first-ever float on live TV. Happy Thanksgiving, everyone! #MacysParade #FaceTheStemGap'",0,0,325,1,326,,
CIBIAUvpeRS,proctergamble,2020-11-25 14:46,yes,False,"greathairday,beautifulgbtq,beautifulgbtq","pantene,familyequality","b""Repost from @pantene\n\xe2\x80\xa2\nJoyia & Mariana see the time spent caring for their daughter Eliza's hair as a time to develop trust, slow down, and just be together. Their goal is to build up Eliza's strength on the inside, and seeing her walk a little taller on a #GreatHairDay is just an added bonus. :sparkling_heart:\n\nJoin us in supporting family equality for #BeautifuLGBTQ families like Joyia & Mariana by sharing your own family photo using #BeautifuLGBTQ. :rainbow::camera_with_flash: For each photo shared, we'll donate $1 to @FamilyEquality (up to $100,000)""",1592,123.739,168,3,171,,
CH--qBzpruV,proctergamble,2020-11-24 18:46,yes,False,"hairhasnogender,uniqueandunited",,"b'Our hair gives us power \xe2\x80\x93 the power to express our identity. Pantene\xe2\x80\x99s #HairHasNoGender effort is co-created with transgender and gender non-confirming advocates to drive acceptance, inclusion and equality. #UniqueAndUnited'",2280,160.9,229,2,231,,
CH-tRVqpRSK,proctergamble,2020-11-24 16:14,yes,False,"doiteverynight,forceforgood",mycascade,"b'Are you saving as much water as you could be? According to ENERGY STAR:registered:, running your sink uses four gallons of water every two minutes \xe2\x80\x93 but using a dishwasher uses less than four gallons in an entire cycle.\n\n\xc2\xa0Cascade is helping to restore water to the environment through its partnership with Change the Course, restoring over 100 million gallons of water to water-stressed parts of the United States.\n\xc2\xa0\nAnd through Cascade\xe2\x80\x99s #DoItEveryNight sweepstakes, Cascade is gifting 100 households Cascade and a new dischwasher, saving five million gallons of water over the average 10-year lifespan of the dishwashers!\xc2\xa0#ForceForGood \n\nFollow @mycascade for more details and to enter.'",4338,30.033,383,6,389,,
CH8C8prJFQy,proctergamble,2020-11-23 15:25,yes,False,"beautifulgbtq,beautifulgbtq","pantene,familyequality","b""Repost from @pantene\n\xe2\x80\xa2\nFor LGBTQ+ adoptive parents, every opportunity to connect, matters\xe2\x80\x94and caring for hair is one of them. :revolving_hearts: Meet Raymond & Robbi who keep their daughter Ella connected to the heritage & culture of her birth parents through her hair and use nighttime rituals like bath time as a chance to connect.\n\nJoin us in supporting family equality for #BeautifuLGBTQ families like Raymond & Robbi by sharing your own family photo using #BeautifuLGBTQ. :rainbow::camera_with_flash: For each photo shared, we'll donate $1 to @FamilyEquality (up to $100,000)""",8150,132.03,671,25,696,,
