shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CH8G9ArL2AI,smuckersbrand,2020-11-23 16:00,no,False,linkinbio,,"b""Smucker's Sweet Apricot Preserves and spicy Dijon mustard will balance perfectly with the saltiness of your smoked ham to create an all-around satisfying main course. Visit the #linkinbio to get the recipe to start cooking.""",0,0,47,4,51,,
CHsqJYiHPQX,smuckersbrand,2020-11-17 16:00,no,False,,,"b""Baking with Smucker's this holiday season? Share your culinary creations and tag us for a chance to be featured!""",0,0,166,5,171,,
CGsLZwYn2aN,smuckersbrand,2020-10-23 15:00,no,False,treatyoself,frantsevphotography,"b""You've made it to Friday \xe2\x80\x94 time to #treatyoself. Check out this chia seed yogurt dessert made with the classic Smucker's Strawberry Jam. :strawberry:\nFor the quick recipe, visit our Instagram friend @frantsevphotography.""",0,0,136,13,149,,
CGVWrQ8nNP-,smuckersbrand,2020-10-14 18:16,no,False,,,"b""It's National Dessert Day \xe2\x80\x94 the perfect reason to indulge with our Apple Butter Anniversary Cake.""",0,0,132,4,136,,
CGIMn8Ml2GQ,smuckersbrand,2020-10-09 15:38,no,False,,,b'Treat yourself this weekend to the perfect fall dessert: Pumpkin Roll with Vanilla Cream and Caramel Glaze.',0,0,189,6,195,,
CFmwHghnlAT,smuckersbrand,2020-09-26 15:54,no,False,linkinbio,,"b'Fall baking inspiration: Warm Jammy Fantasia Bars, featuring Smucker\xe2\x80\x99s Natural Tart Cherry Fruit Spread. :face_savoring_food:\nFollow the #LinkInBio for the recipe.'",0,0,212,27,239,,
CFcuytDnNEo,smuckersbrand,2020-09-22 18:30,no,False,,dustin_patrick_smith,"b""Sometimes it's the little moments you remember the most. Share your favorite childhood snack in the comments.\n:camera_with_flash:: @dustin_patrick_smith""",0,0,269,23,292,,
CFSn23wniLS,smuckersbrand,2020-09-18 20:17,no,False,,,"b""Love a good sweet and savory combo? We've got the perfect lunch for you to try this weekend: Sweet and Smoky Ham Paninis, featuring Smucker\xe2\x80\x99s Natural Strawberry Fruit Spread. :face_savoring_food:\nRecipe is linked in the bio.""",0,0,168,6,174,,
CFINAnond8A,smuckersbrand,2020-09-14 19:10,no,False,,foodoftheforest,b'We love to see your creations. Check out this lamington cake made with our Simply Fruit Red Raspberry Spread. :drooling_face: \nWhat have you been baking and making lately? Tag us for a chance to be featured! \n:camera_with_flash:: @foodoftheforest',0,0,253,26,279,,
CE9hd7KAJwk,smuckersbrand,2020-09-10 15:37,no,False,,peckish_17.n,"b""There's nothing like the smell of warm banana bread coming out of the oven. Try adding cranberries (or chocolate chips) and top it off with your favorite Smucker's Natural Fruit Spread. \nPS: Does this come in a candle scent? Asking for a friend. :winking_face:\n:camera_with_flash:: @peckish_17.n""",0,0,174,14,188,,
