shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIDvRUnJW4J,stanleyblackdecker,2020-11-26 15:07,yes,False,"forthosewhomaketheworld,togetherwearemore,forceforgood",,b'Giving thanks this week and every week for those who are a force for good in this world. #ForThoseWhoMakeTheWorld #TogetherWeAreMore #ForceForGood',254,12.039,45,0,45,,
CH0QhFFpb3a,stanleyblackdecker,2020-11-20 14:50,yes,False,"forthosewhomaketheworld,togetherwearemore",,"b""Personal growth is just as important as growing professionally. That's why Eric, one of our program managers, makes time to step outside of his comfort zone and encourages others to follow his lead. #ForThoseWhoMakeTheWorld #TogetherWeAreMore""",270,49.886,34,0,34,,
CHk8j3VAXiw,stanleyblackdecker,2020-11-14 16:07,no,False,"diwali,forthosewhomaketheworld,togetherwearemore",,"b""Happy #Diwali! Our Asian Heritage employee resource group is bringing employees together to learn more about Indian culture through virtual classes. From cooking classes to Diya decorating, there's something for everyone! #ForThoseWhoMakeTheWorld #togetherwearemore""",0,0,61,2,63,,
CHgD0JCpeZX,stanleyblackdecker,2020-11-12 18:34,yes,False,"equaleverywhere,forthosewhomaketheworld,togetherwearemore",,"b'""Be proud of who you are and pursue what matters to you."" Learn what #EqualEverywhere means to Anne, Director of Indirect Sourcing at Stanley Black & Decker. #ForThoseWhoMakeTheWorld #togetherwearemore'",285,57.433,33,0,33,,
CHdbxbChpYv,stanleyblackdecker,2020-11-11 18:05,no,False,"forthosewhomaketheworld,togetherwearemore,veteransday",wreathsacross,"b'Honoring those who serve \xe2\x80\x93 for the third year, our Veteran\xe2\x80\x99s & Allies employee resource group is partnering with @WreathsAcross to thank active military members and remember with gratitude those who have served. In addition to employees volunteering their time, we will be providing a 200% match of all employee charitable contributions through end of year.  #ForThoseWhoMakeTheWorld #TogetherWeAreMore #VeteransDay'",0,0,80,2,82,,
CG-HdAsJ6O8,stanleyblackdecker,2020-10-30 14:11,no,False,"forthosewhomaketheworld,empowermakers,makermonth,makerproud",gomake48,"b'Season 4 of @gomake48 is now available! The nationwide, invention-competition docuseries is back with a brand-new season on Access Public Television and PBS. Check your local listings and tune in for the exciting 48-hour battle! Link in bio. #ForThoseWhoMakeTheWorld #EmpowerMakers #MakerMonth #makerproud'",0,0,44,3,47,,
CG7s_9jpR_H,stanleyblackdecker,2020-10-29 15:42,yes,False,"forthosewhomaketheworld,togetherwearemore",,"b'Being a mom of two daughters and a successful tools product manager, Cindy knows how important - and sometimes challenging - it is to find balance. As a chair of our Working Parents Network, she has an extended family to lean on at work. Learn more > https://bit.ly/31QS7nu #ForThoseWhoMakeTheWorld #TogetherWeAreMore'",258,43.906,49,1,50,,
CG0Kg8cJRHW,stanleyblackdecker,2020-10-26 17:26,no,False,"makermonth,forthosewhomaketheworld,empowermakers",,"b""Only 32% of high school students reported trade school education was encouraged as a potential opportunity. During #MakerMonth, we're highlighting the importance of developing skilled professionals in the trades. Take a look at these inspirational tradespeople and learn more. Link in bio. #ForThoseWhoMakeTheWorld #EmpowerMakers""",0,0,67,4,71,,
CGiNi1YJSaY,stanleyblackdecker,2020-10-19 18:06,no,False,"forthosewhomaketheworld,empowermakers,makerproud",,b'Where can the trades lead you? See how these makers turned their passions into a variety of purpose-driven careers. Link in bio. #ForThoseWhoMakeTheWorld #EmpowerMakers #MakerProud',0,0,127,7,134,,
CGYC6XCpLxB,stanleyblackdecker,2020-10-15 19:24,yes,False,"forthosewhomaketheworld,togetherwearemore",,b'Qadira is one of our data insights gurus whose passion also extends to her personal purpose: helping others in her local community. Link in bio to watch the full story. #ForThoseWhoMaketheWorld #togetherwearemore',230,57.35,35,1,36,,
CGTEkfBF5U5,stanleyblackdecker,2020-10-13 21:00,yes,False,"forthosewhomaketheworld,teamcraftsman","cmnhospitals,acehardware,joegibbsracing","b""For the last 14 years, the Racing for a Miracle program has supported @cmnhospitals with the help of the @acehardware Foundation and @JoeGibbsRacing. We couldn't create this experience for the kids without our wonderful partners' support. Check out these unforgettable moments! Learn more about the cause. Link in bio. #ForThoseWhoMakeTheWorld #teamcraftsman""",148,124.433,30,0,30,,
CGP3Fd-JoKo,stanleyblackdecker,2020-10-12 15:03,no,False,"forthosewhomaketheworld,makermonth,empowermakers,makerproud",teamkalitta,"b'A maker for each day of October. This week, we feature a mechanic from @teamkalitta, a woman who was on the cover of Wood Craft Catalog, a veteran turned educator, an engineer and more. Get inspired! Link in bio. #ForThoseWhoMakeTheWorld #MakerMonth #EmpowerMakers #makerproud'",0,0,71,1,72,,
CGITGvtJSEf,stanleyblackdecker,2020-10-09 16:35,yes,False,"forthosewhomaketheworld,teamcraftsman","craftsman,erik_jones,cmnhospitals",b'Race day came a little early! Our @craftsman driver @erik_jones took four super kids from @cmnhospitals to the (virtual) track and faced off in a game of Mario Kart. See who makes it to victory lane! #ForThoseWhoMakeTheWorld #teamcraftsman',225,124.3,25,2,27,,
CGDQjrQJWvD,stanleyblackdecker,2020-10-07 17:36,yes,False,"forthosewhomaketheworld,togetherwearemore,equaleverywhere",,"b'There is much strength in diversity, but equality is our end goal. Kim Williams, Vice President of Diversity & Inclusion, talks about the importance of building a future where everyone is given an equal opportunity. Link in bio. #ForThoseWhoMakeTheWorld #TogetherWeAreMore #EqualEverywhere'",281,54.35,45,2,47,,
CGBAd8DF0kl,stanleyblackdecker,2020-10-06 20:37,yes,False,"forthosewhomaketheworld,teamcraftsman","craftsman,erik_jones,cmnhospitals","b""Now that's one super car. For the Racing for a Miracle program this year, we're proud to share the latest No. 20 @CRAFTSMAN Camry that @erik_jones will drive this weekend, designed by Zackery, Christian, Sofia and Kyler, four super kids we met through @cmnhospitals. Check out this video to hear them discuss the design and their super powers. Learn more about the cause. Link in bio #ForThoseWhoMakeTheWorld #TeamCRAFTSMAN""",689,69.7,67,1,68,,
CF-ZxIlFy5T,stanleyblackdecker,2020-10-05 20:20,yes,False,"forthosewhomaketheworld,teamcraftsman","joegibbsracing,erik_jones","b""We're unveiling something super special tomorrow with our friends from @JoeGibbsRacing. You don't want to miss this! @Erik_Jones #ForThoseWhoMakeTheWorld #TeamCRAFTSMAN""",261,22.006,31,2,33,,
CF9wYsjpBh1,stanleyblackdecker,2020-10-05 14:18,no,False,"forthosewhomaketheworld,makermonth,makerproud,empowermakers",,"b'Who do you picture when you think of a tradesperson? Throughout October, we\xe2\x80\x99re celebrating the diverse faces of makers. This week, we encourage you to learn more about what inspired these makers to join the trades. Link in bio. #ForThoseWhoMakeTheWorld #MakerMonth #MakerProud #empowermakers'",0,0,81,1,82,,
CFz9NcJJgep,stanleyblackdecker,2020-10-01 18:58,no,False,"makermonth,forthosewhomaketheworld,empowermakers,makerproud",,"b'It\xe2\x80\x99s #MakerMonth, and we\xe2\x80\x99re highlighting one maker for each day in October! This week, we introduce you to skilled professionals in woodworking, contracting and electrical. Learn more about these inspirational makers, and see the true face of a tradesperson. Take a look! Link in bio. #ForThoseWhoMakeTheWorld #EmpowerMakers #makerproud'",0,0,107,8,115,,
CFxFIVDnofw,stanleyblackdecker,2020-09-30 16:10,no,False,forthosewhomaketheworld,wba,b'Today we kick off a new partnership as the Official Tool Partner of @WBA Football Club \xe2\x80\x93 one of the premier U.K. football teams. We look forward to cheering them on and connecting with their many fans around the world. Learn more. Link in bio. #ForThoseWhoMakeTheWorld',0,0,118,0,118,,
CFwoyyvnCTv,stanleyblackdecker,2020-09-30 12:02,yes,False,"equaleverywhere,forthosewhomaketheworld,togetherwearemore",,b'Leveraging human potential means equal opportunity for all. See how our Chief Talent Innovation Officer Pradheepa Raman is participating in the #EqualEverywhere initiative towards equality for a brighter future. Link in bio. #ForThoseWhoMakeTheWorld #TogetherWeAreMore',424,50.3,54,1,55,,
