shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CH-k2QHg2bz,usaa,2020-11-24 15:00,no,False,happythanksgiving,,"b'From tossing a football to cooking your favorite fall recipes, Thanksgiving is full of traditions - even if they may look a little different this year. What\xe2\x80\x99s your family\xe2\x80\x99s favorite Turkey Day tradition? #HappyThanksgiving'",0,0,547,18,565,,
CHyPOm0A7Zs,usaa,2020-11-19 20:00,no,False,,sabizjournal,b'USAA recognized today by @SABizJournal as Nonprofit & Corporate Philanthropy Award winner for our COVID-19 response including returning $1B in dividends & $50M to military and local communities.',0,0,325,26,351,,
CHxsM1oACPg,usaa,2020-11-19 14:54,no,False,,sanantoniofoodbank,b'USAA announces an additional $5 million for COVID-related relief focused on food insecurity and bridging the \xe2\x80\x98digital divide.\xe2\x80\x99 Learn more about this initiative with the @SanAntonioFoodBank and other great organizations as well as our other COVID relief efforts at link in our profile.',0,0,824,56,880,,
CHtU8jlJ_S7,usaa,2020-11-17 22:14,no,False,salutetoservice,"zachertz,trey.wingo,usaa",b'Remember to tune in TONIGHT for a live chat with @ZachErtz and @Trey.Wingo in the @USAA #SaluteToService Virtual Lounge at 7pm ET. You can watch by visiting  SaluteToService.com/lounge.',0,0,195,29,224,,
CHob2FjFHsW,usaa,2020-11-16 00:38,no,False,"spacelaunch,launchamerica","nasa,usaa,usairforce,usnavy",b'Godspeed to the crew of SpaceX Crew-1 including @NASA & @USAA members @usairforce Col. Mike Hopkins & @USNavy Cmdr Victor Glover as they take on their historic mission tonight. #SpaceLaunch #LaunchAmerica',0,0,2174,57,2231,,
CHn_yTHpCe2,usaa,2020-11-15 20:35,yes,False,salutetoservice,"playerstribune,packers,showtyme_33,packers,showtyme_33",b'Thank you @playerstribune for helping share the @packers @showtyme_33 story of growing up in the military. #SaluteToService \n\xe3\x83\xbb\xe3\x83\xbb\xe3\x83\xbb\nPassionate. Hard-working. Determined.\xe2\x81\xa0 @packers running back Aaron Jones (@showtyme_33) outlines all of the qualities that make his parents his ultimate heroes. His family\xe2\x80\x99s story of service and sacrifice: Link in bio.',3159,57.333,166,6,172,,
CHn5-huJFlA,usaa,2020-11-15 19:42,no,False,salutetoservice,nfl,b'More #SaluteToService games being played across the @NFL today with each game using the official STS Challenge Coin for the coin toss. USAA is the official Salute To Service partner of the NFL.',0,0,975,86,1061,,
CHi5UNIg_Eo,usaa,2020-11-13 21:00,no,False,salutetoservice,"zachertz,trey.wingo,usaa","b'Military NFL fans, be sure to join @zachertz and @trey.wingo for a virtual live chat on Tuesday at 7pm ET in the @USAA #SaluteToService Virtual Lounge. Register and submit your questions at salutetoservice.com/lounge.'",0,0,346,8,354,,
CHgNpuCMsT1,usaa,2020-11-12 20:00,no,False,hirevets,,"b""USAA named this week by the U.S. Department of Labor as a #HIREVets Medallion Award recipient for our ongoing commitment to recruiting, employing, and retaining veterans. We're proud to support veteran careers. Learn more at usaajobs.com/military.""",0,0,461,23,484,,
CHdbJipBdc4,usaa,2020-11-11 18:00,yes,False,"honorthroughaction,veteransday,veteransday2020",themissioncontinues,"b'They may not be serving in uniform, but the desire to serve still lives in them. See how @themissioncontinues gives back to their communities. #HonorThroughAction #VeteransDay #VeteransDay2020'",23866,30.033,420,21,441,,
CHdB7n6gtjr,usaa,2020-11-11 14:20,no,False,"veteransday,honorthroughaction",,"b'""V"" is #VeteransDay. Join USAA in the #HonorThroughAction Challenge today by drawing a ""V"" in your palm and the initials of the Veteran you are saluting. At USAA, we recognize the nearly 18 million Veterans who deserve to be honored for their service to our nation.'",0,0,1609,43,1652,,
CHabTg9g-ks,usaa,2020-11-10 14:04,no,False,"oorah,semperfi,semperfidelis,marinecorpsbirthday",marines,"b'Whether on land, by sea or in the air, the @marines are always there to defend our freedoms. Join us in wishing them a happy 245th birthday. #Oorah #SemperFi #SemperFidelis #MarineCorpsBirthday'",0,0,2567,53,2620,,
CHabTg9g-ks,usaa,2020-11-10 14:04,no,False,"oorah,semperfi,semperfidelis,marinecorpsbirthday",marines,"b'Whether on land, by sea or in the air, the @marines are always there to defend our freedoms. Join us in wishing them a happy 245th birthday. #Oorah #SemperFi #SemperFidelis #MarineCorpsBirthday'",0,0,2567,53,2620,,
CHYAXAng9wH,usaa,2020-11-09 15:30,yes,False,"honorthroughaction,veteransday",,"b'With a ""V"" on your hand, you can honor your favorite Veteran. Write it. Snap it. Post it. Join USAA as we honor all those who have served and those currently serving. #HonorThroughAction #VeteransDay'",26605,30.033,529,29,558,,
CHV31HKpYeb,usaa,2020-11-08 19:37,yes,False,salutetoservice,"usaa,nfl,usaa","b'To show appreciation for the military, veterans & their families @USAA is virtually bringing the military & @NFL together via unique virtual experiences. Tune in Tuesday for the next @USAA #SaluteToService Virtual Lounge and check out our IG Story to register and submit a question.'",26344,30.066,258,7,265,,
CHO6_zQD1CH,usaa,2020-11-06 02:50,yes,False,"salutetoservice,gbvssf","gkittle46,nfl","b'During #SaluteToService, whether on or off the field, @gkittle46 & other @NFL players display decals on their helmets to honor and salute our nation\xe2\x80\x99s military and veterans #GBvsSF'",2139,40.033,184,27,211,,
CHAvSGpnnTm,usaa,2020-10-31 14:38,yes,False,happyhalloween,,"b'Bright costumes, looking both ways, staying in familiar neighborhoods\xe2\x80\xa6 just a few tips to help with a safe, #HappyHalloween'",5091,4.966,892,59,951,,
CG8fHxEAOfE,usaa,2020-10-29 23:00,no,False,goairforce,,b'Join USAA in showing your Air Force team pride ahead of our sponsored Air Force vs. Army game on November 7 - add your fan photo to our interactive display at usaamosaic.com #GoAirForce',0,0,147,16,163,,
CG8OSr0Fda_,usaa,2020-10-29 20:33,no,False,goarmy,,b'Join USAA in showing your Army team pride ahead of our sponsored Air Force vs. Army game on November 7 - add your fan photo to our interactive display at https://bit.ly/2HIORDs #GoArmy',0,0,142,11,153,,
CGzsLTGg_Jn,usaa,2020-10-26 13:01,no,False,nationaldayofthedeployed,,"b'We think about them every day they\xe2\x80\x99re away. On #NationalDayoftheDeployed, we dedicate the time to recognize the sacrifice of our deployed service members and their families.'",0,0,936,43,979,,
CGvG0sFpDXY,usaa,2020-10-24 18:17,no,False,"navyvshou,gonavy",,b'It\xe2\x80\x99s game day! Tune in for #NAVYvsHOU presented by USAA at 3:30pm ET / 2:30pm CT and #GoNavy!',0,0,649,13,662,,
CGstveGp5Ej,usaa,2020-10-23 20:00,no,False,navyvshou,,"b""We're 1 day away until #NAVYvsHOU. All week we're giving fans the chance to win prizes as we countdown to game day. Enter to win at navalacademysweeps.usaaevents.com.""",0,0,200,23,223,,
CGqP0Rcl8GD,usaa,2020-10-22 21:00,no,False,navyvshou,,"b""We're 2 days away until #NAVYvsHOU. All week we're giving fans the chance to win prizes as we countdown to game day. Register to win at navalacademysweeps.usaaevents.com.""",0,0,246,15,261,,
CGm0UacD9Wq,usaa,2020-10-21 13:02,no,False,navyvshou,,"b""We're 3 days away until #NAVYvsHOU. All week we're giving fans the chance to win prizes as we countdown to game day. Enter for a chance to win at navalacademysweeps.usaaevents.com.""",0,0,294,22,316,,
CGlZGken7hl,usaa,2020-10-20 23:45,no,False,salutetoservice,,b'Tune in NOW to watch NFL QB Ryan Tannehill and Host Trey Wingo in the USAA #SaluteToService Virtual Lounge!  https://bit.ly/3nCOB9v',0,0,176,1,177,,
CGkdBv9DuFl,usaa,2020-10-20 15:00,no,False,navyvshou,,"b""We're 4 days away until #NAVYvsHOU. All week we're giving fans the chance to win prizes as we countdown to game day. Register at navalacademysweeps.usaaevents.com.""",0,0,258,2,260,,
CGityfEAGaN,usaa,2020-10-19 22:48,no,False,navyvshou,,"b""We're just 5 days away until #NAVYvsHOU. All week we're giving fans the chance to win prizes as we count down to game day. Enter at navalacademysweeps.usaaevents.com.""",0,0,351,23,374,,
CGiUJwSlEWd,usaa,2020-10-19 19:04,no,False,salutetoservice,,b'Remember to tune in tomorrow for a live chat with NFL QB Ryan Tannehill and Host Trey Wingo in the USAA #SaluteToService Virtual Lounge at 7pm CT. Download a calendar reminder at https://bit.ly/3nCOB9v',0,0,243,7,250,,
CGaJ-ARHMuh,usaa,2020-10-16 15:01,no,False,"cadets,midshipmen,goairforce,gonavy,goarmy",,"b'Whatever the circumstance, our commitment to the service academies never wavers. Join us and show your team pride for #Cadets or #Midshipmen by adding a photo to our interactive display at usaamosaic.com.\n#GoAirForce\n#GoNavy\n#GoArmy'",0,0,434,44,478,,
CGYOX9WASLj,usaa,2020-10-15 21:01,no,False,salutetoservice,,"b'Military NFL fans, thank you for your service. Join NFL QB Ryan Tannehill and Host Trey Wingo for a virtual live chat next Tuesday at 7pm CT in the USAA #SaluteToService Virtual Lounge. Register and submit your question here at  https://bit.ly/3lTstFU'",0,0,371,16,387,,
CGSN9VnDDkb,usaa,2020-10-13 13:02,no,False,hbdnavy,,"b'From its beginnings during the American Revolution to its current position as the world\xe2\x80\x99s best naval fleet, the U.S. Navy continues to protect our country through Honor, Courage and Commitment. Happy 245th birthday! #HBDNavy'",0,0,1295,69,1364,,
CGKfWf5lJlc,usaa,2020-10-10 13:00,no,False,"worldmentalhealthday,mentalhealth",,"b'The pressures of life can weigh on the best of us, including service members and their families. On this #WorldMentalHealthDay, we\xe2\x80\x99re sharing the importance of #MentalHealth care for all. If you or someone you know is in a crisis, call the National Suicide Prevention Lifeline 24/7 at 800-273-TALK (8255). Helpers are available to talk 24/7.'",0,0,798,31,829,,
CF-Qk3NnNUr,usaa,2020-10-05 19:00,no,False,childhealthday,,"b'From planning safe activities to cooking balanced meals and saving for unexpected healthcare costs, #ChildHealthDay reminds us to always make our children\xe2\x80\x99s wellness a priority.'",0,0,223,48,271,,
CF4rgzLnFjD,usaa,2020-10-03 15:00,no,False,"navyvsaf,gonavy,goairforce",,"b""It's T-7 hours from kickoff of today's #NAVYvsAF game being played at the Air Force Academy. If history is any indication of the Navy-Air Force rivalry, it will be a close game. #GoNavy #GoAirForce""",0,0,238,27,265,,
CF2Nxaxgk1m,usaa,2020-10-02 16:01,yes,False,"usometrodc,usometrolounge,bwiairport",,"b'USAA partnered with #USOMetroDC to assemble and distribute 3,000+ care packages for deploying troops passing through the #USOMetroLounge in #BWIAirport throughout October. We are proud to be a force behind the force with our sponsorship of USO missions and programs.'",25516,21.3,293,15,308,,
CFvCo8Bpcmd,usaa,2020-09-29 21:10,yes,False,"goairforce,sinknavy,navyvsaf",,b'Win one of these hats and wear it as you cheer on Air Force as they take on Navy Saturday. Comment using #GoAirForce or #SinkNavy before 6 pm CDT Wednesday and you could be randomly selected! #NAVYvsAF',7361,4.833,606,140,746,,
CFvBiaUFUVE,usaa,2020-09-29 21:00,yes,False,"gonavy,beatairforce,navyvsaf",,b'Win one of these hats and cheer on Navy as they take on Air Force Saturday. Leave a comment including #GoNavy or #BeatAirForce before 6 pm CDT Wednesday and you could be randomly selected! #NAVYvsAF',24170,4.366,889,257,1146,,
CFRu_OugD6Z,usaa,2020-09-18 12:00,no,False,"afbday,aimhigh",usairforce,"b'Who broke the sound barrier, defends our nation and is celebrating their 73rd birthday today? That\xe2\x80\x99s right, the @USAirForce. Today, we celebrate with our current and former Airmen. #AFBDay #aimhigh'",0,0,1761,95,1856,,
CFFnj65Ae7q,usaa,2020-09-13 19:04,yes,False,salutetoservice,,"b""It's the first football Sunday of the season and USAA was made for this! No matter who you're cheering for, as the Official NFL #SaluteToService Partner, we're all cheering for the men and women who serve and have served and the families who support them.""",19022,30.033,280,61,341,,
CE_yrtygOAp,usaa,2020-09-11 12:46,no,False,"neverforget,patriotday",,b'We honor. We remember. We will #NeverForget. #PatriotDay',0,0,3928,72,4000,,
