shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CICKmkGIaoH,walmart,2020-11-26 00:27,yes,False,,,b'11/25 Black Friday deals:\nOnline only :check_mark: \nStarts 7 PM EST :check_mark: \nTons of huge savings :check_mark: \n:grinning_face_with_smiling_eyes::smiling_face_with_3_hearts::raising_hands_medium_skin_tone:',2546,34.7,219,99,318,,
CIBKRZQjjRX,walmart,2020-11-25 15:05,no,False,,,"b'Big chef\xe2\x80\x99s kiss to all the cooks out there putting in the work today & tomorrow. We see you, we love you, will you please tell us your secret recipes now? You know the ones. :turkey:'",0,0,1387,96,1483,,
CH-6EdRrpyA,walmart,2020-11-24 18:05,no,False,walmartfashion,,"b'When they say \xe2\x80\x9csurprise me!\xe2\x80\x9d, but you know better\xe2\x80\xa6 We\xe2\x80\x99ve got perfect :wrapped_gift: picks to help you score major gifting points with everyone on your list. #WalmartFashion'",0,0,4194,151,4345,,
CH8-f3AIzMv,walmart,2020-11-24 00:05,no,False,,,b'\xe2\x80\x9cI\xe2\x80\x99m warm in the house & I\xe2\x80\x99m in the house warm.\xe2\x80\x9d',0,0,8392,172,8564,,
CH8PgUUsolh,walmart,2020-11-23 17:15,yes,False,walmartdroneshow,,"b'Tune in Saturday, Dec. 5 at 7:40 PM ET to see your favorite holiday songs come to life through the magic of drones! #WalmartDroneShow'",16173,15.0,1411,81,1492,,
CH55IazJbSX,walmart,2020-11-22 19:21,yes,False,walmartcookshop,,b'Ready to be the boss? You choose what happens next with interactive shows at Walmart.com/Cookshop. #WalmartCookshop',13685,30.033,815,82,897,,
CH23GTwjmrj,walmart,2020-11-21 15:05,no,False,"thanksgiving,walmarthome",,b'Love this #Thanksgiving Day kitchen for you. #WalmartHome',0,0,4184,130,4314,,
CH0KzGWFM3L,walmart,2020-11-20 14:00,no,False,walmartbeauty,,"b""Playing secret :Santa_Claus_medium-dark_skin_tone: for the beauty lover in your life just got easier than finishing a whole plate of :cookie:s. From skincare fridges to :sparkles: palettes, we have every :lipstick: must-have they\xe2\x80\x99ll love, whether they're a beginner or a total pro. #WalmartBeauty""",0,0,5146,158,5304,,
CHyWjYIn8_6,walmart,2020-11-19 21:04,yes,False,,marcuscooks,"b'Thanksgiving pro-tip: Try subbing Cook-Up Rice for stuffing this :turkey: day. Walmart+, the Isaacs family, & @marcuscooks make it easy for you.'",17410,30.066,1083,271,1354,,
CHvdSWbl3A0,walmart,2020-11-18 18:05,no,False,,,"b""Pop, fizz, clink! It\xe2\x80\x99s time to drink. We're a :thumbs_up_medium-dark_skin_tone: for eggnog, what about you?""",0,0,1992,795,2787,,
