shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CH_0uA8HPA9,xerox,2020-11-25 02:38,no,False,,,"b'Print up to 25% faster and in vivid neon fluorescent ink, silver, white and gold with the new Xerox Versant 280. Learn more at the link in our bio.'",0,0,134,4,138,,
CH5ey1DD0bW,xerox,2020-11-22 15:31,yes,False,,,"b'This holiday season, print in sparkling silver and gold with Xerox metallic dry ink. Learn more at the link in our bio.'",1425,5.766,178,4,182,,
CHv2Vc6Fhso,xerox,2020-11-18 21:44,no,False,,,"b'What happens when you combine high-speed inkjet printing with deeper, more vibrant colors and support for a whole new range of media? Introducing the Color Accelerator for Xerox Baltoro. Dreams do come true. Read more at the link in our bio.'",0,0,160,3,163,,
CHvjpcvh_lw,xerox,2020-11-18 19:01,no,False,dreamsinprintout,,"b'Announced today: the new Color Accelerator for Xerox Baltoro delivers richer, more vibrant, lifelike colors for inkjet printing by using advanced software to drop ink precisely from over 65,000 nozzles! More product info in bio. #DreamsInPrintOut'",0,0,161,1,162,,
CHtCL1TM0jd,xerox,2020-11-17 19:30,no,False,stem,abetterchance,"b'To encourage students of color to pursue careers in science, tech, engineering & math, Xerox is partnering with @ABetterChance to provide professional mentorship opportunities from our employees. Our goal: To increase representation in #STEM fields from current rates of 7-9% in the workforce at large.'",0,0,94,4,98,,
CHqReWnA8G1,xerox,2020-11-16 17:46,yes,False,dreamsinprintsout,,"b""Only two days left until we take the wrappers off 5 new products and 4 new features. Don't miss our #DreamsInPrintsOut event. Livestreaming free globally on Wednesday, November 18 at 11 am ET. Link in bio.""",917,8.9,144,4,148,,
CHbFoE3lrYK,xerox,2020-11-10 20:14,yes,False,,,b'Want to give your printed creations a glow up? Try Xerox fluorescent ink. Find out more at the link in our bio.',2183,1.366,158,7,165,,
CHLqM6HB_Vn,xerox,2020-11-04 20:25,no,False,,,"b""Mark your calendars: on Wednesday, Nov. 18, we're hosting a free, live global virtual event to reveal something truly special & exciting -- especially for production printers. Register now with the link in our bio!""",0,0,172,7,179,,
CHAssgIlBIz,xerox,2020-10-31 14:15,no,False,beyondcmyk,,"b""Happy Halloween! It's an unusual year, but you can still celebrate the trickiest of holidays by making cards, decorations and other printed creations glow with eerie fluorescent ink. Find out how with Xerox Adaptive CMYK+ tech. Link in bio. #BeyondCMYK""",0,0,178,2,180,,
CG3U8BMlYaK,xerox,2020-10-27 22:55,no,False,,,"b'In announcing Q3 earnings today, Xerox Vice Chairman and CEO John Visentin shared how investments in digital solutions and services are helping customers prepare for a more hybrid work experience. Read the full release at the link in our bio.'",0,0,240,2,242,,
CGp6E9fFP37,xerox,2020-10-22 17:50,no,False,,"parc,defense","b'Oceans cover the majority of Earth\xe2\x80\x99s surface, but we still know relatively little about their inner workings. Scientists at @PARC, a Xerox Company are working to change that by partnering with @Defense Advanced Research Projects Agency (DARPA) on a program to deploy drifting ocean sensors that collect data on the environment and human impact. Read more at https://xerox.bz/2TeEJoi.'",0,0,133,2,135,,
CGpnRVAloML,xerox,2020-10-22 15:05,no,False,beyondcmyk,1_3_1,"b'""I\'m always looking for unique,"" says graffiti artist Gustavo Oviedo(@1_3_1), who uses vibrant fluorescent colors in his paintings. Now you can print in fluorescents too. See how with the new, award-winning Xerox Adaptive CMYK+ Kit. More info at the link in our bio. #BeyondCMYK'",0,0,133,1,134,,
CGF6jjxFI35,xerox,2020-10-08 18:21,no,False,"throwbackthursday,parc50,thenext50",,"b""My how times have changed: You're looking at one of the first computer interfaces designed for ordinary people to use -- the Smalltalk 76 for Xerox Alto computer -- made by researchers at our lab XEROX PARC in the early 1970s. Most of the digital devices we use today were influenced in some way by these early Xerox GUIs. PARC is celebrating 50 years this year and still going strong: swipe right to see a newer Xerox ConnectKey printer interface with Apps and look how far we've come. #throwbackthursday #PARC50 #TheNext50""",0,0,188,3,191,,
CGDzvAKFJws,xerox,2020-10-07 22:43,no,False,,"colorlogic,onestepprinting",b'Looking to produce prints that really sparkle and shine with Xerox Iridesse? Tune into our free live webinar on Oct. 21 to learn how to to easily add metallic embellishments to new and existing designs! Feat. special guests from @colorlogic and @onestepprinting. Register now: Link in bio.',0,0,171,2,173,,
CGATLOGFigr,xerox,2020-10-06 14:01,no,False,,catprint,"b""From spot color that prints your company's logo and branding accurately on all types of materials to incredible, eye-popping fluorescents, metallics and clear ink, learn how to use your Xerox iGen 5 like a pro in our new webinar Nov. 4, featuring @CatPrint! Registration link in bio.""",0,0,88,1,89,,
CF-y6JSlQw6,xerox,2020-10-06 00:00,no,False,beyondcmyk,,"b'Halloween is less than a month away! This year will be different, but you can still get ready for the spooky season by printing out Halloween decorations and cards using Xerox metallic, fluorescent and white dry ink. See more in our bio. #BeyondCMYK'",0,0,177,3,180,,
CF-TpzTFD2X,xerox,2020-10-05 19:27,no,False,,,"b""A gold medal for gold ink? Close enough. We're so thrilled the Xerox Adaptive CMYK+ Kit for our Versant printers, which lets you print in gold, silver, fluorescent and clear glaze, has been recognized with a Buyers Lab award for Outstanding Innovation! More info. on this product and our color tech at the link in our bio.""",0,0,150,4,154,,
CF9-tWpFEX8,xerox,2020-10-05 16:24,no,False,oesummit,outandequal,"b'We believe in fostering workplaces where all people are equal, belong and thrive. This is one of the reasons we support @outandequal Summit, which starts today. Speakers will discuss critical topics ranging from racial justice to belonging in the workplace, and so much more. Join the conversation. #OESummit'",0,0,118,0,118,,
CFfLcs7F8EZ,xerox,2020-09-23 17:18,no,False,,printingunited,"b'Boldly going where no printer has gone before\xe2\x80\xa6 Xerox is proud to be recognized by @printingunited with a 2020 InterTech Technology Award for the Baltoro HF! This printer\xe2\x80\x99s high-fusion ink moves the industry forward, delivering vibrant results.'",0,0,184,3,187,,
CFH6PRRFlFb,xerox,2020-09-14 16:26,no,False,,townofcary,"b'Today, we officially open our North Carolina Center of Excellence in @townofcary, NC. At Xerox, we have long defined the modern work experience and this space will continue to build on our legacy. We\xe2\x80\x99ve incorporated the latest collaborative technologies and layouts. This facility is designed to foster innovation and will be the new home of Xerox\xe2\x80\x99s IT organization. \n\nThe NC Center of Excellence is located in the Research Triangle, one of the top tech communities in the world. Its location is a key component to our ongoing digital transformation and we look forward to partnering with talent from some of the best universities in the country!'",0,0,503,23,526,"Cary, North Carolina",35.7872 -78.7834
