shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIRXY2HD8M0,abbvie,2020-12-01 22:08,no,False,"stem,givingtuesday,abbviegivesback",,"b""\xe2\x9c\x93 Virtual #STEM classes for kids\n\xe2\x9c\x93 Assembling care kits at home for healthcare workers\n\xe2\x9c\x93 Raising an incredible $21 million for nonprofits this year alone\nA pandemic may have changed how our employees give back this year, but it hasn\xe2\x80\x99t gotten in the way of their generosity. We're grateful for their support of local communities on #GivingTuesday and every day.\n#AbbVieGivesBack""",0,0,166,2,168,,
CHdDFHtLxo3,abbvie,2020-11-11 14:30,no,False,"veteran,veteransday,abbvielife",usarmy,b'Thank you to all our #Veteran employees \xe2\x80\x93 including Michelle Raine-Shepherd. She leverages all the skills she learned as senior logistics manager in the @USArmy in her role as a manager on our sales and operations planning team. \n#VeteransDay\n#AbbVieLife',0,0,247,1,248,,
CHa5wCZsVMo,abbvie,2020-11-10 18:30,no,False,"humanbehavior,medicines",,"b'In high school, Mick Rakauskas took his friends\xe2\x80\x99 class schedules and figured out a way for them to hang out and still get to class on time. It was an exercise that was part logistics, part #HumanBehavior prediction & the result was more time with his friends. Today he\xe2\x80\x99s our principal research engineer working to help patients find the best path to their #medicines.'",0,0,166,1,167,,
CHVYIjqjv8w,abbvie,2020-11-08 15:00,no,False,"stem,science,engineering,nationalstemday,abbviegivesback",swetalk,"b'Take a look at the future of #STEM. Recently, 40 kids joined our @SWEtalk members for a virtual hands-on project as part of our SEEK (#Science, #Engineering, Exploration, Knowledge) program. #NationalSTEMDay\n #AbbVieGivesBack'",0,0,450,6,456,,
CHN67Omn2eV,abbvie,2020-11-05 17:30,yes,False,"worldbestworkplaces,icymi,abbvielife","gptw_us,fortunemag","b'For the 4th year in a row, @gptw_us and @FortuneMag is calling us one of the #WorldBestWorkplaces. #ICYMI, watch their reasons why.\n#AbbVieLife'",954,58.066,176,1,177,,
CGzwLiDD3t6,abbvie,2020-10-26 13:36,no,False,"disability,ndeam,equality,diversity,inclusion,abbvielife",,"b'To Karen Florjancic, associate director of development sciences, celebrating National #Disability Employment Month is personal. As parent of 2 kids on the autism spectrum, she wants to raise awareness that a diverse talent pool \xe2\x80\x9cmakes us even stronger and more competitive\xe2\x80\x9d \xe2\x80\x93 and she joined our Ability employee group to do so.\n#NDEAM\n#Equality\n#Diversity\n#Inclusion\n#AbbVieLife'",0,0,187,0,187,,
CGsoBXejIHn,abbvie,2020-10-23 19:10,no,False,,,"b'How it started :right_arrow_selector: How it\xe2\x80\x99s going for Tom Hudson, AbbVie Chief Scientific Officer'",0,0,518,10,528,,
CGaGwQigoOY,abbvie,2020-10-16 14:33,no,False,"ophthalmology,discovery,scientistsrock,research",,"b'As a passionate global traveler, Margot Goodkin, our executive director of #ophthalmology clinical development, knows a thing or two about #discovery. Whether she\xe2\x80\x99s on the road or in the clinic, she spends her days envisioning a brighter future for those suffering from ophthalmic diseases.\n#ScientistsRock\n#Research'",0,0,253,0,253,,
CGSUtyJDQy8,abbvie,2020-10-13 14:01,no,False,"worldsbestworkplaces,bestworkplaces,gptw4all","gptw_us,fortunemag","b'It\xe2\x80\x99s true - @gptw_us and @fortunemag named us to the 2020 #WorldsBestWorkplaces list. Danke, gracias, merci, arigato & thanks to our employees around the world for making this possible.\n#BestWorkplaces\n#GPTW4ALL'",0,0,642,14,656,,
CGPvziOgPm6,abbvie,2020-10-12 14:00,no,False,"disabilities,ndeam,abbvielife,equality,diversity,inclusion",,"b'Progress has been made in the employment of people with #disabilities, but Laurie Asbeck-Hickman, head of our Ability employee group, says \xe2\x80\x9cthere is more to do.\xe2\x80\x9d She co-founded Ability to \xe2\x80\x9ccontinue challenging misconceptions and recognize their value and talent.\xe2\x80\x9d \n#NDEAM\n#AbbVieLife\n#Equality\n#Diversity\n#Inclusion'",0,0,143,1,144,,
CGNFo0EDQLk,abbvie,2020-10-11 13:17,yes,False,"nationalcomingoutday,abbvielife,equality,diversity,inclusion",,b'\xe2\x80\x9cYou just don\xe2\x80\x99t come out once in a lifetime.\xe2\x80\x9d Rachael Harris is one of our newest employees who joined us from Allergan. Hear her story on coming out to her new AbbVie manager.\n#NationalComingOutDay\n#AbbVieLife\n#Equality\n#Diversity\n#Inclusion',2442,105.023,267,29,296,,
CGH-Gj6npW0,abbvie,2020-10-09 13:31,yes,False,"abbviegivesback,employeegiving,fridayfeeling",,b'It\xe2\x80\x99s no secret we\xe2\x80\x99re dedicated to giving back. See the impact when thousands of us come together for our annual employee giving campaign. \n#AbbVieGivesBack\n#EmployeeGiving\n#FridayFeeling',897,28.566,145,1,146,,
CGFSbvVnqyw,abbvie,2020-10-08 12:31,no,False,"eyecare,worldsightday,abbviegivesback",,"b'In our effort to improve eye care around the world, our grant is helping train 50 #eyecare professionals in Nigeria. #WorldSightDay #AbbVieGivesBack'",0,0,235,0,235,,
