shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIZFBFVBaZI,abcnews,2020-12-04 22:01:28.000000,no,False,,,"b""Pres.-elect Joe Biden is expected to nominate Dr. Vivek Murthy to serve as surgeon general\xe2\x80\x94reprising his position held during the Obama administration\xe2\x80\x94a key role in the government's coronavirus response, multiple sources told ABC News. READ MORE AT LINK IN BIO.""",0,0,10686,345,,Washington D.C.,38.8951 -77.0367
CIZEg3HnYbz,abcnews,2020-12-04 21:57:36.000000,no,False,"covid,coronavirus",,"b'On Oct. 30, the number of new COVID-19 cases reported in the U.S. in a single day exceeded 100,000 for the first time. By Dec. 2, the daily case number had nearly doubled, with over 196,000 new daily cases. SEE LINK IN BIO FOR THE LATEST DEVELOPMENTS ON COVID-19. #covid #coronavirus'",0,0,6247,370,,,
CIY960cHJIW,abcnews,2020-12-04 20:59:27.000000,no,False,,,"b'People lined up in their cars for free COVID-19 testing at Michelle Krill Memorial Field at Pullman Park in Butler, Pennsylvania.'",0,0,7250,188,,"Butler, Pennsylvania",40.8605555556 -79.8947222222
CIYsUISs2uV,abcnews,2020-12-04 18:25:37.000000,no,False,"nasa,space,moon,science,research",,b'NASA said it will pay a private firm $1 to collect a sample of the moon as part of its initiative to solicit help from commercial companies to obtain moon rocks and dust. Tap link in bio for more. #nasa #space #moon #science #research',0,0,3205,190,,,
CIYo-AAAFOa,abcnews,2020-12-04 17:56:47.000000,yes,False,,,"b'Ichiha and Popo were finally introduced to the public at a zoo in Chile, which is hosting two red pandas from Japan as part of a conservation project. Although they arrived in March, closures due to the pandemic kept them from visitors until now.'",36107,58.4,3241,62,,"Santiago, Chile",-33.4498 -70.6671
CIYilDhANfE,abcnews,2020-12-04 17:00:57.000000,yes,False,,,"b'Thousands lined up outside testing centers in Austria, as the country worked with its army to launch a mass COVID-19 testing program in an effort to isolate infected people to avoid overwhelming its health care system.'",28629,58.366,1134,40,,"Vienna, Austria",48.2083 16.3731
CIYbwj6jxF-,abcnews,2020-12-04 16:01:22.000000,yes,False,,,"b'SOUND ON: Icy waves on the shores of Lake Superior created a serene scene, as frosty weather swept through the area.'",35707,58.4,1873,47,,"Ashland, Wisconsin",46.5874 -90.8804
CIYZUaAjEmv,abcnews,2020-12-04 15:40:02.000000,yes,False,,,"b""TO THE SKIES: A fire service helicopter carried a statue of Saint Barbara, the patron saint of firefighters, in Rieti, Italy, in lieu of the town's usual procession due to COVID-19 measures.""",32453,54.8,1291,35,,Rieti,42.3987 12.86162
CIYU4nmK5lD,abcnews,2020-12-04 15:00:53.000000,no,False,"rohingya,refugees",,"b'Rohingyas that will be shifted to Bhasan Char island are seen onboard a bus in Chattogram, Bangladesh, December 4, 2020. #rohingya #refugees'",0,0,1168,19,,,
CIYOBonKZ7h,abcnews,2020-12-04 14:00:57.000000,no,False,"landslide,france",,"b'A house is seen on the edge of a cliff caused by a landslide in the village of Saint-Martin-Vesubie, southeastern France, on December 3, 2020, two months after heavy rains and brutal floods left areas cut off from the world in the French Alps. #landslide #france'",0,0,3984,103,,,
