shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIVodc7BS2I,accenture,2020-12-03 13:54:13.000000,no,False,"accenturemoments,lettherebechange",,b':open_book::pen::musical_notes: Our office essentials. What are yours? #AccentureMoments #LetThereBeChange',0,0,6837,378,,,
CITq7ZnBbwq,accenture,2020-12-02 19:37:18.000000,no,False,accenturemoments,,b':sparkles:Who else played with one of these as a kid? Still pretty fun... :beaming_face_with_smiling_eyes: #AccentureMoments',0,0,2995,13,,,
CIGYCZchd8M,accenture,2020-11-27 15:42:06.000000,no,False,"fridayfeeling,petstagram,accenturemoments",accenture_malaysia,b':cat::laptop_computer::purple_heart: Because furry pals make Fridays even better. #FridayFeeling #Petstagram  #AccentureMoments :camera_with_flash:: @accenture_malaysia',0,0,3657,21,,,
CIA-kPUnbMj,accenture,2020-11-25 13:23:28.000000,no,False,accenturespaces,,"b':office_building::raising_hands::purple_heart: While many of us work remotely these days, we\xe2\x80\x99re looking forward to a return to office in the future\xe2\x80\x94and thought we\xe2\x80\x99d spotlight some of our favorite work spaces in the meantime. :slightly_smiling_face: Who knows where this one is? #AccentureSpaces'",0,0,3106,31,,,
CH0EnNysj2g,accenture,2020-11-20 13:06:10.000000,no,False,accenturemoments,,b':maple_leaf: Next stop: toasted marshmallows. :fallen_leaf: #AccentureMoments',0,0,3339,18,,,
CHs_Z7MFiml,accenture,2020-11-17 19:05:59.000000,no,False,"tuesdayvibes,accenturemoments",,b':dog_face::laptop_computer::raising_hands: This very good boy can be part of our team anytime. #TuesdayVibes #AccentureMoments',0,0,9819,111,,,
CHhuV1Xs4wY,accenture,2020-11-13 10:05:14.000000,no,False,happydiwali,,b':sparkles::sparkler: Wishing you a very happy festival of lights! #HappyDiwali',0,0,5160,36,,,
CHfOPatBrAa,accenture,2020-11-12 10:46:07.000000,no,False,,"juliesweet,accenture",b':purple_heart::raising_hands: // Regram @juliesweet: I got to see the talents of our @accenture people in a whole new light at the Growth Markets virtual festival. These photos are just a taste of the celebration!',0,0,1570,10,,,
CHdFybyhYkA,accenture,2020-11-11 14:53:47.000000,no,False,"wednesdayvibes,accenturemoments",,b':raising_hands_light_skin_tone::man_running_light_skin_tone:Hopping through the week like... #WednesdayVibes #AccentureMoments',0,0,2671,8,,,
CHP4N3EAtiP,accenture,2020-11-06 11:45:12.000000,no,False,accenturemoments,,b'Weekend plans: Take a moment to relax. :sun_selector::sweat_droplets: :smiling_face_with_sunglasses: #AccentureMoments',0,0,4396,22,,,
