shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CGpf7kCgsDQ,adidas,2020-10-22 14:01:43.000000,no,False,readyforchange,"drose,adidashoops","b'""It\'s hard trying to fight the system when you have all of these boundaries. You have to fight through so many elements to find out who you are.""\xe2\x81\xa3\n\xc2\xa0\xe2\x81\xa3\nDerrick Rose (@drose) talks about\xc2\xa0growing up in Chicago, his career, and how he\'s learned to\xc2\xa0be open in order to understand others.\xe2\x81\xa3\n\xc2\xa0\xe2\x81\xa3\nWatch the latest episode of #ReadyForChange now on @adidasHoops.'",0,0,82297,1390,,,
CGih46QgmMP,adidas,2020-10-19 21:05:05.000000,yes,False,,parley.tv,"b'As part of the Change stage of Creators Club Week, Parley for the Oceans (@parley.tv) Founder and CEO Cyrill Gutsch talks about solutions to plastic pollution and how a new mindset can help turn something negative into something positive.\n\nAccess exclusive talks, products, rewards and more with creators club at adidas.com/creatorsclub'",144540,96.6,24299,379,,,
CGcrUHuAEnv,adidas,2020-10-17 14:31:41.000000,yes,False,adidas4d,carbon,"b'As part of the Innovate stage of Creators Club Week, @Carbon co-founder Philip DeSimone tells us about the potential of cutting edge #ADIDAS4D technology in the near future.\n\xc2\xa0\nAccess exclusive talks, products, rewards and more with creators club at adidas.com/creatorsclub'",109888,136.046,23826,181,,,
CGP8BtEgqGC,adidas,2020-10-12 15:46:58.000000,no,False,readyforchange,"juventus,west.mckennie,adidasfootball,cdiazmiami","b'\xe2\x80\x9cI don\xe2\x80\x99t want to be just known as a great soccer player. I want to be known as a great human being, as\xc2\xa0a great person.\xe2\x80\x9d\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\n\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\n@juventus midfielder Weston\xc2\xa0McKennie (@west.mckennie) shares the\xc2\xa0importance of building a legacy\xc2\xa0beyond the pitch in the newest episode of\xc2\xa0#ReadyForChange.\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\n\xe2\x81\xa3\xe2\x81\xa3\nWatch now on @adidasfootball \nPhoto by @cdiazmiami'",0,0,54401,226,,,
CGOdVk6gBvi,adidas,2020-10-12 02:01:27.000000,yes,False,readyforchange,,b'There is no off-season for change. \xe2\x81\xa3\n\xe2\x81\xa3\n#ReadyForChange',148346,38.168,31174,200,,,
CGIBdiVAnsg,adidas,2020-10-09 14:00:32.000000,no,False,readyforsport,"siya_kolisi_the_bear,adidasza","b'\xe2\x80\x9cEvery time I pull on a jersey, I play for so much more than myself.\xe2\x80\x9d\xe2\x81\xa3\n\xe2\x81\xa3\nSport turned Siya Kolisi\xe2\x80\x99s (@siya_kolisi_the_bear) life around. Head to @adidasZA to see how he\xe2\x80\x99s using his platform to change lives on and off the field.\xe2\x81\xa3\n\xe2\x81\xa3\n#ReadyForSport'",0,0,66601,181,,,
CGFch-ugU9-,adidas,2020-10-08 13:59:21.000000,no,False,futurecraft,kram_weisshaar,"b""FUTURECRAFT.STRUNG\xe2\x81\xa3\nCoded thread by thread for speed.\xe2\x81\xa3\xe2\x81\xa3\n\xe2\x81\xa3\xe2\x81\xa3\nImagine a shoe that's so synced to you, you almost can't feel it. STRUNG is first-of-its-kind textile creation tech made for just that. Our first proof of concept is\xc2\xa0FUTURECRAFT.STRUNG, made in partnership with @kram_weisshaar. \n\xe2\x81\xa3\xe2\x81\xa3\nEvery single thread of the shoe is individually selected and data-mapped for runners\xc2\xa0hitting 5m/sec. The result is a seamless, lightweight cocoon precisely tuned to how you\xc2\xa0really move. \n\nRead more now at adidas.com/futurecraft/strung #FUTURECRAFT""",0,0,119667,745,,,
CF9uVS2AFHH,adidas,2020-10-05 14:02:23.000000,yes,False,"futurecraft,futurecraft",,"b'#FUTURECRAFT sets us on a journey to do things that\xc2\xa0haven\xe2\x80\x99t\xc2\xa0been done before. Solving\xc2\xa0problems by hacking, prototyping, breaking, questioning. Wide open to new influences,\xc2\xa0perspectives, collaborations. Combining ideas and innovations to create real impact for\xc2\xa0the athlete.\xc2\xa0\xe2\x80\x8b\xe2\x81\xa3\n\xe2\x81\xa3\nEverything #FUTURECRAFT we put out is to show where\xc2\xa0we are\xc2\xa0headed, the possibilities,\xc2\xa0the opportunity. This is our journey from where\xc2\xa0we are\xc2\xa0to what could be.'",305081,95.266,50431,319,,,
CF2AMjbAE0K,adidas,2020-10-02 14:03:09.000000,no,False,readyforchange,"subbanator,adidashockey","b'""My purpose, it was never about just making it to the NHL. It was about giving kids who look like me an opportunity to \xe2\x81\xa3see someone who looked like them play hockey and be successful, not just on the ice but off the ice.""\xe2\x81\xa3\n\xe2\x81\xa3\nP.K. Subban (@subbanator) has a message to share with the world. Watch the latest episode of #ReadyForChange now \xe2\x81\xa3on @adidashockey'",0,0,57298,390,,,
CFrvftRqSu6,adidas,2020-09-28 14:24:48.000000,no,False,readyforchange,"adidashockey,nursey16","b'""My dad told me that as a bi-racial female, you\xe2\x80\x99re going to have to give 120% at all times just to have the same opportunity...It\xe2\x80\x99s\xc2\xa0pretty cool to see people actually standing up and listening and saying that things aren\xe2\x80\x99t right. We need to grow."" \xe2\x81\xa3\n\xe2\x81\xa3\nHead to @adidashockey to watch the next episode of\xc2\xa0#ReadyForChange\xc2\xa0and see why Sarah Nurse (@nursey16) is hopeful for the\xc2\xa0future of women\'s hockey.'",0,0,63129,644,,,
CFSFeK0A7JI,adidas,2020-09-18 15:16:35.000000,no,False,readyforchange,enwhytj,"b'""Pressure busts pipes, so if the world keeps applying the pressure, then I believe we will be heard.""\xe2\x81\xa3\n\xe2\x81\xa3\n2018 Skater of the Year Tyshawn Jones (@enwhytj) shows us that all voices are louder than one. Visit our link in bio to see why he keeps applying the pressure.\xe2\x81\xa3\n\xe2\x81\xa3\n#ReadyForChange'",0,0,55352,641,,,
CFGLtnygryj,adidas,2020-09-14 00:20:14.000000,no,False,readyforsport,"domithiem,adidastennis","b""@domithiem's search for his first major title fell just short three times before. \xe2\x81\xa3\n \nToday, the trophy is his. \xe2\x81\xa3\n \nHere\xe2\x80\x99s to one down and no limit to what comes next.\xe2\x81\xa3\n\n@adidastennis \n#ReadyForSport""",0,0,84705,517,,"New York, New York",40.7142 -74.0064
CEwff3aK9O4,adidas,2020-09-05 14:09:49.000000,no,False,readyforsport,"pereschepchirchirngeno,adidasrunning",b'\xe2\x80\x9cYou don\xe2\x80\x99t train every day to achieve what you know is in your reach. You train to achieve what is at the very edge of your limit\xe2\x80\x9d\xe2\x81\xa3\n \xe2\x81\xa3\n1 hour 5 minutes 34 seconds.\xe2\x81\xa3\nReady for a new era of world records\xe2\x81\xa3\n@pereschepchirchirngeno breaks the women-only half-marathon world record in the all-new @adidasrunning adizero adios Pro.\xe2\x81\xa3\n#ReadyForSport',0,0,67149,1487,,"Prague, Czech Republic",50.0876 14.4215
CEX9E-xgfTL,adidas,2020-08-27 01:27:17.000000,no,False,,,b'Black Lives Matter.',0,0,135677,5152,,,
CEPuyg3AcQ-,adidas,2020-08-23 20:54:08.000000,yes,False,"ucl,readyforsport",fcbayern,"b""These are the moments you'll be remembered for. @fcbayern #UCL #ReadyForSport""",220183,26.96,45605,465,,"Lisbon, Portugal",38.7261 -9.1394
CEEswV0Avnx,adidas,2020-08-19 14:00:04.000000,yes,False,readyforsport,,"b'Sport might not be the answer. But it is a symbol of optimism and hope. Impossible challenges must be faced\xc2\xa0and overcome, and our reward is joy.\xc2\xa0#ReadyForSport'",301610,60.006,66026,966,,,
CD_w8cIgsaa,adidas,2020-08-17 16:00:11.000000,yes,False,readyforsport,,"b""Now that sport is back, we\xc2\xa0won't\xc2\xa0waste these chances.\xc2\xa0Our opportunities will come, and\xc2\xa0we\xc2\xa0will\xc2\xa0be ready.\xc2\xa0#ReadyForSport""",296196,14.98,51438,599,,,
CD6ZSW1g57w,adidas,2020-08-15 14:00:14.000000,yes,False,readyforsport,patrickmahomes,"b'\xe2\x80\x9cWe\'re going to be taking action and making change in this world so it\'s a better place when we leave it."" \xe2\x81\xa3\n\xe2\x81\xa3\n@patrickmahomes stood out to change the game, now he\'s standing up to change the world. \xe2\x81\xa3\n\xe2\x81\xa3\n#ReadyForSport\xe2\x81\xa3'",224078,84.8,40667,304,,,
CDwGwZqAzbr,adidas,2020-08-11 14:03:15.000000,yes,False,readyforsport,candaceparker,"b'""I believe the meaning of life is legacy. You either leave something or you take something, and I\'d rather leave something.\xe2\x81\xa3\xe2\x80\x9c\xe2\x81\xa3\n\xe2\x81\xa3\nBoth on the court and off, @candaceparker is fighting for change in the world of\xc2\xa0sports.\xe2\x81\xa3\xe2\x81\xa3\n\xe2\x81\xa3\n#ReadyForSport'",185451,201.18,34150,230,,,
CDoYe-SAXip,adidas,2020-08-08 14:04:35.000000,yes,False,readyforsport,spidadmitchell,"b'""When I speak, I don\'t just speak for Donovan Mitchell. I speak for African Americans and minorities in general because I need to use my platform to address certain things that might not have those same voices.""\xe2\x81\xa3\n\xe2\x81\xa3\nDonovan Mitchell (@spidadmitchell) is playing for something bigger.\xe2\x81\xa3\n\xe2\x81\xa3\n#ReadyForSport'",200596,156.513,36468,212,,,
CDjOd3KAoYj,adidas,2020-08-06 14:00:01.000000,yes,False,readyforsport,,"b""In life you either leave something or you take something. It's time to give it everything we\xe2\x80\x99ve got.\xc2\xa0#ReadyForSport""",162627,55.833,39966,252,,,
CByW-M6AFFP,adidas,2020-06-23 17:59:37.000000,no,False,,"athleteally,stonewalluk,kai_isaiah_jamal,ashlynharris24,layshiac,isaac.kim,tarikcarroll,gocharliem,tomdaley","b'Pride is about coming together in joy, unity and solidarity - and now more than ever that spirit is needed. \xe2\x81\xa3\xe2\x81\xa3\n\xe2\x81\xa3 \xe2\x81\xa3\xe2\x81\xa3\nAt the heart of the modern LGBTQ+ rights movement is the work of Black transgender and gender non-conforming activists during the Stonewall Riots. Today their fight continues not just for equal representation and rights, but for their lives. \xe2\x81\xa3\xe2\x81\xa3\n\xe2\x81\xa3 \xe2\x81\xa3\xe2\x81\xa3\nWe understand that change happens when we work together and amplify each other, so with @AthleteAlly and @StonewallUK, we are celebrating\xc2\xa0the people\xc2\xa0from across our community. Swipe through to read their thoughts on what Pride represents for them and what it means to be an ally. \xe2\x81\xa3\xe2\x81\xa3 \xe2\x81\xa3\xe2\x81\xa3\n\xe2\x81\xa3\nFeaturing: \xe2\x81\xa3\xe2\x81\xa3\n1. @kai_isaiah_jamal (they/them) \xe2\x81\xa3\xe2\x81\xa3\n2. @ashlynharris24 (she/her) \xe2\x81\xa3\xe2\x81\xa3\n3. @layshiac (she/her/they/them) \n4. @isaac.kim (they/them) \xe2\x81\xa3\xe2\x81\xa3\n5. @tarikcarroll (he/him) \xe2\x81\xa3\xe2\x81\xa3\n6. @gocharliem (she/her) \xe2\x81\xa3\xe2\x81\xa3\n7. Quinn Edlin (she/they) \xe2\x81\xa3\xe2\x81\xa3\n8. @tomdaley (he/him) \xe2\x81\xa3\xe2\x81\xa3\n9. Madonna Cacciatore (she/her) and Robin McWilliams (she/her)'",0,0,73366,1601,,,
CBRDCkFgg9R,adidas,2020-06-10 19:30:31.000000,no,False,,,"b'This is our commitment to the Black community, and the world. We can change, and we will. This is just the start.'",0,0,180975,3084,,,
CAzhEIDg36o,adidas,2020-05-30 08:15:40.000000,no,False,,,b'Take action. Things won\xe2\x80\x99t change unless we create that change.',0,0,226550,3433,,,
