shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CD1msVhnZ46,aegongroup,2020-08-13 17:17:30.000000,no,False,"b'teamwork,sociallydistant,aegon,insideaegon'",b'',"b""This is what #teamwork looks like: our Executive Board coordinates (#sociallydistant) with members of the investor relations and communications teams on a packed schedule of media interviews and analyst calls to present #Aegon's 1H 2020 results. #insideaegon""",0,0,101,10,,,
CDV084LHH-E,aegongroup,2020-08-01 09:06:24.000000,no,False,"b'amsterdampride2020,aegonproud'",b'',b'We celebrate the #amsterdampride2020 at a safe distance this year :rainbow_flag_selector: You can discover how we support our #aegonproud community in our IG story.',0,0,104,0,,,
CCfxPE7HJAE,aegongroup,2020-07-11 09:14:56.000000,no,False,b'insideaegon',b'',"b""We're taking a bit of a break. We will be back with more #insideaegon content soon! Enjoy the summer :beach_with_umbrella: & remember to keep a safe distance from each other :face_with_medical_mask:""",0,0,121,0,,"The Hague, Netherlands",52.0778 4.3158
CBkeh8cHEs-,aegongroup,2020-06-18 08:36:18.000000,no,False,"b'teamoftheweek,teamsofaegon,keepingactive,insideaegon'",b'',"b""Just like the previous #teamoftheweek, this week's #teamsofaegon is also showing off their branded biking short :bicycle: The teams are #keepingactive :flexed_biceps_medium-light_skin_tone: #insideaegon""",0,0,88,1,,,
CBdInROnc-C,aegongroup,2020-06-15 12:10:06.000000,no,False,"b'teamsofaegon,insideaegon,teamoftheweek'",b'',"b""The operations & support treasury team is leading this week's #teamsofaegon with a virtual fist bump :right-facing_fist::left-facing_fist: #insideaegon #teamoftheweek""",0,0,50,0,,,
CBSmYVrHoTB,aegongroup,2020-06-11 09:58:34.000000,no,False,"b'stayactive,insideaegon,teamsofaegon,stayheathy,vitality'",b'',"b'Every so often, on non rainy days, members of the Financial & Capital strategy team meet to go on a bike ride to #Stayactive :bicycle: They for sure are catching the attention around them with their Aegon branded outfits :running_shirt: #insideaegon #teamsofaegon #stayheathy #vitality'",0,0,90,0,,,
CBLScbWn7bA,aegongroup,2020-06-08 13:49:41.000000,no,False,"b'teamsofaegon,stayconnected,insideaegon,financesteam'",b'',"b""The new #teamsofaegon for this week is the Financial & Capital Strategy team :direct_hit: Let's see how they #stayconnected to each other! :black_small_square:\xef\xb8\x8e #insideaegon #financesteam""",0,0,53,0,,,
CBD9piiH7y3,aegongroup,2020-06-05 17:33:17.000000,no,False,"b'teamsofaegon,insideaegon,weekend'",b'',"b""Bas from this week's #teamsofaegon is slowly ridding into the weekend. A fun activity to do on a break from work! :motorcycle: #insideaegon #weekend""",0,0,57,0,,,
CBA25ffHXyS,aegongroup,2020-06-04 12:36:34.000000,no,False,"b'continiousdevelopment,happyreading,insideaegon,teamsofaegon'",b'',"b""#continiousdevelopment is on this team's agenda :ledger: While some discover new books others learn new languages! What a great way to expand your horizons. :black_small_square:\xef\xb8\x8e:open_book: Today, Aylin's book recommendation is a novel entitled 2150AD by Thea Alexander, which offers a read into a futuristic economy. #happyreading #insideaegon #teamsofaegon""",0,0,66,0,,,
CA9yGsxnaHz,aegongroup,2020-06-03 07:56:58.000000,no,False,"b'stayfit,vitality,insideaegon,teamsofaegon'",b'',b'What a better way to start the day with a morning yoga routine :woman_in_lotus_position_selector: How do you start your day? Do you exercise in the mornings? :black_small_square:\xef\xb8\x8e #stayfit #vitality #insideaegon #teamsofaegon',0,0,61,0,,"Amsterdam, Netherlands",52.3769 4.8982
CA8Ag65HDXR,aegongroup,2020-06-02 15:24:24.000000,no,False,"b'teamsofaegon,teamsoftheweek,aegon,insideaegon'",b'',"b""To start up this first week of June, the Center of Excellence team will be the #teamsofaegon of the week! This team supports countries in leveraging quantifiable digital / data successes cross-border. But also, introduce and execute new technologies; and support businesses in setting the direction for their digital transformation. Let's dive in! :black_small_square:\xef\xb8\x8e :camera_with_flash: taken pre-covid19 :black_small_square:\xef\xb8\x8e#teamsoftheweek #aegon #insideaegon""",0,0,65,0,,,
CAxs6cBn5Fn,aegongroup,2020-05-29 15:20:43.000000,no,False,"b'teamofaegon,insideaegon,teamoftheweek,stayconnected'",b'',b'Closing this week with a virtually shared glass :wine_glass: with the Customer strategy #teamofaegon. What are your weekend plans? :black_small_square:\xef\xb8\x8e#insideaegon #teamoftheweek #stayconnected',0,0,76,0,,,
CAu_wKtnjEC,aegongroup,2020-05-28 14:07:37.000000,no,False,"b'covid19,aegon,insideaegon,teamsofaegon,learningfromeachother,stayconnected'",b'',"b'Today, the Customer strategy team hosted an insightful webinar :laptop_computer: on customer engagement during the #covid19 crisis. Together with a large audience, they shared insights and learnings from multiple of #Aegon businesses. :black_small_square:\xef\xb8\x8e #insideaegon #teamsofaegon #learningfromeachother #stayconnected'",0,0,58,2,,,
CAsaT6IHDk5,aegongroup,2020-05-27 14:01:58.000000,no,False,"b'stayingfit,insideaegon,teamsofaegon'",b'',b'#stayingfit with some badminton under the Dutch sun :sun_selector::badminton: What do you do to stay healthy? :black_small_square:\xef\xb8\x8e#insideaegon #teamsofaegon',0,0,58,0,,,
CAp6dPOHCzz,aegongroup,2020-05-26 14:45:08.000000,no,False,"b'stayheathy,insideaegon,teamsofaegon,customerstrategy'",b'',"b'Each week, the Customer Strategy team starts with their (virtual) Strategy & Sustainability update together with their department. For a little addition, someone from the team, added a bowl of pineapple :pineapple: to #stayheathy :black_small_square:\xef\xb8\x8e #insideaegon #teamsofaegon #customerstrategy'",0,0,67,0,,,
CAnQzZjHyGn,aegongroup,2020-05-25 14:02:41.000000,no,False,"b'teamsofaegon,aegon,insideaegon'",b'',"b""This week's #teamsofaegon will be the Global Customer Strategy team! This fun and vibrant team looks after making a difference for #Aegon customers. Let's go! :glowing_star: #insideaegon""",0,0,93,1,,,
CAaWUMbnodI,aegongroup,2020-05-20 13:40:43.000000,no,False,"b'aegon,insideaegon,teamsofaegon,connectedcultures,beforecovid19'",b'',"b'Throw back to the very first Connected Cultures :globe_with_meridians: lunch&learn session hosted in #Aegon where the team introduced themselves and their top objectives; awareness, role modeling and minimizing bias. It was a great session where the team saw a lot of support towards their initiatives from all levels of the organization. #insideaegon #teamsofaegon #connectedcultures #beforecovid19'",0,0,71,0,,,
CAVIDzfHu-D,aegongroup,2020-05-18 12:59:57.000000,no,False,"b'teamsofaegon,socialdistancing,insideaegon'",b'',"b""This week's #teamsofaegon is the Connected Cultures team! A team assembled by a variety of colleagues from different areas of the company. The team's aim is to ensure that all cultures are equally being represented within all levels of the organization through a series of impactful and interactive initiatives. Being in the current #socialdistancing situation drives the team to innovate the way they interact with their colleagues. Let's hear it for the Connected cultures team! #insideaegon""",0,0,89,2,,,
CANjB1HHDyW,aegongroup,2020-05-15 14:21:41.000000,no,False,"b'insideaegon,teamsofaegon,livingthebrand,wearingthebrand'",b'',"b'Some members of the brand team within the Group Corporate communications department, living the brand outside the office :winking_face::smiling_face_with_smiling_eyes: #insideaegon #teamsofaegon #livingthebrand #wearingthebrand'",0,0,121,2,,,
CAKi0w4nkER,aegongroup,2020-05-14 10:22:11.000000,no,False,"b'aegonart,insideaegon,teamsofaegon,artcurator'",b'',"b""Being in a global lockdown doesn't mean that we should stop investing in our culture. Here, Lianne, #Aegonart curator, makes it a point to continue on supporting local artists. In parallel, she keeps on investing in meaningful and powerful art pieces for the Aegon art collection :framed_picture:. All of which, at a distance. #insideaegon #teamsofaegon #artcurator""",0,0,49,1,,,
CAILwckHcqG,aegongroup,2020-05-13 12:22:08.000000,no,False,"b'aegon,learnsomethingnew,insideaegon,teamsofaegon,keepdeveloping,keeplearning'",b'',"b'- Keep on learning! - Learning a new language is said to contribute in sharpening your mind, boosting your brain power :brain: and improving your memory. On these notes, Heather from the Group Corporate communications department at #Aegon embarked on learning Arabic. What are you learning? #learnsomethingnew #insideaegon #teamsofaegon #keepdeveloping #keeplearning'",0,0,69,0,,,
CAFVX3CHQaT,aegongroup,2020-05-12 09:48:26.000000,no,False,"b'teamsofaegon,insideaegon,communications,precovid19,teamphoto'",b'',"b""This #teamsofaegon week is dedicated to the Group Corporate Communications department which features a lot of different faces. This picture was taken back in 2019 when they all participated in a cooking :cooking: workshop - and when the social distancing wasn't in place yet. A lot goes on in this team from PR to internal communication to brand and much more. The department represent more than 8 different nationalities which makes for a great melting pot! :globe_with_meridians: #insideaegon #communications #precovid19 #teamphoto""",0,0,100,9,,,
B_9QQLgnyF3,aegongroup,2020-05-09 06:29:46.000000,no,False,"b'insideaegon,teamsofaegon,nofilter,moutainview,challenge'",b'',"b"":man_mountain_biking_selector: Mountain biking with a view is one of Brian's favorite activities to do at this time. After a long day / week of working, what a better thing to do than getting up to this view? #insideaegon #teamsofaegon #nofilter #moutainview #challenge""",0,0,52,0,,,
B_7epdBHLa3,aegongroup,2020-05-08 13:57:04.000000,no,False,"b'keepfit,insideaegon,teamsofaegon,transamerica'",b'',"b'When staying at home, Kristin makes it a point to take her calls on a balance board. One way to train your body to be more balance and to #keepfit :flexed_biceps_medium-light_skin_tone: #insideaegon #teamsofaegon #transamerica'",0,0,36,0,,,
B_4Zo3QHFcK,aegongroup,2020-05-07 09:15:35.000000,no,False,"b'active,workingfromhome,insideaegon,teamsofaegon,stayactive,healthylifestyle'",b'transamerica',"b'One of the many ways to remain #active while #workingfromhome is hiking! :mountain: Taylor from the Sponsorships & Thought leadership team at @transamerica is making it a must activity. She hiked to the summit of Mount Bierstadt, up to 14,065 feet (4,287 meters) to see this beautiful landscape :mount_fuji::snowflake: #insideaegon #teamsofaegon #Stayactive #healthylifestyle'",0,0,83,1,,,
B_xcHhLHJph,aegongroup,2020-05-04 16:22:33.000000,no,False,b'teamsofaegon',b'transamerica',"b""What better than having a skype call with your team and your pets? :dog_face: This is one of many ways in which the Sponsorship & Thought leadership team from @transamerica is coping with this global crisis. Tune in for this week's #teamsofaegon !""",0,0,43,1,,,
B_pMt3YHv1F,aegongroup,2020-05-01 11:34:03.000000,no,False,"b'stayconnected,wellbeing,keepintouch,insideaegon,teamsofaegon,aegonhungary'",b'',"b""Staying connected with the company and with each other is important to us. Thus we've set up a virtual coffee chain movement! :hot_beverage: It's simple and easy to do; one of us set up a virtual coffee with a colleague and the invitee do the same with another colleague on the following day. Will you join in the movement? :winking_face: #stayconnected #wellbeing #keepintouch #insideaegon #teamsofaegon #aegonhungary""",0,0,105,1,,,
B_mwUo_HFrs,aegongroup,2020-04-30 12:47:28.000000,no,False,"b'aegonhungary,insideaegon,wellbeing,covid_19,stayhome,vitality,teamsofaegon'",b'',"b""Don't forget to unwind and pay attention to your mental health. A good way to relax is with a good book. Now is the time to read the books on your bucket list :open_book::books: We read shortlist books from the #aegonhungary literature prize award after work. What is your latest read? \n#insideaegon #wellbeing #covid_19 #stayhome #vitality #teamsofaegon""",0,0,39,1,,,
B_kJTeAnUt1,aegongroup,2020-04-29 12:28:02.000000,no,False,"b'aegonhungary,keepingfit,insideaegon,teamsofaegon,keepmoving'",b'',"b'We can stress enough the point to remain active. If you can, find the time to exercise regularly, this way you will be at your best (in shape) at the end of this pandemic. In #aegonhungary we get a daily aerobic morning routine of 20min that helps us #keepingfit :man_running_selector: If you have never tried aerobic, now might be a good time to :winking_face: \n#insideaegon #teamsofaegon #keepmoving'",0,0,62,1,,,
B_hHNg_Hxwi,aegongroup,2020-04-28 08:12:02.000000,no,False,"b'teamsofaegon,bestpractices,aegonhungary,wellbeing'",b'',"b""Hello everyone! For this week's #teamsofaegon , the PR & Communications team from Aegon Hungary will be with us :smiling_face_with_smiling_eyes: Sharing #bestpractices with each other, and having conversation with each other as often as possible is how the team is keeping in touch.  This week, the #aegonhungary communications team will share some #wellbeing tips, stay tuned!""",0,0,85,0,,,
B_XdXuQHFsY,aegongroup,2020-04-24 14:13:15.000000,no,False,"b'workingfromhome,insideaegon,teamsofaegon,relaxwithpets'",b'',"b'Maxim, an active member of Aegon Proud, suggest that taking the time to be with his pets as helped him with any form of stress linked to the current pandemic environment; ""One of the nice things of #workingfromhome is that I get to spend more time with my cats :cat_face:, playing some games together and simply being with them. This helps me relax and cope with the current global situation."" #insideaegon #teamsofaegon #relaxwithpets'",0,0,56,0,,,
B_SEohbHPvz,aegongroup,2020-04-22 12:00:53.000000,no,False,"b'stayfit,workfromhome,physicalactivity,insideaegon,teamsofaegon'",b'',"b'""Keep up with a physical activity. If you can\'t go to the gym anymore, bring the gym to your house."" says Martyn, from the Aegon Proud team :man_lifting_weights_2:\n#stayfit #workfromhome #physicalactivity #insideaegon #teamsofaegon'",0,0,53,0,,,
B_MjSizn6tY,aegongroup,2020-04-20 08:33:20.000000,no,False,"b'teamsofaegon,bepositive,insideaegon,workingremotely'",b'',"b""This week's #teamsofaegon , will be the Aegon / Transamerica Proud team :rainbow_flag_selector: Apart yet together, they continue on doing their weekly check-ins and keep on organizing events that brings us all together. While some of their events have been canceled, they keep on being positive and cheerful about the upcoming ones. \n#bepositive #insideaegon #workingremotely""",0,0,73,1,,,
B_CuI6YHBYP,aegongroup,2020-04-16 12:55:44.000000,no,False,"b'insideaegon,teamsofaegon,workingremotely'",b'',"b'You might be thinking that working from home equals to wearing a jogging or a pyjama all day. Well, think again! Our colleagues in Romania recommend to wear what to would have worn to work & stick to your daily schedule to remain productive :eight_o\xe2\x80\x99clock::woman_technologist::man_technologist: #insideaegon #teamsofaegon #workingremotely'",0,0,57,0,,,
B-9ExhDn0Up,aegongroup,2020-04-14 08:18:04.000000,no,False,"b'teamsofaegon,workfromhome,insideaegon,workingremotely,tipstoworkfromhome,aegonromania'",b'',"b""For this second week of the #teamsofaegon, we're hosting the Operations department from Aegon Romania. As they're settling into this #workfromhome new normal, one of their  recommendation is the following: \nMaintain your waking up time and make use of the time you would have spent in traffic, on your way to work by reading work related articles :open_book:, working out or planning your day. Enjoy and take advantage of the time you have gained. \n#insideaegon #workingremotely #tipstoworkfromhome #aegonromania""",0,0,94,0,,,
