shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIOj9NmlNmV,agcocorp,2020-11-30 20:00:12.000000,no,False,"b'agco,agriculture,farmer,farmlife,plantingseason,harvestseason,harvest'",b'farmphoto_dorset',"b'What\xe2\x80\x99s one crop or food you aren\xe2\x80\x99t currently growing, but would like to? Let us know in the comments! \r\n\r\n:camera_with_flash:: @farmphoto_dorset\r\n\r\n#AGCO #agriculture #farmer #farmlife #plantingseason #harvestseason #harvest'",0,0,4988,6,,,
CIGTSpcsyez,agcocorp,2020-11-27 15:00:40.000000,no,False,"b'foodsecurity,agcoagriculturefoundation,sharethemeal,endhunger,zerohunger,wfp,worldfoodprogram,children,holidayseason,giveback,thanksgiving,givethanks'",b'wfpusa',"b""45% of deaths among children under 5 are caused by hunger. This holiday season, let's give the gift of #foodsecurity to children in need. \r\n\r\nJoin the #AGCOAgricultureFoundation team on @WFPUSA's #SharetheMeal app to harvest hope for children today. Tap the link in our bio to join.\r\n\r\n#EndHunger #Zerohunger #wfp #worldfoodprogram #children #holidayseason #giveback #thanksgiving #givethanks""",0,0,1038,2,,,
CIDugzVMG6N,agcocorp,2020-11-26 15:00:49.000000,no,False,"b'agco,thanksgiving,agriculture,thankafarmer,farmlife,farmer,farm,happythanksgiving,thankful'",b'',"b""We're thankful for the health & safety of our employees, customers, dealers, and partners and for the role they've all played to keep our food supply intact during this challenging time. Be sure to thank a farmer today.\r\n\r\n#AGCO #Thanksgiving #agriculture #thankafarmer #farmlife #farmer #farm #HappyThanksgiving #thankful""",0,0,3555,2,,,
CIBXtz6sqfV,agcocorp,2020-11-25 17:03:08.000000,no,False,"b'fendt,agco,agriculture,farmdog,farmlife,farmer'",b'',"b""#Fendt's best friend! :service_dog:\r\n\r\n:camera_with_flash:: mfuchs31 in Saskatchewan\r\n\r\n#AGCO #agriculture #farmdog #farmlife #farmer""",0,0,5991,6,,,
CH-lTV6Ml9T,agcocorp,2020-11-24 15:04:08.000000,no,False,"b'nationalagday,agriculture,australia,agco'",b'',"b'Today is #NationalAgDay ""Down Under""! Here\'s to all the Australian farmers and ranchers who work hard to put food on our tables every day. We salute you, mates.\n\nComment where in the world you\'re located below! :backhand_index_pointing_down: \r\n\r\n#Agriculture #Australia #AGCO'",0,0,2614,7,,,
CH8AM5nsByH,agcocorp,2020-11-23 15:01:27.000000,no,False,"b'agco,farmingsimulator'",b'farming19_pictures',b'Hard at work even in the game world! :flexed_biceps: Is there #AGCO machinery in your #FarmingSimulator fleet?\n:camera_with_flash:: @farming19_pictures',0,0,6867,35,,,
CHxxfZTn9mw,agcocorp,2020-11-19 15:41:51.000000,yes,False,"b'fridatheambassador,agco,farmlife,farmdog,farmanimals,barn,barnlife'",b'',"b""Frida is on a mission to make sure her friends can breathe fresh, clean air while on the farm. AGCO's filtration systems force air out of a space, preventing unfiltered outdoor air from entering the animal living areas. This ensures top air quality and helps them live a healthy life.\r\n\r\n#FridaTheAmbassador #AGCO #farmlife #farmdog #farmanimals #barn #barnlife""",27807,5.0,2983,4,,,
CHp3ppAspZw,agcocorp,2020-11-16 14:00:25.000000,no,False,b'challenger',b'swfl_farmer',b'Up for the Challenge. :flexed_biceps: #Challenger\r\n\r\n:camera_with_flash:: @swfl_farmer in Florida',0,0,8999,18,,,
CHdp1din4Ti,agcocorp,2020-11-11 20:08:46.000000,no,False,"b'idealcombine,lego,agco,agriculture,farm,farming,farmlife,combine,fendt,fendtideal'",b'',"b'""When you combine a passion for agriculture and a passion for LEGO, with some farmer ingenuity, the result is the LEGO Fendt IDEAL Combine.""\n\nDon\xe2\x80\x99t miss the chance to turn the #IDEALCombine into a real live #LEGO set! We can\xe2\x80\x99t do it without your support! Share and cast your vote at the link in our story.\n\n#AGCO #agriculture #farm #farming #farmlife #combine #Fendt #FendtIDEAL'",0,0,8236,41,,,
CHQOiv0MioJ,agcocorp,2020-11-06 15:00:12.000000,no,False,"b'masseyferguson,agco,agriculture,tractor,farmlife'",b'',b'What a shot. :smiling_face_with_heart-eyes:\r\n\r\n:camera_with_flash:: Breyers26 in Illinois\r\n\r\n#MasseyFerguson #AGCO #agriculture #tractor #farmlife',0,0,5531,4,,,
CHLgb44MfOh,agcocorp,2020-11-04 19:00:20.000000,no,False,"b'agcoagriculturefoundation,sharethemeal,agriculture,covid19,zerohunger,endhunger,instagood,food,farmers,nutrition,children,ahandup'",b'wfpusa',"b""With your help, we have been able to donate 6,178 meals to children in partnership with @WFPUSA!\r\n\r\nHead to the link in our bio to join the #AGCOAgricultureFoundation's official team on the #ShareTheMeal app to help us donate even more as we get closer to our goal of $100,000.\n\n#agriculture #covid19 #zerohunger #endhunger #instagood #food #farmers #nutrition #children #ahandup""",0,0,1138,1,,,
CHLgb44MfOh,agcocorp,2020-11-04 19:00:20.000000,no,False,"b'agcoagriculturefoundation,sharethemeal,agriculture,covid19,zerohunger,endhunger,instagood,food,farmers,nutrition,children,ahandup'",b'wfpusa',"b""With your help, we have been able to donate 6,178 meals to children in partnership with @WFPUSA!\r\n\r\nHead to the link in our bio to join the #AGCOAgricultureFoundation's official team on the #ShareTheMeal app to help us donate even more as we get closer to our goal of $100,000.\n\n#agriculture #covid19 #zerohunger #endhunger #instagood #food #farmers #nutrition #children #ahandup""",0,0,1138,1,,,
CHIsLD6MLAb,agcocorp,2020-11-03 16:45:10.000000,no,False,"b'fridatheambassador,hens,farmlife,farmer,agriculture,livestock'",b'',"b""Some of Frida's best pals on the farm are horses, but the hens are right on their hooves. Hens need a safe place to lay eggs and our mechanical nesting systems help provide that and in the process reduce stress and enhance hatchability. Do you have livestock on your farm? Let us know in the comments!\n#FridaTheAmbassador #hens #farmlife #farmer #agriculture #livestock""",0,0,3162,3,,,
CHF7Zl5s7ZP,agcocorp,2020-11-02 15:00:31.000000,no,False,"b'agco,valtra,valtraconnect,agtech,smartfarming,farming,agriculture'",b'',"b'Technology designed to make your life more efficient. With Valtra Connect you can access your most important machine data \xe2\x80\x93 anytime, anywhere. Benefits include:\r\n\r\n:red_triangle_pointed_up: Simple fleet management using a smart device\r\n:red_triangle_pointed_up: Effective dealer support via AGCOConnect \r\n:red_triangle_pointed_up: Minimized downtime due to early identification of error codes\r\n:red_triangle_pointed_up: Optimized machine adjustment and reduced inputs to improve performance\r\n:red_triangle_pointed_up: Plan services in advance around seasonal peaks\r\n\r\nNow available for Valtra G, N, and T Series machines.\r\n\r\n#AGCO #Valtra #ValtraConnect #AgTech #SmartFarming #farming #agriculture'",0,0,1794,1,,,
CG9_VzJs40K,agcocorp,2020-10-30 13:01:02.000000,no,False,"b'masseyferguson,agco,tractor,compacttractor,farming,farmlife'",b'',"b':police_car_light: Introducing the #MasseyFerguson 1800E and 2800E Series compact tractors :police_car_light:\n\nFeaturing 4-wheel drive, powered by Iseki diesel engines and high-capacity hydraulics, this series is currently available in the US and in five models ranging from 24 to 57.3 engine horsepower.\n\nContact your local dealer for more information.\n\n#AGCO #tractor #compacttractor #farming #farmlife'",0,0,4374,9,,,
CG7hYf1MthA,agcocorp,2020-10-29 14:00:46.000000,no,False,"b'agco,grainviz,grainstorage,gsi,agriculture,farming,farmlife,3d,agtech'",b'',"b""Providing detailed 3D images that help farmers monitor for moisture within stored grain, AGCO's newly acquired GrainViz is a high-tech solution that gives our customers unparalleled insight into their operations. Compared to traditional systems, GrainViz: \r\n\r\n:red_triangle_pointed_up: Uses sensors instead of cables\r\n:red_triangle_pointed_up: Views 100% of moisture content\r\n:red_triangle_pointed_up: Identifies problem spots before they become issues\r\n:red_triangle_pointed_up: Is cloud-based with the latest technology updates\r\n\r\n#AGCO #GrainViz #grainstorage #GSI #agriculture #farming #farmlife #3D #agtech""",0,0,3454,2,,,
CG2Q-EQsH7q,agcocorp,2020-10-27 13:01:08.000000,no,False,"b'agco,fendt,fendtone,fendtxaver,xaver,smartfarming,agriculture,farming,innovation,robot,robots'",b'',"b'The next generation of field robots from AGCO has more than just a new appearance - its inner workings are also brand new. Among its many innovative features, the Fendt Xaver\'s sensors are able to measure soil moisture, temperature, humus content, and plant residues. This allows the robot to plant grains at depths and strengths specific to local conditions. \r\n\r\nAnother plus? ""Fendt Xaver is also integrated into the FendtONE platform and can be managed together with the rest of the machine fleet.""\r\n\r\n#AGCO #Fendt #FendtOne #FendtXaver #Xaver #smartfarming #agriculture #farming #innovation #robot #robots'",0,0,8611,21,,,
CG0AwzIMKvA,agcocorp,2020-10-26 16:01:02.000000,no,False,"b'plantingseason,agco,masseyferguson,fuse,smartfarming,planting,agriculture,farming'",b'',"b'Every planting season is different, and there are many factors that contribute to success, including:\n\n:red_triangle_pointed_up: No-till and crop rotation\n:red_triangle_pointed_up: Planting date\n:red_triangle_pointed_up: Seed quality\n:red_triangle_pointed_up: Crop nutrition\n\nShare your #PlantingSeason tips in the comments below! \n\n#AGCO #MasseyFerguson #Fuse #SmartFarming #planting #agriculture #farming'",0,0,7312,18,,,
CGpf6vOsCCn,agcocorp,2020-10-22 14:01:39.000000,no,False,"b'masseyferguson,agco,tractor,farmlife,agriculture'",b'baggers391',"b""Now, that's a lineup. :fire:\n\n:camera:: @baggers391 in England.\n\n#MasseyFerguson #AGCO #tractor #farmlife #agriculture""",0,0,4941,7,,,
