shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIYym4OlaZB,akbank,2020-12-04 19:20:37.000000,no,False,b'',b'',b'Akbank Mobil\xe2\x80\x99in \xc3\xb6zellikleri saymakla bitmiyor. Feyyaz yine de elinden geleni yap\xc4\xb1yor. Yeni maceralarda g\xc3\xb6r\xc3\xbc\xc5\x9fmek \xc3\xbczere\xe2\x80\xa6',0,0,1583,89,,,
CIRDKPrFA-f,akbank,2020-12-01 19:11:19.000000,no,False,b'',b'',"b'Senin ve \xc3\xa7al\xc4\xb1\xc5\x9fanlar\xc4\xb1m\xc4\xb1z\xc4\xb1n sa\xc4\x9fl\xc4\xb1\xc4\x9f\xc4\xb1n\xc4\xb1 korumak amac\xc4\xb1yla 2 Aral\xc4\xb1k 2020 tarihinden itibaren \xc5\x9fubelerimizde 10.00-12.30 ve 13.30-16.00 saatleri aras\xc4\xb1nda hizmet verece\xc4\x9fiz. \xc4\xb0\xc5\x9flemlerini Akbank Mobil, Akbank Internet, 444 25 25 no\xe2\x80\x99lu M\xc3\xbc\xc5\x9fteri \xc4\xb0leti\xc5\x9fim Merkezimiz ve ATM\xe2\x80\x99lerimizden ger\xc3\xa7ekle\xc5\x9ftirebilirsin.'",0,0,774,48,,,
CIQVo3vpcmn,akbank,2020-12-01 12:34:25.000000,yes,False,b'',b'',"b'Ho\xc5\x9f\xc3\xa7a kal s\xc4\xb1n\xc4\xb1rl\xc4\xb1 saatler aras\xc4\xb1 para transferi, ho\xc5\x9f geldin Akbank\xe2\x80\x99la 7/24 kolay para transferi.'",4379,25.96,256,35,,,
CIOAPKjlO7p,akbank,2020-11-30 14:48:04.000000,no,False,b'',b'',b'800\xe2\x80\x99den fazla konu\xc5\x9fmac\xc4\xb1n\xc4\xb1n yer alaca\xc4\x9f\xc4\xb1 Web Summit 2020\xe2\x80\x99yi Bigumigu ile online olarak takip ediyoruz. 2-4 Aral\xc4\xb1k g\xc3\xbcnlerinde sen de bizimle birlikte son trendleri ke\xc5\x9ffetmek istersen IGTV ve hikayelerimizden oturumlar\xc4\xb1 takip edebilirsin.',0,0,931,27,,,
CIF_pIspeyf,akbank,2020-11-27 12:09:49.000000,yes,False,b'',b'',b'Akbank FAV\xe2\x80\x99la hafta sonuna y\xc3\xbcksek ba\xc5\x9fla. Hesab\xc4\xb1ndaki paran bitse bile Faizsiz Hafta Sonu Har\xc3\xa7l\xc4\xb1\xc4\x9f\xc4\xb1nla \xc3\xa7ekip hafta sonuna h\xc4\xb1z kesmeden devam edebilirsin.',4621,14.946,209,59,,,
CH97AlvJJei,akbank,2020-11-24 08:55:19.000000,yes,False,b'',b'',"b'Tahtan\xc4\xb1n \xc3\xb6n\xc3\xbcnde veya bilgisayar ekran\xc4\xb1nda. Nerede olduklar\xc4\xb1 fark etmez, onlar her zaman yan\xc4\xb1m\xc4\xb1zda. \xc3\x96\xc4\x9fretmenlerimizin g\xc3\xbcn\xc3\xbc kutlu olsun.'",321632,19.986,2036,22,,,
CHxFUA7p138,akbank,2020-11-19 09:14:53.000000,yes,False,b'',b'',"b""Kolay Adres\xe2\x80\x99le IBAN\xe2\x80\x99s\xc4\xb1z para transferi yapmak \xc3\xa7ok kolay. Akbank Mobil'den Kolay Adres'e bilgilerini girerek hesaplar\xc4\xb1n\xc4\xb1 sisteme tan\xc4\xb1mlayabilir, 7/24 IBAN\xe2\x80\x99s\xc4\xb1z para transferi yapabilirsin.""",4072,44.986,159,40,,,
CHslGw8Fb1y,akbank,2020-11-17 15:16:03.000000,no,False,b'',b'',"b'Senin ve \xc3\xa7al\xc4\xb1\xc5\x9fanlar\xc4\xb1m\xc4\xb1z\xc4\xb1n sa\xc4\x9fl\xc4\xb1\xc4\x9f\xc4\xb1n\xc4\xb1 korumak amac\xc4\xb1yla 18 Kas\xc4\xb1m 2020 tarihinden itibaren \xc4\xb0stanbul \xc5\x9fubelerimizde 10.00-12.30 ve 13.30-17.00 saatleri aras\xc4\xb1nda hizmet verece\xc4\x9fiz. \xc4\xb0\xc5\x9flemlerini Akbank Mobil, Akbank Internet, 444 25 25 no\xe2\x80\x99lu M\xc3\xbc\xc5\x9fteri \xc4\xb0leti\xc5\x9fim Merkezimiz ve ATM\xe2\x80\x99lerimizden ger\xc3\xa7ekle\xc5\x9ftirebilirsin.'",0,0,532,45,,,
CHiGDbeJAUc,akbank,2020-11-13 13:33:35.000000,yes,False,b'',b'',"b'Ho\xc5\x9f\xc3\xa7a kal IBAN, ho\xc5\x9f geldin Akbank\xe2\x80\x99la kolay para transferi.'",22252,47.5,995,109,,,
CHh9IIylmQn,akbank,2020-11-13 12:14:18.000000,no,False,b'\xc5\x9fehriniyihali',b'',b'G\xc3\xb6n\xc3\xbcll\xc3\xbcl\xc3\xbck i\xc3\xa7in harekete ge\xc3\xa7mek istiyorsan 16 Kas\xc4\xb1m saat 17.00\xe2\x80\x99de birbirinden de\xc4\x9ferli konuklar\xc4\xb1n kat\xc4\xb1laca\xc4\x9f\xc4\xb1 paneli ka\xc3\xa7\xc4\xb1rma. Canl\xc4\xb1 yay\xc4\xb1n Akbank YouTube kanal\xc4\xb1 ve sehriniyihali.com\xe2\x80\x99da. #\xc5\x9fehriniyihali',0,0,550,12,,,
