shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIZILgdpNWP,albertsons,2020-12-04 22:29:15.000000,no,False,b'',b'',b'Sweeten up the season by celebrating National Cookie Day! Check out our story for inspiration! :cookie:',0,0,76,4,,,
CIWtzicFpRU,albertsons,2020-12-04 00:00:19.000000,no,False,b'linkinbio',b'',b'Kale and lettuce all dressed up for winter. We love this fruity salad with apple vinaigrette for a fresh winter starter or meal! Recipe at the #LinkInBio',0,0,73,5,,,
CITY8FegQU2,albertsons,2020-12-02 17:00:15.000000,no,False,b'',b'',"b'Preheat that oven and visit us for all of your holiday baking essentials! Cookies, cakes, fruit crumbles\xe2\x80\xa6 what are you baking first?'",0,0,53,5,,,
CIRVUtHjm1n,albertsons,2020-12-01 21:50:11.000000,no,False,b'',b'freutcake',b'Who says grilling season has to be over? Check out our story for how to grill the perfect steak by @freutcake',0,0,68,3,,,
CIOxcsDgHlB,albertsons,2020-11-30 21:58:12.000000,no,False,b'',b'',"b'Mexican hot chocolate is a spicy, rich take on the usual hot cocoa \xe2\x80\x93try this easy Mexican hot chocolate whipped cream recipe on our story :hot_beverage:'",0,0,88,3,,,
CIMwmKSAKzE,albertsons,2020-11-30 03:12:17.000000,no,False,b'linkinbio',b'',"b'Cauliflower au gratin is a delicious holiday tradition \xe2\x80\x93if you haven\xe2\x80\x99t adopted it already, now is the time to try! Recipe at the #LinkInBio'",0,0,82,3,,,
CIJ7NBEgIsj,albertsons,2020-11-29 00:47:15.000000,no,False,b'',b'',"b'Mulled wine is perfect going into winter. Cozy, fruity, and warm :wine_glass:'",0,0,75,4,,,
CIHXI6Wlzuc,albertsons,2020-11-28 00:53:37.000000,no,False,b'',b'',b'Still stuffed from yesterday? Same. But there is ALWAYS room for leftovers!',0,0,102,3,,,
CIDqi-eg7qY,albertsons,2020-11-26 14:26:48.000000,yes,False,b'thankful',b'',b'Happy Thanksgiving! #Thankful',616,54.733,49,7,,,
CIBFSlpgK0M,albertsons,2020-11-25 14:22:13.000000,no,False,b'',b'',b'Get your last-minute holiday essentials at your local store!',0,0,78,3,,,
CIBFSlpgK0M,albertsons,2020-11-25 14:22:13.000000,no,False,b'',b'',b'Get your last-minute holiday essentials at your local store!',0,0,78,3,,,
CH_ReX4JLKI,albertsons,2020-11-24 21:30:12.000000,no,False,b'',b'',"b'Everyone loves Thanksgiving food, but how about drinks? Toast to all you\xe2\x80\x99re grateful for with some great drink inspo on our story :clinking_glasses:'",0,0,90,5,,,
CH8oymQjWvX,albertsons,2020-11-23 20:56:14.000000,no,False,b'',b'',b'Thanksgiving is as much about the sides as it is about the turkey! What are you looking forward to most? Drop your favs in the comments :fork_and_knife_with_plate:',0,0,79,2,,,
CH6nLrDhvvQ,albertsons,2020-11-23 02:03:34.000000,no,False,b'',b'',b'Keep the season sweet with baked treats straight from our bakery\xe2\x80\x93we\xe2\x80\x99ve got the whipped cream too! :smiling_face_with_heart-eyes:',0,0,114,5,,,
