shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIYJnSeIwY5,allianz,2020-12-04 13:22:40.000000,yes,False,b'awinningmindset',b'',"b'We can all learn a thing or two from Arly Velasquez. Take 30 minutes out of your day with the astonishing Mexican Para skier.:flexed_biceps: #AWinningMindset\n\nWhile touching on different topics in each episode, we aim to help you move forward in life and show the true power of having the right team behind you.\n\nCheck out the link in our bio to listen to the interview!\nBrought to you by Allianz and the IPC.'",5492,35.2,535,7,,,
CIN7NIhIWto,allianz,2020-11-30 14:04:20.000000,yes,False,b'awinningmindset',b'',"b'Bruno Bosnjak has no fear. A lifetime of overcoming trauma has made sure of that. A phenomenal episode of #AWinningMindset is available now to listen to. :flexed_biceps: \n\nBy spending just 30 minutes each week listening to our podcast \xe2\x80\x9cA Winning Mindset: Lessons from the Paralympics\xe2\x80\x9d you will hear inspiring stories from Para athletes. While touching on different topics in each episode, we aim to help you move forward in life and show the true power of having the right team behind you.\n\nCheck out the link in our bio to listen to the interview!\nBrought to you by Allianz and the IPC.'",1766,32.533,184,1,,,
CH0KdbwIaK_,allianz,2020-11-20 13:57:34.000000,yes,False,b'',b'',"b'RJ Mitte on Diversity & Inclusion. The latest, unmissable episode of A Winning Mindset is now live with the star of Breaking Bad! \n\nBy spending just 30 minutes each week listening to our podcast \xe2\x80\x9cA Winning Mindset: Lessons from the Paralympics\xe2\x80\x9d you will hear inspiring stories from Para athletes. While touching on different topics in each episode, we aim to help you move forward in life and show the true power of having the right team behind you.\n\nCheck out the link in our bio to listen to the interview!\n\nBrought to you by Allianz and the IPC.'",3831,44.0,379,3,,,
CHh2PSdK-cp,allianz,2020-11-13 11:14:26.000000,yes,False,b'awinningmindset',b'',"b""We must learn from every mistake we make. Manuela Scha\xcc\x88r on performance management. :dizzy:That's the latest instalment of #AWinningMindset\n\nBy spending just 30 minutes each week listening to our podcast \xe2\x80\x9cA Winning Mindset: Lessons from the Paralympics\xe2\x80\x9d you will hear inspiring stories from Para athletes. :headphone:\n\nWhile touching on different topics in each episode, we aim to help you move forward in life and show the true power of having the right team behind you.\n \nCheck out the link in our bio to listen to the interview! :backhand_index_pointing_up::backhand_index_pointing_up:\nBrought to you by Allianz and the IPC.""",1910,43.033,184,51,,,
CHXZVUYIpgK,allianz,2020-11-09 09:49:26.000000,yes,False,"b'awinningmindset,paralympics'",b'',"b'We all have things to overcome in life to get to where we want to be. But challenges provide great opportunities. :thumbs_up:\n\nBy spending just 30 minutes each week listening to our podcast \xe2\x80\x9cA Winning Mindset: Lessons from the Paralympics\xe2\x80\x9d you will hear inspiring stories from Para athletes. :headphone:\nWhile touching on different topics in each episode, we aim to help you move forward in life and show the true power of having the right team behind you.\n\nCheck out the link in our bio to listen to the interview!:backhand_index_pointing_up::backhand_index_pointing_up:\nBrought to you by Allianz and the IPC.\n\n#AWinningMindset #paralympics'",1654,48.3,184,6,,,
CG-K4u8Izth,allianz,2020-10-30 14:42:11.000000,yes,False,"b'awinningmindset,paralympics'",b'',"b'Not all disabilities are visible. Todd Hodgetts opens up about life with a learning disability on A Winning Mindset. :clapping_hands: #AWinningMindset #Paralympics\n\nBy spending just 30 minutes each week listening to our podcast \xe2\x80\x9cA Winning Mindset: Lessons from the Paralympics\xe2\x80\x9d you will hear inspiring stories from Para athletes. :headphone:\nWhile touching on different topics in each episode, we aim to help you move forward in life and show the true power of having the right team behind you.\n\nCheck out the link in our bio to listen to the interview! :backhand_index_pointing_up::backhand_index_pointing_up:\nBrought to you by Allianz and the IPC.'",2007,41.266,184,6,,,
CGr2DSjIzDF,allianz,2020-10-23 11:53:54.000000,yes,False,"b'awinningmindset,paralympics'",b'sherif_osman_1',"b'Mind over matter for @sherif_osman_1, who explains how willpower has taken him to the very top of sport.:trophy: #AWinningMindset #Paralympics\n\nBy spending just 30 minutes each week listening to our podcast \xe2\x80\x9cA Winning Mindset: Lessons from the Paralympics\xe2\x80\x9d you will hear inspiring stories from Para athletes. :headphone:\nWhile touching on different topics in each episode, we aim to help you move forward in life and show the true power of having the right team behind you. \n\nCheck out the link in bio! :backhand_index_pointing_up::backhand_index_pointing_up:Brought to you by Allianz and the IPC.'",1515,47.533,182,5,,,
CGm2OkpoIw9,allianz,2020-10-21 13:29:40.000000,yes,False,"b'awinningmindset,paralympics'",b'',"b'Have you heard our new podcast yet? :headphone: Together with the International Paralympic Committee we bring you fascinating stories directly into your living room.\n\xe2\x80\xa2\nBy spending just 30 minutes each week listening to our podcast \xe2\x80\x9cA Winning Mindset: Lessons from the Paralympics\xe2\x80\x9d you will hear inspiring stories from Para athletes.\n\xe2\x80\xa2\nWhile touching on different topics in each episode, we aim to help you move forward in life and show the true power of having the right team behind you.:handshake:\n\nCheck out the link in our bio!! :smiling_face_with_smiling_eyes:\n\n#AWinningMindset #paralympics'",1819,29.166,190,4,,,
CGj12VPngwG,allianz,2020-10-20 09:17:48.000000,no,False,"b'1,allianz,allianzforlife,bestglobalbrands'",b'',"b'We did it again!:party_popper: We are incredibly grateful to stay the #1 insurance brand of the world and be named the Top 40 Best Global Brands.:trophy:\nThis achievement is only possible with the support of our customers, partners, and employees. A big thank you for your trust and loyalty during these challenging times. :clapping_hands::clapping_hands::clapping_hands:\n\xe2\x80\xa2\nLooking ahead, we\xe2\x80\x99ll continue to focus on resilience, live up to our purpose, and make a difference. This is just the beginning. \n\xe2\x80\xa2\n#allianz #allianzforlife #bestglobalbrands'",0,0,3553,73,,,
CERyiiEo870,allianz,2020-08-24 15:59:45.000000,no,False,"b'miasanchampions,fcbayern,allianz,allianzforlife'",b'',b'What an amazing achievement by our partners FC Bayern Munich who won three titles this season. :keycap_3::trophy::soccer_ball:\n\nWe are proud to host the Champions of Europe at the Allianz Arena:house: \n\n#MiaSanChampions #FCBayern #Allianz  #AllianzForLife',0,0,50829,136,,"Munich, Germany",48.15 11.5833
