shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIWEodLrvVF,alrajhibank,2020-12-03 18:00:26.000000,no,False,"b'\xd8\xb4\xd9\x87\xd8\xb1_\xd8\xa7\xd9\x84\xd8\xaa\xd9\x85\xd9\x88\xd9\x8a\xd9\x84,\xd8\xa7\xd9\x84\xd8\xb1\xd8\xa7\xd8\xac\xd8\xad\xd9\x8a_\xd9\x85\xd9\x88\xd8\xa8\xd8\xa7\xd9\x8a\xd9\x84'",b'',b'\xd9\x85\xd8\xb9 \xd8\xb9\xd8\xb1\xd9\x88\xd8\xb6 #\xd8\xb4\xd9\x87\xd8\xb1_\xd8\xa7\xd9\x84\xd8\xaa\xd9\x85\xd9\x88\xd9\x8a\xd9\x84 \xd8\xa7\xd8\xad\xd8\xb5\xd9\x84 \xd8\xb9\xd9\x84\xd9\x89 \xd8\xaa\xd9\x85\xd9\x88\xd9\x8a\xd9\x84\xd9\x83 \xd8\xa7\xd9\x84\xd8\xb4\xd8\xae\xd8\xb5\xd9\x8a\n\xd9\x85\xd9\x86 #\xd8\xa7\xd9\x84\xd8\xb1\xd8\xa7\xd8\xac\xd8\xad\xd9\x8a_\xd9\x85\xd9\x88\xd8\xa8\xd8\xa7\xd9\x8a\xd9\x84 \xd8\xa8\xd9\x86\xd8\xb3\xd8\xa8\xd8\xa9 \xd8\xb1\xd8\xa8\xd8\xad \xd8\xa3\xd9\x82\xd9\x84 \xd9\x88\xd8\xa8\xd8\xaf\xd9\x88\xd9\x86 \xd8\xb1\xd8\xb3\xd9\x88\xd9\x85 \xd8\xa5\xd8\xaf\xd8\xa7\xd8\xb1\xd9\x8a\xd8\xa9:mobile_phone_with_arrow:',0,0,195,112,,,
CIVTgLuqurC,alrajhibank,2020-12-03 10:51:11.000000,no,False,b'',b'',b'\xd8\xa7\xd8\xb3\xd8\xaa\xd9\x85\xd8\xaa\xd8\xb9 \xd8\xa8\xd8\xae\xd8\xb5\xd9\x85 20\xd9\xaa \xd9\x84\xd8\xaf\xd9\x89 \xd8\xb3\xd8\xaa\xd8\xa7\xd9\x8a\xd9\x84\xd9\x8a \xd9\x85\xd8\xb9 \xd8\xa8\xd8\xb7\xd8\xa7\xd9\x82\xd8\xa7\xd8\xaa \xd8\xa7\xd9\x84\xd8\xb1\xd8\xa7\xd8\xac\xd8\xad\xd9\x8a\n:blue_circle:\xd9\x83\xd9\x88\xd8\xaf \xd8\xa7\xd9\x84\xd8\xae\xd8\xb5\xd9\x85: ARB20',0,0,146,6,,,
CIVMT5viRuP,alrajhibank,2020-12-03 09:48:19.000000,no,False,b'\xd8\xb4\xd9\x87\xd8\xb1_\xd8\xa7\xd9\x84\xd8\xaa\xd9\x85\xd9\x88\xd9\x8a\xd9\x84',b'',b'\xd9\x85\xd9\x87\xd9\x85\xd8\xa7 \xd8\xaa\xd9\x86\xd9\x88\xd8\xb9\xd8\xaa \xd8\xa7\xd8\xad\xd8\xaa\xd9\x8a\xd8\xa7\xd8\xac\xd8\xa7\xd8\xaa\xd9\x83\xd8\x8c \xd8\xa3\xd8\xa8\xd8\xb4\xd8\xb1 \xd8\xa8\xd8\xa7\xd9\x84\xd9\x84\xd9\x8a \xd9\x8a\xd8\xb1\xd8\xb6\xd9\x8a\xd9\x83 \xd9\x85\xd8\xb9 \xd8\xa3\xd9\x82\xd9\x88\xd9\x89 \xd8\xb9\xd8\xb1\xd9\x88\xd8\xb6 \xd8\xa7\xd9\x84\xd8\xaa\xd9\x85\xd9\x88\xd9\x8a\xd9\x84 \xd8\xa7\xd9\x84\xd8\xb4\xd8\xae\xd8\xb5\xd9\x8a \xd8\xa8\xd9\x88\xd8\xb5\xd9\x88\xd9\x84 #\xd8\xb4\xd9\x87\xd8\xb1_\xd8\xa7\xd9\x84\xd8\xaa\xd9\x85\xd9\x88\xd9\x8a\xd9\x84 :money_bag::house: \n:white_heavy_check_mark:\xd8\xa8\xd8\xaf\xd9\x88\xd9\x86 \xd8\xb1\xd8\xb3\xd9\x88\xd9\x85 \xd8\xa5\xd8\xaf\xd8\xa7\xd8\xb1\xd9\x8a\xd8\xa9 \n:white_heavy_check_mark:\xd9\x86\xd8\xb3\xd8\xa8\xd8\xa9 \xd8\xb1\xd8\xa8\xd8\xad \xd9\x85\xd9\x86\xd8\xa7\xd9\x81\xd8\xb3\xd8\xa9 \n:white_heavy_check_mark:\xd8\xb3\xd8\xaf\xd8\xa7\xd8\xaf \xd8\xa7\xd9\x84\xd9\x85\xd8\xaf\xd9\x8a\xd9\x88\xd9\x86\xd9\x8a\xd8\xa9',0,0,242,70,,,
CIVFp86qLaq,alrajhibank,2020-12-03 08:50:10.000000,no,False,b'',b'veloce_cafe_sa',b'\xd8\xb4\xd9\x88\xd9\x8a\xd8\xa7\xd8\xaa \xd9\x88\xd9\x8a\xd8\xa8\xd8\xaf\xd8\xa7 \xd8\xb9\xd8\xb1\xd8\xb6\xd9\x86\xd8\xa7  \xd9\x85\xd8\xb9 @veloce_cafe_sa :star-struck: \n\xd8\xa7\xd9\x81\xd8\xaa\xd8\xad \xd8\xad\xd8\xb3\xd8\xa7\xd8\xa8\xd9\x83 \xd8\xa7\xd9\x84\xd8\xad\xd9\x8a\xd9\x86 \xd9\x88\xd8\xa7\xd8\xb3\xd8\xaa\xd9\x81\xd8\xaf \xd9\x85\xd9\x86 \xd8\xa7\xd9\x84\xd8\xb9\xd8\xb1\xd8\xb6 \xd9\x88\xd8\xb9\xd8\xb1\xd9\x88\xd8\xb6\xd9\x86\xd8\xa7 \xd8\xa7\xd9\x84\xd8\xac\xd8\xa7\xd9\x8a\xd8\xa9 :OK_hand:\nhttps://bit.ly/veloceoffer',0,0,170,25,,,
CITOFKwCpqX,alrajhibank,2020-12-02 15:25:18.000000,no,False,b'',b'',b'\xd8\xad\xd8\xa8\xd8\xa7\xd9\x8a\xd8\xa8\xd9\x86\xd8\xa7 \xd9\x81\xd9\x8a \xd8\xac\xd8\xaf\xd8\xa9 \xd9\x86\xd9\x86\xd8\xaa\xd8\xb8\xd8\xb1\xd9\x83\xd9\x85  \xd9\x81\xd9\x8a \xd8\xb1\xd8\xaf \xd8\xb3\xd9\x8a \xd9\x85\xd9\x88\xd9\x84 :\n:blue_circle:\xd8\xa8\xd8\xaf\xd9\x88\xd9\x86 \xd8\xb1\xd8\xb3\xd9\x88\xd9\x85 \xd8\xa5\xd8\xaf\xd8\xa7\xd8\xb1\xd9\x8a\xd8\xa9 \xd9\x84\xd9\x84\xd8\xaa\xd9\x85\xd9\x88\xd9\x8a\xd9\x84 \xd8\xa7\xd9\x84\xd8\xb4\xd8\xae\xd8\xb5\xd9\x8a \xd9\x88\xd8\xa7\xd9\x84\xd8\xb9\xd9\x82\xd8\xa7\xd8\xb1\xd9\x8a\n:blue_circle:\xd8\xa8\xd8\xaf\xd9\x88\xd9\x86 \xd8\xb1\xd8\xb3\xd9\x88\xd9\x85 \xd8\xaa\xd9\x82\xd9\x8a\xd9\x8a\xd9\x85\n:blue_circle:\xd8\xb3\xd8\xaf\xd8\xa7\xd8\xaf \xd9\x84\xd9\x84\xd9\x85\xd8\xaf\xd9\x8a\xd9\x88\xd9\x86\xd9\x8a\xd8\xa9\n:blue_circle:\xd8\xb9\xd8\xb1\xd9\x88\xd8\xb6 \xd8\xad\xd8\xb5\xd8\xb1\xd9\x8a\xd8\xa9 \xd8\xb9\xd9\x84\xd9\x89 \xd8\xaa\xd9\x85\xd9\x88\xd9\x8a\xd9\x84 \xd8\xa7\xd9\x84\xd8\xb3\xd9\x8a\xd8\xa7\xd8\xb1\xd8\xa7\xd8\xaa\n\n\xd8\xad\xd9\x8a\xd8\xa7\xd9\x83\xd9\x85 \xd9\x85\xd9\x86 \xd8\xa7\xd9\x84\xd9\x8a\xd9\x88\xd9\x85 \xd8\xa7\xd9\x84\xd9\x89 6 \xd8\xaf\xd9\x8a\xd8\xb3\xd9\x85\xd8\xa8\xd8\xb1',0,0,184,30,,,
CITMpmiKfoq,alrajhibank,2020-12-02 15:12:48.000000,no,False,b'\xd8\xb4\xd9\x87\xd8\xb1_\xd8\xa7\xd9\x84\xd8\xaa\xd9\x85\xd9\x88\xd9\x8a\xd9\x84',b'',b'\xd8\xac\xd8\xa7 \xd9\x88\xd9\x82\xd8\xaa \xd8\xaa\xd9\x85\xd8\xaa\xd9\x84\xd9\x83 \xd8\xa8\xd9\x8a\xd8\xaa \xd9\x85\xd8\xb9 \xd8\xa3\xd9\x82\xd9\x88\xd9\x89 \xd8\xb9\xd8\xb1\xd9\x88\xd8\xb6 \xd8\xa7\xd9\x84\xd8\xaa\xd9\x85\xd9\x88\xd9\x8a\xd9\x84 \xd8\xa7\xd9\x84\xd8\xb9\xd9\x82\xd8\xa7\xd8\xb1\xd9\x8a \xd8\xa8\xd9\x88\xd8\xb5\xd9\x88\xd9\x84 #\xd8\xb4\xd9\x87\xd8\xb1_\xd8\xa7\xd9\x84\xd8\xaa\xd9\x85\xd9\x88\xd9\x8a\xd9\x84:money_bag::house: \n:white_heavy_check_mark:\xd8\xa8\xd8\xaf\xd9\x88\xd9\x86 \xd8\xb1\xd8\xb3\xd9\x88\xd9\x85 \xd8\xa5\xd8\xaf\xd8\xa7\xd8\xb1\xd9\x8a\xd8\xa9 \n:white_heavy_check_mark:\xd8\xa8\xd8\xaf\xd9\x88\xd9\x86 \xd8\xb1\xd8\xb3\xd9\x88\xd9\x85 \xd8\xaa\xd9\x82\xd9\x8a\xd9\x8a\xd9\x85 \n:white_heavy_check_mark:\xd9\x86\xd8\xb3\xd8\xa8\xd8\xa9 \xd8\xb1\xd8\xa8\xd8\xad \xd9\x85\xd9\x86\xd8\xa7\xd9\x81\xd8\xb3\xd8\xa9 \n\xd8\xaa\xd9\x82\xd8\xaf\xd9\x85 \xd8\xa8\xd8\xb7\xd9\x84\xd8\xa8\xd9\x83 \xd8\xa7\xd9\x84\xd8\xa2\xd9\x86 https://arb.sa/3lnNt7n',0,0,174,41,,,
CISbMGcqy2Y,alrajhibank,2020-12-02 08:00:37.000000,no,False,b'\xd8\xa8\xd8\xb7\xd8\xa7\xd9\x82\xd8\xa7\xd8\xaa_\xd8\xa7\xd9\x84\xd8\xb1\xd8\xa7\xd8\xac\xd8\xad\xd9\x8a',b'',b'\xd8\xaa\xd9\x85\xd8\xaa\xd8\xb9 \xd8\xa8\xd8\xa3\xd8\xb7\xd8\xb9\xd9\x85\xd8\xaa\xd9\x83 \xd9\x88\xd9\x85\xd8\xb4\xd8\xb1\xd9\x88\xd8\xa8\xd8\xa7\xd8\xaa\xd9\x83 \xd8\xa7\xd9\x84\xd9\x85\xd9\x81\xd8\xb6\xd9\x84\xd8\xa9 \xd9\x85\xd8\xb9 \xd8\xae\xd8\xb5\xd9\x85 20% \xd8\xb9\xd9\x86\xd8\xaf \xd8\xa7\xd8\xb3\xd8\xaa\xd8\xae\xd8\xaf\xd8\xa7\xd9\x85 #\xd8\xa8\xd8\xb7\xd8\xa7\xd9\x82\xd8\xa7\xd8\xaa_\xd8\xa7\xd9\x84\xd8\xb1\xd8\xa7\xd8\xac\xd8\xad\xd9\x8a \xd9\x84\xd8\xaf\xd9\x89 \xd9\x85\xd8\xb7\xd8\xa7\xd8\xb9\xd9\x85 \xd9\x86\xd8\xa7\xd9\x86\xd8\xaf\xd9\x88\xd8\xb2:shallow_pan_of_food:',0,0,142,8,,,
CIQ8w33KrFd,alrajhibank,2020-12-01 18:15:31.000000,no,False,b'\xd8\xb4\xd9\x87\xd8\xb1_\xd8\xa7\xd9\x84\xd8\xaa\xd9\x85\xd9\x88\xd9\x8a\xd9\x84',b'',b'\xd8\xb2\xd8\xa7\xd9\x86\xd8\xaa \xd8\xa7\xd9\x84\xd8\xb9\xd8\xb1\xd9\x88\xd8\xb6 \xd8\xa8\xd9\x88\xd8\xb5\xd9\x88\xd9\x84 #\xd8\xb4\xd9\x87\xd8\xb1_\xd8\xa7\xd9\x84\xd8\xaa\xd9\x85\xd9\x88\xd9\x8a\xd9\x84 \n\xd8\xa7\xd8\xad\xd8\xb5\xd9\x84 \xd8\xb9\xd9\x84\xd9\x89 \xd8\xaa\xd9\x85\xd9\x88\xd9\x8a\xd9\x84\xd9\x83 \xd8\xa7\xd9\x84\xd8\xb9\xd9\x82\xd8\xa7\xd8\xb1\xd9\x8a \xd8\xa7\xd9\x88 \xd8\xa7\xd9\x84\xd8\xb4\xd8\xae\xd8\xb5\xd9\x8a :money_bag::house:\n:white_heavy_check_mark:\xd8\xa8\xd8\xaf\xd9\x88\xd9\x86 \xd8\xb1\xd8\xb3\xd9\x88\xd9\x85 \xd8\xa5\xd8\xaf\xd8\xa7\xd8\xb1\xd9\x8a\xd8\xa9 \n:white_heavy_check_mark:\xd8\xa8\xd8\xaf\xd9\x88\xd9\x86 \xd8\xb1\xd8\xb3\xd9\x88\xd9\x85 \xd8\xaa\xd9\x82\xd9\x8a\xd9\x8a\xd9\x85 \n:white_heavy_check_mark:\xd9\x86\xd8\xb3\xd8\xa8\xd8\xa9 \xd8\xb1\xd8\xa8\xd8\xad \xd9\x85\xd9\x86\xd8\xa7\xd9\x81\xd8\xb3\xd8\xa9\n:white_heavy_check_mark:\xd8\xb3\xd8\xaf\xd8\xa7\xd8\xaf \xd8\xa7\xd9\x84\xd9\x85\xd8\xaf\xd9\x8a\xd9\x88\xd9\x86\xd9\x8a\xd8\xa9',0,0,208,61,,,
CIQihFoiIvR,alrajhibank,2020-12-01 14:26:10.000000,no,False,b'\xd8\xa7\xd9\x84\xd8\xb1\xd8\xa7\xd8\xac\xd8\xad\xd9\x8a_\xd9\x85\xd9\x88\xd8\xa8\xd8\xa7\xd9\x8a\xd9\x84',b'',b'\xd8\xa7\xd8\xad\xd8\xb5\xd9\x84 \xd8\xb9\xd9\x84\xd9\x89 \xd8\xae\xd8\xb5\xd9\x85 \xd8\xa5\xd8\xb6\xd8\xa7\xd9\x81\xd9\x8a 5% \xd8\xb9\xd9\x84\xd9\x89 \xd8\xaa\xd8\xa3\xd9\x85\xd9\x8a\xd9\x86 \xd8\xa7\xd9\x84\xd9\x85\xd8\xb1\xd9\x83\xd8\xa8\xd8\xa7\xd8\xaa \xd8\xb6\xd8\xaf \xd8\xa7\xd9\x84\xd8\xba\xd9\x8a\xd8\xb1 \xd8\xa3\xd9\x88 \xd8\xac\xd8\xaf\xd8\xaf \xd8\xaa\xd8\xa3\xd9\x85\xd9\x8a\xd9\x86\xd9\x83 \xd9\x85\xd9\x86 \xd8\xaa\xd9\x83\xd8\xa7\xd9\x81\xd9\x84 \xd8\xa7\xd9\x84\xd8\xb1\xd8\xa7\xd8\xac\xd8\xad\xd9\x8a \xd8\xa8\xd9\x83\xd9\x84 \xd8\xb3\xd9\x87\xd9\x88\xd9\x84\xd8\xa9 \xd8\xb9\xd8\xa8\xd8\xb1 #\xd8\xa7\xd9\x84\xd8\xb1\xd8\xa7\xd8\xac\xd8\xad\xd9\x8a_\xd9\x85\xd9\x88\xd8\xa8\xd8\xa7\xd9\x8a\xd9\x84',0,0,155,10,,,
CIQLbDmi2w0,alrajhibank,2020-12-01 11:04:22.000000,no,False,b'\xd8\xa7\xd9\x84\xd8\xb1\xd8\xa7\xd8\xac\xd8\xad\xd9\x8a_\xd9\x85\xd9\x88\xd8\xa8\xd8\xa7\xd9\x8a\xd9\x84',b'',b'\xd8\xaa\xd9\x85\xd8\xaa\xd8\xb9 \xd8\xa8\xd8\xaa\xd8\xad\xd9\x88\xd9\x8a\xd9\x84\xd8\xa7\xd8\xaa \xd8\xaf\xd9\x88\xd9\x84\xd9\x8a\xd8\xa9 :globe_showing_Europe-Africa: \xd9\x85\xd8\xac\xd8\xa7\xd9\x86\xd9\x8a\xd8\xa9 \xd9\x85\xd9\x86 \xd8\xae\xd9\x84\xd8\xa7\xd9\x84 #\xd8\xa7\xd9\x84\xd8\xb1\xd8\xa7\xd8\xac\xd8\xad\xd9\x8a_\xd9\x85\xd9\x88\xd8\xa8\xd8\xa7\xd9\x8a\xd9\x84:mobile_phone: \xd9\x84\xd8\xba\xd8\xa7\xd9\x8a\xd8\xa9 \xd8\xa2\xd8\xae\xd8\xb1 \xd8\xa7\xd9\x84\xd8\xb9\xd8\xa7\xd9\x85!',0,0,214,23,,,
