shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CITly3THn95,alticeusa,2020-12-02 18:52:27.000000,no,False,b'hispanicheritagemonth',b'',"b""Congratulations to our #HispanicHeritageMonth essay contest winners! This year, we asked middle and high school students across our footprint to describe a Hispanic person whom they consider to be a hero and why. We are thrilled to be celebrating this year's winners during a virtual event in the coming weeks.""",0,0,36,1,,,
CHdDpFoH72M,alticeusa,2020-11-11 14:35:50.000000,yes,False,"b'veteransday,vetsday'",b'vfwhq',"b'At AUSA, we\xe2\x80\x99re proud to support the dedicated men and women who serve or have served our nation. In honor of Veterans Day, we\xe2\x80\x99re hosting a virtual 5K race for our employees to support the @vfwhq Unmet Needs Program and to show our appreciation for those who put their lives on the line to keep our country safe.\n\n:United_States: #veteransday #vetsday'",207,97.3,17,13,,,
CHAyVuBHiaT,alticeusa,2020-10-31 15:05:09.000000,yes,False,b'',b'',b'Happy Halloween from AUSA! :jack-o-lantern:',262,5.0,59,5,,,
CG0gPd5Hw_g,alticeusa,2020-10-26 20:36:04.000000,no,False,b'5k4vets',b'vfwhq',"b'In honor of Veterans Day, AUSA invited our employees to participate in a virtual 5K benefiting the @vfwhq\xe2\x80\x99s Unmet Needs Program. \n.\n.\nThis weekend, AUSA Systems Engineer Andy Ramanand routed his 5K to include the VFW Post 4927 and Post 432 in Port Jefferson, NY. \n.\n.\nAUSA is proud to support our veterans, and we are excited to see so many of our employees share our support. :clapping_hands:\n \n #5k4Vets'",0,0,43,3,,,
CGk4nG1llZz,alticeusa,2020-10-20 19:01:11.000000,no,False,b'',b'',"b'In addition to providing funds and device donations, Altice USA is continuing our support for remote learning by offering our Altice Advantage broadband solution complimentary for 60 days to households with K-12 and/or college students who do not currently have home internet access. \n.\n.\nAdditionally, we have launched an Educator Discount to thank our educators for their inspiring dedication during these unprecedented times. \n.\n.\nWe are proud to support our communities and the innovators and technologists of tomorrow as remote learning continues.'",0,0,58,15,,,
CGF6DIfHTTK,alticeusa,2020-10-08 18:17:17.000000,no,False,b'',b'cablefax_official',"b'Congratulations to AUSA\xe2\x80\x99s five leaders who were named as top multi-ethnic leaders on @cablefax_official\xe2\x80\x99s Diversity List! During a week when the whole cable industry recognizes the importance of diversity, we are so proud to celebrate our leaders. Cheers!'",0,0,17,7,,,
CFc4Y2HHSt-,alticeusa,2020-09-22 19:53:54.000000,no,False,b'hispanicheritagemonth',b'',"b'This #HispanicHeritageMonth, we\xe2\x80\x99re spotlighting some of our Hispanic customers and their inspiring accomplishments. Take a look :backhand_index_pointing_right:'",0,0,40,5,,,
CFPpGGxJB15,alticeusa,2020-09-17 16:30:11.000000,no,False,b'webackblackbusinesses',"b'usccfoundation,usblackchambers,thenbl1900,walkerslegacy,americanexpress'","b'AUSA is proud to join the Coalition to Back Black Businesses with @USCCFoundation @usblackchambers, @thenbl1900, @walkerslegacy, National Black Chamber of Commerce & @AmericanExpress to provide hundreds of Black-owned small businesses with grants, training and resources to help in their recovery from COVID-19. \n\nApply by 9/21 and learn more at webackblackbusinesses.com. #WeBackBlackBusinesses'",0,0,15,27,,,
CFK2EfFHdFr,alticeusa,2020-09-15 19:47:19.000000,no,False,b'hispanicheritagemonth',"b'optimum,mysuddenlink,univision'","b'Altice USA, @Optimum & @mysuddenlink are excited to celebrate #HispanicHeritageMonth with our annual essay contest for middle & high school students across our service areas, in partnership with @Univision! Students can enter by writing about a Hispanic person they consider to be a hero for a chance to win a $1,500 scholarship. Submissions close 10/31. Learn more at Optimum.com/HHM or Suddenlink.com/HHM.'",0,0,26,12,,,
CEwguf2HDTI,alticeusa,2020-09-05 14:21:46.000000,yes,False,b'',b'',"b'On September 5, 2019, Altice USA entered the wireless industry with the launch of Altice Mobile. \n\nCheers to one year of Altice Mobile! :party_popper::clapping_hands::clinking_glasses:'",364,21.2,36,11,,,
