shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIUJcuQjyEe,amgenbiotech,2020-12-03 00:05:15.000000,yes,False,"b'amgenscience,wearebiotech'",b'',"b'From the data inside us all\xe2\x80\x94DNA, RNA, proteins\xe2\x80\x94we can learn a lot about disease, who\xe2\x80\x99s at risk, and who might respond to which therapies. :dna:\n\nAlong with our deCODE Genetics subsidiary, we are collecting genetic and health data from millions of volunteers to help build a detailed picture. The information we gain has the potential to transform how medicines are discovered, developed, and used.\n\n\xe2\x80\x9cI think we have a chance to drive medicine in almost unimaginable directions with these insights.\xe2\x80\x9d \xe2\x80\x94Dave Reese, EVP for R&D at Amgen\n\n#AmgenScience #WeAreBiotech'",510,29.658,78,1,,,
CIOmIzrD3Vj,amgenbiotech,2020-11-30 20:19:14.000000,no,False,"b'covid19,wearebiotech'",b'',"b""2020 has been an unprecedented year.\xc2\xa0Yet even with the challenges, all of us at Amgen stayed focused on what mattered most: serving patients and communities around the world. We're kicking off a month long series highlighting our 2020 Year-In-Review. First up: #COVID19. #wearebiotech""",0,0,260,0,,,
CH28PhfjY2F,amgenbiotech,2020-11-21 16:03:10.000000,yes,False,b'',b'taragurban',b'Family can come together in all kinds of ways. Amgen Rhode Island employee @TaraGUrban shares the story of the sign that led her to son Evan. We hope you\xe2\x80\x99ll watch.',2747,53.616,128,10,,,
CH0zDQRDQnq,amgenbiotech,2020-11-20 19:51:50.000000,no,False,"b'amgenscience,wearebiotech'",b'',"b'One of the challenges with making a biotech therapy is that cells are both extremely small and incredibly complex. A lot of people, time, and equipment are needed to engineer cells that can make new medicines.\n\nThis is where digital cell biology comes in. Invented by Berkeley Lights and developed with input from Amgen, this emerging technology uses light to manipulate single living cells without damaging them and allows researchers to actually see cells in action and gain more information in a much faster way.\n\nIt\xe2\x80\x99s a new scientific field that\xe2\x80\x99s opening up exciting possibilities for biotech research.\n\n[Click link in bio to learn more] #AmgenScience #WeAreBiotech'",0,0,119,0,,,
CHyaWJGjCsd,amgenbiotech,2020-11-19 21:37:51.000000,yes,False,"b'amgenscience,wearebiotech'",b'',"b'More than ever, science and technology are vital for tackling the many challenges we\xe2\x80\x99re facing in our community\xe2\x80\x94and the world. Now, with a renewed focus on research, evidence, and innovation, we look forward to working together toward our common goals.\n\nLet\xe2\x80\x99s celebrate the expertise and talent of scientists and all those dedicated to advancing knowledge. At Amgen we\xe2\x80\x99re proud of our team and the work we do to help improve lives everywhere.\n\n[Click link in bio to learn more]\n\n#AmgenScience #WeAreBiotech'",17614,15.0,729,4,,,
CHyDTnoDis4,amgenbiotech,2020-11-19 18:16:09.000000,no,False,"b'wearebiotech,ahsheadache,ahsaz'",b'ahsheadache',b'Tuning into the @AHSHeadache Virtual Congress this week? Check out this symposium to learn more about patient safety considerations in clinical practice. [Link in Bio] #wearebiotech #ahsheadache #ahsaz',0,0,60,0,,,
CHs_CROjRJv,amgenbiotech,2020-11-17 19:02:52.000000,yes,False,"b'wearebiotech,amgenscience'",b'',"b'Multispecific drugs = the start of a new era. :folded_hands::raising_hands: There have been 3 major waves of innovation in drug discovery to date:\n\n:white_heavy_check_mark: The introduction of aspirin started the first wave\xe2\x80\x94medicines with well-defined chemical structures but unknown biology.\n\n:white_heavy_check_mark: Wave 2 introduced rational drug design\xe2\x80\x94specific compounds aimed at specific molecular targets that play a role in disease.\n\n:white_heavy_check_mark: In wave 3, the biotechnology revolution, recombinant DNA technology allowed us to go beyond chemical compounds and design medicines based on the proteins and other large molecules that govern biology.\n\n:bright_button: We\xe2\x80\x99re now at the start of the fourth wave, which will advance our concept of how drugs can work. The age of multispecific drugs is beginning.\xc2\xa0 Read more at the link in bio under, \xe2\x80\x9cA Sea of Change in Drug Design\xe2\x80\x9d. #wearebiotech #amgenscience :dna::microscope::petri_dish::test_tube:'",4276,19.114,134,1,,,
CHqcTheDrB-,amgenbiotech,2020-11-16 19:20:40.000000,no,False,b'',"b'labxchange,harvard'","b""All of us at Amgen and Amgen Foundation send our deepest sympathies to Dr. Rob Lue\xe2\x80\x99s family and colleagues at @LabXchange and @Harvard. Rob passed away from cancer last week.\n\nRob was affectionately and respectfully known as the 'Father' of LabXchange, which provided free online science resources and materials to students and teachers around the world.\n\nScience is better off thanks to him and we recommit ourselves to advancing his belief that everyone needs science and science needs everyone.\n\nDr. Lue spoke with us earlier this year about LabXchange. You can read his interview on Amgen.com. Link in our bio.""",0,0,174,3,,,
CHgM8TMD-Z7,amgenbiotech,2020-11-12 19:54:01.000000,no,False,b'ripalextrebek',b'',"b'Our CEO Bob Bradway remembers Jeopardy! host Alex Trebek, who spoke so honestly about his battle with pancreatic cancer, including the toll it took on his mental health. Progress is being made in treating this disease, but more must be done. As Bob wrote, \xe2\x80\x9cGodspeed, Alex\xe2\x80\xa6your legacy will continue to inspire.\xe2\x80\x9d\n\nP.S. BTW, Amgen even made it into a category one time. #ripalextrebek'",0,0,543,6,,,
CHWOSsIj1j9,amgenbiotech,2020-11-08 23:01:33.000000,yes,False,"b'stemday,amgenscience,wearebiotech'",b'',b'Today is National #STEMDay. Hear from Dr. Denise Chou on why she loves being a clinical researcher and working in medicine #AmgenScience #WeAreBiotech',680,47.266,50,2,,,
