shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIYirD-lhKT,apple,2020-12-04 17:01:30.000000,yes,False,b'shotoniphone',"b'apple,jordanloves.life,chongthenomad'","b'Commissioned by Apple. For International Day of Persons with Disabilities, we commissioned photographer Jordan Nicholson to show us what a day in his life looks like. Born with TAR syndrome\xe2\x80\x94which means he was born without the radius bone in his arms\xe2\x80\x94Jordan has found, from a young age, how to appreciate life and the beauty around him. \xe2\x80\x9cEarly on I realized I was better off embracing the circumstances of my life instead of wishing things were different. My disability made me someone who appreciates all the things that are within reach instead of constantly worrying about the things that aren\xe2\x80\x99t\xe2\x80\x94both figuratively and literally!""\n\nMeet and get inspired by Jordan N. on @apple\n\n#ShotoniPhone 12 by @jordanloves.life\n\nMusic: \xe2\x80\x9cMake Me\xe2\x80\x9d by @chongthenomad'",551020,15.0,125922,658,,,
CIV-BRBl3Dw,apple,2020-12-03 17:02:37.000000,no,False,b'',b'jordanloves.life',"b'Commissioned by Apple. ""I was born with thrombocytopenia absent radius syndrome, or TAR Syndrome, which means I\'m missing the radius bone in both my arms. I think my disability gave me the confidence to explore my own unique way of looking at the world. My worldview is one where I\xe2\x80\x99m always looking for beauty wherever I can find it, in places that people might sometimes miss. Don\xe2\x80\x99t underestimate the immense value of your one-of-a-kind perspective. There\xe2\x80\x99s only one you and that is your superpower.\xe2\x80\x9d ShotoniPhone 12 by Jordan N. @jordanloves.life for Int\'l Day of Persons with Disabilities'",0,0,288653,1276,,"Seattle, Washington",47.6046 -122.3308
CIQ0VHpl4AP,apple,2020-12-01 17:01:44.000000,no,False,"b'shotoniphone,worldaidsday'",b'renaldiphotos',"b'""Worlds AIDS Day is a time to reflect on both the loss and collective trauma that people affected and touched by HIV & AIDS have experienced. It\xe2\x80\x99s an occasion to think of our brothers and sisters around the globe that don\'t have access to healthcare, and the affordable life-saving medications that many take for granted. We all must continue to carry the torch of activism in the fight against HIV & AIDS.\xe2\x80\x9d \n#ShotoniPhone by Richard R. @renaldiphotos #WorldAIDSDay'",0,0,353625,1172,,,
CIJGu-nlik5,apple,2020-11-28 17:08:38.000000,no,False,b'shotoniphone',b'cr__46',"b'\xe2\x80\x9cI try to find an interesting view, and when I do I use the rule of thirds to distinguish what is the focal point of the shot.\xe2\x80\x9d \n#ShotoniPhone by Chetan R. @cr__46'",0,0,311125,1570,,Ellora,20.02508 75.16313
CIBXknulgOS,apple,2020-11-25 17:01:50.000000,no,False,b'shotoniphone',b'samjsn',"b'""I was flying over the Malacca Strait when I saw this isolated lightning cloud and started continuously shooting photos and videos. I got lucky with this one amazing bolt, which I felt resembled a giant question mark in the sky.\xe2\x80\x9d \n#ShotoniPhone by Sam J. @samjsn'",0,0,420374,1556,,Strait Of Malacca,1.6199229833 102.9100644
CH-y7vhlCTT,apple,2020-11-24 17:03:12.000000,no,False,b'shotoniphone',b'trevortraynor',"b'\xe2\x80\x9cI started this series as a way to stay creative and document my surroundings during quarantine. But these photos represent so much more than the virus. These simple pieces of plastic, cloth, and paper are a reminder of the loss, the hardship, the political divide, and the strangeness that has overtaken our lives in 2020. It\xe2\x80\x99s a historical time stamp.\xe2\x80\x9d #ShotoniPhone by Trevor T. @trevortraynor'",0,0,389545,1511,,"Los Angeles, California",34.0564 -118.2445
CH5pN-8F8Eb,apple,2020-11-22 17:02:07.000000,no,False,b'shotoniphone',b'diogolage',"b'\xe2\x80\x9cIn my hometown Porto, wildlife and urban life coexist on a daily basis, and capturing these animals is an exercise of extreme patience and perseverance. I have to gain their confidence, watch their behavior, foresee their next move. Sometimes it takes a long time to take one nice shot.\xe2\x80\x9d #ShotoniPhone by Diogo L. @diogolage'",0,0,442421,1472,,"Porto, Portugal",41.15 -8.61667
CH0fuC8lFxi,apple,2020-11-20 17:02:54.000000,no,False,"b'iphone12promax,shotoniphone'",b'codycobb',b'#iPhone12ProMax Night mode landscapes. Lowlight is no longer the enemy. \n#ShotoniPhone by Cody C. @codycobb',0,0,462943,1521,,,
CHx67zxlai-,apple,2020-11-19 17:03:00.000000,no,False,"b'iphone12,iphone12,shotoniphone'","b'incitedesign,itsmdnt'","b'Commissioned by Apple. Learn how to create amazing Night mode stills and Time-lapse videos with glow-sticks + string lights + a tripod + the #iPhone12.\n\nNight mode Time-lapse lets you turn the dark into your own personal creative canvas. All you need is the #iPhone12, a tripod (or something steady to prop it on) and something bright. \n\nSkipping with string-lights creates beautiful long streaks. Attaching glow-sticks to a (non-glow) stick lets you paint with color. Or, you can just wave them over someone (gently) to give them a beautiful glow. \n\nIf you don\xe2\x80\x99t have these, anything that emits light will do - like a flashlight or even another iPhone.\n\nRemember, the key to a good Night mode Time-lapse video is keeping the subject matter as still as possible, whilst keeping the light source moving smoothly and consistently.\n\nTry it tonight! \n\n#ShotoniPhone 12 by Donghoon J. and James T. of @InciteDesign\n\nMusic: \xe2\x80\x9cOverflow\xe2\x80\x9d by @itsmdnt'",0,0,129755,521,,,
CHsyEOclsjp,apple,2020-11-17 17:09:18.000000,no,False,"b'iphone12,iphone12,shotoniphone'","b'incitedesign,luciantune'","b'Commissioned by Apple. Learn how to shoot psychedelic liquid formations with water + food coloring + baby oil + Dolby Vision on the #iPhone12.\n\nThe small size of the #iPhone12 lets you get up close to things other cameras can\xe2\x80\x99t. \n\nFill a clear container half way up with water, add a few drops of food coloring and fill the rest with baby oil - remember to close the lid tightly!\n\nWith the camera open, position the iPhone 12 right up to the jar, and tap and hold the screen to initiate focus-lock at the point the oil and water meet. This keeps everything nice and sharp.\n\nNow it\xe2\x80\x99s time to shake shake shake. Or slowly tumble. Or even just let it sit. Different moments create different effects. Do it against some bright colorful paper for extra pop.\n\nTry it today and see the world from a different perspective, or stay tuned for our last Everyday Experiment.\n\n#ShotoniPhone 12 by Donghoon J. and James T. of @InciteDesign \n\nMusic: \xe2\x80\x9cImpression\xe2\x80\x9d by @luciantune'",0,0,165706,751,,,
CHnnyMMFUpJ,apple,2020-11-15 17:04:17.000000,yes,False,"b'iphone12,shotoniphone'",b'incitedesign',"b'Commissioned by Apple. Learn how to create mesmerizing, squishy loops with balloons + water + colorful paper + Slo-mo on the #iPhone12.\n\nWith a tripod (or a friend who can hold very still), position the iPhone 12 over some colorful paper, select Slo-mo and start bouncing. Regular balloons work best because they won\xe2\x80\x99t burst as easily.\n\nAfter you\xe2\x80\x99ve got some great shots, you can adjust the Slo-mo timing by tapping edit and moving the slider to capture the exact moment the balloon hits the card.\n\nLastly, if you want to get suuuuper fancy, bring the footage into iMovie on your iPhone and use the green-screen effect (it works on any color) to layer multiple clips over each other. Cool, huh?\n\nTry it today (if it\xe2\x80\x99s nice out) or stay tuned for more Everyday Experiments.\n\n#ShotoniPhone 12 by Donghoon J. and James T. of @InciteDesign\n\nMusic: \xe2\x80\x9cIt\xe2\x80\x99s a Game\xe2\x80\x9d by Show Pony'",373226,30.0,81520,951,,,
