shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CITL50rIWhe,arabbank,2020-12-02 15:06:22.000000,yes,False,"b'\xd8\xa7\xd9\x84\xd8\xa8\xd9\x86\xd9\x83_\xd8\xa7\xd9\x84\xd8\xb9\xd8\xb1\xd8\xa8\xd9\x8a,\xd8\xa7\xd9\x84\xd8\xa7\xd8\xb1\xd8\xaf\xd9\x86'",b'',"b'-\n\xd8\xa7\xd8\xb3\xd8\xaa\xd8\xa8\xd8\xaf\xd9\x84 \xd9\x86\xd9\x82\xd8\xa7\xd8\xb7\xd9\x83 \xd8\xb6\xd9\x85\xd9\x86 \xd8\xa8\xd8\xb1\xd9\x86\xd8\xa7\xd9\x85\xd8\xac ""\xd9\x86\xd9\x82\xd8\xa7\xd8\xb7 \xd8\xa7\xd9\x84\xd8\xb9\xd8\xb1\xd8\xa8\xd9\x8a"" \n\xd9\x84\xd8\xaf\xd9\x89 \xd8\xa3\xd9\x83\xd8\xab\xd8\xb1 \xd9\x85\xd9\x86 70 \xd9\x85\xd8\xaa\xd8\xac\xd8\xb1\xd8\xa7\xd9\x8b \xd9\x85\xd8\xb9 \xd8\xaa\xd8\xb7\xd8\xa8\xd9\x8a\xd9\x82 ""Wafii"" \xd9\x88""\xd8\xb9\xd8\xb1\xd8\xa8\xd9\x8a \xd9\x85\xd9\x88\xd8\xa8\xd8\xa7\xd9\x8a\xd9\x84"" \n\xd9\x81\xd8\xb9\xd9\x91\xd9\x84 \xd8\xa7\xd9\x84\xd8\xae\xd8\xaf\xd9\x85\xd8\xa9 \xd8\xb9\xd8\xa8\xd8\xb1 \xd8\xaa\xd8\xb7\xd8\xa8\xd9\x8a\xd9\x82 ""\xd8\xb9\xd8\xb1\xd8\xa8\xd9\x8a \xd9\x85\xd9\x88\xd8\xa8\xd8\xa7\xd9\x8a\xd9\x84"" \xd8\xa7\xd9\x84\xd8\xa2\xd9\x86!\n#\xd8\xa7\xd9\x84\xd8\xa8\xd9\x86\xd9\x83_\xd8\xa7\xd9\x84\xd8\xb9\xd8\xb1\xd8\xa8\xd9\x8a #\xd8\xa7\xd9\x84\xd8\xa7\xd8\xb1\xd8\xaf\xd9\x86'",694,14.233,40,0,,,
CIDv58Xo5qO,arabbank,2020-11-26 15:13:11.000000,yes,False,"b'\xd8\xa7\xd9\x84\xd8\xa8\xd9\x86\xd9\x83_\xd8\xa7\xd9\x84\xd8\xb9\xd8\xb1\xd8\xa8\xd9\x8a,\xd8\xa7\xd9\x84\xd8\xac\xd9\x85\xd8\xb9\xd8\xa9_\xd8\xa7\xd9\x84\xd8\xa8\xd9\x8a\xd8\xb6\xd8\xa7\xd8\xa1'",b'',"b'-\n\xd8\xb9\xd8\xb1\xd8\xb6 \xd8\xad\xd8\xb5\xd8\xb1\xd9\x8a! \n\xd8\xa7\xd8\xb3\xd8\xaa\xd8\xb1\xd8\xaf 10% \xd9\x85\xd9\x86 \xd9\x82\xd9\x8a\xd9\x85\xd8\xa9 \xd9\x85\xd8\xb4\xd8\xaa\xd8\xb1\xd9\x8a\xd8\xa7\xd8\xaa\xd9\x83 \xd9\x84\xd8\xaf\xd9\x89 \xd8\xa3\xd9\x83\xd8\xab\xd8\xb1 \xd9\x85\xd9\x86 270 \xd9\x85\xd8\xaa\xd8\xac\xd8\xb1\xd8\xa7\xd9\x8b \xd8\xb9\xd9\x86\xd8\xaf \xd8\xa7\xd9\x84\xd8\xaf\xd9\x81\xd8\xb9 \xd8\xb9\xd8\xa8\xd8\xb1 \xd8\xaa\xd8\xb7\xd8\xa8\xd9\x8a\xd9\x82 ""\xd8\xb9\xd8\xb1\xd8\xa8\xd9\x8a \xd9\x85\xd9\x88\xd8\xa8\xd9\x8a \xd9\x83\xd8\xa7\xd8\xb4"". \n*25 \xd8\xaf\xd9\x8a\xd9\x86\xd8\xa7\xd8\xb1 \xd9\x83\xd8\xad\xd8\xaf \xd8\xa7\xd9\x82\xd8\xb5\xd9\x89\n*\xd8\xaa\xd8\xb7\xd8\xa8\xd9\x82 \xd8\xa7\xd9\x84\xd8\xb4\xd8\xb1\xd9\x88\xd8\xb7 \xd9\x88\xd8\xa7\xd9\x84\xd8\xa3\xd8\xad\xd9\x83\xd8\xa7\xd9\x85\n#\xd8\xa7\xd9\x84\xd8\xa8\xd9\x86\xd9\x83_\xd8\xa7\xd9\x84\xd8\xb9\xd8\xb1\xd8\xa8\xd9\x8a #\xd8\xa7\xd9\x84\xd8\xac\xd9\x85\xd8\xb9\xd8\xa9_\xd8\xa7\xd9\x84\xd8\xa8\xd9\x8a\xd8\xb6\xd8\xa7\xd8\xa1'",198512,39.233,723,0,,,
CIA7JdoIPXT,arabbank,2020-11-25 12:53:36.000000,yes,False,"b'\xd8\xa7\xd9\x84\xd8\xa7\xd8\xb1\xd8\xaf\xd9\x86,\xd8\xa7\xd9\x84\xd8\xa8\xd9\x86\xd9\x83_\xd8\xa7\xd9\x84\xd8\xb9\xd8\xb1\xd8\xa8\xd9\x8a'",b'',"b'\xd8\xa7\xd8\xaf\xd9\x81\xd8\xb9 \xd9\x81\xd8\xa7\xd8\xaa\xd9\x88\xd8\xb1\xd8\xaa\xd9\x83 \xd8\xb9\xd9\x86 \xd8\xb7\xd8\xb1\xd9\x8a\xd9\x82 ""\xd8\xa5\xd9\x8a \xd9\x81\xd9\x88\xd8\xa7\xd8\xaa\xd9\x8a\xd8\xb1\xd9\x83\xd9\x85"" \xd8\xb9\xd8\xa8\xd8\xb1""\xd8\xb9\xd8\xb1\xd8\xa8\xd9\x8a \xd9\x85\xd9\x88\xd8\xa8\xd8\xa7\xd9\x8a\xd9\x84"" \xd9\x88\xd8\xa7\xd8\xaf\xd8\xae\xd9\x84 \xd8\xa7\xd9\x84\xd8\xb3\xd8\xad\xd8\xa8 \xd8\xb9\xd9\x84\xd9\x89 \xd8\xa7\xd8\xb3\xd8\xaa\xd8\xb1\xd8\xaf\xd8\xa7\xd8\xaf \xd9\x86\xd9\x82\xd8\xaf\xd9\x8a 100% \xd9\x84\xd8\xad\xd8\xaf 30 \xd8\xaf\xd9\x8a\xd9\x86\xd8\xa7\xd8\xb1\xd8\xa7\xd9\x8b \xd9\x85\xd9\x86 \xd9\x82\xd9\x8a\xd9\x85\xd8\xa9 \xd9\x81\xd8\xa7\xd8\xaa\xd9\x88\xd8\xb1\xd8\xaa\xd9\x83. \n\xd8\xa7\xd9\x84\xd8\xb9\xd8\xb1\xd8\xb6 \xd8\xb3\xd8\xa7\xd8\xb1 \xd8\xad\xd8\xaa\xd9\x89 25 \xd9\x83\xd8\xa7\xd9\x86\xd9\x88\xd9\x86 \xd8\xa7\xd9\x84\xd8\xab\xd8\xa7\xd9\x86\xd9\x8a 2021. \n\xd8\xaa\xd8\xb7\xd8\xa8\xd9\x82 \xd8\xa7\xd9\x84\xd8\xb4\xd8\xb1\xd9\x88\xd8\xb7 \xd9\x88\xd8\xa7\xd9\x84\xd8\xa3\xd8\xad\xd9\x83\xd8\xa7\xd9\x85\n#\xd8\xa7\xd9\x84\xd8\xa7\xd8\xb1\xd8\xaf\xd9\x86 #\xd8\xa7\xd9\x84\xd8\xa8\xd9\x86\xd9\x83_\xd8\xa7\xd9\x84\xd8\xb9\xd8\xb1\xd8\xa8\xd9\x8a'",67221,21.233,3514,0,,,
CH9nG7fI--l,arabbank,2020-11-24 06:00:47.000000,yes,False,"b'\xd8\xa7\xd8\xa7\xd9\x84\xd8\xa7\xd8\xb1\xd8\xaf\xd9\x86,\xd8\xa7\xd9\x84\xd8\xa8\xd9\x86\xd9\x83_\xd8\xa7\xd9\x84\xd8\xb9\xd8\xb1\xd8\xa8\xd9\x8a'",b'',"b'-\n\xd9\x84\xd9\x85\xd8\xa7 \xd8\xaa\xd8\xaf\xd9\x81\xd8\xb9 \xd9\x85\xd9\x86 \xd8\xae\xd9\x84\xd8\xa7\xd9\x84 ""\xd8\xb9\xd8\xb1\xd8\xa8\xd9\x8a \xd9\x85\xd9\x88\xd8\xa8\xd9\x8a \xd9\x83\xd8\xa7\xd8\xb4"" \xd9\x88\xd8\xac\xd8\xa8\xd8\xa9 \xd8\xb4\xd8\xa7\xd9\x88\xd8\xb1\xd9\x85\xd8\xa7 \xd8\xa7\xd9\x84\xd8\xaf\xd8\xac\xd8\xa7\xd8\xac \xd9\x85\xd9\x86 ""\xd8\xa7\xd9\x84\xd8\xb6\xd9\x8a\xd8\xb9\xd8\xa9 "" \xd8\xa8\xd8\xb3 \xd8\xa8 1.5 \xd8\xaf\xd9\x8a\xd9\x86\xd8\xa7\xd8\xb1 \xd8\xa8\xd8\xaf\xd9\x84 3.25 \xd8\xaf\xd9\x86\xd8\xa7\xd9\x86\xd9\x8a\xd8\xb1.\n#\xd8\xa7\xd8\xa7\xd9\x84\xd8\xa7\xd8\xb1\xd8\xaf\xd9\x86 #\xd8\xa7\xd9\x84\xd8\xa8\xd9\x86\xd9\x83_\xd8\xa7\xd9\x84\xd8\xb9\xd8\xb1\xd8\xa8\xd9\x8a'",2497,23.033,98,0,,,
CHr1eAoIC7V,arabbank,2020-11-17 08:19:55.000000,yes,False,"b'\xd8\xa7\xd9\x84\xd8\xa7\xd8\xb1\xd8\xaf\xd9\x86,\xd8\xa7\xd9\x84\xd8\xa8\xd9\x86\xd9\x83_\xd8\xa7\xd9\x84\xd8\xb9\xd8\xb1\xd8\xa8\xd9\x8a'",b'',b'\xd8\xa7\xd8\xb3\xd8\xaa\xd9\x85\xd8\xaa\xd8\xb9 \xd8\xa85% \xd8\xa7\xd8\xb3\xd8\xaa\xd8\xb1\xd8\xaf\xd8\xa7\xd8\xaf \xd9\x86\xd9\x82\xd8\xaf\xd9\x8a \xd8\xb9\xd9\x86\xd8\xaf \xd8\xa7\xd9\x84\xd8\xaa\xd8\xb3\xd9\x88\xd9\x82 \xd8\xa7\xd9\x88\xd9\x86\xd9\x84\xd8\xa7\xd9\x8a\xd9\x86 \xd8\xa8\xd8\xa7\xd8\xb3\xd8\xaa\xd8\xae\xd8\xaf\xd8\xa7\xd9\x85 \xd8\xa8\xd8\xb7\xd8\xa7\xd9\x82\xd8\xa7\xd8\xaa Visa \xd8\xa7\xd9\x84\xd8\xa8\xd9\x86\xd9\x83 \xd8\xa7\xd9\x84\xd8\xb9\xd8\xb1\xd8\xa8\xd9\x8a.\n\xd8\xaa\xd8\xb7\xd8\xa8\xd9\x82 \xd8\xa7\xd9\x84\xd8\xb4\xd8\xb1\xd9\x88\xd8\xb7 \xd9\x88\xd8\xa7\xd9\x84\xd8\xa3\xd8\xad\xd9\x83\xd8\xa7\xd9\x85.\n#\xd8\xa7\xd9\x84\xd8\xa7\xd8\xb1\xd8\xaf\xd9\x86 #\xd8\xa7\xd9\x84\xd8\xa8\xd9\x86\xd9\x83_\xd8\xa7\xd9\x84\xd8\xb9\xd8\xb1\xd8\xa8\xd9\x8a',1041,16.366,54,0,,,
CHgNwp5IeTF,arabbank,2020-11-12 20:01:23.000000,yes,False,"b'\xd8\xa7\xd9\x84\xd8\xa7\xd8\xb1\xd8\xaf\xd9\x86,\xd8\xa7\xd9\x84\xd8\xa8\xd9\x86\xd9\x83_\xd8\xa7\xd9\x84\xd8\xb9\xd8\xb1\xd8\xa8\xd9\x8a'",b'',b'\xd9\x82\xd8\xa7\xd8\xb9\xd8\xaf \xd8\xa8\xd8\xa7\xd9\x84\xd8\xa8\xd9\x8a\xd8\xaa \xd9\x88\xd8\xa8\xd8\xaa\xd8\xad\xd8\xaa\xd8\xa7\xd8\xac \xd8\xa7\xd8\xb4\xd9\x8a \xd9\x85\xd9\x86 \xd8\xa7\xd9\x84\xd8\xb5\xd9\x8a\xd8\xaf\xd9\x84\xd9\x8a\xd8\xa9\xd8\x9f \xd9\x85\xd8\xb9 \xd8\xae\xd8\xaf\xd9\x85\xd8\xa7\xd8\xaa \xd8\xa7\xd9\x84\xd8\xa8\xd9\x86\xd9\x83 \xd8\xa7\xd9\x84\xd8\xb9\xd8\xb1\xd8\xa8\xd9\x8a \xd8\xa7\xd9\x84\xd8\xb1\xd9\x82\xd9\x85\xd9\x8a\xd8\xa9 \xd8\xa7\xd9\x84\xd9\x85\xd9\x85\xd9\x8a\xd8\xb2\xd8\xa9 \xd8\xa8\xd8\xaa\xd8\xaf\xd9\x81\xd8\xb9 \xd9\x85\xd9\x86 \xd8\xae\xd9\x84\xd8\xa7\xd9\x84\xd9\x87\xd8\xa7 \xd9\x88\xd8\xa5\xd9\x86\xd8\xaa \xd9\x85\xd8\xb1\xd8\xaa\xd8\xa7\xd8\xad \xd8\xa7\xd9\x84\xd8\xa8\xd8\xa7\xd9\x84\n#\xd8\xa7\xd9\x84\xd8\xa7\xd8\xb1\xd8\xaf\xd9\x86 #\xd8\xa7\xd9\x84\xd8\xa8\xd9\x86\xd9\x83_\xd8\xa7\xd9\x84\xd8\xb9\xd8\xb1\xd8\xa8\xd9\x8a',1127,30.933,62,0,,,
CHNkV6CoS1x,arabbank,2020-11-05 14:13:04.000000,yes,False,b'',b'',"b'\xd9\x84\xd8\xa3\xd9\x86\xd9\x87 \xd8\xb5\xd8\xad\xd8\xaa\xd9\x83 \xd8\xa8\xd8\xaa\xd9\x87\xd9\x85\xd9\x86\xd8\xa7\xd8\x8c \xd8\xa7\xd8\xb3\xd8\xaa\xd8\xb1\xd8\xaf 50% \xd9\x85\xd9\x86 \xd9\x82\xd9\x8a\xd9\x85\xd8\xa9 \xd9\x81\xd8\xad\xd8\xb5 \xd9\x81\xd9\x8a\xd8\xb1\xd9\x88\xd8\xb3 ""\xd9\x83\xd9\x88\xd8\xb1\xd9\x88\xd9\x86\xd8\xa7"" \xd8\xb9\xd9\x86\xd8\xaf \xd8\xa7\xd9\x84\xd8\xaf\xd9\x81\xd8\xb9 \xd8\xa8\xd8\xaa\xd8\xb7\xd8\xa8\xd9\x8a\xd9\x82 ""\xd8\xb9\xd8\xb1\xd8\xa8\xd9\x8a \xd9\x85\xd9\x88\xd8\xa8\xd9\x8a \xd9\x83\xd8\xa7\xd8\xb4"" \xd9\x85\xd9\x86 \xd8\xa7\xd9\x84\xd8\xa8\xd9\x86\xd9\x83 \xd8\xa7\xd9\x84\xd8\xb9\xd8\xb1\xd8\xa8\xd9\x8a \xd9\x84\xd8\xaf\xd9\x89 \xd9\x85\xd8\xae\xd8\xaa\xd8\xa8\xd8\xb1\xd8\xa7\xd8\xaa""\xd9\x85\xd9\x8a\xd8\xac\xd8\xa7\xd9\x84\xd8\xa7\xd8\xa8"".\n\xd8\xa7\xd9\x84\xd8\xb9\xd8\xb1\xd8\xb6 \xd8\xad\xd8\xaa\xd9\x89 2020/11/19. \n\n\xd8\xaa\xd8\xb7\xd8\xa8\xd9\x91\xd9\x82 \xd8\xa7\xd9\x84\xd8\xb4\xd8\xb1\xd9\x88\xd8\xb7 \xd9\x88\xd8\xa7\xd9\x84\xd8\xa3\xd8\xad\xd9\x83\xd8\xa7\xd9\x85.\n\xd9\x84\xd9\x84\xd9\x85\xd8\xb2\xd9\x8a\xd8\xaf\xd8\x8c \xd8\xa7\xd8\xaa\xd8\xb5\xd9\x84 \xd8\xa8\xd8\xa7\xd9\x84\xd8\xb1\xd9\x82\xd9\x85 4600900'",786,17.266,36,0,,,
CHNi3tVIsfO,arabbank,2020-11-05 14:00:17.000000,yes,False,"b'\xd8\xa7\xd9\x84\xd8\xa7\xd8\xb1\xd8\xaf\xd9\x86,\xd8\xa7\xd9\x84\xd8\xa8\xd9\x86\xd9\x83_\xd8\xa7\xd9\x84\xd8\xb9\xd8\xb1\xd8\xa8\xd9\x8a'",b'',b'\xd8\xa7\xd8\xad\xd8\xb5\xd9\x84 \xd8\xb9\xd9\x84\xd9\x89 \xd8\xae\xd8\xb5\xd9\x85 10% \xd8\xb9\xd9\x86\xd8\xaf \xd8\xa7\xd8\xb3\xd8\xaa\xd8\xa6\xd8\xac\xd8\xa7\xd8\xb1\xd9\x83 \xd9\x84\xd8\xb3\xd9\x8a\xd8\xa7\xd8\xb1\xd8\xa9 \xd9\x85\xd9\x86 \xd9\x85\xd9\x88\xd9\x82\xd8\xb9 Rentalcars \xd8\xa8\xd8\xa7\xd8\xb3\xd8\xaa\xd8\xae\xd8\xaf\xd8\xa7\xd9\x85 \xd8\xa8\xd8\xb7\xd8\xa7\xd9\x82\xd8\xa7\xd8\xaa \xd8\xa7\xd9\x84\xd8\xa8\xd9\x86\xd9\x83 \xd8\xa7\xd9\x84\xd8\xb9\xd8\xb1\xd8\xa8\xd9\x8a.\n#\xd8\xa7\xd9\x84\xd8\xa7\xd8\xb1\xd8\xaf\xd9\x86 #\xd8\xa7\xd9\x84\xd8\xa8\xd9\x86\xd9\x83_\xd8\xa7\xd9\x84\xd8\xb9\xd8\xb1\xd8\xa8\xd9\x8a',1254,19.833,61,0,,,
CHFlEUgjgQC,arabbank,2020-11-02 11:45:34.000000,yes,False,b'repost',"b'salon.vert,get_repost'",b'#Repost @salon.vert (@get_repost)\n\xe3\x83\xbb\xe3\x83\xbb\xe3\x83\xbb\n.\n\xd9\x86\xd8\xad\xd8\xaa\xd9\x81\xd9\x84 \xd9\x85\xd8\xb9\xd9\x83\xd9\x85 \xd8\xa8\xd8\xb9\xd9\x8a\xd8\xaf\xd9\x86\xd8\xa7 \xd8\xa7\xd9\x84\xd9\x80 60 \xd9\x88\xd9\x86\xd9\x82\xd8\xaf\xd9\x91\xd9\x85 \xd9\x84\xd9\x83\xd9\x85 \xd8\xae\xd8\xb5\xd9\x85 \xd9\x8a\xd8\xb5\xd9\x84 \xd9\x84\xd8\xba\xd8\xa7\xd9\x8a\xd8\xa9 60% \xd8\xb9\xd9\x84\xd9\x89 \xd8\xa7\xd9\x84\xd8\xb3\xd8\xac\xd8\xa7\xd8\xaf \xd9\x88\xd8\xa7\xd9\x84\xd8\xa3\xd9\x82\xd9\x85\xd8\xb4\xd8\xa9.\n\xd9\x87\xd8\xb0\xd9\x87 \xd8\xa7\xd9\x84\xd8\xad\xd9\x85\xd9\x84\xd8\xa9 \xd8\xb3\xd8\xa7\xd8\xb1\xd9\x8a\xd8\xa9 \xd9\x84\xd9\x81\xd8\xaa\xd8\xb1\xd8\xa9 \xd9\x85\xd8\xad\xd8\xaf\xd9\x88\xd8\xaf\xd8\xa9 \xd9\x85\xd9\x86 \xd9\xa1\xd9\xa1/\xd9\xa1 \xd8\xa5\xd9\x84\xd9\x89 \xd9\xa1\xd9\xa1/\xd9\xa1\xd9\xa4 \xd9\x81\xd9\x8a \xd9\x81\xd8\xb1\xd9\x88\xd8\xb9\xd9\x86\xd8\xa7:\n85 \xd8\xb4\xd8\xa7\xd8\xb1\xd8\xb9 \xd8\xa7\xd9\x84\xd9\x85\xd9\x84\xd9\x83\xd8\xa9 \xd8\xb1\xd8\xa7\xd9\x86\xd9\x8a\xd8\xa7 0796218282 \n205 \xd8\xb4\xd8\xa7\xd8\xb1\xd8\xb9 \xd9\x85\xd9\x83\xd8\xa9 0778808090',742,28.183,27,0,,,
CG5e8ENoKuT,arabbank,2020-10-28 19:00:59.000000,yes,False,"b'\xd8\xa7\xd9\x84\xd9\x85\xd9\x88\xd9\x84\xd8\xaf_\xd8\xa7\xd9\x84\xd9\x86\xd8\xa8\xd9\x88\xd9\x8a_\xd8\xa7\xd9\x84\xd8\xb4\xd8\xb1\xd9\x8a\xd9\x81,\xd8\xa7\xd9\x84\xd8\xa8\xd9\x86\xd9\x83_\xd8\xa7\xd9\x84\xd8\xb9\xd8\xb1\xd8\xa8\xd9\x8a'",b'',b'-\n\xd9\x83\xd9\x84 \xd8\xb9\xd8\xa7\xd9\x85 \xd9\x88\xd8\xa7\xd9\x86\xd8\xaa\xd9\x85 \xd8\xa8\xd8\xa7\xd9\x84\xd9\x81 \xd8\xae\xd9\x8a\xd8\xb1 \xd8\xa8\xd9\x85\xd9\x86\xd8\xa7\xd8\xb3\xd8\xa8\xd8\xa9 \xd8\xa7\xd9\x84\xd9\x85\xd9\x88\xd9\x84\xd8\xaf \xd8\xa7\xd9\x84\xd9\x86\xd8\xa8\xd9\x88\xd9\x8a \xd8\xa7\xd9\x84\xd8\xb4\xd8\xb1\xd9\x8a\xd9\x81.\n#\xd8\xa7\xd9\x84\xd9\x85\xd9\x88\xd9\x84\xd8\xaf_\xd8\xa7\xd9\x84\xd9\x86\xd8\xa8\xd9\x88\xd9\x8a_\xd8\xa7\xd9\x84\xd8\xb4\xd8\xb1\xd9\x8a\xd9\x81 #\xd8\xa7\xd9\x84\xd8\xa8\xd9\x86\xd9\x83_\xd8\xa7\xd9\x84\xd8\xb9\xd8\xb1\xd8\xa8\xd9\x8a',959,7.133,90,0,,,
