shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CIYgYcuJmWS,asda,2020-12-04 16:41:32.000000,yes,False,"b'asda,christmas,asdachristmas,stickytoffeepudding,mcvities,dessert,pudding'",b'asda',b'Get yourself out of a sticky situation with our cheat\xe2\x80\x99s sticky toffee pud :face_savoring_food:\n\nPick up this McVitie\xe2\x80\x99s Jamaican Ginger Cake for just 64p* and create our fuss-free family fave \xe2\x80\x93 just look at that gooeyness :clapping_hands:\n\nWho\xe2\x80\x99s giving this one a go? Head to the link in our bio for the full recipe and be sure to tag us @asda with your yummy creations!\n\n#Asda #Christmas #AsdaChristmas #StickyToffeePudding #McVities #Dessert #Pudding\n\n*Price from 5 November to 26 December 2020',30994,14.966,1462,52,,,
CIX0v2PAgJB,asda,2020-12-04 10:20:07.000000,no,False,"b'asda,chocolate,stocking,christmas,gifting,festive,christmasgift,secretsanta,christmaschocolate'",b'',"b'Wouldn\xe2\x80\x99t these be just PERFECT for a stocking? We have been reeeally good this year Santa, we promise! :smiling_face_with_halo::Christmas_tree: \xe2\xa0\x80\n\xe2\xa0\x80\n:Santa_Claus: Milk Chocolate Hollow Santa \xe2\xa0\x80\n:chocolate_bar: Milk Chocolate Hollow Reindeer \xe2\xa0\x80\n:bear_face: White Chocolate Polar Bear \xe2\xa0\x80\n:penguin: Milk Chocolate Pip The Penguin \xe2\xa0\x80\n\xe2\xa0\x80\nHead to Asda.com to grab yours! \xe2\xa0\x80\n\xe2\xa0\x80\n#Asda #Chocolate #Stocking #Christmas #Gifting #Festive #ChristmasGift #SecretSanta #ChristmasChocolate'",0,0,1086,14,,,
CIV9QQzpWat,asda,2020-12-03 18:11:45.000000,yes,False,"b'asda,christmas,asdachristmas,wine,winetasting,christmastime,wineexpert'",b'knackeredmother',"b""\xe2\x80\x99Tis the season for wonderful wines \xe2\x80\x93 and @knackeredmother is back with her festive wine picks :wine_glass:\n\nShe\xe2\x80\x99s got a save and splurge option for each, taking the hard work out of deciding which to gift or enjoy this holiday season!\n\nCheck out which tipples Helen will be featuring this week:\n\n:bottle_with_popping_cork: Prosecco (0:18)\n\n:grapes: Pinot Grigio \xe2\x80\x93 \xc2\xa34.50 (1:03)\n\n:clinking_glasses: Sauvignon Blanc \xe2\x80\x93 \xc2\xa36 (2:10)\n\n:wine_glass: Ros\xc3\xa9 \xe2\x80\x93 \xc2\xa36.50 (3:15)\n\n:wine_glass: Red wine \xe2\x80\x93 \xc2\xa35 (4:20)\n\n:white_medium_star: Non-alcoholic sparkling wine (5.50)\n\nDid we mention that some of the wines are included in our 'buy 6 bottles, you get 25% off' offer too? :raising_hands: Which wine would you pick?\n\nClick the link in the bio to shop Helen's edit!\n\n#Asda #Christmas #AsdaChristmas #Wine #WineTasting #ChristmasTime #WineExpert""",8301,429.253,246,5,,,
CIV0TL5MYDs,asda,2020-12-03 15:37:43.000000,no,False,"b'asda,georgehome,woodenkitchen,disney,woodentoys,mickeymouse,christmas'",b'',"b'Cooking up a storm, Disney style :sparkles:\xe2\xa0\x80\n\xe2\xa0\x80\nChristmas dinner prep has started early for Elsie :smiling_face_with_heart-eyes:\xe2\xa0\x80\n \xe2\xa0\x80\nHead to George.com to shop our range of wooden toys now!\xe2\xa0\x80\n\xe2\xa0\x80\n#Asda #GeorgeHome #WoodenKitchen #Disney #WoodenToys #MickeyMouse #Christmas'",0,0,501,5,,,
CITgI9AF-Av,asda,2020-12-02 18:03:05.000000,no,False,"b'asda,asdarecipes,pork,curry,quickmeals,15minutemeals,dinner,notime'",b'',b'No time? No worries! :alarm_clock:\xe2\xa0\x80\n\xe2\xa0\x80\nWe\xe2\x80\x99ve rounded up our fave speedy suppers \xe2\x80\x93 all ready to be whipped up in under 15 minutes :raising_hands:\xe2\xa0\x80\n\xe2\xa0\x80\nHead to the link in our bio for full recipes!\xe2\xa0\x80\n\xe2\xa0\x80\n:camera_with_flash:  Speedy pork curry\xe2\xa0\x80\n\xe2\xa0\x80\n#Asda #AsdaRecipes #Pork #Curry #QuickMeals #15MinuteMeals #Dinner #NoTime',0,0,374,6,,,
CITHPRRAJu6,asda,2020-12-02 14:25:29.000000,no,False,"b'asda,georgehome,christmas,asdachristmas,christmasdecor,christmasdecorations,mincepies'",b'katiederry83',b'Now that\xe2\x80\x99s what we call an Asda Christmas collection :smiling_face_with_heart-eyes::Christmas_tree:\xe2\xa0\x80\n\xe2\xa0\x80\nHave you had your first festive tea party yet?\xe2\xa0\x80\n\xe2\xa0\x80\nThanks for sharing @katiederry83 :camera_with_flash:\xe2\xa0\x80\n\xe2\xa0\x80\nHead online to shop our Christmas range!\xe2\xa0\x80\n\xe2\xa0\x80\n#Asda #GeorgeHome #Christmas #AsdaChristmas #ChristmasDecor #ChristmasDecorations #MincePies',0,0,684,12,,,
CIQ0MAEl7Jv,asda,2020-12-01 17:00:32.000000,no,False,"b'asda,sausageroll,christmas,festive,puffpastry,festivefood,pigsinblankets,christmasdinner'",b'',"b'Oof, that\xe2\x80\x99s a whopper! :smiling_face_with_heart-eyes: \xe2\xa0\x80\n\xe2\xa0\x80\nOur Giant Pig in Blanket Sausage Roll was made for your Christmas table :clapping_hands:  Encased in streaky bacon and wrapped in beautifully golden puff pastry, this is an absolute winner with the whole family :face_savoring_food: \xe2\xa0\x80\n\xe2\xa0\x80\nHead to Asda.com to order yours! \xe2\xa0\x80\n\xe2\xa0\x80\n#Asda #SausageRoll #Christmas #Festive #PuffPastry #FestiveFood #PigsInBlankets #ChristmasDinner'",0,0,970,52,,,
CIQimAfJULX,asda,2020-12-01 14:26:52.000000,yes,False,"b'asda,christmas,christmascountdown,christmasmeme,asdachristmas,christmasday,christmastree'",b'',"b""For all of you traditionalists, the wait is finally over! 'Tis the season, so let's see those trees glow :Christmas_tree: :dizzy: \n\nThe Christmas countdown is officially ON and we're not missing a moment of it :sparkles: We'll be bringing you all the festive recipes, treats and activities that we know you're all craving! \n\nWe want to know your traditions! Comment below with your perfect Christmas Day :backhand_index_pointing_down: \n\n#Asda #Christmas #ChristmasCountdown #ChristmasMeme #AsdaChristmas #ChristmasDay #ChristmasTree""",13642,5.2,446,5,,,
CIOKzDcpGLV,asda,2020-11-30 16:20:21.000000,no,False,"b'asda,asdarecipes,mincemeat,mincepie,christmas,asdachristmas,leftovers,nowaste,pastry,festivefoods'",b'',"b'No offence to the humble mince pie, but there is so much more you can do with this festive filling :face_savoring_food: \nWe\xe2\x80\x99ve rounded up our fave recipes, from snack bars to bread, cake and even breakfast porridge!\n\nHead to the link in our bio for tasty mincemeat twists :pie:\n\n#Asda #AsdaRecipes #Mincemeat #MincePie #Christmas #AsdaChristmas #Leftovers #NoWaste #Pastry #FestiveFoods'",0,0,668,10,,,
CILYAZmrErA,asda,2020-11-29 14:18:04.000000,no,False,"b'asda,christmas,asdachristmas,christmascake,christmastime,christmastraditions,stirupsunday'",b'',"b'If you missed Stir-Up Sunday, we\xe2\x80\x99ve got your back :clapping_hands:\xe2\xa0\x80\n\xe2\xa0\x80\nThis ready-made Christmas centrepiece is the perfect slice to tuck into with a Christmas mug full of tea:Christmas_tree:\xe2\xa0\x80\n\xe2\xa0\x80\n:shopping_cart: Extra Special Fully Iced Fruit Cake \xe2\x80\x93 head online to shop yours now!\xe2\xa0\x80\n\xe2\xa0\x80\n#Asda #Christmas #AsdaChristmas #ChristmasCake #ChristmasTime #ChristmasTraditions #StirUpSunday'",0,0,625,5,,,
CILH_GtsyX0,asda,2020-11-29 11:58:06.000000,no,False,"b'asda,georgehome,christmas,asdachristmas,christmasdecor,christmaslights,dachshund,dogsofinstagram,sausagedog'",b'gel967poppy',b'Just here to bring a smile to your scrolling :dog_face:\xe2\xa0\x80\n\xe2\xa0\x80\nPoppy has made a friend and boy does he shine bright :sparkles: We\xe2\x80\x99re so in love with these two sausage pals!\xe2\xa0\x80\n\xe2\xa0\x80\n:camera_with_flash: @gel967poppy\xe2\xa0\x80\n\xe2\xa0\x80\nHead to George.com to check out our paw-dorable Xmas range :Christmas_tree:\xe2\xa0\x80\n\xe2\xa0\x80\n#Asda #GeorgeHome #Christmas #AsdaChristmas #ChristmasDecor #ChristmasLights #Dachshund #DogsOfInstagram #SausageDog',0,0,4507,346,,,
CIK2Ih3FR70,asda,2020-11-29 09:22:06.000000,no,False,"b'asda,brunch,mexican,waffles,huevosrancheros,avocado,breakfast,sundaybrunch,slowmornings'",b'',"b'You\xe2\x80\x99ll be thanking us a brunch for this waffle recipe \xe2\x80\x93 because what else are Sundays for? :smiling_face_with_heart-eyes:\xe2\xa0\x80\n\xe2\xa0\x80\nHeat up the chilly mornings with this Mexican-inspired dish, topped with avocado and chilli salsa :hot_pepper:\xe2\xa0\x80\n\xe2\xa0\x80\nTag a friend who needs to see this :backhand_index_pointing_down:\xe2\xa0\x80\n\xe2\xa0\x80\n#Asda #Brunch #Mexican #Waffles #HuevosRancheros #Avocado #Breakfast #SundayBrunch #SlowMornings'",0,0,679,9,,,
CIIr41sgwQq,asda,2020-11-28 13:14:06.000000,no,False,"b'asda,brusselsproutcake,chocolatecake,chocolate,brucethebrusselsproutcake,brusselsprouts'",b'',b'Now this is a Brussels sprout we can get on board with! :smiling_face_with_heart-eyes:\xe2\xa0\x80\n\xe2\xa0\x80\nMeet Bruce. The only vegetable you want to invite to the dinner table (sorry Kevin!).\xe2\xa0\x80\n\xe2\xa0\x80\nHe\xe2\x80\x99s filled to the brim with chocolate sponge and chocolate buttercream layers \xe2\x80\x93 the ultimate Christmas cake :face_savoring_food::raising_hands: \xe2\xa0\x80\n\xe2\xa0\x80\nHead to asda.com to pick up a Bruce!\xe2\xa0\x80\n\xe2\xa0\x80\n#Asda #BrusselSproutCake #ChocolateCake #Chocolate #BruceTheBrusselSproutCake #BrusselSprouts',0,0,2886,206,,,
CIIWbQ1psRF,asda,2020-11-28 10:11:07.000000,yes,False,"b'asda,christmas,asdachristmas,georgehome,christmastable,christmasdecor,christmasdecorations,christmastime'","b'maxinebradystyling,georgeatasda,asda'","b'Christmas dinner in style :star-struck: @maxinebradystyling from We Love Home blog is back with her top tips to create the perfect festive dining table, using our George Home range!\n\nUse your baubles, Christmas decs and regular tableware to create a magical mealtime :deer: :sparkles:\n\nHead to George.com to check out our collection :Christmas_tree: Be sure to tag us in your homeware pics too at @georgeatasda and @asda!\n\n#Asda #Christmas #AsdaChristmas #GeorgeHome #ChristmasTable #ChristmasDecor #ChristmasDecorations #ChristmasTime'",20901,143.566,390,13,,,
