shortcode,username,date_utc,is_video,is_sponsored,hashtags,mentions,caption,video_view_count,video_length,likes,comments,likes+comments,location_name,location_latlong
CF-XhGDDHPZ,atlassian,2020-10-05 20:01:41.000000,yes,False,"b'atlassianworklife,lifeatatlassian,teamwork,remotework'",b'',"b'We\xe2\x80\x99ve welcomed nearly 1,000 new Atlassians since working remotely and unprecedented times call for even more teamwork. Although we\xe2\x80\x99re apart, we\xe2\x80\x99re all in this together! \xe2\x81\xa3\n\xe2\x81\xa3\nInterested in joining the team? Check the link in our bio to learn more.\xe2\x81\xa3\n\xe2\x81\xa3\n#AtlassianWorkLife #LifeAtAtlassian #Teamwork #RemoteWork'",2861,58.5,364,17,,,
CEKBJEoj9kH,atlassian,2020-08-21 15:33:26.000000,no,False,"b'companyculture,companyvalues,corevalues,atlassianvalues,teamwork,internship,internshipprogram'",b'maxter326',"b'We were curious to hear what our company values meant to this summer\xe2\x80\x99s interns. \xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3Last but not least, Max shared their take on the Atlassian value ""Don\xe2\x80\x99t #@!% the customer"":\n\xe2\x81\xa3\n\xe2\x80\x9cI\xe2\x80\x99m a computer science major, but I was really hesitant to enter the software industry. My conception of tech companies are organizations that prioritize profit over people, and I didn\xe2\x80\x99t want to have anything to do with that. That\xe2\x80\x99s why it was such a breath of fresh air to discover Atlassian. Their value of \xe2\x80\x98Don\xe2\x80\x99t #@!% the customer\xe2\x80\x99 resonates with me, and even more than that, the commitment to this value is more than surface deep. Our goal is to help people. During my time here, I\xe2\x80\x99ve been heartened to see people living this value. It means taking extra time on the developer\xe2\x80\x99s end to make sure that users have a good experience. It means listening to customer feedback and actually making changes because of it. It means learning from our mistakes and admitting when we\xe2\x80\x99re wrong, so that we can fix things and make them better. \xe2\x80\x98Don\xe2\x80\x99t #@!% the customer\xe2\x80\x99 means that at the end of the day, I can be proud of the work we do here at Atlassian, because we are helping unleash the potential of every team\xe2\x80\x94without the huge caveats that I\xe2\x80\x99ve learned to expect from Silicon Valley.\xe2\x80\x9c\xe2\x81\xa3\n\xe2\x81\xa3\n- Max Sutton\xe2\x81\xa3\n@maxter326\n\xe2\x81\xa3\n#CompanyCulture #CompanyValues #CoreValues #AtlassianValues #Teamwork #Internship #InternshipProgram'",0,0,201,6,,,
CECyEamjlK0,atlassian,2020-08-18 20:07:02.000000,no,False,"b'buildwithheartandbalance,companyculture,companyvalues,corevalues,atlassianvalues,teamwork,internship,internshipprogram'",b'isabelllllllly',"b'How do you interpret \xe2\x80\x9cBuild with heart and balance\xe2\x80\x9d? We asked a few of this summer\xe2\x80\x99s interns for their take on the Atlassian company value that resonates with them the most.\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\n\xe2\x81\xa3\xe2\x81\xa3\n\xe2\x80\x9cI really admire people who are able to step back and focus on the bigger picture. To me, that is really what \xe2\x80\x98Build with heart and balance\xe2\x80\x99 is all about. At Atlassian, I\xe2\x80\x99ve really loved seeing how my fellow Atlassians truly care about that big picture impact, while still getting things done. From trying to find that sweet spot between perfection and delivery on technical solutions to making sure your fellow coworkers are maintaining a work-life balance, I\xe2\x80\x99ve seen how \xe2\x80\x98Build with heart and balance\xe2\x80\x99 really impacts how Atlassian works.\xe2\x80\x9c\xe2\x81\xa3\xe2\x81\xa3\n\xe2\x81\xa3\xe2\x81\xa3\n- Isabel Allen\xe2\x81\xa3\xe2\x81\xa3\n@isabelllllllly\xe2\x81\xa3\n\xe2\x81\xa3\n#BuildWithHeartAndBalance #CompanyCulture #CompanyValues #CoreValues #AtlassianValues #Teamwork #Internship #InternshipProgram'",0,0,154,2,,,
CD168SjjNo6,atlassian,2020-08-13 20:14:27.000000,no,False,"b'playasateam,companyculture,companyvalues,corevalues,atlassianvalues,teamwork,internship,internshipprogram'",b'jerdeqing',"b'When you hear \xe2\x80\x9cPlay, as a team\xe2\x80\x9d what does it mean to you? We asked a few of this summer\xe2\x80\x99s interns for their take on the Atlassian company value that resonates with them the most. \xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\xe2\x81\xa3\n\xe2\x81\xa3\xe2\x81\xa3\n\xe2\x80\x9cFrom working at Atlassian, I have learned what it means to \xe2\x80\x98Play, as a team\xe2\x80\x99 both within and outside of the workplace. I have always believed that behind every great product is a great team, and my colleagues here embody this value every day. At Atlassian, there are endless opportunities to share our unique ideas; more importantly, we collectively strive to maintain a safe space where all voices are not only welcomed, but encouraged. In this pursuit, my team members and I proactively make time to get to know each other outside of regular meetings and make ourselves available to anyone in need of an extra hand. I truly feel connected to this value, as it has transcended the barriers created by remote work this year. To me, \xe2\x80\x98Play, as a team\xe2\x80\x99 means to constantly strive to create an open community for everyone to excel together as a whole. As I continue to grow personally and professionally, I plan to continue to practice and share this value with everyone around me.\xe2\x80\x9c\xe2\x81\xa3\xe2\x81\xa3\n\xe2\x81\xa3\xe2\x81\xa3\n- Jerry Qing\xe2\x81\xa3\xe2\x81\xa3\n@jerdeqing\n\xe2\x81\xa3\n#PlayAsATeam #CompanyCulture #CompanyValues #CoreValues #AtlassianValues #Teamwork #Internship #InternshipProgram'",0,0,298,7,,,
CDjv49JDs2x,atlassian,2020-08-06 18:51:32.000000,no,False,"b'bethechangeyouseek,companyculture,companyvalues,corevalues,atlassianvalues,teamwork,internship,internshipprogram'",b'_tangrachel',"b'What does \xe2\x80\x9cBe the change you seek\xe2\x80\x9d mean to you? We asked a few of this summer\xe2\x80\x99s interns for their take on the Atlassian company value that resonates with them the most. \xe2\x81\xa3\xe2\x81\xa3\n\xe2\x81\xa3\n\xe2\x80\x9cThis summer, I learned that \xe2\x80\x98Be the change you seek\xe2\x80\x99 isn\xe2\x80\x99t just a phrase you find at the end of presentations. Rather, it\xe2\x80\x99s a shared mindset that\xe2\x80\x99s deeply embedded into the company culture and put into practice every single day. At their cores, Atlassians are passionate, resourceful individuals. They have their minds open to new possibilities, allow their actions to be reflections of their beliefs, and lead with heart to spark positive, lasting change. This collective sense of ownership and dedication to continuous improvement is something I\xe2\x80\x99ve never seen at another company, and a value I\xe2\x80\x99ll continue to instill in my personal and professional lives moving forward.\xe2\x80\x9c\xe2\x81\xa3\n\xe2\x81\xa3\n- Rachel Tang \xe2\x81\xa3\n@_tangrachel\n\xe2\x81\xa3\n#BeTheChangeYouSeek #CompanyCulture #CompanyValues #CoreValues #AtlassianValues #Teamwork #Internship #InternshipProgram'",0,0,208,14,,,
CDem36Hj9av,atlassian,2020-08-04 18:56:33.000000,no,False,"b'companyculture,companyvalues,corevalues,atlassianvalues,teamwork,internship,internshipprogram'",b'',"b'What are your company\xe2\x80\x99s values and what do they mean to you? The Atlassian company values guide what we do, why we create, and who we hire. We asked a few of this summer\xe2\x80\x99s interns for their take on the Atlassian value that resonates with them the most. \xe2\x81\xa3\n\xe2\x81\xa3\n\xe2\x80\x9c\xe2\x80\x98Open company, no bullshit\xe2\x80\x99 is more than just a fun way to justify your overly candid responses in meetings, it\xe2\x80\x99s a mentality with which you approach your role in the company. Open company means that Atlassian is a space where you\xe2\x80\x99re meant to feel comfortable putting your ideas out there. If you have a vision, share it. If you have a question, ask it. No bullshit, on the other hand, is all about making sure you are bringing your whole, honest self to the table. If you don\xe2\x80\x99t understand something, don\xe2\x80\x99t be embarrassed to ask for help. If you think something needs to change, say it with your chest.\xe2\x81\xa3\n\xe2\x81\xa3\nTogether, \xe2\x80\x98Open company, no bullshit\xe2\x80\x99 means saying what needs to be said. It means saying the awkward part aloud and being honest about where the work needs to be done for the better of the TEAM.\xe2\x81\xa3""\n\xe2\x81\xa3\n- Khalid Ahmad\n\xe2\x81\xa3\n#CompanyCulture #CompanyValues #CoreValues #AtlassianValues #Teamwork #Internship #InternshipProgram'",0,0,321,10,,,
CDRYdzKDuyn,atlassian,2020-07-30 15:40:31.000000,no,False,"b'nationalinternday,summerinternship,internship,internshipprogram,recruiting'",b'',"b'Happy #NationalInternDay! This summer, Atlassian\xe2\x80\x99s Campus Recruiting Team welcomed 71 incredible interns from all over the U.S. to join our internship program. This was the first time the 12-week program went completely virtual! Before starting, our interns were assigned to various teams around the company and were given the opportunity to work on projects that align with both their interests, and the business\xe2\x80\x99 needs. From enhancing Atlassian\xe2\x80\x99s support platform to assisting the Workplace Productivity Team in planning a smooth transition back into the office, our interns have been able to work hands on with new technologies and the latest software developments. They\xe2\x80\x99ve also had the opportunity to hear from other inspiring Atlassian teams and leaders, gain insight into our culture and values, and build personal relationships amongst each other while attending some fun virtual social events (paint night is pictured here!). We\xe2\x80\x99re so thankful to have our interns this summer and have already seen the tremendous value they\xe2\x80\x99ve provided Atlassian.\xe2\x81\xa3\n\xe2\x81\xa3\nLearn more about our internship program at atlassian.com/company/careers/interns, and be on the lookout over the next few weeks for stories from some of our current interns!\xe2\x81\xa3\n\xe2\x81\xa3\n#SummerInternship #Internship #InternshipProgram #Recruiting'",0,0,389,3,,,
CCrXxxMDXGm,atlassian,2020-07-15 21:23:22.000000,no,False,"b'podcast,newpodcast,teamwork,collaboration,teamistry,unsungheroes,neilarmstrong,spaceflight,manonthemoon'",b'',b'That\xe2\x80\x99s a wrap!:headphone: Don\xe2\x80\x99t miss our final Teamistry episode of the season highlighting the unlikely team behind the creation of Neil Armstrong\xe2\x80\x99s moonsuit (and how a single bad stitch meant certain death for astronauts!). \xe2\x81\xa3\n\xe2\x81\xa3\nHead to the link in our bio to tune in and catch up on the other episodes from season 1. And be on the lookout for season 2... coming in September!:eyes:\n\xe2\x81\xa3\n#Podcast #NewPodcast #Teamwork #Collaboration #Teamistry #UnsungHeroes #NeilArmstrong #SpaceFlight #ManOnTheMoon',0,0,167,3,,,
CB6FEl7jX0B,atlassian,2020-06-26 17:57:08.000000,no,False,"b'blacklivesmatter,blacktranslivesmatter,pride,pride2020'","b'translawcenter,translawcenter'","b'@translawcenter is the largest national trans-led organization advocating self-determination for all people.\xe2\x81\xa3\n\xe2\x81\xa3\nGrounded in legal expertise and committed to racial justice, TLC employs a variety of community-driven strategies to keep transgender and gender nonconforming people alive, thriving, and fighting for liberation.\xe2\x81\xa3\n\xe2\x81\xa3\nClick the link in our bio to learn more about @translawcenter, and how we will match donations made to our featured organizations this week up to $150,000.00\xe2\x81\xa3\n\xe2\x81\xa3\n#BlackLivesMatter #BlackTransLivesMatter\xe2\x81\xa3 #Pride #Pride2020'",0,0,99,2,,,
CB3iLgfjXGP,atlassian,2020-06-25 18:13:46.000000,no,False,"b'blacklivesmatter,blacktranslivesmatter,pride,pride2020'","b'mpjinstitute,mpjinstitute'","b'Marsha P. Johnson was an activist, self-identified drag queen, performer, and survivor. She was a prominent figure in the Stonewall uprising of 1969. Marsha went by \xe2\x80\x9cBlack Marsha\xe2\x80\x9d before settling on Marsha P. Johnson. The \xe2\x80\x9cP\xe2\x80\x9d stood for \xe2\x80\x9cPay It No Mind,\xe2\x80\x9d which is what Marsha would say in response to questions about her gender.\xe2\x81\xa3\n\xe2\x81\xa3\n@mpjinstitute protects and defends the human rights of Black transgender people by organizing, advocating, creating an intentional community to heal, developing transformative leadership, and promoting their collective power.\xe2\x81\xa3\n\xe2\x81\xa3\nClick the link in our bio to learn more about @mpjinstitute, and how we will match donations made to our featured organizations this week up to $150,000.00\xe2\x81\xa3\n\xe2\x81\xa3\n#BlackLivesMatter #BlackTransLivesMatter\xe2\x81\xa3 #Pride #Pride2020'",0,0,75,0,,,
